event_index,sequence_index,play_index,Period,event_start_min,event_start_sec,event_end_min,event_end_sec,link_prev_play,Team,Player,player_role,Type,event_detail,event_detail_2,offensive_play,defensive_play,X,Y,X2,Y2,X3,Y3,distance,PlayerNumberEdit,TeamEdit,game_id,home_team,away_team
1,1,,1,18,,18,,,Away,11,event_team_player_1,Faceoff,Faceoff_PeriodStart,,,,0,0,,,,,,,,18955,Velodrome,Orphans
1,1,,1,18,,18,,,Away,10,event_team_player_2,Faceoff,Faceoff_PeriodStart,,,,22.43,-30.77,,,,,,,,18955,Velodrome,Orphans
1,1,,1,18,,18,,,Away,70,opp_team_player_1,Faceoff,Faceoff_PeriodStart,,,,0,0,,,,,,,,18955,Velodrome,Orphans
2,1,,1,17,57,17,55,,Away,10,event_team_player_1,Pass,Pass_Completed,Pass-Bank,,,22.43,-30.77,,,,,,,,18955,Velodrome,Orphans
2,1,,1,17,57,17,55,,Away,9,event_team_player_2,Pass,Pass_Completed,Pass-Bank,,,3.22,-26.86,,,,,,,,18955,Velodrome,Orphans
2,1,,1,17,57,17,55,,Away,11,event_team_player_3,Pass,Pass_Completed,Pass-Bank,,,-5.57,-28.34,,,,,,,,18955,Velodrome,Orphans
2,1,,1,17,57,17,55,,Away,14,opp_team_player_1,Pass,Pass_Completed,Pass-Bank,,,12.7,-33.82,,,,,,,,18955,Velodrome,Orphans
3,1,,1,17,55,17,54,,Away,11,event_team_player_1,Possession,,,,,-10.7,-40.51,-25.22,-40.16,,,,,,18955,Velodrome,Orphans
3,1,,1,17,55,17,54,,Away,9,event_team_player_2,Possession,,,,,3.39,-36.51,,,,,,,,18955,Velodrome,Orphans
3,1,,1,17,55,17,54,,Away,5,event_team_player_3,Possession,,,,,-13.22,8.36,,,,,,,,18955,Velodrome,Orphans
3,1,,1,17,55,17,54,,Away,70,opp_team_player_1,Possession,,,,,-16.7,-35.9,,,,,,,,18955,Velodrome,Orphans
4,1,1,1,17,54,17,52,,Away,11,event_team_player_1,Zone_Entry_Exit,Zone_Entry,ZoneEntry-Rush,,,-25.13,-39.99,-65.48,-40.51,,,,,,18955,Velodrome,Orphans
4,1,1,1,17,54,17,52,,Away,9,event_team_player_2,Zone_Entry_Exit,Zone_Entry,ZoneEntry-Rush,,,-16,-25.12,-48.43,-20.68,-62.96,-8.08,,,,18955,Velodrome,Orphans
4,1,1,1,17,54,17,52,,Away,5,event_team_player_3,Zone_Entry_Exit,Zone_Entry,ZoneEntry-Rush,,,-22.09,-5.29,-46.35,-9.12,-65.13,5.4,,,,18955,Velodrome,Orphans
4,1,1,1,17,54,17,52,,Away,70,opp_team_player_1,Zone_Entry_Exit,Zone_Entry,ZoneEntry-Rush,,,-23.74,-37.73,-58.09,-36.34,,,,,,18955,Velodrome,Orphans
4,1,1,1,17,54,17,52,,Away,87,opp_team_player_2,Zone_Entry_Exit,Zone_Entry,ZoneEntry-Rush,,,-44.61,-32.08,-63.65,-29.82,,,,,,18955,Velodrome,Orphans
4,1,1,1,17,54,17,52,,Away,84,opp_team_player_3,Zone_Entry_Exit,Zone_Entry,ZoneEntry-Rush,,,-54.7,3.92,-63.3,-5.12,,,,,,18955,Velodrome,Orphans
4,1,1,1,17,54,17,52,,Away,75,opp_team_player_4,Zone_Entry_Exit,Zone_Entry,ZoneEntry-Rush,,,-23.3,15.75,-57.91,8.62,,,,,,18955,Velodrome,Orphans
5,1,1,1,17,52,,,,Away,11,event_team_player_1,Pass,Pass_Missed,Pass-Forehand,,,-64.96,-40.08,-62.96,-7.99,,,,,,18955,Velodrome,Orphans
5,1,1,1,17,52,,,,Away,9,event_team_player_2,Pass,Pass_Missed,Pass-Forehand,,,-62.35,-7.21,,,,,,,,18955,Velodrome,Orphans
5,1,1,1,17,52,,,,Away,5,event_team_player_3,Pass,Pass_Missed,Pass-Forehand,,,-64.43,5.23,,,,,,,,18955,Velodrome,Orphans
5,1,1,1,17,52,,,,Away,70,opp_team_player_1,Pass,Pass_Missed,Pass-Forehand,,,-58.17,-36.34,,,,,,,,18955,Velodrome,Orphans
5,1,1,1,17,52,,,,Away,87,opp_team_player_2,Pass,Pass_Missed,Pass-Forehand,,,-64.26,-29.12,,,,,,,,18955,Velodrome,Orphans
5,1,1,1,17,52,,,,Away,84,opp_team_player_3,Pass,Pass_Missed,Pass-Forehand,,,-63.57,-4.34,,,,,,,,18955,Velodrome,Orphans
5,1,1,1,17,52,,,,Away,75,opp_team_player_4,Pass,Pass_Missed,Pass-Forehand,,,-57.22,8.62,,,,,,,,18955,Velodrome,Orphans
6,1,1,1,17,49,,,,Away,5,event_team_player_1,Shot,Shot_Missed,Shot-Wrist,,,-75.74,31.4,-98.96,0.97,-88.78,-35.29,,,,18955,Velodrome,Orphans
6,1,1,1,17,49,,,,Away,11,event_team_player_2,Shot,Shot_Missed,Shot-Wrist,,,-78.35,15.49,,,,,,,,18955,Velodrome,Orphans
6,1,1,1,17,49,,,,Away,84,opp_team_player_1,Shot,Shot_Missed,Shot-Wrist,,,-82,22.62,,,,,,,,18955,Velodrome,Orphans
6,1,1,1,17,49,,,,Away,70,opp_team_player_2,Shot,Shot_Missed,Shot-Wrist,,,-83.83,13.32,,,,,,,,18955,Velodrome,Orphans
7,1,,1,17,49,,,,Away,5,event_team_player_1,Turnover,Turnover_Giveaway,Giveaway-ShotMissed,,,-87.91,-35.47,,,,,,,,18955,Velodrome,Orphans
8,1,,1,17,45,,,,Home,14,event_team_player_1,Pass,Pass_Missed,Pass-Rim/Wrap,,,-87.39,-36.34,-99.13,1.23,-89.48,35.49,,,,18955,Velodrome,Orphans
9,1,,1,14,45,,,,Home,14,event_team_player_1,Turnover,Turnover_Giveaway,Giveaway-PassMissed,,,-88.87,35.05,,,,,,,,18955,Velodrome,Orphans
10,1,,1,17,39,,,,Away,84,opp_team_player_1,Turnover,Turnover_Giveaway,Giveaway-Misplayed,,,-84.52,37.05,,,,,,,,18955,Velodrome,Orphans
10,1,,1,17,39,,,,Away,5,event_team_player_1,Turnover,Turnover_Giveaway,Giveaway-Misplayed,,,-79.65,39.92,,,,,,,,18955,Velodrome,Orphans
11,1,,1,17,39,17,35,,Home,84,event_team_player_1,Possession,,,,,-80.43,38.36,-96.87,24.45,,,,,,18955,Velodrome,Orphans
12,1,,1,17,35,,,,Home,84,event_team_player_1,Pass,Pass_Intercepted,Pass-Forehand,,,-96.35,24.1,-77.91,40.27,,,,,,18955,Velodrome,Orphans
12,1,,1,17,35,,,,Home,70,event_team_player_2,Pass,Pass_Intercepted,Pass-Forehand,,,-65.48,41.23,,,,,,,,18955,Velodrome,Orphans
12,1,,1,17,35,,,,Home,5,opp_team_player_1,Pass,Pass_Intercepted,Pass-Forehand,,,-77.04,39.32,,,,,,,,18955,Velodrome,Orphans
13,1,,1,17,35,,,,Home,84,opp_team_player_1,Turnover,Turnover_Giveaway,Giveaway-PassIntercepted,,,-78.35,39.32,,,,,,,,18955,Velodrome,Orphans
14,2,,1,17,34,17,32,,Away,5,event_team_player_1,Possession,,,,,-72.35,40.1,-60.09,33.23,,,,,,18955,Velodrome,Orphans
14,2,,1,17,34,17,32,,Away,84,opp_team_player_1,Possession,,,,,-73.13,38.45,-61.91,31.4,,,,,,18955,Velodrome,Orphans
15,2,,1,17,32,,,,Away,5,event_team_player_1,Pass,Pass_Intercepted,Pass-Backhand,,,-59.22,32.97,-55.22,25.49,,,,,,18955,Velodrome,Orphans
15,2,,1,17,32,,,,Away,11,event_team_player_2,Pass,Pass_Intercepted,Pass-Backhand,,,-54.7,13.58,,,,,,,,18955,Velodrome,Orphans
15,2,,1,17,32,,,,Away,70,opp_team_player_1,Pass,Pass_Intercepted,Pass-Backhand,,,-53.22,20.45,,,,,,,,18955,Velodrome,Orphans
15,2,,1,17,32,,,,Away,84,opp_team_player_2,Pass,Pass_Intercepted,Pass-Backhand,,,-59.74,27.92,,,,,,,,18955,Velodrome,Orphans
16,2,,1,17,32,,,,Away,5,event_team_player_1,Turnover,Turnover_Giveaway,Giveaway-PassIntercepted,,,-53.22,20.45,,,,,,,,18955,Velodrome,Orphans
17,3,,1,17,32,17,28,,Home,70,event_team_player_1,Possession,,,,,-53.48,19.84,-55.22,-34.08,,,,,,18955,Velodrome,Orphans
18,3,,1,17,28,,,,Home,70,event_team_player_1,Zone_Entry_Exit,Zone_Exit,ZoneExit-Pass,,,-54.61,-34.25,-13.48,-6.68,,,,,,18955,Velodrome,Orphans
18,3,,1,17,28,,,,Home,87,event_team_player_2,Zone_Entry_Exit,Zone_Exit,ZoneExit-Pass,,,-5.3,5.14,,,,,,,,18955,Velodrome,Orphans
18,3,,1,17,28,,,,Home,9,opp_team_player_1,Zone_Entry_Exit,Zone_Exit,ZoneExit-Pass,,,-14.78,-6.08,,,,,,,,18955,Velodrome,Orphans
18,3,,1,17,28,,,,Home,5,opp_team_player_2,Zone_Entry_Exit,Zone_Exit,ZoneExit-Pass,,,-31.48,-23.55,,,,,,,,18955,Velodrome,Orphans
21,4,,1,17,27,17,25,,Away,9,event_team_player_1,Possession,,,,,-13.83,-6.08,-18.78,21.49,,,,,,18955,Velodrome,Orphans
21,4,,1,17,27,17,25,,Away,5,event_team_player_2,Possession,,,,,-6.52,-12.42,-23.74,5.32,,,,,,18955,Velodrome,Orphans
21,4,,1,17,27,17,25,,Away,11,event_team_player_3,Possession,,,,,2.35,-37.64,-23.48,-33.29,,,,,,18955,Velodrome,Orphans
21,4,,1,17,27,17,25,,Away,84,opp_team_player_1,Possession,,,,,-31.13,15.14,-21.39,10.45,,,,,,18955,Velodrome,Orphans
21,4,,1,17,27,17,25,,Away,70,opp_team_player_2,Possession,,,,,-54.52,-33.9,-50.96,-12.08,,,,,,18955,Velodrome,Orphans
21,4,,1,17,27,17,25,,Away,87,opp_team_player_3,Possession,,,,,-0.52,9.49,-10.78,21.32,,,,,,18955,Velodrome,Orphans
21,4,,1,17,27,17,25,,Away,14,opp_team_player_4,Possession,,,,,-5.04,-3.38,-20.17,7.14,,,,,,18955,Velodrome,Orphans
