Period,Team,Player,Type,X,Y,X2,Y2,Distance,Index,PlayLocation
1,Home,70,Shot,-68.96,-22.25,-25.48,30.36,68.25,214,Play
1,Away,15,Shot,-68.96,-22.16,,,29.88,214,Play
1,Home,70,Shot,-25.04,31.05,-8.17,41.84,20.02,215,Play
1,Home,70,Shot,-7.74,41.23,25.13,27.05,35.80,216,Play
1,Away,1,Shot,81.04,4.18,73.57,3.32,7.53,217,Play
1,Away,12,Shot,73.04,10.88,77.48,5.92,6.65,217,Play
1,Home,91,Shot,64.87,10.53,73.57,3.58,11.14,217,Play
1,Home,91,Shot,73.39,3.58,90.00,-1.99,17.52,218,Play
1,Home,70,Shot,0.52,0.01,-21.74,-14.08,26.34,220,Play
1,Home,22,Shot,-21.04,-13.38,,,69.26,220,Play
1,Away,15,Shot,0.61,-0.34,,,88.39,220,Play
1,Home,22,Shot,-21.57,-14.51,-6.61,-39.82,29.39,221,Play
1,Home,22,Shot,-4.70,-41.73,22.17,-26.42,30.92,222,Play
1,Home,24,Shot,20.78,-24.34,,,72.43,222,Play
1,Away,3,Shot,1.39,-34.95,,,94.32,222,Play
1,Away,15,Shot,10.09,-28.34,,,83.85,222,Play
1,Home,24,Shot,21.91,-26.60,42.78,-19.21,22.14,223,Play
1,Home,91,Shot,24.52,18.01,44.43,6.01,23.25,223,Play
1,Away,13,Shot,53.22,-20.34,58.26,-11.12,10.51,223,Play
1,Away,12,Shot,42.78,4.01,60.35,8.53,18.14,223,Play
1,Home,24,Shot,43.30,-19.21,46.09,5.32,24.68,224,Play
1,Home,91,Shot,44.70,5.84,,,44.69,224,Play
1,Away,12,Shot,58.87,7.75,,,31.11,224,Play
1,Away,13,Shot,58.26,-11.47,,,32.81,224,Play
1,Away,12,Shot,59.04,7.66,,,30.92,225,Play
1,Home,91,Shot,57.39,7.14,,,32.41,225,Play
1,Home,70,Shot,42.26,-9.38,,,47.67,226,Play
1,Home,70,Shot,-69.22,-21.82,-32.35,41.49,73.26,227,Play
1,Away,15,Shot,-68.35,-22.51,,,30.55,227,Play
1,Home,70,Shot,-32.61,41.05,-23.83,39.23,8.97,228,Play
1,Away,12,Shot,-2.26,40.18,-99.48,6.79,102.79,229,Play
1,Home,91,Shot,-20.43,27.58,-4.78,38.45,19.06,229,Play
1,Home,84,Shot,-98.87,5.32,-83.48,-16.25,26.49,230,Play
1,Home,84,Shot,-83.65,-16.34,-80.61,-39.64,23.50,231,Play
1,Home,22,Shot,-79.65,-39.21,,,40.31,231,Play
1,Away,15,Shot,-73.22,-14.34,,,21.32,231,Play
1,Home,22,Shot,-80.61,-39.38,-68.43,-7.29,34.32,232,Play
1,Away,15,Shot,-77.22,-33.99,-58.35,-11.29,29.52,232,Play
1,Home,22,Shot,-68.35,-6.77,-5.48,37.92,77.14,233,Play
1,Home,91,Shot,-5.13,40.01,,,92.92,233,Play
1,Away,12,Shot,-2.61,36.97,,,93.97,233,Play
1,Home,91,Shot,-5.13,38.62,-7.22,38.97,2.12,235,Play
1,Away,12,Shot,-7.22,37.75,,,90.07,235,Play
1,Away,6,Shot,-23.83,37.40,,,75.14,235,Play
1,Away,6,Shot,-23.57,36.97,-98.87,0.79,83.54,236,Play
1,Home,91,Shot,-12.17,37.84,,,85.64,236,Play
1,Home,39,Shot,-98.52,-2.08,,,9.75,237,Play
1,Home,70,Shot,-98.35,-5.21,,,10.70,238,Play
1,Home,70,Shot,-98.00,-5.38,-11.04,-9.12,87.04,239,Play
1,Home,24,Shot,-19.74,-25.03,-11.04,-11.82,15.82,239,Play
1,Home,70,Shot,-10.70,-9.21,36.96,-13.21,47.82,241,Play
1,Away,13,Shot,46.35,-12.51,65.74,-6.08,20.43,242,Play
1,Home,24,Shot,24.87,-2.34,52.70,-6.95,28.21,242,Play
1,Away,13,Shot,65.30,-6.68,16.26,-40.86,59.78,243,Play
1,Away,3,Shot,0.35,-37.38,15.65,-41.12,15.75,243,Play
1,Home,24,Shot,53.57,-7.03,61.13,-7.21,7.57,243,Play
1,Away,3,Shot,16.78,-39.29,21.65,-36.60,5.57,245,Play
1,Away,3,Shot,21.91,-36.86,-9.22,-13.99,38.63,246,Play
1,Away,6,Shot,-6.70,2.45,-10.09,-12.68,15.51,246,Play
1,Home,91,Shot,6.00,-6.60,-4.52,-10.42,11.20,246,Play
1,Away,6,Shot,-20.87,-20.60,-51.39,-39.82,36.07,247,Play
1,Away,15,Shot,-22.61,-35.99,-43.65,-40.08,21.44,247,Play
1,Home,22,Shot,-28.17,-24.51,-52.87,-36.42,27.42,247,Play
1,Home,84,Shot,-28.09,6.53,-64.70,1.32,36.98,247,Play
1,Away,6,Shot,-54.70,-40.68,,,53.22,248,Play
1,Home,22,Shot,-55.13,-38.16,,,51.03,248,Play
1,Home,22,Shot,-74.52,-37.29,-93.22,-11.64,31.74,249,Play
1,Home,22,Shot,-93.48,-11.99,-80.96,39.75,53.23,250,Play
