Period,Team,Player,Type,X,Y,X2,Y2,Distance,Index,PlayLocation
1,Home,91,Shot,3.57,-2.68,48.61,-38.86,57.77,67,Play
1,Away,7,Shot,52.43,-40.34,99.39,2.71,63.70,68,Play
1,Away,7,Shot,98.78,2.62,56.09,41.14,57.51,68,Play
1,Away,16,Shot,92.70,5.32,57.04,38.88,48.97,68,Play
1,Home,42,Shot,28.61,23.40,56.43,40.79,32.81,68,Play
1,Home,24,Shot,54.43,-29.03,76.61,-14.77,26.36,68,Play
1,Home,42,Shot,56.09,40.53,66.43,41.05,10.36,70,Play
1,Home,9,Shot,10.87,16.01,27.39,40.27,29.35,70,Play
1,Away,13,Shot,54.35,39.49,67.04,38.88,12.71,70,Play
1,Away,14,Shot,56.35,18.45,60.43,34.53,16.60,70,Play
1,Away,16,Shot,29.30,39.66,41.22,40.18,11.92,70,Play
1,Home,42,Shot,62.43,40.88,27.83,39.92,34.62,71,Play
1,Home,9,Shot,28.61,40.01,,,72.44,71,Play
1,Away,16,Shot,41.74,40.18,,,62.04,71,Play
1,Away,13,Shot,65.83,38.97,,,45.34,71,Play
1,Away,14,Shot,60.61,36.36,,,46.13,71,Play
1,Home,9,Shot,29.39,40.36,53.65,40.97,24.27,72,Play
1,Home,42,Shot,51.39,39.75,,,54.72,72,Play
1,Away,13,Shot,61.30,39.84,,,48.52,72,Play
1,Away,14,Shot,56.35,38.62,,,50.57,72,Play
1,Away,16,Shot,33.22,41.66,,,69.62,72,Play
1,Home,42,Shot,46.26,40.18,50.78,24.53,16.29,73,Play
1,Away,13,Shot,53.30,35.75,84.61,6.18,43.06,73,Play
1,Away,14,Shot,54.17,37.92,52.61,27.40,10.64,73,Play
1,Away,16,Shot,34.17,40.27,41.91,37.14,8.35,73,Play
1,Away,12,Shot,51.57,23.14,18.61,9.66,35.61,74,Play
1,Home,84,Shot,17.91,9.40,2.35,-8.51,23.73,75,Play
1,Home,84,Shot,2.52,-8.77,-16.96,18.36,33.40,76,Play
1,Home,9,Shot,-3.13,24.79,-16.43,19.32,14.39,76,Location
1,Home,9,Shot,-16.96,18.79,-53.48,1.14,40.56,77,Location
1,Home,9,Shot,-52.61,0.45,0.09,7.84,53.21,78,Location
1,Home,42,Shot,0.26,8.18,,,89.12,78,Location
1,Away,12,Shot,9.91,12.01,,,79.99,78,Location
1,Away,3,Shot,-39.22,-2.34,,,49.84,78,Location
1,Away,16,Shot,-6.17,15.84,,,84.33,78,Location
1,Home,9,Shot,-16.00,-1.55,27.39,39.58,59.79,79,Location
1,Away,15,Shot,16.61,-0.08,29.04,38.10,40.15,79,Location
1,Home,9,Shot,27.57,39.92,,,73.27,81,Location
1,Away,15,Shot,29.48,38.45,,,70.86,81,Location
1,Away,15,Shot,30.87,39.32,66.09,23.84,38.47,82,Location
1,Away,12,Shot,66.78,23.23,29.83,38.97,40.17,83,Location
1,Away,6,Shot,30.35,39.40,13.74,40.27,16.63,84,Location
1,Home,9,Shot,35.13,33.49,19.13,36.01,16.20,84,Location
1,Away,6,Shot,12.17,39.40,-89.39,33.84,101.72,85,Location
1,Home,91,Shot,31.74,19.32,14.96,36.97,24.36,84,Location
1,Home,84,Shot,-88.26,33.49,-93.65,-30.77,64.49,86,Location
1,Home,70,Shot,-92.09,-31.38,,,31.53,86,Location
1,Away,3,Shot,-82.52,9.32,-90.78,4.36,9.63,86,Location
1,Home,70,Shot,-91.65,-32.51,-23.48,-19.99,69.31,87,Location
1,Home,24,Shot,-34.43,-23.47,-4.43,-16.60,30.78,87,Location
1,Home,91,Shot,-52.26,16.88,-25.04,-4.42,34.56,87,Location
1,Away,15,Shot,-22.26,-16.08,-52.17,-24.34,31.03,87,Location
