event_index,Team,Player,X,Y,X2,Y2,X3,Y3,Distance,game_id,home_team,away_team
93,e,40,42.46,40.76,39.00,37.45,,,4.79,18977,Velodrome,HollowBrook
93,e,11,29.00,19.22,,,,,63.00,18977,Velodrome,HollowBrook
93,o,14,38.08,38.99,,,,,64.14,18977,Velodrome,HollowBrook
94,e,27,55.77,16.22,70.31,2.45,,,20.02,18977,Velodrome,HollowBrook
95,e,27,70.15,2.07,42.92,-41.47,,,51.35,18977,Velodrome,HollowBrook
95,e,19,25.15,-27.70,43.31,-40.78,,,22.37,18977,Velodrome,HollowBrook
95,o,61,53.31,9.99,64.54,-3.24,,,17.35,18977,Velodrome,HollowBrook
96,e,19,43.69,-40.78,40.00,-34.93,,,6.91,18977,Velodrome,HollowBrook
96,o,70,23.62,-23.86,37.31,-32.70,,,16.30,18977,Velodrome,HollowBrook
97,o,70,38.77,-33.47,38.77,-33.47,,,0.00,18977,Velodrome,HollowBrook
97,e,19,38.69,-32.78,40.38,-31.47,,,2.14,18977,Velodrome,HollowBrook
98,e,70,80.08,34.30,91.69,3.68,,,32.74,18977,Velodrome,HollowBrook
99,e,70,88.92,4.14,,,,,4.14,18977,Velodrome,HollowBrook
99,o,99,88.15,2.84,,,,,2.96,18977,Velodrome,HollowBrook
100,e,19,89.00,32.38,24.08,34.30,,,64.95,18977,Velodrome,HollowBrook
100,o,61,73.77,2.07,25.23,29.91,,,55.96,18977,Velodrome,HollowBrook
101,e,19,24.08,34.14,-25.08,39.14,,,49.41,18977,Velodrome,HollowBrook
101,o,70,23.46,29.68,-23.62,37.84,,,47.78,18977,Velodrome,HollowBrook
102,e,19,-25.15,38.84,-53.38,27.22,,,30.53,18977,Velodrome,HollowBrook
102,e,11,-24.77,-10.01,-60.77,-8.86,,,36.02,18977,Velodrome,HollowBrook
102,o,9,-51.92,33.84,-56.85,27.38,,,8.12,18977,Velodrome,HollowBrook
102,o,84,-42.85,7.14,-66.31,-6.55,,,27.16,18977,Velodrome,HollowBrook
103,o,9,-56.77,25.45,,,,,41.07,18977,Velodrome,HollowBrook
103,e,19,-53.38,25.99,-98.54,5.14,,,49.73,18977,Velodrome,HollowBrook
104,e,19,-98.23,4.45,-98.69,-17.93,,,22.39,18977,Velodrome,HollowBrook
104,o,84,-95.08,3.14,-96.23,-15.63,,,18.80,18977,Velodrome,HollowBrook
105,o,84,-96.23,-13.16,,,,,15.02,18977,Velodrome,HollowBrook
105,e,19,-98.31,-18.32,-88.92,35.14,,,54.28,18977,Velodrome,HollowBrook
105,e,11,-88.46,32.68,,,,,32.69,18977,Velodrome,HollowBrook
106,e,11,-88.00,36.61,,,,,36.62,18977,Velodrome,HollowBrook
107,e,14,-88.38,35.45,-27.15,40.22,,,61.42,18977,Velodrome,HollowBrook
107,o,8,-26.08,40.07,,,,,74.60,18977,Velodrome,HollowBrook
108,e,8,-25.38,39.84,-59.85,17.53,,,41.05,18977,Velodrome,HollowBrook
108,o,9,-61.08,17.68,-59.31,16.14,,,2.34,18977,Velodrome,HollowBrook
109,e,19,-91.85,-27.32,-68.69,-28.55,,,23.19,18977,Velodrome,HollowBrook
110,e,19,-68.54,-28.93,-88.77,-4.01,,,32.10,18977,Velodrome,HollowBrook
110,o,84,-74.00,-21.16,,,,,25.94,18977,Velodrome,HollowBrook
110,o,39,-88.08,-3.24,,,,,3.37,18977,Velodrome,HollowBrook
111,e,39,-88.31,-3.39,,,,,3.46,18977,Velodrome,HollowBrook
111,o,19,-68.69,-28.78,-88.31,-3.39,,,32.08,18977,Velodrome,HollowBrook
112,e,39,-88.92,-4.09,-95.15,-20.01,,,17.10,18977,Velodrome,HollowBrook
113,e,19,-95.23,-19.78,-90.00,-26.70,,,8.68,18977,Velodrome,HollowBrook
113,o,84,-93.77,-16.63,-90.00,-22.78,,,7.22,18977,Velodrome,HollowBrook
114,e,19,-89.69,-26.63,-77.92,-6.32,,,23.47,18977,Velodrome,HollowBrook
114,o,9,-78.31,-5.70,,,,,12.12,18977,Velodrome,HollowBrook
114,o,84,-89.15,-23.16,,,,,23.16,18977,Velodrome,HollowBrook
