event_index,X,Y
768,19.00,-4.86
769,19.23,-4.95
777,12.21,-5.02
778,12.44,-5.05
780,31.75,-19.87
781,31.95,-19.64
800,24.51,-18.56
801,24.61,-18.50
837,28.74,-20.00
838,28.70,-20.00
848,-31.30,-16.59
849,-31.07,-16.69
861,5.75,-9.87
862,5.85,-9.91
870,-34.77,9.08
871,-34.84,9.34
885,-34.80,-5.77
886,-34.93,-5.51
933,-19.75,-4.82
934,-19.85,-4.76
938,31.33,-0.04
939,31.49,-0.00
943,-35.10,-21.41
944,-35.03,-21.48
991,8.48,-21.15
992,8.54,-21.15
1036,-19.03,-20.92
1037,-18.93,-20.86
1043,-24.61,-14.50
1044,-24.84,-14.43
1059,19.56,18.45
1060,19.59,18.52
1073,30.25,-17.51
1074,30.41,-17.55
