StatID,Name,Category,Level,Description,FormulaConcept,PrimaryInputs,FilterContext,ComputableNow,ExtraDataNeeded,LLMNotes
BS01,Goals,Basic,player_game,Number of non-empty-net goals a player is credited with in a game.,"Count of events where event_type = 'shot' AND event_detail_1 IN ('goal','pp_goal','sh_goal','ev_goal', etc.)
AND event_successful = 1 AND event_player_1 = player_id.","fact_player_events, dim_event_types",Usually all strengths; can also be filtered to EV (5v5) only.,Yes,,"Treat as a simple count measure. When asked for season totals, sum over games. For rate stats, combine with
TOI (e.g., Goals/60)."
BS02,Assists (Primary + Secondary),Basic,player_game,"Total number of assists a player records in a game, both primary and secondary.","Count of events flagged as goals where assist_1_id = player_id OR assist_2_id = player_id, wired via
play_details_1/play_details_2 or explicit assist columns, depending on actual implementation.","fact_player_events (goal rows), dim_players",All strengths by default; can be limited to EV or special teams.,Yes,,"Make sure the model understands that a player can get at most 2 assists per goal event (primary + secondary).
If schemas differ, rely on whatever columns are explicitly marked as assists."
BS03,Points,Basic,player_game,Sum of goals and assists a player records in a game.,Points = Goals + Assists.,"fact_player_boxscore[goals, assists]","Same context as the goals/assists being referenced (e.g., all strengths, EV).",Yes,,"Treat this as a composite stat and do not double-count goals. If computing from events instead of boxscore,
first compute BS01 and BS02, then add."
BS04,Shots on Goal,Basic,player_game,"Number of shots on goal by a player (goals + saved shots, excluding misses and blocks).","Count events where event_type IN ('shot','tip', etc.) AND event_detail_1 IN
('on_goal','goal','rebound_on_goal') AND event_player_1 = player_id.","fact_player_events, dim_event_types",Usually 5v5 or all strengths; context should be explicit in generated queries.,Yes,,"Different data sources classify shot types slightly differently. When unsure, prefer a curated mapping in
dim_event_types that explicitly flags 'is_shot_on_goal = 1'."
BS05,Shot Attempts (Corsi Events),On-Ice,player_onice_game,"All shot attempts (shots on goal, misses, and blocks) for the player's team while the player is on
the ice.","For each event that is a shot attempt (shot_on_goal, missed_shot, blocked_shot), flag CF if the event_team =
player's team AND the player is on the ice according to shifts_long or the on-ice join; then count these.","fact_onice_events, fact_events_long, fact_shifts_long",Typically restricted to 5v5 non-empty-net situations for standard Corsi.,Yes,,"This is the core 'Corsi For' input. The model should remember this is an on-ice stat, not purely 'player did
the shot'. It reflects team shot volume with that player."
BS06,Unblocked Shot Attempts (Fenwick Events),On-Ice,player_onice_game,"All unblocked shot attempts (shots on goal and misses, but excluding blocks) for the player's team
while the player is on the ice.","Same as Corsi, but only events where event_detail_1 indicates 'on_goal' or 'missed', excluding 'blocked'.
Count these when event_team = player's team and the player is on the ice.","fact_onice_events, fact_events_long, fact_shifts_long",Typically 5v5 non-empty net for standard Fenwick.,Yes,,"Fenwick is 'Corsi without blocks'. Explain this clearly when asked why it might differ from CF. Use a curated
'is_fenwick' flag in dim_event_types when possible."
BS07,Plus-Minus,Basic,player_game,"Traditional plus-minus: goals for minus goals against at even strength while the player is on the
ice.","For each non-empty-net even-strength goal, +1 when the player's team scores and the player is on the ice; -1
when the opponent scores and the player is on the ice. Sum.","fact_onice_goal_events, fact_shifts_long, dim_event_types","Typically only EV (5v5) and maybe 4v4, excluding PP/PK and EN goals.",Yes,,"Plus-minus is noisy and heavily team/context dependent. When the user asks for 'better' impact measures,
propose xGF-based or Corsi-based metrics instead."
BS08,Time on Ice (Seconds),Basic,player_game,"Total time a player spends on the ice in a game, excluding stoppage time if available.","Sum of logical shift durations for the player from player_shifts table. If 'stoppage_time' per shift segment
is available, subtract stoppage segments from total.","fact_shifts_long, fact_player_shifts","Can be split by strength, period, or game state using filters on strength/situation fields.",Yes,,"For consistency, TOI should be based on logical shifts, not raw segment rows. The LLM should prefer
fact_player_shifts or fact_player_toi tables instead of recomputing from raw timestamps unless necessary."
BS09,Time on Ice (Minutes),Basic,player_game,TOI expressed in minutes instead of seconds.,TOI_minutes = TOI_seconds / 60.,fact_player_boxscore[toi_seconds],"Same context as TOI_seconds (e.g., all strengths, EV).",Yes,,"Display this with one decimal (e.g., 19.3). Make sure to handle rounding consistently."
BS10,Points per 60,Rate,player_game,Rate of points per 60 minutes of ice time in a game or range of games.,"Points60 = (Goals + Assists) * 3600 / TOI_seconds, provided TOI_seconds > 0.","fact_player_boxscore[goals, assists, toi_seconds]","Usually at 5v5 or all strengths; specify explicitly. DO NOT compute if TOI < a small threshold (e.g., 60s) without warning.",Yes,,"When TOI is very low, this stat explodes. If asked to rank players, suggest including a minimum TOI filter,
e.g., >= 100 minutes for season comparisons."
BS11,Corsi For %,On-Ice,player_onice_game,Percentage of total on-ice Corsi events that are for the player's team.,"CF% = CF / (CF + CA), where CF = Corsi For, CA = Corsi Against. Only include events where the player is on the
ice.","fact_player_onice_shot_attempts[cf, ca]",Typically 5v5 score/tied adjustment may be applied in advanced versions.,Yes,,"If CF + CA = 0 (no attempts while on ice), set CF% to NULL or leave blank. The LLM should explicitly check for
division-by-zero edge cases."
BS12,Fenwick For %,On-Ice,player_onice_game,"Percentage of unblocked shot attempts (Fenwick) that are for the player's team while the player is
on the ice.","FF% = FF / (FF + FA). Definitions mirror CF%, but for unblocked attempts only.","fact_player_onice_shot_attempts[ff, fa]","Same filters as CF (5v5 non-EN), unless otherwise specified.",Yes,,"Fenwick% behaves similarly to CF%. The model should treat them as cousins and avoid mixing inputs (e.g., do
not use CF as numerator when computing FF%)."
