event_detail_id,event_detail,event_type,category,is_shot_on_goal,is_goal,is_miss,is_block,is_giveaway,is_takeaway,is_controlled,is_success,danger_potential,description
1,Faceoff,Faceoff,faceoff,False,False,False,False,False,False,False,False,,Standard faceoff
2,Faceoff_AfterGoal,Faceoff,faceoff,False,False,False,False,False,False,False,False,,After goal
3,Faceoff_AfterPenalty,Faceoff,faceoff,False,False,False,False,False,False,False,False,,After penalty
4,Faceoff_AfterStoppage,Faceoff,faceoff,False,False,False,False,False,False,False,False,,After stoppage
5,Faceoff_GameStart,Faceoff,faceoff,False,False,False,False,False,False,False,False,,Opening faceoff
6,Faceoff_PeriodStart,Faceoff,faceoff,False,False,False,False,False,False,False,False,,Period start
7,Goal_PenaltyShot,Goal,goal,True,True,False,False,False,False,False,True,high,Penalty shot goal
8,Goal_Shootout,Goal,goal,True,True,False,False,False,False,False,True,high,Shootout goal
9,Goal_Scored,Goal,goal,True,True,False,False,False,False,False,True,high,Regular goal
10,LoosePuck_Battle,LoosePuck,possession,False,False,False,False,False,False,False,False,,Loose puck battle
11,LoosePuck_Forecheck,LoosePuck,possession,False,False,False,False,False,False,False,False,,From forecheck
12,Pass_Completed,Pass,completed_pass,False,False,False,False,False,False,True,True,,Completed pass
13,Pass_Deflected,Pass,failed_pass,False,False,False,False,True,False,False,False,,Deflected pass
14,Pass_Intercepted,Pass,failed_pass,False,False,False,False,True,False,False,False,,Intercepted
15,Pass_Missed,Pass,failed_pass,False,False,False,False,True,False,False,False,,Missed pass
16,Penalty_Major,Penalty,penalty,False,False,False,False,False,False,False,False,,Major penalty
17,Penalty_Minor,Penalty,penalty,False,False,False,False,False,False,False,False,,Minor penalty
18,Penalty_Offsetting,Penalty,penalty,False,False,False,False,False,False,False,False,,Offsetting
19,Play_Defensive,Play,play,False,False,False,False,False,False,False,False,,Defensive play
20,Play_Offensive,Play,play,False,False,False,False,False,False,False,False,,Offensive play
21,Breakaway,Possession,possession,False,False,False,False,False,False,True,False,high,Breakaway
22,Regroup,Possession,possession,False,False,False,False,False,False,True,False,,Regroup
23,Rebound_TeamRecovered,Possession,rebound,False,False,False,False,False,False,True,True,,Team rebound
24,PuckRecovery,Possession,recovery,False,False,False,False,False,True,True,True,,Recovery
25,PuckRetrieval,Possession,recovery,False,False,False,False,False,True,True,True,,Retrieval
26,Rebound_OppTeamRecovered,Rebound,rebound,False,False,False,False,True,False,False,False,,Opp rebound
27,Rebound_ShotGenerated,Rebound,rebound,False,False,False,False,False,False,True,True,high,Shot off rebound
28,Save_Freeze,Save,save,False,False,False,False,False,False,False,True,,Goalie freeze
29,Save_Played,Save,save,False,False,False,False,False,False,False,True,,Goalie played
30,Save_Rebound,Save,save,False,False,False,False,False,False,False,True,,Save rebound
31,PenaltyShot_Missed,Shot,missed_shot,False,False,True,False,False,False,False,False,high,PS missed
32,Shootout_Missed,Shot,missed_shot,False,False,True,False,False,False,False,False,high,SO missed
33,Shot_Blocked,Shot,blocked_shot,False,False,False,True,False,False,False,False,medium,Blocked
34,Shot_BlockedSameTeam,Shot,blocked_shot,False,False,False,True,False,False,False,False,,Own team block
35,Shot_HitPost,Shot,missed_shot,False,False,True,False,False,False,False,False,high,Hit post
36,Shot_Missed,Shot,missed_shot,False,False,True,False,False,False,False,False,low,Missed net
37,PenaltyShot_OnNetSaved,Shot,shot_on_goal,True,False,False,False,False,False,False,False,high,PS saved
38,Shootout_OnNetSaved,Shot,shot_on_goal,True,False,False,False,False,False,False,False,high,SO saved
39,Shot_Goal,Shot,shot_on_goal,True,True,False,False,False,False,False,True,high,Goal
40,Shot_OnNetSaved,Shot,shot_on_goal,True,False,False,False,False,False,False,False,medium,Saved
41,Stoppage_Freeze,Stoppage,stoppage,False,False,False,False,False,False,False,False,,Freeze
42,Stoppage_GameEnd,Stoppage,stoppage,False,False,False,False,False,False,False,False,,Game end
43,Stoppage_Goal,Stoppage,stoppage,False,False,False,False,False,False,False,False,,Goal
44,Stoppage_Other,Stoppage,stoppage,False,False,False,False,False,False,False,False,,Other
45,Stoppage_OutofPlay,Stoppage,stoppage,False,False,False,False,False,False,False,False,,Out of play
46,Stoppage_Penalty,Stoppage,stoppage,False,False,False,False,False,False,False,False,,Penalty
47,Stoppage_Period,Stoppage,stoppage,False,False,False,False,False,False,False,False,,Period
48,Stoppage_PeriodEnd,Stoppage,stoppage,False,False,False,False,False,False,False,False,,Period end
49,Stoppage_Play,Stoppage,stoppage,False,False,False,False,False,False,False,False,,Play
50,Turnover_Giveaway,Turnover,giveaway,False,False,False,False,True,False,False,False,,Giveaway
51,Turnover_Takeaway,Turnover,takeaway,False,False,False,False,False,True,False,True,,Takeaway
52,Zone_Entryfailed,Zone_Entry_Exit,zone_fail,False,False,False,False,True,False,False,False,,Failed entry
53,Zone_ExitFailed,Zone_Entry_Exit,zone_fail,False,False,False,False,True,False,False,False,,Failed exit
54,Zone_KeepinFailed,Zone_Entry_Exit,zone_fail,False,False,False,False,True,False,False,False,,Failed keepin
55,Zone_Entry,Zone_Entry_Exit,zone_success,False,False,False,False,False,False,True,True,,Entry
56,Zone_Exit,Zone_Entry_Exit,zone_success,False,False,False,False,False,False,True,True,,Exit
57,Zone_Keepin,Zone_Entry_Exit,zone_success,False,False,False,False,False,False,True,True,,Keepin
