event_type_id,event_type,event_category,description,is_shot,is_pass,is_possession,is_turnover,is_penalty,is_faceoff,is_zone_play,is_stoppage,is_save,is_hit,is_rebound,credits_event_player_1,credits_opp_player_1,affects_toi_playing,sort_order
1,Shot,Offense,Any shot attempt,True,False,True,False,False,False,False,False,False,False,False,True,True,True,1
2,Pass,Offense,Pass attempt,False,True,True,False,False,False,False,False,False,False,False,True,False,True,2
3,Turnover,Defense,Change of possession,False,False,False,True,False,False,False,False,False,False,False,True,True,True,3
4,Faceoff,Neutral,Faceoff event,False,False,False,False,False,True,False,False,False,False,False,True,True,True,4
5,Zone_Entry_Exit,Transition,Zone transition,False,False,True,False,False,False,True,False,False,False,False,True,True,True,5
6,Save,Goaltending,Goalie save,False,False,False,False,False,False,False,False,True,False,False,True,False,True,6
7,Possession,Neutral,Puck possession,False,False,True,False,False,False,False,False,False,False,False,True,False,True,7
8,Goal,Offense,Goal scored,True,False,False,False,False,False,False,False,False,False,False,True,True,True,8
9,Stoppage,Neutral,Play stoppage,False,False,False,False,False,False,False,True,False,False,False,False,False,False,9
10,DeadIce,Stop,Dead ice time,False,False,False,False,False,False,False,True,False,False,False,False,False,False,10
11,Play,Neutral,General play,False,False,False,False,False,False,False,False,False,False,False,True,True,True,11
12,Hit,Defense,Body check,False,False,False,False,False,False,False,False,False,True,False,True,True,True,12
13,Rebound,Neutral,Rebound event,False,False,True,False,False,False,False,False,False,False,True,True,False,True,13
14,Penalty,Discipline,Penalty called,False,False,False,False,True,False,False,False,False,False,False,True,False,False,14
15,Timeout,Stop,Team timeout,False,False,False,False,False,False,False,True,False,False,False,False,False,False,15
16,Intermission,Stop,Period break,False,False,False,False,False,False,False,True,False,False,False,False,False,False,16
17,Clockstop,Stop,Clock stop,False,False,False,False,False,False,False,True,False,False,False,False,False,False,17
18,GameStart,Period,Game start,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18
19,GameEnd,Period,Game end,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19
20,LoosePuck,Neutral,Loose puck,False,False,True,False,False,False,False,False,False,False,False,True,True,True,20
