play_detail_id,play_detail,play_category,play_type,is_offensive,is_defensive,is_transition,is_recovery,credits_player,description
1,AssistPrimary,scoring,offensive,True,False,False,False,True,Primary assist on goal
2,AssistSecondary,scoring,offensive,True,False,False,False,True,Secondary assist on goal
3,AssistTertiary,scoring,offensive,True,False,False,False,True,Third assist (beer league)
4,AttemptedBlockedShot,defense,defensive,False,True,False,False,True,Attempted shot block
5,AttemptedBreakOutClear,transition,transition,False,False,True,False,True,Attempted breakout clear
6,AttemptedBreakOutPass,transition,transition,False,False,True,False,True,Attempted breakout pass
7,AttemptedBreakOutRush,transition,transition,False,False,True,False,True,Attempted breakout rush
8,AttemptedEntryDumpIn,transition,offensive,True,False,True,False,True,Attempted dump-in entry
9,AttemptedEntryPass,transition,offensive,True,False,True,False,True,Attempted pass entry
10,AttemptedEntryRush,transition,offensive,True,False,True,False,True,Attempted rush entry
11,AttemptedKeepin,transition,offensive,True,False,False,False,True,Attempted zone keepin
12,AttemptedPass,offense,offensive,True,False,False,False,True,Attempted pass
13,AttemptedShot,shot,offensive,True,False,False,False,True,Attempted shot
14,AttemptedTipDeflection,shot,offensive,True,False,False,False,True,Attempted tip/deflection
15,Backcheck,defense,defensive,False,True,False,False,True,Backcheck effort
16,BeatDeke,offense,offensive,True,False,False,False,True,Beat defender with deke
17,BeatFake,offense,offensive,True,False,False,False,True,Beat defender with fake
18,BeatMiddle,offense,offensive,True,False,False,False,True,Beat defender to middle
19,BeatSpeed,offense,offensive,True,False,False,False,True,Beat defender with speed
20,BeatWide,offense,offensive,True,False,False,False,True,Beat defender wide
21,BlockedShot,defense,defensive,False,True,False,False,True,Blocked opponent shot
22,BoardBattleLoss,recovery,neutral,False,False,False,True,True,Lost board battle
23,BoardBattleWin,recovery,neutral,True,False,False,True,True,Won board battle
24,BoxOut,defense,defensive,False,True,False,False,True,Boxed out opponent
25,Breakout,transition,transition,False,False,True,False,True,Breakout play initiated
26,CededZoneEntry,defense,defensive,False,True,False,False,True,Allowed zone entry
27,CededZoneExit,defense,defensive,False,True,False,False,True,Allowed zone exit
28,Chip,offense,offensive,True,False,False,False,True,Chip play
29,ClearingAttempt,defense,defensive,False,True,False,False,True,Clearing attempt
30,Contain,defense,defensive,False,True,False,False,True,Contained opponent
31,CrashNet,offense,offensive,True,False,False,False,True,Crashed the net
32,CutBack,offense,offensive,True,False,False,False,True,Cut back move
33,Cycle,offense,offensive,True,False,False,False,True,Cycle play
34,DeflectedShot,defense,defensive,False,True,False,False,True,Deflected shot
35,Deke,offense,offensive,True,False,False,False,True,Deke attempt
36,Delay,offense,offensive,True,False,False,False,True,Delay play
37,DelayedOffside,neutral,neutral,False,False,False,False,False,Delayed offside
38,DriveCorner,drive,offensive,True,False,False,False,True,Drive to corner
39,DriveMiddle,drive,offensive,True,False,False,False,True,Drive to middle
40,DriveNetMiddle,drive,offensive,True,False,False,False,True,Drive to net front center
41,DriveNetWide,drive,offensive,True,False,False,False,True,Drive to net front wide
42,DriveWide,drive,offensive,True,False,False,False,True,Drive wide
43,DumpRimInZone,offense,offensive,True,False,False,False,True,Dump/rim in zone
44,DumpAndChase,offense,offensive,True,False,False,False,True,Dump and chase play
45,DumpChase,offense,offensive,True,False,False,False,True,Dump chase attempt
46,DumpInAttempt,offense,offensive,True,False,False,False,True,Dump in attempt
47,EndToEndRush,offense,offensive,True,False,True,False,True,End to end rush
48,FakeShot,offense,offensive,True,False,False,False,True,Fake shot
49,ForcedDumpinClear,defense,defensive,False,True,False,False,True,Forced dump/clear
50,ForcedLostPossession,defense,defensive,False,True,False,False,True,Forced turnover
51,ForcedMissedPass,defense,defensive,False,True,False,False,True,Forced missed pass
52,ForcedMissedShot,defense,defensive,False,True,False,False,True,Forced missed shot
53,ForcedTurnover,defense,defensive,False,True,False,False,True,Forced turnover
54,ForceWide,defense,defensive,False,True,False,False,True,Forced opponent wide
55,ForcedOutside,defense,defensive,False,True,False,False,True,Forced opponent outside
56,Forecheck,offense,offensive,True,False,False,False,True,Forecheck pressure
57,FrontOfNet,offense,offensive,True,False,False,False,True,Net front presence
58,GapControl,defense,defensive,False,True,False,False,True,Good gap control
59,GiveAndGo,offense,offensive,True,False,False,False,True,Give and go play
60,InShotPassLane,defense,defensive,False,True,False,False,True,In passing/shot lane
61,LoosePuckBattleLost,recovery,neutral,False,False,False,True,True,Lost loose puck battle
62,LoosePuckBattleWon,recovery,neutral,True,False,False,True,True,Won loose puck battle
63,LostPuck,offense,offensive,False,False,False,False,True,Lost puck possession
64,ManOnMan,defense,defensive,False,True,False,False,True,Man-on-man coverage
65,MisplayedPuck,offense,offensive,False,False,False,False,True,Misplayed puck
66,OneTimer,offense,offensive,True,False,False,False,True,One-timer shot
67,OpenIceDeke,offense,offensive,True,False,False,False,True,Open ice deke
68,Other,other,neutral,False,False,False,False,False,Other play
69,PassDeflected,defense,defensive,False,True,False,False,True,Deflected pass
70,PassForTip,offense,offensive,True,False,False,False,True,Pass for tip/deflection
71,PassIntercepted,defense,defensive,False,True,False,False,True,Intercepted pass
72,PenaltyKillClear,defense,defensive,False,True,False,False,True,PK clearing play
73,PokeCheck,defense,defensive,False,True,False,False,True,Poke check
74,Pressure,defense,defensive,False,True,False,False,True,Applied pressure
75,PuckRecoveryAttemptedClear,recovery,neutral,False,False,False,True,True,Recovery from attempted clear
76,PuckRecoveryClear,recovery,neutral,False,False,False,True,True,Recovery from clear
77,PuckRecoveryDumpIn,recovery,neutral,False,False,False,True,True,Recovery from dump-in
78,PuckRecoveryFaceoff,recovery,neutral,False,False,False,True,True,Recovery from faceoff
79,PuckRecoveryLoosePuckBattle,recovery,neutral,False,False,False,True,True,Recovery from battle
80,PuckRecoveryOther,recovery,neutral,False,False,False,True,True,Other recovery
81,PuckRecoveryPass,recovery,neutral,False,False,False,True,True,Recovery from pass
82,PuckRecoveryRebound,recovery,neutral,False,False,False,True,True,Recovery from rebound
83,PuckRecoveryShot,recovery,neutral,False,False,False,True,True,Recovery from shot
84,PuckRecoveryTurnover,recovery,neutral,False,False,False,True,True,Recovery from turnover
85,PuckRetrieval,recovery,neutral,False,False,False,True,True,Puck retrieval
86,QuickUp,offense,offensive,True,False,True,False,True,Quick up play
87,ReceiverMissed,offense,offensive,False,False,False,False,True,Receiver missed pass
88,Regroup,offense,offensive,True,False,True,False,True,Regroup play
89,RegroupClear,offense,offensive,True,False,True,False,True,Regroup with clear
90,RegroupDumpin,offense,offensive,True,False,True,False,True,Regroup with dump
91,Reverse,offense,offensive,True,False,False,False,True,Reverse play
92,Screen,offense,offensive,True,False,False,False,True,Goalie screen
93,SecondTouch,offense,offensive,True,False,False,False,True,Second touch play
94,SeparateFromPuck,defense,defensive,False,True,False,False,True,Separated man from puck
95,Speed,offense,offensive,True,False,False,False,True,Speed play
96,StickCheck,defense,defensive,False,True,False,False,True,Stick check
97,StickLift,defense,defensive,False,True,False,False,True,Stick lift
98,StoppedDeke,defense,defensive,False,True,False,False,True,Stopped deke attempt
99,Surf,defense,defensive,False,True,False,False,True,Surfing coverage
100,TakeAway,defense,defensive,False,True,False,False,True,Took puck away
101,Tip,offense,offensive,True,False,False,False,True,Tip attempt
102,Tracker,defense,defensive,False,True,False,False,True,Tracking opponent
103,Wheel,offense,offensive,True,False,False,False,True,Wheel play
104,Zone,defense,defensive,False,True,False,False,False,Zone coverage
105,ZoneEntryDenial,defense,defensive,False,True,False,False,True,Denied zone entry
106,ZoneExitDenial,defense,defensive,False,True,False,False,True,Denied zone exit
107,ZoneKeepin,offense,offensive,True,False,False,False,True,Kept puck in zone
108,Angling,defense,defensive,False,True,False,False,True,Angled opponent
109,BodyPosition,defense,defensive,False,True,False,False,True,Good body position
110,Coverage,defense,defensive,False,True,False,False,True,Proper coverage
111,BlownCoverage,defense,defensive,False,True,False,False,True,Blown coverage assignment
112,RushPrevented,defense,defensive,False,True,False,False,True,Prevented rush
113,BreakawayPrevented,defense,defensive,False,True,False,False,True,Prevented breakaway
114,OddManPrevented,defense,defensive,False,True,False,False,True,Prevented odd-man rush
115,SupportPlay,offense,offensive,True,False,False,False,True,Support play position
116,ProtectPuck,offense,offensive,True,False,False,False,True,Protected puck
117,NetPresence,offense,offensive,True,False,False,False,True,Net front presence
118,Pinch,defense,offensive,True,True,False,False,True,Defensive pinch
119,PinchSuccess,defense,offensive,True,True,False,False,True,Successful pinch
120,PinchBurned,defense,defensive,False,True,False,False,True,Pinch led to chance against
