box_id,box_name,zone,x_min,x_max,y_min,y_max,center_x,center_y,description
O01,OZ Slot Left,OZ,-10.0,0.0,69.0,89.0,-5.0,79.0,Left side slot
O02,OZ Slot Right,OZ,0.0,10.0,69.0,89.0,5.0,79.0,Right side slot
O03,OZ Left Circle,OZ,-30.0,-10.0,54.0,69.0,-20.0,61.5,Left circle
O04,OZ Right Circle,OZ,10.0,30.0,54.0,69.0,20.0,61.5,Right circle
O05,OZ Left Point,OZ,-42.5,-20.0,25.0,54.0,-31.25,39.5,Left point
O06,OZ Right Point,OZ,20.0,42.5,25.0,54.0,31.25,39.5,Right point
O07,OZ Center High,OZ,-10.0,10.0,54.0,69.0,0.0,61.5,High slot center
O08,OZ Behind Net,OZ,-10.0,10.0,89.0,100.0,0.0,94.5,Behind net
N01,NZ Left,NZ,-42.5,-15.0,-25.0,25.0,-28.75,0.0,Neutral left
N02,NZ Center,NZ,-15.0,15.0,-25.0,25.0,0.0,0.0,Neutral center
N03,NZ Right,NZ,15.0,42.5,-25.0,25.0,28.75,0.0,Neutral right
D01,DZ Slot Left,DZ,-10.0,0.0,-89.0,-69.0,-5.0,-79.0,Defensive slot left
D02,DZ Slot Right,DZ,0.0,10.0,-89.0,-69.0,5.0,-79.0,Defensive slot right
D03,DZ Left Circle,DZ,-30.0,-10.0,-69.0,-54.0,-20.0,-61.5,Defensive left circle
D04,DZ Right Circle,DZ,10.0,30.0,-69.0,-54.0,20.0,-61.5,Defensive right circle
D05,DZ Left Point,DZ,-42.5,-20.0,-54.0,-25.0,-31.25,-39.5,Defensive left point
D06,DZ Right Point,DZ,20.0,42.5,-54.0,-25.0,31.25,-39.5,Defensive right point
D07,DZ Center High,DZ,-10.0,10.0,-69.0,-54.0,0.0,-61.5,Defensive high slot
D08,DZ Behind Net,DZ,-10.0,10.0,-100.0,-89.0,0.0,-94.5,Behind own net
