stat_id,stat_name,stat_short,category,subcategory,level,description,formula,player_role,data_source,requires_xy,status,higher_is_better,benchmark_poor,benchmark_avg,benchmark_good,benchmark_elite
G,Goals,G,Basic,Scoring,Player-Game,Goals scored,COUNT(goals),event_player_1,fact_events_tracking,False,active,True,,,,
A,Assists,A,Basic,Scoring,Player-Game,Total assists,A1 + A2,derived,derived,False,active,True,,,,
A1,Primary Assists,A1,Basic,Scoring,Player-Game,Primary assists,COUNT(primary assists),event_player_2,fact_events_tracking,False,active,True,,,,
A2,Secondary Assists,A2,Basic,Scoring,Player-Game,Secondary assists,COUNT(secondary assists),event_player_3,fact_events_tracking,False,active,True,,,,
PTS,Points,PTS,Basic,Scoring,Player-Game,Goals plus assists,G + A,derived,derived,False,active,True,,,,
SOG,Shots on Goal,SOG,Basic,Shooting,Player-Game,Shots on net,COUNT(shots_on_goal),event_player_1,fact_events_tracking,False,active,True,,,,
SH_PCT,Shooting Percentage,SH%,Basic,Shooting,Player-Game,Goals per SOG,G / SOG * 100,derived,derived,False,active,True,5.0,9.0,12.0,15.0
PLUS_MINUS,Plus Minus,+/-,Basic,On-Ice,Player-Game,EV goal differential,GF - GA on ice,on_ice,derived,False,active,True,,,,
PIM,Penalty Minutes,PIM,Basic,Penalties,Player-Game,Penalty minutes,SUM(penalty_minutes),event_player_1,fact_events_tracking,False,active,False,,,,
HITS,Hits,HIT,Basic,Physical,Player-Game,Hits delivered,COUNT(hits),event_player_1,fact_events_tracking,False,active,True,,,,
HITS_TAKEN,Hits Taken,HIT_T,Basic,Physical,Player-Game,Hits received,COUNT(hits_against),opp_player_1,fact_events_tracking,False,active,False,,,,
BLK,Blocked Shots,BLK,Basic,Defense,Player-Game,Shots blocked,COUNT(blocks),event_player_1,fact_events_tracking,False,active,True,,,,
TOI_TOTAL,Total Time on Ice,TOI_T,Deployment,Time,Player-Game,Total TOI,SUM(shift_time),event_player_1,fact_shifts_tracking,False,active,False,,,,
TOI_PLAYING,Playing TOI,TOI_P,Deployment,Time,Player-Game,Active playing time,SUM(shift_time) - dead_ice,event_player_1,fact_shifts_tracking,False,active,False,,,,
TOI_DEAD,Dead Ice Time,TOI_D,Deployment,Time,Player-Game,Stoppage time,TOI_TOTAL - TOI_PLAYING,derived,derived,False,active,False,,,,
TOI_EV,Even Strength TOI,TOI_EV,Deployment,Time,Player-Game,5v5 time,SUM(shift_time at 5v5),event_player_1,fact_shifts_tracking,False,active,False,,,,
TOI_PP,Power Play TOI,TOI_PP,Deployment,Time,Player-Game,PP time,SUM(shift_time on PP),event_player_1,fact_shifts_tracking,False,active,False,,,,
TOI_PK,Penalty Kill TOI,TOI_PK,Deployment,Time,Player-Game,PK time,SUM(shift_time on PK),event_player_1,fact_shifts_tracking,False,active,False,,,,
SHIFTS,Shift Count,SH,Deployment,Time,Player-Game,Number of shifts,COUNT(shifts),event_player_1,fact_shifts_tracking,False,active,False,,,,
AVG_SHIFT,Average Shift,AVG_SH,Deployment,Time,Player-Game,Avg shift duration,TOI_PLAYING / SHIFTS,derived,derived,False,active,False,90.0,60.0,50.0,45.0
OZ_START_PCT,OZ Start %,OZ%,Deployment,Zone,Player-Game,OZ shift starts,OZ / (OZ + DZ) * 100,event_player_1,fact_shifts_tracking,False,active,False,,50.0,,
PASS_ATT,Pass Attempts,PASS,Micro-Offense,Passing,Player-Game,Passes attempted,COUNT(passes),event_player_1,fact_events_tracking,False,active,True,,,,
PASS_COMP,Passes Completed,PASS_C,Micro-Offense,Passing,Player-Game,Successful passes,COUNT(completed passes),event_player_1,fact_events_tracking,False,active,True,,,,
PASS_PCT,Pass Completion %,PASS%,Micro-Offense,Passing,Player-Game,Pass success rate,PASS_COMP / PASS_ATT * 100,derived,derived,False,active,True,70.0,80.0,85.0,90.0
PASS_TARGET,Pass Targets,PASS_TGT,Micro-Offense,Passing,Player-Game,Times targeted,COUNT(as pass target),event_player_2,fact_events_tracking,False,active,True,,,,
PASS_DANGER,Dangerous Passes,DPASS,Micro-Offense,Passing,Player-Game,High-danger passes,COUNT(danger passes),event_player_1,fact_events_tracking,False,active,True,,,,
PASS_SLOT,Slot Passes,SLOT_P,Micro-Offense,Passing,Player-Game,Slot passes,COUNT(slot passes),event_player_1,fact_events_tracking,False,active,True,,,,
PASS_ROYAL_ROAD,Royal Road,RR_P,Micro-Offense,Passing,Player-Game,Cross-crease passes,COUNT(royal road),event_player_1,fact_events_tracking,False,active,True,,,,
DEKE,Dekes,DK,Micro-Offense,Puck Skills,Player-Game,Deke attempts,COUNT(dekes),event_player_1,fact_events_tracking,False,active,True,,,,
DEKE_SUCCESS,Successful Dekes,DK_S,Micro-Offense,Puck Skills,Player-Game,Beat defender,COUNT(successful dekes),event_player_1,fact_events_tracking,False,active,True,,,,
SCREEN,Screens,SCR,Micro-Offense,NetFront,Player-Game,Screens set,COUNT(screens),event_player_1,fact_events_tracking,False,active,True,,,,
TIP,Tips,TIP,Micro-Offense,NetFront,Player-Game,Tip attempts,COUNT(tips),event_player_1,fact_events_tracking,False,active,True,,,,
ONE_TIMER,One-Timers,1T,Micro-Offense,Shooting,Player-Game,One-timer shots,COUNT(one-timers),event_player_1,fact_events_tracking,False,active,True,,,,
BOARD_BATTLE_WIN,Board Battle Wins,BB_W,Micro-Offense,Battles,Player-Game,Board wins,COUNT(board wins),event_player_1,fact_events_tracking,False,active,True,,,,
BOARD_BATTLE_LOSS,Board Battle Losses,BB_L,Micro-Offense,Battles,Player-Game,Board losses,COUNT(board losses),event_player_1,fact_events_tracking,False,active,False,,,,
BATTLE_WIN,All Battles Won,BTL_W,Micro-Offense,Battles,Player-Game,Total battles won,SUM(all battle wins),derived,derived,False,active,True,,,,
BATTLE_PCT,Battle Win %,BTL%,Micro-Offense,Battles,Player-Game,Battle win rate,BTL_W / (BTL_W + BTL_L) * 100,derived,derived,False,active,True,40.0,50.0,55.0,65.0
PUCK_RECOVERY,Recoveries,REC,Recovery,Retrieval,Player-Game,Puck recoveries,COUNT(recoveries),event_player_1,fact_events_tracking,False,active,True,,,,
PUCK_RETRIEVAL,Retrievals,RET,Recovery,Retrieval,Player-Game,Dump retrievals,COUNT(retrievals),event_player_1,fact_events_tracking,False,active,True,,,,
TAKEAWAY,Takeaways,TK,Micro-Defense,Turnovers,Player-Game,All takeaways,COUNT(takeaways),event_player_1,fact_events_tracking,False,active,True,,,,
GIVEAWAY,Giveaways,GV,Micro-Defense,Turnovers,Player-Game,All giveaways,COUNT(giveaways),event_player_1,fact_events_tracking,False,active,False,,,,
GIVEAWAY_BAD,Bad Giveaways,GV_BAD,Micro-Defense,Turnovers,Player-Game,Costly turnovers,COUNT(bad giveaways),event_player_1,fact_events_tracking,False,active,False,,,,
GIVEAWAY_NEUTRAL,Neutral Giveaways,GV_NEU,Micro-Defense,Turnovers,Player-Game,Strategic dumps,COUNT(neutral giveaways),event_player_1,fact_events_tracking,False,active,False,,,,
TURNOVER_DIFF,Turnover Diff,TO+/-,Micro-Defense,Turnovers,Player-Game,TK minus GV,TAKEAWAY - GIVEAWAY,derived,derived,False,active,True,-3.0,0.0,1.0,3.0
TURNOVER_DIFF_ADJ,Adjusted TO Diff,TO+/-A,Micro-Defense,Turnovers,Player-Game,TK minus bad GV,TAKEAWAY - GIVEAWAY_BAD,derived,derived,False,active,True,-2.0,0.0,2.0,4.0
STICK_CHECK,Stick Checks,STK,Micro-Defense,Checking,Player-Game,Stick checks,COUNT(stick checks),event_player_1,fact_events_tracking,False,active,True,,,,
POKE_CHECK,Poke Checks,POK,Micro-Defense,Checking,Player-Game,Poke checks,COUNT(poke checks),event_player_1,fact_events_tracking,False,active,True,,,,
