Key,Game_ID,Video_Type,Video_Category,Url_1,Url_2,Url_3,Url_4,Video_ID,Extension,Embed_Url,Description,_source_file
V189551001,18955,Full_Ice,Full_Ice,https://www.youtube.com/watch?v=-JbRtW__V18,,,,,v=-JbRtW__V18,,,18955_video_times.xlsx
V189691001,18969,Full_Ice,Full_Ice,https://www.youtube.com/watch?v=hMM6oE6O_Mg,,,,,v=hMM6oE6O_Mg,,,18969_video_times.xlsx
V189771001,18977,Full_Ice,Full_Ice,https://www.youtube.com/watch?v=mx4pzfH-pXs,,,,,v=mx4pzfH-pXs,,,18977_video_times.xlsx
V189811001,18981,Full_Ice,Full_Ice,https://www.youtube.com/watch?v=DaQS2qlm_C4,,,,,v=DaQS2qlm_C4,,,18981_video_times.xlsx
V189871001,18987,Full_Ice,Full_Ice,https://www.youtube.com/watch?v=L9a8xCAIo-Q,,,,,v=L9a8xCAIo-Q,,,18987_video_times.xlsx
V189871002,18987,Braodcast,Broadcast,https://www.youtube.com/watch?v=M0lElm9UkpM,,,,,v=M0lElm9UkpM,,,18987_video_times.xlsx
V189911001,18991,Full_Ice,Full_Ice,https://www.youtube.com/watch?v=fbZ-kglEMfk,,,,,v=fbZ-kglEMfk,,,18991_video_times.xlsx
V189911002,18991,Braodcast,Broadcast,https://www.youtube.com/watch?v=DYLkmiu52Zk,,,,,v=DYLkmiu52Zk,,,18991_video_times.xlsx
V190321001,19032,Full_Ice,Full_Ice,https://www.youtube.com/watch?v=Mt-lTEMScK4,,,,,v=Mt-lTEMScK4,,,19032_video_times.xlsx
V190321002,19032,Braodcast,Broadcast,https://www.youtube.com/watch?v=A2SPUvqhgvQ,,,,,v=A2SPUvqhgvQ,,,19032_video_times.xlsx
