event_index,player_game_number,player_id,player_team,player_role,role_number,play_detail1,play_detail_2,play_detail_successful,event_key,event_player_key,player_game_key,game_id,skill_rating,is_primary_player,is_event_team,is_opp_team
1001,53.0,,Platinum,event_team_player_1,1.0,,,,18969_1001,18969_1001_53,18969_53,18969,5.0,1,1,0
1001,21.0,,Platinum,event_team_player_2,2.0,,,,18969_1001,18969_1001_21,18969_21,18969,4.0,0,1,0
1001,49.0,,Velodrome,opp_team_player_1,1.0,,,,18969_1001,18969_1001_49,18969_49,18969,5.0,0,0,1
1002,21.0,,Platinum,event_team_player_1,1.0,,,,18969_1002,18969_1002_21,18969_21,18969,4.0,1,1,0
1002,8.0,,Platinum,event_team_player_2,2.0,,,,18969_1002,18969_1002_8,18969_8,18969,5.0,0,1,0
1003,8.0,,Platinum,event_team_player_1,1.0,Delay,,,18969_1003,18969_1003_8,18969_8,18969,5.0,1,1,0
1003,49.0,,Velodrome,opp_team_player_1,1.0,,,,18969_1003,18969_1003_49,18969_49,18969,5.0,0,0,1
1004,8.0,,Platinum,event_team_player_1,1.0,,,,18969_1004,18969_1004_8,18969_8,18969,5.0,1,1,0
1004,20.0,,Platinum,event_team_player_2,2.0,,,,18969_1004,18969_1004_20,18969_20,18969,3.0,0,1,0
1004,49.0,,Velodrome,opp_team_player_1,1.0,,,,18969_1004,18969_1004_49,18969_49,18969,5.0,0,0,1
1005,20.0,,Platinum,event_team_player_1,1.0,Chip,DumpChase,u,18969_1005,18969_1005_20,18969_20,18969,3.0,1,1,0
1006,20.0,,Platinum,event_team_player_1,1.0,Chip,DumpChase,u,18969_1006,18969_1006_20,18969_20,18969,3.0,1,1,0
1007,52.0,,Velodrome,event_team_player_1,1.0,RecoveryRetreivalDumpIn,,s,18969_1007,18969_1007_52,18969_52,18969,4.0,1,1,0
1008,52.0,,Velodrome,event_team_player_1,1.0,Breakout,PassDeflected,s,18969_1008,18969_1008_52,18969_52,18969,4.0,1,1,0
1008,49.0,,Velodrome,event_team_player_2,2.0,,,,18969_1008,18969_1008_49,18969_49,18969,5.0,0,1,0
1009,52.0,,Velodrome,event_team_player_1,1.0,,,,18969_1009,18969_1009_52,18969_52,18969,4.0,1,1,0
1009,49.0,,Velodrome,event_team_player_2,2.0,,,,18969_1009,18969_1009_49,18969_49,18969,5.0,0,1,0
1010,49.0,,Velodrome,event_team_player_1,1.0,,,,18969_1010,18969_1010_49,18969_49,18969,5.0,1,1,0
1011,49.0,,Velodrome,event_team_player_1,1.0,Delay,,s,18969_1011,18969_1011_49,18969_49,18969,5.0,1,1,0
1011,8.0,,Platinum,opp_team_player_1,1.0,,,,18969_1011,18969_1011_8,18969_8,18969,5.0,0,0,1
1012,49.0,,Velodrome,event_team_player_1,1.0,,,,18969_1012,18969_1012_49,18969_49,18969,5.0,1,1,0
1012,20.0,,Platinum,opp_team_player_1,1.0,StickCheck,,,18969_1012,18969_1012_20,18969_20,18969,3.0,0,0,1
1013,49.0,,Velodrome,event_team_player_1,1.0,RecoveryRetreivalShot,,s,18969_1013,18969_1013_49,18969_49,18969,5.0,1,1,0
1014,49.0,,Velodrome,event_team_player_1,1.0,,,,18969_1014,18969_1014_49,18969_49,18969,5.0,1,1,0
1015,49.0,,Velodrome,event_team_player_1,1.0,,,,18969_1015,18969_1015_49,18969_49,18969,5.0,1,1,0
1015,52.0,,Velodrome,event_team_player_2,2.0,,,,18969_1015,18969_1015_52,18969_52,18969,4.0,0,1,0
1016,52.0,,Velodrome,event_team_player_1,1.0,Dump/RimInZone,,u,18969_1016,18969_1016_52,18969_52,18969,4.0,1,1,0
1017,21.0,,Platinum,event_team_player_1,1.0,RecoveryRetreivalTurnover,,u,18969_1017,18969_1017_21,18969_21,18969,4.0,1,1,0
1018,21.0,,Platinum,event_team_player_1,1.0,AttemptedBreakOutPass,,u,18969_1018,18969_1018_21,18969_21,18969,4.0,1,1,0
1018,53.0,,Platinum,event_team_player_2,2.0,,,,18969_1018,18969_1018_53,18969_53,18969,5.0,0,1,0
1019,21.0,,Platinum,event_team_player_1,1.0,,,,18969_1019,18969_1019_21,18969_21,18969,4.0,1,1,0
1019,53.0,,Platinum,event_team_player_2,2.0,,,,18969_1019,18969_1019_53,18969_53,18969,5.0,0,1,0
1020,8.0,,Platinum,event_team_player_1,1.0,RecoveryRetreivalPass,,s,18969_1020,18969_1020_8,18969_8,18969,5.0,1,1,0
1020,3.0,,Platinum,event_team_player_2,2.0,RecoveryRetreivalPass,,,18969_1020,18969_1020_3,18969_3,18969,4.0,0,1,0
1020,49.0,,Velodrome,opp_team_player_1,1.0,RecoveryRetreivalPass,,u,18969_1020,18969_1020_49,18969_49,18969,5.0,0,0,1
1021,8.0,,Platinum,event_team_player_1,1.0,Deke,,,18969_1021,18969_1021_8,18969_8,18969,5.0,1,1,0
1021,49.0,,Velodrome,opp_team_player_1,1.0,BeatDeke,,u,18969_1021,18969_1021_49,18969_49,18969,5.0,0,0,1
1022,8.0,,Platinum,event_team_player_1,1.0,DriveWide,,s,18969_1022,18969_1022_8,18969_8,18969,5.0,1,1,0
1022,70.0,,Velodrome,opp_team_player_1,1.0,,,,18969_1022,18969_1022_70,18969_70,18969,6.0,0,0,1
1022,52.0,,Velodrome,opp_team_player_2,2.0,,,,18969_1022,18969_1022_52,18969_52,18969,4.0,0,0,1
1023,8.0,,Platinum,event_team_player_1,1.0,,,,18969_1023,18969_1023_8,18969_8,18969,5.0,1,1,0
1023,52.0,,Velodrome,opp_team_player_1,1.0,,,,18969_1023,18969_1023_52,18969_52,18969,4.0,0,0,1
1023,22.0,,Velodrome,opp_team_player_2,2.0,,,,18969_1023,18969_1023_22,18969_22,18969,3.0,0,0,1
1024,22.0,,Velodrome,event_team_player_1,1.0,,,,18969_1024,18969_1024_22,18969_22,18969,3.0,1,1,0
1024,8.0,,Platinum,opp_team_player_1,1.0,,,,18969_1024,18969_1024_8,18969_8,18969,5.0,0,0,1
1025,22.0,,Velodrome,event_team_player_1,1.0,AttemptedBreakOutClear,,u,18969_1025,18969_1025_22,18969_22,18969,3.0,1,1,0
1025,8.0,,Platinum,opp_team_player_1,1.0,,,,18969_1025,18969_1025_8,18969_8,18969,5.0,0,0,1
1026,53.0,,Platinum,event_team_player_1,1.0,RecoveryRetreivalAttemptedClear,,s,18969_1026,18969_1026_53,18969_53,18969,5.0,1,1,0
1027,53.0,,Platinum,event_team_player_1,1.0,SecondTouch,,u,18969_1027,18969_1027_53,18969_53,18969,5.0,1,1,0
1028,8.0,,Platinum,event_team_player_1,1.0,RecoveryRetreivalShot,,s,18969_1028,18969_1028_8,18969_8,18969,5.0,1,1,0
1028,49.0,,Velodrome,opp_team_player_1,1.0,StickCheck,,,18969_1028,18969_1028_49,18969_49,18969,5.0,0,0,1
1029,8.0,,Platinum,event_team_player_1,1.0,,,,18969_1029,18969_1029_8,18969_8,18969,5.0,1,1,0
1029,20.0,,Platinum,event_team_player_2,2.0,BlockedShot,,u,18969_1029,18969_1029_20,18969_20,18969,3.0,0,1,0
1029,70.0,,Velodrome,opp_team_player_1,1.0,,,,18969_1029,18969_1029_70,18969_70,18969,6.0,0,0,1
1030,53.0,,Platinum,event_team_player_1,1.0,RecoveryRetreivalShot,,s,18969_1030,18969_1030_53,18969_53,18969,5.0,1,1,0
1030,52.0,,Velodrome,opp_team_player_1,1.0,StickCheck,,,18969_1030,18969_1030_52,18969_52,18969,4.0,0,0,1
1031,53.0,,Platinum,event_team_player_1,1.0,,,,18969_1031,18969_1031_53,18969_53,18969,5.0,1,1,0
1031,20.0,,Platinum,event_team_player_2,2.0,,,,18969_1031,18969_1031_20,18969_20,18969,3.0,0,1,0
1031,52.0,,Velodrome,opp_team_player_1,1.0,,,,18969_1031,18969_1031_52,18969_52,18969,4.0,0,0,1
1032,20.0,,Platinum,event_team_player_1,1.0,,,,18969_1032,18969_1032_20,18969_20,18969,3.0,1,1,0
1032,39.0,,Velodrome,opp_team_player_1,1.0,,,,18969_1032,18969_1032_39,18969_39,18969,5.0,0,0,1
1032,22.0,,Velodrome,opp_team_player_2,2.0,InShotPassLane,,,18969_1032,18969_1032_22,18969_22,18969,3.0,0,0,1
1033,39.0,,Velodrome,event_team_player_1,1.0,,,,18969_1033,18969_1033_39,18969_39,18969,5.0,1,1,0
1033,22.0,,Velodrome,event_team_player_2,2.0,InShotPassLane,,,18969_1033,18969_1033_22,18969_22,18969,3.0,0,1,0
1033,20.0,,Platinum,opp_team_player_1,1.0,,,,18969_1033,18969_1033_20,18969_20,18969,3.0,0,0,1
1034,39.0,,Velodrome,event_team_player_1,1.0,,,,18969_1034,18969_1034_39,18969_39,18969,5.0,1,1,0
1035,22.0,,Velodrome,event_team_player_1,1.0,RecoveryRetreivalRebound,,s,18969_1035,18969_1035_22,18969_22,18969,3.0,1,1,0
1036,22.0,,Velodrome,event_team_player_1,1.0,Breakout,,s,18969_1036,18969_1036_22,18969_22,18969,3.0,1,1,0
1036,70.0,,Velodrome,event_team_player_2,2.0,,,,18969_1036,18969_1036_70,18969_70,18969,6.0,0,1,0
1037,22.0,,Velodrome,event_team_player_1,1.0,,,,18969_1037,18969_1037_22,18969_22,18969,3.0,1,1,0
1037,70.0,,Velodrome,event_team_player_2,2.0,,,,18969_1037,18969_1037_70,18969_70,18969,6.0,0,1,0
1038,70.0,,Velodrome,event_team_player_1,1.0,,,,18969_1038,18969_1038_70,18969_70,18969,6.0,1,1,0
1039,70.0,,Velodrome,event_team_player_1,1.0,,,,18969_1039,18969_1039_70,18969_70,18969,6.0,1,1,0
1039,75.0,,Velodrome,event_team_player_2,2.0,ReceiverMissed,,u,18969_1039,18969_1039_75,18969_75,18969,2.0,0,1,0
1039,53.0,,Platinum,opp_team_player_1,1.0,InShotPassLane,,,18969_1039,18969_1039_53,18969_53,18969,5.0,0,0,1
1040,70.0,,Velodrome,event_team_player_1,1.0,,,,18969_1040,18969_1040_70,18969_70,18969,6.0,1,1,0
1041,70.0,,Velodrome,event_team_player_1,1.0,,,,18969_1041,18969_1041_70,18969_70,18969,6.0,1,1,0
1042,45.0,,Platinum,event_team_player_1,1.0,,,,18969_1042,18969_1042_45,18969_45,18969,6.0,1,1,0
1042,3.0,,Platinum,event_team_player_2,2.0,,,,18969_1042,18969_1042_3,18969_3,18969,4.0,0,1,0
1042,42.0,,Velodrome,opp_team_player_1,1.0,,,,18969_1042,18969_1042_42,18969_42,18969,5.0,0,0,1
1043,3.0,,Platinum,event_team_player_1,1.0,,,,18969_1043,18969_1043_3,18969_3,18969,4.0,1,1,0
1043,34.0,,Platinum,event_team_player_2,2.0,FrontofNet,AttemptedTip/Deflection,u,18969_1043,18969_1043_34,18969_34,18969,4.0,0,1,0
1043,39.0,,Velodrome,opp_team_player_1,1.0,,,,18969_1043,18969_1043_39,18969_39,18969,5.0,0,0,1
1043,61.0,,Velodrome,opp_team_player_2,2.0,InShotPassLane,,,18969_1043,18969_1043_61,18969_61,18969,3.0,0,0,1
1043,93.0,,Velodrome,opp_team_player_3,3.0,InShotPassLane,,,18969_1043,18969_1043_93,18969_93,18969,3.0,0,0,1
1044,39.0,,Velodrome,event_team_player_1,1.0,,,,18969_1044,18969_1044_39,18969_39,18969,5.0,1,1,0
1044,61.0,,Velodrome,event_team_player_2,2.0,,,,18969_1044,18969_1044_61,18969_61,18969,3.0,0,1,0
1044,93.0,,Velodrome,event_team_player_3,3.0,,,,18969_1044,18969_1044_93,18969_93,18969,3.0,0,1,0
1044,3.0,,Platinum,opp_team_player_1,1.0,,,,18969_1044,18969_1044_3,18969_3,18969,4.0,0,0,1
1044,34.0,,Platinum,opp_team_player_2,2.0,,,,18969_1044,18969_1044_34,18969_34,18969,4.0,0,0,1
1045,39.0,,Velodrome,event_team_player_1,1.0,,,,18969_1045,18969_1045_39,18969_39,18969,5.0,1,1,0
1046,34.0,,Platinum,event_team_player_1,1.0,RecoveryRetreivalRebound,,s,18969_1046,18969_1046_34,18969_34,18969,4.0,1,1,0
1047,34.0,,Platinum,event_team_player_1,1.0,,,,18969_1047,18969_1047_34,18969_34,18969,4.0,1,1,0
1047,61.0,,Velodrome,opp_team_player_1,1.0,,,,18969_1047,18969_1047_61,18969_61,18969,3.0,0,0,1
1048,34.0,,Platinum,event_team_player_1,1.0,,,,18969_1048,18969_1048_34,18969_34,18969,4.0,1,1,0
1048,45.0,,Platinum,event_team_player_2,2.0,,,,18969_1048,18969_1048_45,18969_45,18969,6.0,0,1,0
1048,61.0,,Velodrome,opp_team_player_1,1.0,,,,18969_1048,18969_1048_61,18969_61,18969,3.0,0,0,1
1049,45.0,,Platinum,event_team_player_1,1.0,Deke,,s,18969_1049,18969_1049_45,18969_45,18969,6.0,1,1,0
1049,39.0,,Velodrome,opp_team_player_1,1.0,BeatDeke,,u,18969_1049,18969_1049_39,18969_39,18969,5.0,0,0,1
1049,93.0,,Velodrome,opp_team_player_2,2.0,,,,18969_1049,18969_1049_93,18969_93,18969,3.0,0,0,1
1050,45.0,,Platinum,event_team_player_1,1.0,,,,18969_1050,18969_1050_45,18969_45,18969,6.0,1,1,0
1050,82.0,,Platinum,event_team_player_2,2.0,,,,18969_1050,18969_1050_82,18969_82,18969,2.0,0,1,0
1050,93.0,,Velodrome,opp_team_player_1,1.0,PassDeflected,,s,18969_1050,18969_1050_93,18969_93,18969,3.0,0,0,1
1051,34.0,,Platinum,event_team_player_1,1.0,RecoveryRetreivalPass,,u,18969_1051,18969_1051_34,18969_34,18969,4.0,1,1,0
1051,93.0,,Velodrome,opp_team_player_1,1.0,,,,18969_1051,18969_1051_93,18969_93,18969,3.0,0,0,1
1051,42.0,,Velodrome,opp_team_player_2,2.0,,,,18969_1051,18969_1051_42,18969_42,18969,5.0,0,0,1
1052,34.0,,Platinum,event_team_player_1,1.0,,,,18969_1052,18969_1052_34,18969_34,18969,4.0,1,1,0
1052,78.0,,Platinum,event_team_player_2,2.0,,,,18969_1052,18969_1052_78,18969_78,18969,3.0,0,1,0
1052,42.0,,Velodrome,opp_team_player_1,1.0,,,,18969_1052,18969_1052_42,18969_42,18969,5.0,0,0,1
1053,42.0,,Velodrome,event_team_player_1,1.0,,,,18969_1053,18969_1053_42,18969_42,18969,5.0,1,1,0
