game_id,home_team,away_team,home_team_id,away_team_id,game_date,season_id,game_type,playoff_round,home_score,away_score,winner,_processed_timestamp
18619,Red,Green,N10022,N10023,2025-07-13T00:00:00,N2025S,Regular,,4,5,Green,2025-12-19 20:06:37
10063,HollowBrook,Triple J,N10003,N10009,2025-04-27T00:00:00,N20242025F,Playoffs,Championship,1,2,Triple J,2025-12-19 20:06:37
10074,Platinum,HollowBrook,N10008,N10003,2025-04-13T00:00:00,N20242025F,Playoffs,SemiFinals,2,4,HollowBrook,2025-12-19 20:06:37
10073,Nelson,Triple J,N10004,N10009,2025-04-13T00:00:00,N20242025F,Playoffs,SemiFinals,4,7,Triple J,2025-12-19 20:06:37
10066,Platinum,Nelson,N10008,N10004,2025-04-06T00:00:00,N20242025F,Playoffs,RoundRobin,3,4,Nelson,2025-12-19 20:06:37
10065,HollowBrook,OS Offices,N10003,N10005,2025-04-06T00:00:00,N20242025F,Playoffs,RoundRobin,9,0,HollowBrook,2025-12-19 20:06:37
10064,Amos,Triple J,N10001,N10009,2025-04-06T00:00:00,N20242025F,Playoffs,RoundRobin,1,2,Triple J,2025-12-19 20:06:37
10069,Platinum,Ace,N10008,N10002,2025-03-30T00:00:00,N20242025F,Playoffs,RoundRobin,12,2,Platinum,2025-12-19 20:06:37
10068,HollowBrook,Outlaws,N10003,N10007,2025-03-30T00:00:00,N20242025F,Playoffs,RoundRobin,6,2,HollowBrook,2025-12-19 20:06:37
10067,Amos,Orphans,N10001,N10006,2025-03-30T00:00:00,N20242025F,Playoffs,RoundRobin,5,3,Amos,2025-12-19 20:06:37
10072,Nelson,Ace,N10004,N10002,2025-03-23T00:00:00,N20242025F,Playoffs,RoundRobin,7,4,Nelson,2025-12-19 20:06:37
10071,OS Offices,Outlaws,N10005,N10007,2025-03-23T00:00:00,N20242025F,Playoffs,RoundRobin,5,4,OS Offices,2025-12-19 20:06:37
10070,Triple J,Orphans,N10009,N10006,2025-03-23T00:00:00,N20242025F,Playoffs,RoundRobin,5,1,Triple J,2025-12-19 20:06:37
18001,Nelson,Outlaws,N10004,N10007,2025-03-16T00:00:00,N20242025F,Regular,,0,3,Outlaws,2025-12-19 20:06:37
18000,Amos,Orphans,N10001,N10006,2025-03-16T00:00:00,N20242025F,Regular,,7,2,Amos,2025-12-19 20:06:37
17999,OS Offices,Ace,N10005,N10002,2025-03-16T00:00:00,N20242025F,Regular,,5,6,Ace,2025-12-19 20:06:37
17998,Platinum,Triple J,N10008,N10009,2025-03-16T00:00:00,N20242025F,Regular,,4,3,Platinum,2025-12-19 20:06:37
