team_id,team_name,team_abbr,long_team_name,league,team_color1,team_color2,_processed_timestamp
N10001,Amos,ACE,AMOS,NORAD,#641C28,#458BC5,2025-12-19 20:06:37
N10002,Ace,AMOS,ACE,NORAD,#CA0527,#000000,2025-12-19 20:06:37
N10003,HollowBrook,HBD,HollowBrook Dental,NORAD,#4D2640,#016359,2025-12-19 20:06:37
N10004,Nelson,NAC,Nelson & Company,NORAD,#F3C323,#000000,2025-12-19 20:06:37
N10005,OS Offices,OSO,OS Offices,NORAD,#2C8A5E,#EEB70E,2025-12-19 20:06:37
N10006,Orphans,WOR,World Orphans,NORAD,#000000,#257A78,2025-12-19 20:06:37
N10007,Outlaws,OUT,OUTCAN Outlaws,NORAD,#02007B,#C80000,2025-12-19 20:06:37
N10008,Platinum,TPG,Platinum Group,NORAD,#919294,#253464,2025-12-19 20:06:37
N10009,Triple J,JJJ,Triple J,NORAD,#4EB9E5,#D83E3D,2025-12-19 20:06:37
N10010,Velodrome,COS,Colorado Springs Velodrome,NORAD,#9C47E4,#000000,2025-12-19 20:06:37
N10011,Norad,NOR,Norad,NORAD,#B21A18,#012B68,2025-12-19 20:06:37
N10012,Canada,CAN,Canada Colorado,NORAD,#B21A18,#012B68,2025-12-19 20:06:37
C120012,Patriots,PAT,Patriots,CSAHA,#B21A18,#012B68,2025-12-19 20:06:37
C130013,Angry Dolphins,AGD,Angry Dolphins,CSAHA,#641C28,#458BC5,2025-12-19 20:06:37
C140014,Cereal Killers,CLK,Cereal Killers,CSAHA,#CA0527,#000000,2025-12-19 20:06:37
C150015,Chiefs,CHF,Chiefs,CSAHA,#0255d1,#F3C323,2025-12-19 20:06:37
C160016,Teal Team 6,STS,Teal Team 6,CSAHA,#000000,#257A78,2025-12-19 20:06:37
C170017,Banana Havoc,BHC,Banana Havoc,CSAHA,#F3C323,#000000,2025-12-19 20:06:37
C180018,Sasquatch,SAS,Sasquatch,CSAHA,#9ED8D9,#6CA3B7,2025-12-19 20:06:37
C190019,Holligans,HOL,Holligans,CSAHA,#CA0527,#FFFFFF,2025-12-19 20:06:37
C200020,Puck Masters,PKM,Puck Masters,CSAHA,#B21A18,#012B68,2025-12-19 20:06:37
N10022,Red,RED,Red,NORAD,#CA0527,#FFFFFF,2025-12-19 20:06:37
N10023,Green,GRN,Green,NORAD,#04c946,#FFFFFF,2025-12-19 20:06:37
N10024,Blue,BLE,Blue,NORAD,#0255d1,#FFFFFF,2025-12-19 20:06:37
N10025,Yellow,YEL,Yellow,NORAD,#F3C323,#FFFFFF,2025-12-19 20:06:37
N10026,Free Agent,FRA,Free Agent,NORAD,#B21A18,#012B68,2025-12-19 20:06:37
