event_index,event_key,shift_index,shift_key,linked_event_index,sequence_index,play_index,event_type,event_detail,event_detail_2,event_successful,period,event_start_min,event_start_sec,time_total_seconds,duration,event_team_zone,game_id,_processed_timestamp
1000.0,18969_1000.0,,,,,,GameStart,,,,1.0,,,,,,18969,2025-12-19 20:06:37
1001.0,18969_1001.0,1.0,18969_1.0,,,,Faceoff,Faceoff_GameStart,,,1.0,18.0,0.0,1080.0,0.0,n,18969,2025-12-19 20:06:37
1002.0,18969_1002.0,1.0,18969_1.0,,5001.0,,Pass,Pass_Completed,Pass-Forehand,s,1.0,17.0,59.0,1079.0,0.0,n,18969,2025-12-19 20:06:37
1003.0,18969_1003.0,1.0,18969_1.0,,5001.0,,Possession,Regroup,,,1.0,17.0,58.0,1078.0,6.0,n,18969,2025-12-19 20:06:37
1004.0,18969_1004.0,1.0,18969_1.0,,5001.0,6001.0,Pass,Pass_Completed,Pass-Bank,s,1.0,17.0,50.0,1070.0,0.0,n,18969,2025-12-19 20:06:37
1005.0,18969_1005.0,1.0,18969_1.0,9001.0,5001.0,6001.0,Zone_Entry_Exit,Zone_Entry,ZoneEntry-DumpIn,u,1.0,17.0,49.0,1069.0,0.0,n,18969,2025-12-19 20:06:37
1006.0,18969_1006.0,1.0,18969_1.0,9001.0,5001.0,6001.0,Turnover,Turnover_Giveaway,Giveaway-ZoneClear/Dump,u,1.0,17.0,49.0,1069.0,0.0,n,18969,2025-12-19 20:06:37
1007.0,18969_1007.0,1.0,18969_1.0,,5002.0,6002.0,Possession,PuckRetrieval,,s,1.0,17.0,45.0,1065.0,4.0,d,18969,2025-12-19 20:06:37
1008.0,18969_1008.0,1.0,18969_1.0,9002.0,5002.0,6002.0,Pass,Pass_Completed,Pass-Forehand,s,1.0,17.0,41.0,1061.0,0.0,d,18969,2025-12-19 20:06:37
1009.0,18969_1009.0,1.0,18969_1.0,9002.0,5002.0,6002.0,Zone_Entry_Exit,Zone_Exit,ZoneExit-Pass,s,1.0,17.0,41.0,1061.0,0.0,d,18969,2025-12-19 20:06:37
1010.0,18969_1010.0,1.0,18969_1.0,,5002.0,,Possession,,,,1.0,17.0,39.0,1059.0,2.0,n,18969,2025-12-19 20:06:37
1011.0,18969_1011.0,1.0,18969_1.0,,5002.0,6003.0,Zone_Entry_Exit,Zone_Entry,ZoneEntry-Rush,s,1.0,17.0,37.0,1057.0,4.0,o,18969,2025-12-19 20:06:37
1012.0,18969_1012.0,1.0,18969_1.0,,5002.0,6003.0,Shot,Shot_Blocked,Shot-Wrist,u,1.0,17.0,33.0,1053.0,0.0,o,18969,2025-12-19 20:06:37
1013.0,18969_1013.0,1.0,18969_1.0,,5002.0,6004.0,Possession,PuckRecovery,,s,1.0,17.0,32.0,1052.0,0.0,o,18969,2025-12-19 20:06:37
1014.0,18969_1014.0,1.0,18969_1.0,,5002.0,6004.0,Possession,,,,1.0,17.0,32.0,1052.0,4.0,o,18969,2025-12-19 20:06:37
1015.0,18969_1015.0,1.0,18969_1.0,,5002.0,6004.0,Pass,Pass_Completed,Pass-Forehand,s,1.0,17.0,28.0,1048.0,0.0,o,18969,2025-12-19 20:06:37
1016.0,18969_1016.0,1.0,18969_1.0,,5002.0,6004.0,Turnover,Turnover_Giveaway,Giveaway-DumpInZone,u,1.0,17.0,27.0,1047.0,0.0,o,18969,2025-12-19 20:06:37
1017.0,18969_1017.0,1.0,18969_1.0,,,,Possession,PuckRetrieval,,u,1.0,17.0,23.0,1043.0,3.0,d,18969,2025-12-19 20:06:37
1018.0,18969_1018.0,1.0,18969_1.0,9003.0,,,Pass,Pass_Missed,Pass-Stretch,u,1.0,17.0,20.0,1040.0,0.0,d,18969,2025-12-19 20:06:37
1019.0,18969_1019.0,1.0,18969_1.0,9003.0,5003.0,,Zone_Entry_Exit,Zone_Exit,ZoneExit-PassMiss/Misplay,u,1.0,17.0,20.0,1040.0,0.0,d,18969,2025-12-19 20:06:37
1020.0,18969_1020.0,1.0,18969_1.0,,,,Possession,PuckRecovery,,s,1.0,17.0,20.0,1040.0,5.0,n,18969,2025-12-19 20:06:37
1021.0,18969_1021.0,1.0,18969_1.0,,,,Possession,,,,1.0,17.0,15.0,1035.0,0.0,n,18969,2025-12-19 20:06:37
1022.0,18969_1022.0,1.0,18969_1.0,,,,Zone_Entry_Exit,Zone_Entry,ZoneEntry-Rush,s,1.0,17.0,12.0,1032.0,4.0,o,18969,2025-12-19 20:06:37
1023.0,18969_1023.0,1.0,18969_1.0,,,,Possession,,,,1.0,17.0,8.0,1028.0,3.0,o,18969,2025-12-19 20:06:37
1024.0,18969_1024.0,1.0,18969_1.0,,,,Turnover,Turnover_Takeaway,Takeaway-PokeCheck,s,1.0,17.0,5.0,1025.0,0.0,d,18969,2025-12-19 20:06:37
1025.0,18969_1025.0,1.0,18969_1.0,,,,Turnover,Turnover_Giveaway,Giveaway-AttemptedZoneClear/Dump,u,1.0,17.0,2.0,1022.0,0.0,d,18969,2025-12-19 20:06:37
1026.0,18969_1026.0,1.0,18969_1.0,,,,Possession,PuckRetrieval,,s,1.0,16.0,59.0,1019.0,0.0,o,18969,2025-12-19 20:06:37
1027.0,18969_1027.0,1.0,18969_1.0,,,,Shot,Shot_Missed,Shot-Wrist,u,1.0,16.0,59.0,1019.0,0.0,o,18969,2025-12-19 20:06:37
1028.0,18969_1028.0,1.0,18969_1.0,,,,Possession,PuckRecovery,,s,1.0,16.0,56.0,1016.0,3.0,o,18969,2025-12-19 20:06:37
1029.0,18969_1029.0,1.0,18969_1.0,,,,Shot,Shot_BlockedSameTeam,Shot-Wrist,u,1.0,16.0,53.0,1013.0,0.0,o,18969,2025-12-19 20:06:37
1030.0,18969_1030.0,1.0,18969_1.0,,,,Possession,PuckRecovery,,s,1.0,16.0,50.0,1010.0,2.0,o,18969,2025-12-19 20:06:37
1031.0,18969_1031.0,1.0,18969_1.0,,,,Pass,Pass_Completed,Pass-Forehand,s,1.0,16.0,48.0,1008.0,0.0,o,18969,2025-12-19 20:06:37
1032.0,18969_1032.0,1.0,18969_1.0,9004.0,,,Shot,Shot_OnNetSaved,Shot-OneTime,s,1.0,16.0,48.0,1008.0,0.0,o,18969,2025-12-19 20:06:37
1033.0,18969_1033.0,1.0,18969_1.0,9004.0,,,Save,Save_Rebound,Save-LeftPad,,1.0,16.0,48.0,1008.0,0.0,d,18969,2025-12-19 20:06:37
1034.0,18969_1034.0,1.0,18969_1.0,9004.0,,,Rebound,Rebound_TeamRecovered,,,1.0,16.0,48.0,1008.0,0.0,d,18969,2025-12-19 20:06:37
1035.0,18969_1035.0,1.0,18969_1.0,,,,Possession,PuckRetrieval,,s,1.0,16.0,45.0,1005.0,3.0,d,18969,2025-12-19 20:06:37
1036.0,18969_1036.0,1.0,18969_1.0,9005.0,,,Pass,Pass_Completed,Pass-Forehand,s,1.0,16.0,42.0,1002.0,0.0,d,18969,2025-12-19 20:06:37
1037.0,18969_1037.0,1.0,18969_1.0,9005.0,,,Zone_Entry_Exit,Zone_Exit,ZoneExit-Pass,s,1.0,16.0,42.0,1002.0,0.0,d,18969,2025-12-19 20:06:37
1038.0,18969_1038.0,1.0,18969_1.0,,,,Possession,,,,1.0,16.0,41.0,1001.0,1.0,n,18969,2025-12-19 20:06:37
1039.0,18969_1039.0,1.0,18969_1.0,9006.0,,,Pass,Pass_Missed,Pass-ReceiverMissed,u,1.0,16.0,40.0,1000.0,0.0,n,18969,2025-12-19 20:06:37
1040.0,18969_1040.0,2.0,18969_2.0,9006.0,,,Stoppage,Stoppage_Play,Stoppage-Icing,,1.0,16.0,35.0,995.0,0.0,n,18969,2025-12-19 20:06:37
1041.0,18969_1041.0,2.0,18969_2.0,9006.0,,,DeadIce,,,,1.0,16.0,35.0,995.0,21.0,n,18969,2025-12-19 20:06:37
1042.0,18969_1042.0,2.0,18969_2.0,,,,Faceoff,Faceoff_AfterStoppage,,,1.0,16.0,14.0,974.0,0.0,o,18969,2025-12-19 20:06:37
1043.0,18969_1043.0,2.0,18969_2.0,9007.0,,,Shot,Shot_OnNetSaved,Shot-Wrist,s,1.0,16.0,12.0,972.0,0.0,o,18969,2025-12-19 20:06:37
1044.0,18969_1044.0,2.0,18969_2.0,9007.0,,,Save,Save_Rebound,Save-RightPad,,1.0,16.0,12.0,972.0,0.0,d,18969,2025-12-19 20:06:37
1045.0,18969_1045.0,2.0,18969_2.0,9007.0,,,Rebound,Rebound_OppTeamRecovered,,,1.0,16.0,12.0,972.0,0.0,d,18969,2025-12-19 20:06:37
1046.0,18969_1046.0,2.0,18969_2.0,,,,Possession,PuckRecovery,,s,1.0,16.0,10.0,970.0,3.0,o,18969,2025-12-19 20:06:37
1047.0,18969_1047.0,2.0,18969_2.0,,,,Possession,,,,1.0,16.0,7.0,967.0,2.0,o,18969,2025-12-19 20:06:37
1048.0,18969_1048.0,2.0,18969_2.0,,,,Pass,Pass_Completed,Pass-Forehand,s,1.0,16.0,5.0,965.0,0.0,o,18969,2025-12-19 20:06:37
1049.0,18969_1049.0,2.0,18969_2.0,,,,Possession,,,,1.0,16.0,4.0,964.0,3.0,o,18969,2025-12-19 20:06:37
1050.0,18969_1050.0,2.0,18969_2.0,,,,Pass,Pass_Deflected,Pass-Forehand,u,1.0,16.0,1.0,961.0,0.0,o,18969,2025-12-19 20:06:37
1051.0,18969_1051.0,2.0,18969_2.0,,,,Possession,PuckRecovery,,u,1.0,15.0,59.0,959.0,4.0,o,18969,2025-12-19 20:06:37
1052.0,18969_1052.0,2.0,18969_2.0,9008.0,,,Pass,Pass_Missed,Pass-Backhand,u,1.0,15.0,55.0,955.0,0.0,o,18969,2025-12-19 20:06:37
1053.0,18969_1053.0,2.0,18969_2.0,9008.0,,,Zone_Entry_Exit,Zone_Exit,ZoneExit-OppTeam,s,1.0,15.0,55.0,955.0,0.0,d,18969,2025-12-19 20:06:37
1054.0,18969_1054.0,2.0,18969_2.0,,,,Possession,PuckRecovery,,s,1.0,15.0,51.0,951.0,1.0,n,18969,2025-12-19 20:06:37
1055.0,18969_1055.0,2.0,18969_2.0,,,,Pass,Pass_Completed,Pass-Backhand,s,1.0,15.0,50.0,950.0,0.0,n,18969,2025-12-19 20:06:37
1056.0,18969_1056.0,2.0,18969_2.0,,,,Possession,,,,1.0,15.0,50.0,950.0,1.0,n,18969,2025-12-19 20:06:37
1057.0,18969_1057.0,2.0,18969_2.0,,,,Pass,Pass_Completed,Pass-Forehand,s,1.0,15.0,49.0,949.0,0.0,n,18969,2025-12-19 20:06:37
1058.0,18969_1058.0,2.0,18969_2.0,,,,Zone_Entry_Exit,Zone_Entry,ZoneEntry-Rush,u,1.0,15.0,48.0,948.0,5.0,o,18969,2025-12-19 20:06:37
1059.0,18969_1059.0,2.0,18969_2.0,,,,Turnover,Turnover_Giveaway,Giveaway-Misplayed,u,1.0,15.0,43.0,943.0,0.0,o,18969,2025-12-19 20:06:37
1060.0,18969_1060.0,2.0,18969_2.0,,,,Possession,PuckRetrieval,,s,1.0,15.0,43.0,943.0,1.0,d,18969,2025-12-19 20:06:37
1061.0,18969_1061.0,2.0,18969_2.0,,,,Pass,Pass_Completed,Pass-Backhand,s,1.0,15.0,42.0,942.0,0.0,d,18969,2025-12-19 20:06:37
1062.0,18969_1062.0,2.0,18969_2.0,,,,Possession,,,,1.0,15.0,41.0,941.0,2.0,d,18969,2025-12-19 20:06:37
1063.0,18969_1063.0,2.0,18969_2.0,9009.0,,,Pass,Pass_Completed,Pass-Forehand,s,1.0,15.0,39.0,939.0,0.0,d,18969,2025-12-19 20:06:37
1064.0,18969_1064.0,2.0,18969_2.0,9009.0,,,Zone_Entry_Exit,Zone_Exit,ZoneExit-Pass,s,1.0,15.0,39.0,939.0,0.0,d,18969,2025-12-19 20:06:37
1065.0,18969_1065.0,2.0,18969_2.0,,,,Possession,,,,1.0,15.0,39.0,939.0,2.0,n,18969,2025-12-19 20:06:37
