event_detail_id,event_detail,event_type,category,is_shot_on_goal,is_goal,is_miss,is_block,danger_potential
1,Shot_OnNetSaved,Shot,shot_on_goal,True,False,False,False,medium
2,Shot_Goal,Shot,goal,True,True,False,False,high
3,Goal_Scored,Shot,goal,True,True,False,False,high
4,Shot_Missed,Shot,missed_shot,False,False,True,False,low
5,Shot_MissedWide,Shot,missed_shot,False,False,True,False,low
6,Shot_MissedHigh,Shot,missed_shot,False,False,True,False,low
7,Shot_HitPost,Shot,missed_shot,False,False,True,False,high
8,Shot_Blocked,Shot,blocked_shot,False,False,False,True,medium
9,Shot_TippedOnNetSaved,Shot,shot_on_goal,True,False,False,False,high
10,Shot_DeflectedOnNetSaved,Shot,shot_on_goal,True,False,False,False,high
20,Pass_Completed,Pass,completed_pass,False,False,False,False,
21,Pass_Missed,Pass,failed_pass,False,False,False,False,
22,Pass_Intercepted,Pass,failed_pass,False,False,False,False,
30,Turnover_Giveaway,Turnover,giveaway,False,False,False,False,
31,Turnover_Takeaway,Turnover,takeaway,False,False,False,False,
32,Turnover_BadPass,Turnover,giveaway,False,False,False,False,
33,Turnover_LostPuck,Turnover,giveaway,False,False,False,False,
40,Zone_Entry_Carry,Zone_Entry_Exit,controlled_entry,False,False,False,False,
41,Zone_Entry_Pass,Zone_Entry_Exit,controlled_entry,False,False,False,False,
42,Zone_Entry_Dump,Zone_Entry_Exit,uncontrolled_entry,False,False,False,False,
43,Zone_Entry_Failed,Zone_Entry_Exit,failed_entry,False,False,False,False,
44,Zone_Exit_Carry,Zone_Entry_Exit,controlled_exit,False,False,False,False,
45,Zone_Exit_Pass,Zone_Entry_Exit,controlled_exit,False,False,False,False,
46,Zone_Exit_Clear,Zone_Entry_Exit,uncontrolled_exit,False,False,False,False,
50,Save_Blocker,Save,save,False,False,False,False,
51,Save_Glove,Save,save,False,False,False,False,
52,Save_Pad,Save,save,False,False,False,False,
53,Save_Stick,Save,save,False,False,False,False,
54,Save_Body,Save,save,False,False,False,False,
55,Save_Rebound,Save,save,False,False,False,False,
56,Save_Freeze,Save,save,False,False,False,False,
57,Faceoff_GameStart,Unknown,other,False,False,False,False,
58,Play_Offensive,Unknown,other,False,False,False,False,
59,Zone_Entry,Unknown,other,False,False,False,False,
60,Shot_BlockedSameTeam,Unknown,other,False,False,False,True,
61,Zone_Keepin,Unknown,other,False,False,False,False,
62,Stoppage_Period,Unknown,other,False,False,False,False,
63,Faceoff_AfterGoal,Unknown,other,False,True,False,False,
64,Breakaway,Unknown,other,False,False,False,False,
65,Zone_Entryfailed,Unknown,other,False,False,False,False,
66,Rebound_OppTeamRecovered,Unknown,other,False,False,False,False,
67,PuckRetrieval,Unknown,other,False,False,False,False,
68,LoosePuck_Battle,Unknown,other,False,False,False,False,
69,Shot_Deflected,Unknown,other,False,False,False,False,
70,Stoppage_Play,Unknown,other,False,False,False,False,
71,Rebound_TeamRecovered,Unknown,other,False,False,False,False,
72,Zone_Exit,Unknown,other,False,False,False,False,
73,PuckRecovery,Unknown,other,False,False,False,False,
74,Play_Defensive,Unknown,other,False,False,False,False,
75,Regroup,Unknown,other,False,False,False,False,
76,Zone_KeepinFailed,Unknown,other,False,False,False,False,
77,Faceoff_AfterPenalty,Unknown,other,False,False,False,False,
78,Faceoff_PeriodStart,Unknown,other,False,False,False,False,
79,Zone_ExitFailed,Unknown,other,False,False,False,False,
80,Penalty_Minor,Unknown,other,False,False,False,False,
81,Faceoff_AfterStoppage,Unknown,other,False,False,False,False,
82,Stoppage_GameEnd,Unknown,other,False,False,False,False,
83,Rebound_ShotGenerated,Unknown,other,False,False,False,False,
84,Pass_Deflected,Unknown,other,False,False,False,False,
