event_detail_id,event_detail_code,event_detail_name,event_type,category,description,is_shot_on_goal,is_goal,is_miss,is_block,danger_potential
ED0001,Faceoff,Faceoff ,Faceoff,faceoff,Faceoff situation: Faceoff ,False,False,False,False,
ED0002,Faceoff_AfterGoal,Faceoff AfterGoal,Faceoff,faceoff,Faceoff situation: Faceoff AfterGoal,False,False,False,False,high
ED0003,Faceoff_AfterPenalty,Faceoff AfterPenalty,Faceoff,faceoff,Faceoff situation: Faceoff AfterPenalty,False,False,False,False,
ED0004,Faceoff_GameStart,Faceoff GameStart,Faceoff,faceoff,Faceoff situation: Faceoff GameStart,False,False,False,False,
ED0005,Faceoff_PeriodStart,Faceoff PeriodStart,Faceoff,faceoff,Faceoff situation: Faceoff PeriodStart,False,False,False,False,
ED0006,Goal_Scored,Goal Scored,Goal,goal,Goal scored: Goal Scored,True,True,False,False,high
ED0007,LoosePuck_Battle,LoosePuck Battle,LoosePuck,puck_battle,Loose puck: LoosePuck Battle,False,False,False,False,
ED0008,Pass_Completed,Pass Completed,Pass,completed_pass,Pass attempt: Pass Completed,False,False,False,False,
ED0009,Pass_Deflected,Pass Deflected,Pass,failed_pass,Pass attempt: Pass Deflected,False,False,False,False,high
ED0010,Pass_Intercepted,Pass Intercepted,Pass,failed_pass,Pass attempt: Pass Intercepted,False,False,False,False,
ED0011,Pass_Missed,Pass Missed,Pass,failed_pass,Pass attempt: Pass Missed,False,False,False,False,low
ED0012,Penalty,Penalty ,Penalty,penalty,Penalty: Penalty ,False,False,False,False,
ED0013,Penalty_Major,Penalty ,Penalty,penalty,Penalty: Penalty ,False,False,False,False,
ED0014,Penalty_Minor,Penalty ,Penalty,penalty,Penalty: Penalty ,False,False,False,False,
ED0015,Penalty_Offsetting,Penalty Offsetting,Penalty,penalty,Penalty: Penalty Offsetting,False,False,False,False,
ED0016,PenaltyShot_Missed,PenaltyShot Missed,PenaltyShot,penalty,Shot attempt result: PenaltyShot Missed,False,False,False,False,medium
ED0017,PenaltyShot_OnNet,PenaltyShot OnNet,PenaltyShot,penalty shot,Shot attempt result: PenaltyShot OnNet,True,False,False,False,high
ED0018,PenaltyShot_Saved,PenaltyShot Saved,PenaltyShot,penalty shot,Shot attempt result: PenaltyShot Saved,True,False,False,False,high
ED0019,Play_Defensive,Play Defensive,Play,play,Play type: Play Defensive,False,False,False,False,
ED0020,Play_Offensive,Play Offensive,Play,play,Play type: Play Offensive,False,False,False,False,
ED0021,Possession_Breakaway,Possession Breakaway,Possession,possession,Possession event: Possession Breakaway,False,False,False,False,
ED0022,Possession_PuckRecovery,Possession PuckRecovery,Possession,possession,Possession event: Possession PuckRecovery,False,False,False,False,
ED0023,Possession_PuckRetrieval,Possession PuckRetrieval,Possession,possession,Possession event: Possession PuckRetrieval,False,False,False,False,
ED0024,Possession_Regroup,Possession Regroup,Possession,possession,Possession event: Possession Regroup,False,False,False,False,
ED0025,Rebound_FlurryGenerated,Rebound,Rebound,rebound,Rebound event: Rebound,False,False,False,False,
ED0026,Rebound_OppTeamRecovered,Rebound,Rebound,rebound,Rebound event: Rebound,False,False,False,False,
ED0027,Rebound_ShotGenerated,Rebound,Rebound,rebound,Rebound event: Rebound,False,False,False,False,
ED0028,Rebound_TeamRecovered,Rebound,Rebound,rebound,Rebound event: Rebound,False,False,False,False,
ED0029,Save_Freeze,Save Freeze,Save,save,Goalie save: Save Freeze,False,False,False,False,
ED0030,Save_Played,Save Played,Save,save,Goalie save: Save Played,False,False,False,False,
ED0031,Save_Rebound,Save Rebound,Save,save,Goalie save: Save Rebound,False,False,False,False,
ED0032,Shootout_Missed,Shootout Missed,Shootout,shootout,Shootout attempt: Shootout Missed,True,False,False,False,medium
ED0033,Shootout_OnNet,Shootout OnNet,Shootout,shootout,Shootout attempt: Shootout OnNet,True,False,False,False,high
ED0034,Shootout_Saved,Shootout Saved,Shootout,shootout,Shootout attempt: Shootout Saved,True,False,False,False,high
