event_detail_2_id,event_detail_2_code,event_detail_2_name,event_type,event_type_macro,category,description,is_shot_on_goal,is_goal,is_miss,is_block,danger_potential
ED001,DeadIce,DeadIce ,DeadIce,Deadice,stoppage,Stoppage - DeadIce,False,False,False,False,
ED002,Giveaway_AttemptedZoneClear/Dump,Giveaway AttemptedZoneClear/Dump,Giveaway,Turnover,giveaway,Giveaway - Giveaway AttemptedZoneClear/Dump,False,False,False,False,
ED003,Giveaway_BattleLost,Giveaway BattleLost,Giveaway,Turnover,giveaway,Giveaway - Giveaway BattleLost,False,False,False,False,high
ED004,Giveaway_DumpInZone,Giveaway DumpInZone,Giveaway,Turnover,giveaway,Giveaway - Giveaway DumpInZone,False,False,False,False,
ED005,Giveaway_Misplayed,Giveaway Misplayed,Giveaway,Turnover,giveaway,Giveaway - Giveaway Misplayed,False,False,False,False,
ED006,Giveaway_Other,Giveaway Other,Giveaway,Turnover,giveaway,Giveaway - Giveaway Other,False,False,False,False,
ED007,Giveaway_PassBlocked,Giveaway PassBlocked,Giveaway,Turnover,giveaway,Giveaway - Giveaway PassBlocked,False,False,False,False,low
ED008,Giveaway_PassIntercepted,Giveaway PassIntercepted,Giveaway,Turnover,giveaway,Giveaway - Giveaway PassIntercepted,False,False,False,False,
ED009,Giveaway_PassMissed,Giveaway PassMissed,Giveaway,Turnover,giveaway,Giveaway - Giveaway PassMissed,False,False,False,False,low
ED010,Giveaway_PassReceiverMissed,Giveaway PassReceiverMissed,Giveaway,Turnover,giveaway,Giveaway - Giveaway PassReceiverMissed,False,False,False,False,low
ED011,Giveaway_ShotBlocked,Giveaway ShotBlocked,Giveaway,Turnover,giveaway,Giveaway - Giveaway ShotBlocked,False,False,False,False,low
ED012,Giveaway_ShotMissed,Giveaway ShotMissed,Giveaway,Turnover,giveaway,Giveaway - Giveaway ShotMissed,False,False,False,False,low
ED013,Giveaway_ZoneClear/Dump,Giveaway ZoneClear/Dump,Giveaway,Turnover,giveaway,Giveaway - Giveaway ZoneClear/Dump,False,False,False,False,
ED014,Giveaway_ZoneEntry/ExitMisplay,Giveaway ZoneEntry/ExitMisplay,Giveaway,Turnover,giveaway,Giveaway - Giveaway ZoneEntry/ExitMisplay,False,False,False,False,
ED015,Goal_Backhand,Goal Backhand,Goal_Scored,Goal,goal_modifier,Goal_Modifier - Goal Backhand,False,False,False,False,high
ED016,Goal_Bat,Goal Bat,Goal_Scored,Goal,goal_modifier,Goal_Modifier - Goal Bat,False,False,False,False,high
ED017,Goal_BetweenLegs,Goal BetweenLegs,Goal_Scored,Goal,goal_modifier,Goal_Modifier - Goal BetweenLegs,False,False,False,False,high
ED018,Goal_Cradle,Goal Cradle,Goal_Scored,Goal,goal_modifier,Goal_Modifier - Goal Cradle,False,False,False,False,high
ED019,Goal_Deflection,Goal Deflection,Goal_Scored,Goal,goal_modifier,Goal_Modifier - Goal Deflection,False,False,False,False,high
ED020,Goal_Dumpin,Goal Dumpin,Goal_Scored,Goal,goal_modifier,Goal_Modifier - Goal Dumpin,False,False,False,False,high
ED021,Goal_OneTime,Goal OneTime,Goal_Scored,Goal,goal_modifier,Goal_Modifier - Goal OneTime,False,False,False,False,high
ED022,Goal_Other,Goal Other,Goal_Scored,Goal,goal_modifier,Goal_Modifier - Goal Other,False,False,False,False,high
ED023,Goal_Poke,Goal Poke,Goal_Scored,Goal,goal_modifier,Goal_Modifier - Goal Poke,False,False,False,False,high
ED024,Goal_Slap,Goal Slap,Goal_Scored,Goal,goal_modifier,Goal_Modifier - Goal Slap,False,False,False,False,high
ED025,Goal_Snap,Goal Snap,Goal_Scored,Goal,goal_modifier,Goal_Modifier - Goal Snap,False,False,False,False,high
ED026,Goal_Tip,Goal Tip,Goal_Scored,Goal,goal_modifier,Goal_Modifier - Goal Tip,False,False,False,False,high
ED027,Goal_WrapAround,Goal WrapAround,Goal_Scored,Goal,goal_modifier,Goal_Modifier - Goal WrapAround,False,False,False,False,high
ED028,Goal_Wrist,Goal Wrist,Goal_Scored,Goal,goal_modifier,Goal_Modifier - Goal Wrist,False,False,False,False,high
ED029,Pass_Backhand,Pass Backhand,Pass,Pass,pass_modifier,Pass_Modifier - Pass Backhand,False,False,False,False,
