highlight_type_id,highlight_type_code,highlight_type_name,description,icon,color,auto_detect,default_buffer_before,default_buffer_after,sort_order
1,goal,Goal,Goal scored,goal,#e74c3c,true,10,15,1
2,save,Save,Great goalie save,shield,#3498db,true,5,5,2
3,hit,Hit,Big body check,zap,#f39c12,true,3,5,3
4,fight,Fight,Player altercation,alert-triangle,#9b59b6,true,5,30,4
5,penalty,Penalty,Penalty call,alert-circle,#e67e22,true,5,10,5
6,skill,Skill Play,Deke or skill move,star,#2ecc71,false,5,8,6
7,team_play,Team Play,Nice passing play,users,#1abc9c,false,8,5,7
8,defensive,Defensive,Block or defensive play,shield,#34495e,true,3,5,8
9,breakaway,Breakaway,Breakaway attempt,fast-forward,#9b59b6,true,8,10,9
10,sequence,Sequence,Extended play sequence,film,#95a5a6,false,15,10,10
11,shift,Shift,Player shift highlight,clock,#7f8c8d,false,0,0,11
12,other,Other,Other notable moment,bookmark,#bdc3c7,false,5,5,99
