micro_stat_id,stat_code,stat_name,category
MS01,screen,Screen,offense
MS02,tip,Tip/Deflection,offense
MS03,one_timer,One Timer,offense
MS04,deke,Deke,offense
MS05,board_battle_win,Board Battle Win,battles
MS06,board_battle_loss,Board Battle Loss,battles
MS07,puck_recovery,Puck Recovery,possession
MS08,puck_protection,Puck Protection,possession
MS09,stick_check,Stick Check,defense
MS10,poke_check,Poke Check,defense
MS11,backcheck,Backcheck,defense
MS12,shot_block,Shot Block,defense
MS13,pass_intercept,Pass Intercept,defense
MS14,gap_close,Gap Close,defense
MS15,forecheck_pressure,Forecheck Pressure,pressure
MS16,forecheck_win,Forecheck Win,pressure
MS17,angling,Angling,defense
MS18,box_out,Box Out,defense
MS19,net_presence,Net Presence,offense
MS20,give_and_go,Give and Go,offense
MS21,drive,Drive,offense
MS22,royal_road,Royal Road Pass,offense
