rink_zone_id,zone_code,zone_name,granularity,x_min,x_max,y_min,y_max,zone,danger,side,x_description,y_description
CZ01,offensive,Offensive Zone,coarse,125,200,0.0,85.0,O,medium,both,past blue line,full width
CZ02,neutral,Neutral Zone,coarse,75,125,0.0,85.0,N,low,both,between blue lines,full width
CZ03,defensive,Defensive Zone,coarse,0,75,0.0,85.0,D,low,both,behind blue line,full width
MZ01,oz_left,OZ Left,medium,125,200,0.0,28.3,O,low,left,,
MZ02,oz_center,OZ Center,medium,125,200,28.3,56.7,O,medium,center,,
MZ03,oz_right,OZ Right,medium,125,200,56.7,85.0,O,low,right,,
MZ04,nz_left,NZ Left,medium,75,125,0.0,28.3,N,low,left,,
MZ05,nz_center,NZ Center,medium,75,125,28.3,56.7,N,low,center,,
MZ06,nz_right,NZ Right,medium,75,125,56.7,85.0,N,low,right,,
MZ07,dz_left,DZ Left,medium,0,75,0.0,28.3,D,low,left,,
MZ08,dz_center,DZ Center,medium,0,75,28.3,56.7,D,low,center,,
MZ09,dz_right,DZ Right,medium,0,75,56.7,85.0,D,low,right,,
FZ_HD01,high_danger_slot,High Danger Slot,fine,180,189,32.0,53.0,O,high,center,inner slot,between posts
FZ_MD01,med_danger_left,Medium Danger Left,fine,169,180,22.0,32.0,O,medium,left,slot,left side
FZ_MD02,med_danger_center,Medium Danger Center,fine,169,180,32.0,53.0,O,medium,center,slot,center
FZ_MD03,med_danger_right,Medium Danger Right,fine,169,180,53.0,63.0,O,medium,right,slot,right side
FZ_LD01,low_danger_left_circle,Low Danger Left Circle,fine,150,175,0.0,22.0,O,low,left,circle,boards
FZ_LD02,low_danger_right_circle,Low Danger Right Circle,fine,150,175,63.0,85.0,O,low,right,circle,boards
FZ_LD03,low_danger_point_left,Low Danger Point Left,fine,125,150,0.0,30.0,O,low,left,point,boards
FZ_LD04,low_danger_point_center,Low Danger Point Center,fine,125,150,30.0,55.0,O,low,center,point,center
FZ_LD05,low_danger_point_right,Low Danger Point Right,fine,125,150,55.0,85.0,O,low,right,point,boards
GZ001,grid_0_0,"Grid (0,0)",grid,0,10,0.0,10.0,D,none,left,0-10ft,0-10ft
GZ002,grid_0_10,"Grid (0,10)",grid,0,10,10.0,20.0,D,none,left,0-10ft,10-20ft
GZ003,grid_0_20,"Grid (0,20)",grid,0,10,20.0,30.0,D,none,left,0-10ft,20-30ft
GZ004,grid_0_30,"Grid (0,30)",grid,0,10,30.0,40.0,D,none,center,0-10ft,30-40ft
GZ005,grid_0_40,"Grid (0,40)",grid,0,10,40.0,50.0,D,none,center,0-10ft,40-50ft
GZ006,grid_0_50,"Grid (0,50)",grid,0,10,50.0,60.0,D,none,right,0-10ft,50-60ft
GZ007,grid_0_60,"Grid (0,60)",grid,0,10,60.0,70.0,D,none,right,0-10ft,60-70ft
GZ008,grid_0_70,"Grid (0,70)",grid,0,10,70.0,80.0,D,none,right,0-10ft,70-80ft
GZ009,grid_0_80,"Grid (0,80)",grid,0,10,80.0,85.0,D,none,right,0-10ft,80-85ft
GZ010,grid_10_0,"Grid (10,0)",grid,10,20,0.0,10.0,D,none,left,10-20ft,0-10ft
GZ011,grid_10_10,"Grid (10,10)",grid,10,20,10.0,20.0,D,none,left,10-20ft,10-20ft
GZ012,grid_10_20,"Grid (10,20)",grid,10,20,20.0,30.0,D,none,left,10-20ft,20-30ft
GZ013,grid_10_30,"Grid (10,30)",grid,10,20,30.0,40.0,D,none,center,10-20ft,30-40ft
GZ014,grid_10_40,"Grid (10,40)",grid,10,20,40.0,50.0,D,none,center,10-20ft,40-50ft
GZ015,grid_10_50,"Grid (10,50)",grid,10,20,50.0,60.0,D,none,right,10-20ft,50-60ft
GZ016,grid_10_60,"Grid (10,60)",grid,10,20,60.0,70.0,D,none,right,10-20ft,60-70ft
GZ017,grid_10_70,"Grid (10,70)",grid,10,20,70.0,80.0,D,none,right,10-20ft,70-80ft
GZ018,grid_10_80,"Grid (10,80)",grid,10,20,80.0,85.0,D,none,right,10-20ft,80-85ft
GZ019,grid_20_0,"Grid (20,0)",grid,20,30,0.0,10.0,D,none,left,20-30ft,0-10ft
GZ020,grid_20_10,"Grid (20,10)",grid,20,30,10.0,20.0,D,none,left,20-30ft,10-20ft
GZ021,grid_20_20,"Grid (20,20)",grid,20,30,20.0,30.0,D,none,left,20-30ft,20-30ft
GZ022,grid_20_30,"Grid (20,30)",grid,20,30,30.0,40.0,D,none,center,20-30ft,30-40ft
GZ023,grid_20_40,"Grid (20,40)",grid,20,30,40.0,50.0,D,none,center,20-30ft,40-50ft
GZ024,grid_20_50,"Grid (20,50)",grid,20,30,50.0,60.0,D,none,right,20-30ft,50-60ft
GZ025,grid_20_60,"Grid (20,60)",grid,20,30,60.0,70.0,D,none,right,20-30ft,60-70ft
GZ026,grid_20_70,"Grid (20,70)",grid,20,30,70.0,80.0,D,none,right,20-30ft,70-80ft
GZ027,grid_20_80,"Grid (20,80)",grid,20,30,80.0,85.0,D,none,right,20-30ft,80-85ft
GZ028,grid_30_0,"Grid (30,0)",grid,30,40,0.0,10.0,D,none,left,30-40ft,0-10ft
GZ029,grid_30_10,"Grid (30,10)",grid,30,40,10.0,20.0,D,none,left,30-40ft,10-20ft
GZ030,grid_30_20,"Grid (30,20)",grid,30,40,20.0,30.0,D,none,left,30-40ft,20-30ft
GZ031,grid_30_30,"Grid (30,30)",grid,30,40,30.0,40.0,D,none,center,30-40ft,30-40ft
GZ032,grid_30_40,"Grid (30,40)",grid,30,40,40.0,50.0,D,none,center,30-40ft,40-50ft
GZ033,grid_30_50,"Grid (30,50)",grid,30,40,50.0,60.0,D,none,right,30-40ft,50-60ft
GZ034,grid_30_60,"Grid (30,60)",grid,30,40,60.0,70.0,D,none,right,30-40ft,60-70ft
GZ035,grid_30_70,"Grid (30,70)",grid,30,40,70.0,80.0,D,none,right,30-40ft,70-80ft
GZ036,grid_30_80,"Grid (30,80)",grid,30,40,80.0,85.0,D,none,right,30-40ft,80-85ft
GZ037,grid_40_0,"Grid (40,0)",grid,40,50,0.0,10.0,D,none,left,40-50ft,0-10ft
GZ038,grid_40_10,"Grid (40,10)",grid,40,50,10.0,20.0,D,none,left,40-50ft,10-20ft
GZ039,grid_40_20,"Grid (40,20)",grid,40,50,20.0,30.0,D,none,left,40-50ft,20-30ft
GZ040,grid_40_30,"Grid (40,30)",grid,40,50,30.0,40.0,D,none,center,40-50ft,30-40ft
GZ041,grid_40_40,"Grid (40,40)",grid,40,50,40.0,50.0,D,none,center,40-50ft,40-50ft
GZ042,grid_40_50,"Grid (40,50)",grid,40,50,50.0,60.0,D,none,right,40-50ft,50-60ft
GZ043,grid_40_60,"Grid (40,60)",grid,40,50,60.0,70.0,D,none,right,40-50ft,60-70ft
GZ044,grid_40_70,"Grid (40,70)",grid,40,50,70.0,80.0,D,none,right,40-50ft,70-80ft
GZ045,grid_40_80,"Grid (40,80)",grid,40,50,80.0,85.0,D,none,right,40-50ft,80-85ft
GZ046,grid_50_0,"Grid (50,0)",grid,50,60,0.0,10.0,D,none,left,50-60ft,0-10ft
GZ047,grid_50_10,"Grid (50,10)",grid,50,60,10.0,20.0,D,none,left,50-60ft,10-20ft
GZ048,grid_50_20,"Grid (50,20)",grid,50,60,20.0,30.0,D,none,left,50-60ft,20-30ft
GZ049,grid_50_30,"Grid (50,30)",grid,50,60,30.0,40.0,D,none,center,50-60ft,30-40ft
GZ050,grid_50_40,"Grid (50,40)",grid,50,60,40.0,50.0,D,none,center,50-60ft,40-50ft
GZ051,grid_50_50,"Grid (50,50)",grid,50,60,50.0,60.0,D,none,right,50-60ft,50-60ft
GZ052,grid_50_60,"Grid (50,60)",grid,50,60,60.0,70.0,D,none,right,50-60ft,60-70ft
GZ053,grid_50_70,"Grid (50,70)",grid,50,60,70.0,80.0,D,none,right,50-60ft,70-80ft
GZ054,grid_50_80,"Grid (50,80)",grid,50,60,80.0,85.0,D,none,right,50-60ft,80-85ft
GZ055,grid_60_0,"Grid (60,0)",grid,60,70,0.0,10.0,D,none,left,60-70ft,0-10ft
GZ056,grid_60_10,"Grid (60,10)",grid,60,70,10.0,20.0,D,none,left,60-70ft,10-20ft
GZ057,grid_60_20,"Grid (60,20)",grid,60,70,20.0,30.0,D,none,left,60-70ft,20-30ft
GZ058,grid_60_30,"Grid (60,30)",grid,60,70,30.0,40.0,D,none,center,60-70ft,30-40ft
GZ059,grid_60_40,"Grid (60,40)",grid,60,70,40.0,50.0,D,none,center,60-70ft,40-50ft
GZ060,grid_60_50,"Grid (60,50)",grid,60,70,50.0,60.0,D,none,right,60-70ft,50-60ft
GZ061,grid_60_60,"Grid (60,60)",grid,60,70,60.0,70.0,D,none,right,60-70ft,60-70ft
GZ062,grid_60_70,"Grid (60,70)",grid,60,70,70.0,80.0,D,none,right,60-70ft,70-80ft
GZ063,grid_60_80,"Grid (60,80)",grid,60,70,80.0,85.0,D,none,right,60-70ft,80-85ft
GZ064,grid_70_0,"Grid (70,0)",grid,70,80,0.0,10.0,D,none,left,70-80ft,0-10ft
GZ065,grid_70_10,"Grid (70,10)",grid,70,80,10.0,20.0,D,none,left,70-80ft,10-20ft
GZ066,grid_70_20,"Grid (70,20)",grid,70,80,20.0,30.0,D,none,left,70-80ft,20-30ft
GZ067,grid_70_30,"Grid (70,30)",grid,70,80,30.0,40.0,D,none,center,70-80ft,30-40ft
GZ068,grid_70_40,"Grid (70,40)",grid,70,80,40.0,50.0,D,none,center,70-80ft,40-50ft
GZ069,grid_70_50,"Grid (70,50)",grid,70,80,50.0,60.0,D,none,right,70-80ft,50-60ft
GZ070,grid_70_60,"Grid (70,60)",grid,70,80,60.0,70.0,D,none,right,70-80ft,60-70ft
GZ071,grid_70_70,"Grid (70,70)",grid,70,80,70.0,80.0,D,none,right,70-80ft,70-80ft
GZ072,grid_70_80,"Grid (70,80)",grid,70,80,80.0,85.0,D,none,right,70-80ft,80-85ft
GZ073,grid_80_0,"Grid (80,0)",grid,80,90,0.0,10.0,N,none,left,80-90ft,0-10ft
GZ074,grid_80_10,"Grid (80,10)",grid,80,90,10.0,20.0,N,none,left,80-90ft,10-20ft
GZ075,grid_80_20,"Grid (80,20)",grid,80,90,20.0,30.0,N,none,left,80-90ft,20-30ft
GZ076,grid_80_30,"Grid (80,30)",grid,80,90,30.0,40.0,N,none,center,80-90ft,30-40ft
GZ077,grid_80_40,"Grid (80,40)",grid,80,90,40.0,50.0,N,none,center,80-90ft,40-50ft
GZ078,grid_80_50,"Grid (80,50)",grid,80,90,50.0,60.0,N,none,right,80-90ft,50-60ft
GZ079,grid_80_60,"Grid (80,60)",grid,80,90,60.0,70.0,N,none,right,80-90ft,60-70ft
GZ080,grid_80_70,"Grid (80,70)",grid,80,90,70.0,80.0,N,none,right,80-90ft,70-80ft
GZ081,grid_80_80,"Grid (80,80)",grid,80,90,80.0,85.0,N,none,right,80-90ft,80-85ft
GZ082,grid_90_0,"Grid (90,0)",grid,90,100,0.0,10.0,N,none,left,90-100ft,0-10ft
GZ083,grid_90_10,"Grid (90,10)",grid,90,100,10.0,20.0,N,none,left,90-100ft,10-20ft
GZ084,grid_90_20,"Grid (90,20)",grid,90,100,20.0,30.0,N,none,left,90-100ft,20-30ft
GZ085,grid_90_30,"Grid (90,30)",grid,90,100,30.0,40.0,N,none,center,90-100ft,30-40ft
GZ086,grid_90_40,"Grid (90,40)",grid,90,100,40.0,50.0,N,none,center,90-100ft,40-50ft
GZ087,grid_90_50,"Grid (90,50)",grid,90,100,50.0,60.0,N,none,right,90-100ft,50-60ft
GZ088,grid_90_60,"Grid (90,60)",grid,90,100,60.0,70.0,N,none,right,90-100ft,60-70ft
GZ089,grid_90_70,"Grid (90,70)",grid,90,100,70.0,80.0,N,none,right,90-100ft,70-80ft
GZ090,grid_90_80,"Grid (90,80)",grid,90,100,80.0,85.0,N,none,right,90-100ft,80-85ft
GZ091,grid_100_0,"Grid (100,0)",grid,100,110,0.0,10.0,N,none,left,100-110ft,0-10ft
GZ092,grid_100_10,"Grid (100,10)",grid,100,110,10.0,20.0,N,none,left,100-110ft,10-20ft
GZ093,grid_100_20,"Grid (100,20)",grid,100,110,20.0,30.0,N,none,left,100-110ft,20-30ft
GZ094,grid_100_30,"Grid (100,30)",grid,100,110,30.0,40.0,N,none,center,100-110ft,30-40ft
GZ095,grid_100_40,"Grid (100,40)",grid,100,110,40.0,50.0,N,none,center,100-110ft,40-50ft
GZ096,grid_100_50,"Grid (100,50)",grid,100,110,50.0,60.0,N,none,right,100-110ft,50-60ft
GZ097,grid_100_60,"Grid (100,60)",grid,100,110,60.0,70.0,N,none,right,100-110ft,60-70ft
GZ098,grid_100_70,"Grid (100,70)",grid,100,110,70.0,80.0,N,none,right,100-110ft,70-80ft
GZ099,grid_100_80,"Grid (100,80)",grid,100,110,80.0,85.0,N,none,right,100-110ft,80-85ft
GZ100,grid_110_0,"Grid (110,0)",grid,110,120,0.0,10.0,N,none,left,110-120ft,0-10ft
GZ101,grid_110_10,"Grid (110,10)",grid,110,120,10.0,20.0,N,none,left,110-120ft,10-20ft
GZ102,grid_110_20,"Grid (110,20)",grid,110,120,20.0,30.0,N,none,left,110-120ft,20-30ft
GZ103,grid_110_30,"Grid (110,30)",grid,110,120,30.0,40.0,N,none,center,110-120ft,30-40ft
GZ104,grid_110_40,"Grid (110,40)",grid,110,120,40.0,50.0,N,none,center,110-120ft,40-50ft
GZ105,grid_110_50,"Grid (110,50)",grid,110,120,50.0,60.0,N,none,right,110-120ft,50-60ft
GZ106,grid_110_60,"Grid (110,60)",grid,110,120,60.0,70.0,N,none,right,110-120ft,60-70ft
GZ107,grid_110_70,"Grid (110,70)",grid,110,120,70.0,80.0,N,none,right,110-120ft,70-80ft
GZ108,grid_110_80,"Grid (110,80)",grid,110,120,80.0,85.0,N,none,right,110-120ft,80-85ft
GZ109,grid_120_0,"Grid (120,0)",grid,120,130,0.0,10.0,N,none,left,120-130ft,0-10ft
GZ110,grid_120_10,"Grid (120,10)",grid,120,130,10.0,20.0,N,none,left,120-130ft,10-20ft
GZ111,grid_120_20,"Grid (120,20)",grid,120,130,20.0,30.0,N,none,left,120-130ft,20-30ft
GZ112,grid_120_30,"Grid (120,30)",grid,120,130,30.0,40.0,N,none,center,120-130ft,30-40ft
GZ113,grid_120_40,"Grid (120,40)",grid,120,130,40.0,50.0,N,none,center,120-130ft,40-50ft
GZ114,grid_120_50,"Grid (120,50)",grid,120,130,50.0,60.0,N,none,right,120-130ft,50-60ft
GZ115,grid_120_60,"Grid (120,60)",grid,120,130,60.0,70.0,N,none,right,120-130ft,60-70ft
GZ116,grid_120_70,"Grid (120,70)",grid,120,130,70.0,80.0,N,none,right,120-130ft,70-80ft
GZ117,grid_120_80,"Grid (120,80)",grid,120,130,80.0,85.0,N,none,right,120-130ft,80-85ft
GZ118,grid_130_0,"Grid (130,0)",grid,130,140,0.0,10.0,O,low,left,130-140ft,0-10ft
GZ119,grid_130_10,"Grid (130,10)",grid,130,140,10.0,20.0,O,low,left,130-140ft,10-20ft
GZ120,grid_130_20,"Grid (130,20)",grid,130,140,20.0,30.0,O,low,left,130-140ft,20-30ft
GZ121,grid_130_30,"Grid (130,30)",grid,130,140,30.0,40.0,O,low,center,130-140ft,30-40ft
GZ122,grid_130_40,"Grid (130,40)",grid,130,140,40.0,50.0,O,low,center,130-140ft,40-50ft
GZ123,grid_130_50,"Grid (130,50)",grid,130,140,50.0,60.0,O,low,right,130-140ft,50-60ft
GZ124,grid_130_60,"Grid (130,60)",grid,130,140,60.0,70.0,O,low,right,130-140ft,60-70ft
GZ125,grid_130_70,"Grid (130,70)",grid,130,140,70.0,80.0,O,low,right,130-140ft,70-80ft
GZ126,grid_130_80,"Grid (130,80)",grid,130,140,80.0,85.0,O,low,right,130-140ft,80-85ft
GZ127,grid_140_0,"Grid (140,0)",grid,140,150,0.0,10.0,O,low,left,140-150ft,0-10ft
GZ128,grid_140_10,"Grid (140,10)",grid,140,150,10.0,20.0,O,low,left,140-150ft,10-20ft
GZ129,grid_140_20,"Grid (140,20)",grid,140,150,20.0,30.0,O,low,left,140-150ft,20-30ft
GZ130,grid_140_30,"Grid (140,30)",grid,140,150,30.0,40.0,O,low,center,140-150ft,30-40ft
GZ131,grid_140_40,"Grid (140,40)",grid,140,150,40.0,50.0,O,low,center,140-150ft,40-50ft
GZ132,grid_140_50,"Grid (140,50)",grid,140,150,50.0,60.0,O,low,right,140-150ft,50-60ft
GZ133,grid_140_60,"Grid (140,60)",grid,140,150,60.0,70.0,O,low,right,140-150ft,60-70ft
GZ134,grid_140_70,"Grid (140,70)",grid,140,150,70.0,80.0,O,low,right,140-150ft,70-80ft
GZ135,grid_140_80,"Grid (140,80)",grid,140,150,80.0,85.0,O,low,right,140-150ft,80-85ft
GZ136,grid_150_0,"Grid (150,0)",grid,150,160,0.0,10.0,O,low,left,150-160ft,0-10ft
GZ137,grid_150_10,"Grid (150,10)",grid,150,160,10.0,20.0,O,low,left,150-160ft,10-20ft
GZ138,grid_150_20,"Grid (150,20)",grid,150,160,20.0,30.0,O,low,left,150-160ft,20-30ft
GZ139,grid_150_30,"Grid (150,30)",grid,150,160,30.0,40.0,O,low,center,150-160ft,30-40ft
GZ140,grid_150_40,"Grid (150,40)",grid,150,160,40.0,50.0,O,low,center,150-160ft,40-50ft
GZ141,grid_150_50,"Grid (150,50)",grid,150,160,50.0,60.0,O,low,right,150-160ft,50-60ft
GZ142,grid_150_60,"Grid (150,60)",grid,150,160,60.0,70.0,O,low,right,150-160ft,60-70ft
GZ143,grid_150_70,"Grid (150,70)",grid,150,160,70.0,80.0,O,low,right,150-160ft,70-80ft
GZ144,grid_150_80,"Grid (150,80)",grid,150,160,80.0,85.0,O,low,right,150-160ft,80-85ft
GZ145,grid_160_0,"Grid (160,0)",grid,160,170,0.0,10.0,O,low,left,160-170ft,0-10ft
GZ146,grid_160_10,"Grid (160,10)",grid,160,170,10.0,20.0,O,low,left,160-170ft,10-20ft
GZ147,grid_160_20,"Grid (160,20)",grid,160,170,20.0,30.0,O,low,left,160-170ft,20-30ft
GZ148,grid_160_30,"Grid (160,30)",grid,160,170,30.0,40.0,O,low,center,160-170ft,30-40ft
