box_id,box_id_rev,x_min,x_max,y_min,y_max,area,x_description,y_description,danger,zone_name,side
O01,D01,89.0,100.0,-42.5,0.0,326.5,behind net,half,low,offensive,left
O02,D02,89.0,100.0,0.0,42.5,326.5,behind net,half,low,offensive,right
O03,D03,73.0,89.0,-42.5,-25.5,238.6,low,corner,low,offensive,left
O04,D04,73.0,89.0,-25.5,-8.5,272.0,low,interior,mid,offensive,left
O05,D05,73.0,89.0,-8.5,8.5,272.0,low,net_front,high,offensive,center
O06,D06,73.0,89.0,8.5,25.5,272.0,low,interior,mid,offensive,right
O07,D07,73.0,89.0,25.5,42.5,238.6,low,corner,low,offensive,right
O08,D08,57.0,73.0,-42.5,-25.5,272.0,low-mid,boards,low,offensive,left
O09,D09,57.0,73.0,-25.5,-8.5,272.0,low-mid,interior,mid,offensive,left
O10,D10,57.0,73.0,-8.5,8.5,272.0,low-mid,net_front,high,offensive,center
O11,D11,57.0,73.0,8.5,25.5,272.0,low-mid,interior,mid,offensive,right
O12,D12,57.0,73.0,25.5,42.5,272.0,low-mid,boards,low,offensive,right
O13,D13,41.0,57.0,-42.5,-25.5,272.0,mid-high,boards,low,offensive,left
O14,D14,41.0,57.0,-25.5,-8.5,272.0,mid-high,interior,mid,offensive,left
O15,D15,41.0,57.0,-8.5,8.5,272.0,mid-high,center,mid,offensive,center
O16,D16,41.0,57.0,8.5,25.5,272.0,mid-high,interior,mid,offensive,right
O17,D17,41.0,57.0,25.5,42.5,272.0,mid-high,boards,mid,offensive,right
O18,D18,25.0,41.0,-42.5,-25.5,272.0,high,boards,low,offensive,left
O19,D19,25.0,41.0,-25.5,-8.5,272.0,high,interior,low,offensive,left
O20,D20,25.0,41.0,-8.5,8.5,272.0,high,center,low,offensive,center
O21,D21,25.0,41.0,8.5,25.5,272.0,high,interior,low,offensive,right
O22,D22,25.0,41.0,25.5,42.5,272.0,high,boards,low,offensive,right
N01,N06,0.0,25.0,-42.5,-14.16667,708.33333,offensive side,boards,low,neutral,left
N02,N05,0.0,25.0,-14.16667,14.16667,708.33333,offensive side,center,low,neutral,right
N03,N04,0.0,25.0,14.16667,42.5,708.33333,offensive side,boards,low,neutral,right
N04,N03,-24.99999,0.0,-42.5,-14.16667,708.33333,defensive side,boards,low,neutral,left
N05,N02,-24.99999,0.0,-14.16667,14.16667,708.33333,defensive side,center,low,neutral,right
N06,N01,-24.99999,0.0,14.16667,42.5,708.33333,defensive side,boards,low,neutral,right
D01,O01,-100.0,-89.00001,-42.5,0.0,326.5,behind net,half,low,defensive,center
D02,O02,-100.0,-89.00001,0.0,42.5,326.5,behind net,half,low,defensive,right
D03,O03,-89.0,-73.00001,25.5,42.5,238.6,low,corner,low,defensive,right
D04,O04,-89.0,-73.00001,8.5,25.5,272.0,low,interior,mid,defensive,right
D05,O05,-89.0,-73.00001,-8.5,8.5,272.0,low,net_front,high,defensive,center
D06,O06,-89.0,-73.00001,-25.5,-8.5,272.0,low,interior,mid,defensive,left
D07,O07,-89.0,-73.00001,-42.5,-25.5,238.6,low,corner,low,defensive,left
D08,O08,-73.0,-57.00001,25.5,42.5,272.0,low-mid,boards,low,defensive,right
D09,O09,-73.0,-57.00001,8.5,25.5,272.0,low-mid,interior,mid,defensive,right
D10,O10,-73.0,-57.00001,-8.5,8.5,272.0,low-mid,net_front,high,defensive,center
D11,O11,-73.0,-57.00001,-25.5,-8.5,272.0,low-mid,interior,mid,defensive,left
D12,O12,-73.0,-57.00001,-42.5,-25.5,272.0,low-mid,boards,low,defensive,left
D13,O13,-57.0,-41.00001,25.5,42.5,272.0,mid-high,boards,low,defensive,right
D14,O14,-57.0,-41.00001,8.5,25.5,272.0,mid-high,interior,mid,defensive,right
D15,O15,-57.0,-41.00001,-8.5,8.5,272.0,mid-high,center,mid,defensive,center
D16,O16,-57.0,-41.00001,-25.5,-8.5,272.0,mid-high,interior,mid,defensive,left
D17,O17,-57.0,-41.00001,-42.5,-25.5,272.0,mid-high,boards,mid,defensive,left
D18,O18,-41.0,-25.0,25.5,42.5,272.0,high,boards,low,defensive,right
D19,O19,-41.0,-25.0,8.5,25.5,272.0,high,interior,low,defensive,right
D20,O20,-41.0,-25.0,-8.5,8.5,272.0,high,center,low,defensive,center
D21,O21,-41.0,-25.0,-25.5,-8.5,272.0,high,interior,low,defensive,left
D22,O22,-41.0,-25.0,-42.5,-25.5,272.0,high,boards,low,defensive,left
