box_id,box_id_rev,x_min,x_max,y_min,y_max,y_description,x_description,danger,slot,zone,side,dotside,depth
OZ01,DZ01,89.0,100.0,-42.5,-7.5,boards to far hash,behind net,low,outside low,offensive,right,outside trapezoid,below goal line
OZ02,DZ02,89.0,100.0,-7.5,0.0,hash to center,behind net,low,outside low,offensive,center,inside trapezoid,below goal line
OZ03,DZ03,89.0,100.0,0.0,7.5,center to hash,behind net,low,outside low,offensive,center,inside trapezoid,below goal line
OZ04,DZ04,89.0,100.0,7.5,42.5,hash to boards,behind net,low,outside low,offensive,left,outside trapezoid,below goal line
OZ05,DZ05,84.0,89.0,-42.5,-37.5,boards to hash,goal line to bottom circle,low,outside wide,offensive,right,outside dots,below bottom of circle
OZ06,DZ06,84.0,89.0,-37.5,-30.0,hash to half way to dot,goal line to bottom circle,low,outside wide,offensive,right,outside dots,below bottom of circle
OZ07,DZ07,84.0,89.0,-30.0,-22.5,half way to dot to dot,goal line to bottom circle,low,outside wide,offensive,right,outside dots,below bottom of circle
OZ08,DZ08,84.0,89.0,-22.5,-15.0,dot to half way to dot,goal line to bottom circle,low,outside wide,offensive,right,inside dots,below bottom of circle
OZ09,DZ09,84.0,89.0,-15.0,-7.5,half way to dot to hash,goal line to bottom circle,low,outside wide,offensive,right,inside dots,below bottom of circle
OZ10,DZ10,84.0,89.0,-7.5,-5.5,hash to post,goal line to bottom circle,high,low inner slot,offensive,center,inside hash marks,below bottom of circle
OZ11,DZ11,84.0,89.0,-5.5,5.5,post to post,goal line to bottom circle,high,low inner slot,offensive,center,inside hash marks,below bottom of circle
OZ12,DZ12,84.0,89.0,5.5,7.5,hash to post,goal line to bottom circle,high,low inner slot,offensive,center,inside dots,below bottom of circle
OZ13,DZ13,84.0,89.0,7.5,15.0,hash to half way to dot,goal line to bottom circle,low,outside wide,offensive,left,inside dots,below bottom of circle
OZ14,DZ14,84.0,89.0,15.0,22.5,half way to dot to dot,goal line to bottom circle,low,outside wide,offensive,left,outside dots,below bottom of circle
OZ15,DZ15,84.0,89.0,22.5,30.0,dot to half way to dot,goal line to bottom circle,low,outside wide,offensive,left,outside dots,below bottom of circle
OZ16,DZ16,84.0,89.0,30.0,37.5,half way to dot to hash,goal line to bottom circle,low,outside wide,offensive,left,outside dots,below bottom of circle
