game_id,season,season_id,game_url,date,game_time,home_team_name,away_team_name,home_team_id,away_team_id,head_to_head_id,game_type,playoff_round,last_period_type,period_length,ot_period_length,shootout_rounds,home_total_goals,away_total_goals,home_team_period1_goals,home_team_period2_goals,home_team_period3_goals,home_team_periodOT_goals,away_team_period1_goals,away_team_period2_goals,away_team_period3_goals,away_team_periodOT_goals,home_team_seeding,away_team_seeding,home_team_w,home_team_l,home_team_t,home_team_pts,away_team_w,away_team_l,away_team_t,away_team_pts
18619,2025,N2025S,https://www.noradhockey.com/event/18619/,2025-07-13 00:00:00,18:45:00,Red,Green,N10022,N10023,N10022_N10023,Regular,,Regulation,00:18:00,00:00:00,0,4,5,,,,,,,,,,,0,1,0,0,1,0,0,2
10063,20242025,N20242025F,https://www.noradhockey.com/event/tbd-vs-tbd-3/,2025-04-27 00:00:00,,HollowBrook,Triple J,N10003,N10009,N10003_N10009,Playoffs,Championship,Overtime,00:18:00,00:03:00,0,1,2,1,0,0,0,0,0,1,1,1,3,0,1,0,0,1,0,0,2
10074,20242025,N20242025F,https://www.noradhockey.com/event/tbd-vs-tbd/,2025-04-13 00:00:00,,Platinum,HollowBrook,N10008,N10003,N10003_N10008,Playoffs,SemiFinals,Regulation,00:18:00,00:00:00,0,2,4,2,0,0,0,4,0,0,0,4,1,0,1,0,0,1,0,0,2
10073,20242025,N20242025F,https://www.noradhockey.com/event/tbd-vs-tbd-2/,2025-04-13 00:00:00,,Nelson,Triple J,N10004,N10009,N10004_N10009,Playoffs,SemiFinals,Regulation,00:18:00,00:00:00,0,4,7,7,0,0,0,4,0,0,0,2,3,0,1,0,0,1,0,0,2
10066,20242025,N20242025F,https://www.noradhockey.com/event/platinum-vs-nelson/,2025-04-06 00:00:00,,Platinum,Nelson,N10008,N10004,N10004_N10008,Playoffs,RoundRobin,Regulation,00:18:00,00:00:00,0,3,4,2,0,1,0,0,1,3,0,1,2,0,1,0,0,1,0,0,2
10065,20242025,N20242025F,https://www.noradhockey.com/event/hollowbrook-vs-os-offices/,2025-04-06 00:00:00,,HollowBrook,OS Offices,N10003,N10005,N10003_N10005,Playoffs,RoundRobin,Regulation,00:18:00,00:00:00,0,9,0,2,5,2,0,0,0,0,0,1,2,1,0,0,2,0,1,0,0
10064,20242025,N20242025F,https://www.noradhockey.com/event/amos-vs-triple-j/,2025-04-06 00:00:00,,AMOS,Triple J,N10001,N10009,N10001_N10009,Playoffs,RoundRobin,Regulation,00:18:00,00:00:00,0,1,2,0,0,1,0,1,0,1,0,1,2,0,1,0,0,1,0,0,2
10069,20242025,N20242025F,https://www.noradhockey.com/event/platinum-vs-ace/,2025-03-30 00:00:00,,Platinum,Ace,N10008,N10002,N10002_N10008,Playoffs,RoundRobin,Regulation,00:18:00,00:00:00,0,12,2,4,5,3,0,1,1,0,0,1,3,1,0,0,2,0,1,0,0
10068,20242025,N20242025F,https://www.noradhockey.com/event/hollowbrook-vs-outlaws/,2025-03-30 00:00:00,,HollowBrook,Outlaws,N10003,N10007,N10003_N10007,Playoffs,RoundRobin,Regulation,00:18:00,00:00:00,0,6,2,1,3,2,0,1,1,0,0,1,3,1,0,0,2,0,1,0,0
10067,20242025,N20242025F,https://www.noradhockey.com/event/amos-vs-orphans/,2025-03-30 00:00:00,,AMOS,Orphans,N10001,N10006,N10001_N10006,Playoffs,RoundRobin,Regulation,00:18:00,00:00:00,0,5,3,0,1,4,0,2,1,0,0,1,3,1,0,0,2,0,1,0,0
10072,20242025,N20242025F,https://www.noradhockey.com/event/seed-6-vs-seed-9/,2025-03-23 00:00:00,,Nelson,Ace,N10004,N10002,N10002_N10004,Playoffs,RoundRobin,Regulation,00:18:00,00:00:00,0,7,4,1,4,2,0,2,2,0,0,2,3,1,0,0,2,0,1,0,0
10071,20242025,N20242025F,https://www.noradhockey.com/event/seed-5-vs-seed-8/,2025-03-23 00:00:00,,OS Offices,Outlaws,N10005,N10007,N10005_N10007,Playoffs,RoundRobin,Regulation,00:18:00,00:00:00,0,5,4,1,2,2,0,3,0,1,0,2,3,1,0,0,2,0,1,0,0
10070,20242025,N20242025F,https://www.noradhockey.com/event/seed-4-vs-seed-7/,2025-03-23 00:00:00,,Triple J,Orphans,N10009,N10006,N10006_N10009,Playoffs,RoundRobin,Regulation,00:18:00,00:00:00,0,5,1,2,0,3,0,0,1,0,0,2,3,1,0,0,2,0,1,0,0
18001,20242025,N20242025F,https://www.noradhockey.com/event/18001/,2025-03-16 00:00:00,,Nelson,Outlaws,N10004,N10007,N10004_N10007,Regular,,Regulation,00:18:00,00:00:00,0,0,3,0,0,0,0,1,1,1,0,,,0,1,0,0,1,0,0,2
18000,20242025,N20242025F,https://www.noradhockey.com/event/18000/,2025-03-16 00:00:00,,AMOS,Orphans,N10001,N10006,N10001_N10006,Regular,,Regulation,00:18:00,00:00:00,0,7,2,3,2,2,0,2,0,0,0,,,1,0,0,2,0,1,0,0
17999,20242025,N20242025F,https://www.noradhockey.com/event/17999/,2025-03-16 00:00:00,,OS Offices,Ace,N10005,N10002,N10002_N10005,Regular,,Regulation,00:18:00,00:00:00,0,5,6,2,1,2,0,3,3,0,0,,,0,1,0,0,1,0,0,2
