takeaway_type_id,takeaway_type_code,takeaway_type_name,skill_level,xgf_impact,value_weight,transition_potential,description
TA0001,Takeaway-BattleWon,Battle Won,medium,0.05,1.0,medium,Won 50/50 puck battle
TA0002,Takeaway-Intercept,Intercept,high,0.1,1.3,high,Read and intercepted pass - skill play
TA0003,Takeaway-PokeCheck,Poke Check,high,0.08,1.2,high,Poke check steal - active stick
TA0004,Takeaway-ForcedError,Forced Error,medium,0.07,1.1,medium,Pressure caused opponent error
TA0005,Takeaway-Recovery,Recovery,low,0.03,0.7,low,Recovered loose puck
TA0006,Takeaway-Retrieval,Retrieval,low,0.02,0.5,low,Retrieved dump-in
TA0007,Takeaway-ShotBlockRecovery,Shot Block Recovery,medium,0.04,0.8,medium,Recovered own blocked shot
TA0008,Takeaway-StickCheck,Stick Check,high,0.08,1.2,high,Stick check dispossession
TA0009,Takeaway-Strip,Strip,very_high,0.12,1.5,very_high,Stripped puck from carrier
TA0010,Takeaway-Other,Other,medium,0.05,0.9,medium,Miscellaneous takeaway
