team_name,team_id,norad_team,league_id,league,long_team_name,team_cd,team_color1,team_color2,team_color3,team_color4,team_logo,team_url
AMOS,N10001,Y,N,NORAD,AMOS,ACE,#641C28,#458BC5,#FFFFFF,,https://i0.wp.com/www.noradhockey.com/wp-content/uploads/2023/07/AMOS-Logo-small.png?resize=128%2C40&ssl=1,https://www.noradhockey.com/team/amos-2/
Ace,N10002,Y,N,NORAD,ACE,AMOS,#CA0527,#000000,#F4E8CC,,https://i0.wp.com/www.noradhockey.com/wp-content/uploads/2023/06/Ace-Hardware-Jersey-Logo.png?resize=128%2C128&ssl=1,https://www.noradhockey.com/team/ace/
HollowBrook,N10003,Y,N,NORAD,HollowBrook Dental,HBD,#4D2640,#016359,#BCC1C3,,https://i0.wp.com/www.noradhockey.com/wp-content/uploads/2017/01/HBD-Logo.png?resize=128%2C115&ssl=1,https://www.noradhockey.com/team/hollowbrook-dental/
Nelson,N10004,Y,N,NORAD,Nelson & Company,NAC,#F3C323,#000000,#FFFFFF,,https://i0.wp.com/www.noradhockey.com/wp-content/uploads/2025/08/2025-26-NC-Logo.png?resize=300%2C300&ssl=1,https://www.noradhockey.com/team/nelsoncompany/
OS Offices,N10005,Y,N,NORAD,OS Offices,OSO,#2C8A5E,#EEB70E,#FFFFFF,,https://i0.wp.com/www.noradhockey.com/wp-content/uploads/2020/10/Office-Scapes-Logo-Small-e1602519375735.png?resize=268%2C300&ssl=1,https://www.noradhockey.com/team/os-offices/
Orphans,N10006,Y,N,NORAD,World Orphans,WOR,#000000,#257A78,#FFFFFF,,https://i0.wp.com/www.noradhockey.com/wp-content/uploads/2023/07/World-Orphans-Logo-small.png?resize=128%2C125&ssl=1,https://www.noradhockey.com/team/world-orphans/
Outlaws,N10007,Y,N,NORAD,OUTCAN Outlaws,OUT,#02007B,#C80000,#C5E002,,https://i0.wp.com/www.noradhockey.com/wp-content/uploads/2024/08/OUTCAN-Outlaws-Logo.png?resize=128%2C117&ssl=1,https://www.noradhockey.com/team/outcan-outlaws/
Platinum,N10008,Y,N,NORAD,Platinum Group,TPG,#919294,#253464,#126C3D,,https://i0.wp.com/www.noradhockey.com/wp-content/uploads/2025/04/Hartford-Final-scaled.png?w=2534&ssl=1,https://www.noradhockey.com/team/platinum-group/
Triple J,N10009,Y,N,NORAD,Triple J,JJJ,#4EB9E5,#D83E3D,#EFAD08,#030629,https://i0.wp.com/www.noradhockey.com/wp-content/uploads/2017/01/Image_11-11-24_at_10.17_AM-removebg-preview-1.png?resize=128%2C110&ssl=1,https://www.noradhockey.com/team/triple-j/
Velodrome,N10010,Y,N,NORAD,Colorado Springs Velodrome,COS,#9C47E4,#000000,#FFFFFF,,https://i0.wp.com/www.noradhockey.com/wp-content/uploads/2025/08/2024-25-VEL-Jersey-Logo.png?fit=128%2C128&ssl=1,https://www.noradhockey.com/team/cos-velodrome/
Norad,N10011,Y,N,NORAD,Norad,NOR,#B21A18,#012B68,,,https://www.noradhockey.com/wp-content/uploads/2022/05/New-NORAD-Logo-White.png,https://www.noradhockey.com/
Canada,N10012,Y,N,NORAD,Canada Colorado,CAN,#B21A18,#012B68,,,https://www.noradhockey.com/wp-content/uploads/2022/05/New-NORAD-Logo-White.png,https://www.noradhockey.com/team/canada-colorado/
Red,N10022,Y,N,NORAD,Red,RED,#CA0527,#FFFFFF,#000000,,https://i0.wp.com/www.noradhockey.com/wp-content/uploads/2025/05/Red.png?resize=294%2C300&ssl=1,https://www.noradhockey.com/team/red-team/
Green,N10023,Y,N,NORAD,Green,GRN,#04c946,#FFFFFF,#000000,,https://i0.wp.com/www.noradhockey.com/wp-content/uploads/2025/05/Green.png?resize=294%2C300&ssl=1,https://www.noradhockey.com/team/green-team/
Blue,N10024,Y,N,NORAD,Blue,BLE,#0255d1,#FFFFFF,#000000,,https://i0.wp.com/www.noradhockey.com/wp-content/uploads/2025/05/Blue.png?resize=294%2C300&ssl=1,https://www.noradhockey.com/team/blue-team/
Yellow,N10025,Y,N,NORAD,Yellow,YEL,#F3C323,#FFFFFF,#000000,,https://i0.wp.com/www.noradhockey.com/wp-content/uploads/2025/06/Yellow-Team-Logo.png?resize=294%2C300&ssl=1,https://www.noradhockey.com/team/yellow-team/
Free Agent,N10026,Y,N,NORAD,Free Agent,FRA,#B21A18,#012B68,,,https://www.noradhockey.com/wp-content/uploads/2022/05/New-NORAD-Logo-White.png,https://www.noradhockey.com/
