turnover_type_id,turnover_type_code,turnover_type_name,category,quality,weight,description,zone_context,zone_danger_multiplier,old_equiv
TO01,giveaway_pass_intercept,Pass Intercepted,giveaway,bad,1.0,Pass picked off,any,1.0,Pass_Intercepted
TO02,giveaway_bad_pass,Bad Pass,giveaway,bad,1.0,Pass to nobody,any,1.0,Pass_Missed
TO03,giveaway_puck_lost,Puck Lost,giveaway,neutral,0.8,Lost possession,any,1.0,PuckLost
TO04,giveaway_forced,Forced Turnover,giveaway,neutral,0.6,Under pressure,any,0.8,Forced
TO05,giveaway_zone_clear_fail,Failed Clear,giveaway,bad,1.2,Defensive zone,D,1.5,ZoneClear_Fail
TO06,giveaway_dump_fail,Failed Dump,giveaway,neutral,0.5,Dump and no chase,any,0.5,DumpIn_Fail
TO10,takeaway_stick_check,Stick Check,takeaway,good,1.0,Poke or lift,any,1.0,StickCheck
TO11,takeaway_intercept,Interception,takeaway,good,1.2,Read the play,any,1.0,Intercept
TO12,takeaway_body_check,Body Check,takeaway,good,1.0,Physical separation,any,1.0,BodyCheck
TO13,takeaway_forecheck,Forecheck Win,takeaway,good,1.1,Won on forecheck,O,1.2,Forecheck
TO14,takeaway_backcheck,Backcheck Win,takeaway,good,1.1,Won on backcheck,D,1.2,Backcheck
TO15,takeaway_battle,Battle Win,takeaway,good,0.9,Won puck battle,any,1.0,BattleWin
