log_key,run_id,table_name,started_at,completed_at,status,rows_in_source,rows_loaded,rows_quarantined,rows_failed,duration_seconds,error_message,source_checksum
LOG000000,20251231_050719,dim_comparison_type,2025-12-31T05:07:19.658486,2025-12-31T05:07:19.661900,success,0,6,0,0,0.003414,,
LOG000001,20251231_050719,dim_composite_rating,2025-12-31T05:07:19.664432,2025-12-31T05:07:19.666601,success,0,8,0,0,0.002169,,
LOG000002,20251231_050719,dim_danger_zone,2025-12-31T05:07:19.669128,2025-12-31T05:07:19.671273,success,0,4,0,0,0.002145,,
LOG000003,20251231_050719,dim_event_detail,2025-12-31T05:07:19.673627,2025-12-31T05:07:19.675802,success,0,59,0,0,0.002175,,
LOG000004,20251231_050719,dim_event_detail_2,2025-12-31T05:07:19.678124,2025-12-31T05:07:19.681204,success,0,97,0,0,0.00308,,
LOG000005,20251231_050719,dim_event_type,2025-12-31T05:07:19.683618,2025-12-31T05:07:19.685725,success,0,20,0,0,0.002107,,
LOG000006,20251231_050719,dim_giveaway_type,2025-12-31T05:07:19.688067,2025-12-31T05:07:19.690528,success,0,12,0,0,0.002461,,
LOG000007,20251231_050719,dim_highlight_subtype,2025-12-31T05:07:19.693027,2025-12-31T05:07:19.695563,success,0,25,0,0,0.002536,,
LOG000008,20251231_050719,dim_highlight_type,2025-12-31T05:07:19.698143,2025-12-31T05:07:19.700825,success,0,12,0,0,0.002682,,
LOG000009,20251231_050719,dim_league,2025-12-31T05:07:19.703287,2025-12-31T05:07:19.705423,success,0,2,0,0,0.002136,,
LOG000010,20251231_050719,dim_micro_stat,2025-12-31T05:07:19.707863,2025-12-31T05:07:19.710291,success,0,22,0,0,0.002428,,
LOG000011,20251231_050719,dim_net_location,2025-12-31T05:07:19.712682,2025-12-31T05:07:19.714848,success,0,10,0,0,0.002166,,
LOG000012,20251231_050719,dim_pass_type,2025-12-31T05:07:19.717458,2025-12-31T05:07:19.720266,success,0,16,0,0,0.002808,,
LOG000013,20251231_050719,dim_period,2025-12-31T05:07:19.722775,2025-12-31T05:07:19.725350,success,0,5,0,0,0.002575,,
LOG000014,20251231_050719,dim_play_detail,2025-12-31T05:07:19.727952,2025-12-31T05:07:19.731284,success,0,154,0,0,0.003332,,
LOG000015,20251231_050719,dim_play_detail_2,2025-12-31T05:07:19.733925,2025-12-31T05:07:19.736370,success,0,62,0,0,0.002445,,
LOG000016,20251231_050719,dim_player,2025-12-31T05:07:19.739021,2025-12-31T05:07:19.747977,success,0,337,0,0,0.008956,,
LOG000017,20251231_050719,dim_player_role,2025-12-31T05:07:19.750590,2025-12-31T05:07:19.753255,success,0,14,0,0,0.002665,,
LOG000018,20251231_050719,dim_playerurlref,2025-12-31T05:07:19.756090,2025-12-31T05:07:19.760743,success,0,548,0,0,0.004653,,
LOG000019,20251231_050719,dim_position,2025-12-31T05:07:19.763385,2025-12-31T05:07:19.765769,success,0,7,0,0,0.002384,,
LOG000020,20251231_050719,dim_randomnames,2025-12-31T05:07:19.768367,2025-12-31T05:07:19.772637,success,0,486,0,0,0.00427,,
LOG000021,20251231_050719,dim_rink_coord,2025-12-31T05:07:19.775213,2025-12-31T05:07:19.777618,success,0,19,0,0,0.002405,,
LOG000022,20251231_050719,dim_rinkboxcoord,2025-12-31T05:07:19.780333,2025-12-31T05:07:19.783413,success,0,50,0,0,0.00308,,
LOG000023,20251231_050719,dim_rinkcoordzones,2025-12-31T05:07:19.786064,2025-12-31T05:07:19.790327,success,0,198,0,0,0.004263,,
LOG000024,20251231_050719,dim_schedule,2025-12-31T05:07:19.793065,2025-12-31T05:07:19.806374,success,0,562,0,0,0.013309,,
LOG000025,20251231_050719,dim_season,2025-12-31T05:07:19.809204,2025-12-31T05:07:19.812197,success,0,9,0,0,0.002993,,
LOG000026,20251231_050719,dim_shift_slot,2025-12-31T05:07:19.815308,2025-12-31T05:07:19.817700,success,0,7,0,0,0.002392,,
LOG000027,20251231_050719,dim_shift_start_type,2025-12-31T05:07:19.820832,2025-12-31T05:07:19.823642,success,0,9,0,0,0.00281,,
LOG000028,20251231_050719,dim_shift_stop_type,2025-12-31T05:07:19.826497,2025-12-31T05:07:19.829396,success,0,28,0,0,0.002899,,
LOG000029,20251231_050719,dim_shot_type,2025-12-31T05:07:19.832218,2025-12-31T05:07:19.835278,success,0,14,0,0,0.00306,,
LOG000030,20251231_050719,dim_situation,2025-12-31T05:07:19.838189,2025-12-31T05:07:19.840632,success,0,5,0,0,0.002443,,
LOG000031,20251231_050719,dim_stat,2025-12-31T05:07:19.843719,2025-12-31T05:07:19.847505,success,0,83,0,0,0.003786,,
