event_id,game_id,period,period_id,event_type,event_type_id,event_detail,event_detail_id,event_detail_2,event_detail_2_id,event_successful,success_id,event_team_zone,event_zone_id,sequence_key,play_key,event_chain_key,tracking_event_key,home_team,home_team_id,away_team,away_team_id,duration,event_player_ids,opp_player_ids,event_start_min,event_start_sec,event_end_min,event_end_sec,time_start_total_seconds,time_end_total_seconds,event_running_start,event_running_end,running_video_time,period_start_total_running_seconds,running_intermission_duration,team_venue,team_venue_abv,player_team,home_team_zone,away_team_zone,player_role,side_of_puck,role_number,role_abrev,player_game_number,strength,play_detail1,play_detail_2,play_detail_successful,pressured_pressurer,is_goal,is_highlight,strength_id,player_name,season_id,position_id,shot_type_id,zone_entry_type_id,zone_exit_type_id,stoppage_type_id,giveaway_type_id,takeaway_type_id,turnover_type_id,pass_type_id,time_bucket_id,player_rating,cycle_key,is_cycle,is_rebound,is_zone_entry,is_zone_exit,is_controlled_entry,is_carried_entry,is_controlled_exit,is_carried_exit,is_rush,is_save,is_turnover,is_giveaway,is_bad_giveaway,is_takeaway,is_faceoff,is_penalty,is_blocked_shot,is_missed_shot,is_deflected,is_tipped,is_sog,is_corsi,is_fenwick,shot_outcome_id,pass_outcome_id,save_outcome_id,zone_outcome_id,is_scoring_chance,is_high_danger,is_pressured,danger_level,danger_level_id,scoring_chance_key,prev_event_id,prev_event_type,prev_event_detail,prev_event_team,prev_event_same_team,next_event_id,next_event_type,next_event_detail,next_event_team,next_event_same_team,time_since_prev,time_to_next,time_to_next_sog,time_since_last_sog,events_to_next_sog,events_since_last_sog,next_sog_result,led_to_sog,is_pre_shot_event,is_shot_assist,time_to_next_goal,time_since_last_goal,events_to_next_goal,events_since_last_goal,led_to_goal,time_since_zone_entry,events_since_zone_entry,time_since_zone_exit,sequence_event_num,sequence_total_events,sequence_duration,is_sequence_first,is_sequence_last,sequence_has_sog,sequence_has_goal,sequence_shot_count,consecutive_team_events,time_since_possession_change,events_since_possession_change,time_since_faceoff,events_since_faceoff,is_rush_calculated,time_from_entry_to_shot,breakout_key,breakout_successful,turnover_weight,turnover_zone_multiplier,turnover_category,time_to_next_event,time_from_last_event,time_to_next_goal_for,time_to_next_goal_against,time_from_last_goal_for,time_from_last_goal_against,time_to_next_stoppage,time_from_last_stoppage,event_player_1_toi,event_player_2_toi,event_player_3_toi,event_player_4_toi,event_player_5_toi,event_player_6_toi,opp_player_1_toi,opp_player_2_toi,opp_player_3_toi,opp_player_4_toi,opp_player_5_toi,opp_player_6_toi,team_on_ice_toi_avg,team_on_ice_toi_min,team_on_ice_toi_max,opp_on_ice_toi_avg,opp_on_ice_toi_min,opp_on_ice_toi_max
EV1896901504,18969,2,P02,Zone_Entry_Exit,ET0006,Zone_Exit,ED0052,ZoneExit_Pass,ED171,True,SC01,Defensive,ZN02,SQ1896900054,PL1896905404,EC18969001504,TV1896901504,Platinum,N10008,Velodrome,N10010,0.0,"P100132,P100201",,17.0,52.0,17.0,52.0,1072.0,1072.0,1328.0,1328.0,2228.0,1200,900,a,,Velodrome,Offensive,Defensive,event_player_1,Offensive,1,e1,14.0,5v5,,,,,0,0,STR01,Nick Ciampoli,N20252026F,4.0,,,ZX0008,,,,,,TB01,4.0,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,EV1896901503,Pass,Pass_Completed,Velodrome,1,EV1896901505,Possession,,Velodrome,1,0.0,0.0,24.0,,39.0,,goal,0,0,0,24.0,,40.0,,0,7.0,8.0,,1.0,37.0,68.0,1,0,1,0,1.0,7,8.0,10.0,8.0,10.0,0,,BO189690015,,,,,0.0,0.0,-1.0,-1.0,24.0,361.0,-1.0,24.0,968.0,1591.99,,,,,,,,,,,1279.995,968.0,1591.99,,,
EV1896902053,18969,3,P03,Zone_Entry_Exit,ET0006,Zone_Exit,ED0052,ZoneExit_PassMiss_Misplay,ED172,,,Defensive,ZN02,SQ1896900093,PL1896909307,EC18969002053,TV1896902053,Platinum,N10008,Velodrome,N10010,0.0,P100198,,17.0,50.0,17.0,50.0,1070.0,1070.0,2530.0,2530.0,4330.0,2400,1800,a,,Velodrome,Offensive,Defensive,event_player_1,Offensive,1,e1,84.0,5v5,,,,,0,0,STR01,Maxwell Donaty,N20252026F,5.0,,,ZX0008,,,,,,TB01,4.0,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,EV1896902052,Pass,Pass_Missed,Velodrome,1,EV1896901005,Zone_Entry_Exit,Zone_Entry,Platinum,0,0.0,1.0,22.0,,35.0,,goal,0,0,0,22.0,,36.0,,0,9.0,12.0,2.0,3.0,29.0,1044.0,0,0,0,0,0.0,2,10.0,14.0,10.0,14.0,0,,BO189690019,,,,,0.0,0.0,-1.0,-1.0,22.0,359.0,-1.0,22.0,1646.98,,,,,,,,,,,,1646.98,1646.98,1646.98,,,
EV1896901009,18969,1,P01,Zone_Entry_Exit,ET0006,Zone_Exit,ED0052,ZoneExit_Pass,ED171,True,SC01,Defensive,ZN02,SQ1896900002,PL1896900205,EC18969001009,TV1896901009,Platinum,N10008,Velodrome,N10010,0.0,"P100070,P100161",,17.0,41.0,17.0,41.0,1061.0,1061.0,139.0,139.0,139.0,0,0,a,,Velodrome,Offensive,Defensive,event_player_1,Offensive,1,e1,52.0,5v5,,,,,0,0,STR01,Hayden Perea,N20252026F,5.0,,,ZX0008,,,,,,TB01,4.0,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,EV1896901008,Pass,Pass_Completed,Velodrome,1,EV1896902058,Turnover,Turnover_Giveaway,Platinum,0,0.0,0.0,13.0,,20.0,,goal,0,0,0,13.0,,21.0,,0,3.0,8.0,9.0,3.0,33.0,113.0,0,0,1,0,2.0,2,1.0,3.0,19.0,29.0,0,,BO189690034,,,,,0.0,2.0,-1.0,-1.0,13.0,350.0,-1.0,13.0,1568.98,1356.99,,,,,,,,,,,1462.985,1356.99,1568.98,,,
EV1896901512,18969,2,P02,Zone_Entry_Exit,ET0006,Zone_Exit,ED0052,ZoneExit_Carried,ED175,True,SC01,Defensive,ZN02,SQ1896900054,PL1896905402,EC18969001512,TV1896901512,Platinum,N10008,Velodrome,N10010,0.0,P100192,,17.0,37.0,17.0,37.0,1057.0,1057.0,1343.0,1343.0,2243.0,1200,900,h,,Platinum,Offensive,Defensive,event_player_1,Offensive,1,e1,53.0,5v5,,,,,0,0,STR01,Chris Premo,N20252026F,4.0,,,ZX0001,,,,,,TB01,5.0,,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,EV1896901011,Zone_Entry_Exit,Zone_Entry,Velodrome,0,EV1896901513,Possession,,Platinum,1,0.0,1.0,9.0,,14.0,,goal,0,0,0,9.0,,15.0,,0,0.0,1.0,4.0,9.0,37.0,68.0,0,0,1,0,1.0,1,4.0,5.0,23.0,35.0,0,,BO189690040,,,,,0.0,1.0,-1.0,-1.0,346.0,9.0,-1.0,9.0,1705.0,,,,,,,,,,,,1705.0,1705.0,1705.0,,,
EV1896901019,18969,1,P01,Zone_Entry_Exit,ET0006,Zone_Exit,ED0052,ZoneExit_PassMiss_Misplay,ED172,,,Defensive,ZN02,SQ1896900002,PL1896900202,EC18969001019,TV1896901019,Platinum,N10008,Velodrome,N10010,0.0,"P100025,P100192",,17.0,20.0,17.0,20.0,1040.0,1040.0,160.0,160.0,160.0,0,0,h,,Platinum,Offensive,Defensive,event_player_1,Offensive,1,e1,21.0,5v5,,,,,0,0,STR01,Andrew Marshall,N20252026F,4.0,,,ZX0008,,,,,,TB01,4.0,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,EV1896901018,Pass,Pass_Missed,Platinum,1,EV1896901020,Possession,PuckRecovery,Platinum,1,0.0,0.0,32.0,4.0,36.0,5.0,save,1,0,0,329.0,8.0,499.0,11.0,0,14.0,23.0,17.0,13.0,33.0,113.0,0,0,1,0,2.0,3,7.0,7.0,8.0,8.0,0,,BO189690066,,,,,0.0,1.0,-1.0,8.0,329.0,692.0,8.0,39.0,1565.98,1705.0,,,,,,,,,,,1635.49,1565.98,1705.0,,,
EV1896901523,18969,2,P02,Zone_Entry_Exit,ET0006,Zone_Exit,ED0052,ZoneExit_PassMiss_Misplay,ED172,,,Defensive,ZN02,SQ1896900054,PL1896905408,EC18969001523,TV1896901523,Platinum,N10008,Velodrome,N10010,0.0,"P100198,P100201",P100024,17.0,19.0,17.0,19.0,1039.0,1039.0,1361.0,1361.0,2261.0,1200,900,a,,Velodrome,Offensive,Defensive,event_player_1,Offensive,1,e1,84.0,5v5,,,,,0,0,STR01,Maxwell Donaty,N20252026F,5.0,,,ZX0008,,,,,,TB01,4.0,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,EV1896901522,Pass,Pass_Deflected,Velodrome,1,EV1896901021,Possession,,Platinum,0,0.0,4.0,31.0,5.0,32.0,9.0,save,0,0,0,328.0,9.0,495.0,15.0,0,15.0,27.0,1.0,20.0,37.0,68.0,0,0,1,0,1.0,3,8.0,11.0,9.0,12.0,0,,BO189690070,,,,,0.0,4.0,9.0,-1.0,691.0,328.0,9.0,38.0,1562.98,1591.99,,,,,966.99,,,,,,1577.485,1562.98,1591.99,966.99,966.99,966.99
EV1896901528,18969,2,P02,Zone_Entry_Exit,ET0006,Zone_Exit,ED0052,ZoneExit_Carried,ED175,True,SC01,Defensive,ZN02,SQ1896900054,PL1896905405,EC18969001528,TV1896901528,Platinum,N10008,Velodrome,N10010,1.0,P100023,,17.0,7.0,17.0,6.0,1027.0,1026.0,1373.0,1374.0,2273.0,1200,900,h,,Platinum,Offensive,Defensive,event_player_1,Offensive,1,e1,3.0,5v5,,,,,0,0,STR01,Alex Considine,N20252026F,5.0,,,ZX0001,,,,,,TB01,4.0,,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,EV1896901023,Possession,,Platinum,1,EV1896901529,Possession,,Platinum,1,1.0,1.0,19.0,17.0,24.0,17.0,save,0,0,0,316.0,21.0,487.0,23.0,0,5.0,4.0,12.0,25.0,37.0,68.0,0,0,1,0,1.0,5,4.0,3.0,21.0,20.0,0,,BO189690078,,,,,1.0,1.0,-1.0,21.0,316.0,679.0,21.0,26.0,1669.99,,,,,,,,,,,,1669.99,1669.99,1669.99,,,
EV1896901534,18969,2,P02,Zone_Entry_Exit,ET0006,Zone_Exit,ED0052,ZoneExit_Carried,ED175,True,SC01,Defensive,ZN02,SQ1896900054,PL1896905410,EC18969001534,TV1896901534,Platinum,N10008,Velodrome,N10010,1.0,P100201,,16.0,54.0,16.0,53.0,1014.0,1013.0,1386.0,1387.0,2286.0,1200,900,a,,Velodrome,Offensive,Defensive,event_player_1,Offensive,1,e1,42.0,5v5,,,,,0,0,STR01,Garrett Ashcroft,N20252026F,4.0,,,ZX0001,,,,,,TB01,5.0,,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,EV1896901533,Possession,PuckRetrieval,Velodrome,1,EV1896902075,Possession,PuckRetrieval,Velodrome,1,2.0,0.0,6.0,30.0,9.0,32.0,save,0,0,0,303.0,34.0,472.0,38.0,0,4.0,5.0,13.0,31.0,37.0,68.0,0,0,1,0,1.0,2,3.0,3.0,34.0,35.0,0,,BO189690093,,,,,2.0,0.0,34.0,-1.0,666.0,303.0,34.0,13.0,1542.99,,,,,,,,,,,,1542.99,1542.99,1542.99,,,
EV1896902079,18969,3,P03,Zone_Entry_Exit,ET0006,Zone_Exit,ED0052,ZoneExit_Pass,ED171,True,SC01,Defensive,ZN02,SQ1896900097,PL1896909704,EC18969002079,TV1896902079,Platinum,N10008,Velodrome,N10010,1.0,P100001,,16.0,47.0,16.0,46.0,1007.0,1006.0,2593.0,2594.0,4393.0,2400,1800,a,,Velodrome,Offensive,Defensive,event_player_1,Offensive,1,e1,70.0,5v5,,,,,0,0,STR01,Sam Downs,N20252026F,4.0,,,ZX0008,,,,,,TB01,6.0,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,EV1896902078,Pass,Pass_Completed,Velodrome,1,EV1896901538,Pass,Pass_Completed,Velodrome,1,0.0,1.0,11.0,1.0,22.0,5.0,save,0,0,0,296.0,41.0,458.0,52.0,0,4.0,8.0,7.0,8.0,21.0,130.0,0,0,1,0,3.0,5,10.0,17.0,41.0,49.0,0,,BO189690107,,,,,1.0,0.0,41.0,-1.0,659.0,296.0,41.0,6.0,1612.97,,,,,,,,,,,,1612.97,1612.97,1612.97,,,
EV1896901037,18969,1,P01,Zone_Entry_Exit,ET0006,Zone_Exit,ED0052,ZoneExit_Pass,ED171,True,SC01,Defensive,ZN02,SQ1896900002,PL1896900207,EC18969001037,TV1896901037,Platinum,N10008,Velodrome,N10010,0.0,"P100001,P100108",,16.0,42.0,16.0,42.0,1002.0,1002.0,198.0,198.0,198.0,0,0,a,,Velodrome,Offensive,Defensive,event_player_1,Offensive,1,e1,22.0,5v5,,,,,0,0,STR01,Sam Downs,N20252026F,4.0,,,ZX0008,,,,,,TB01,6.0,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,EV1896901036,Pass,Pass_Completed,Velodrome,1,EV1896902084,Shot,Shot_Blocked,Platinum,0,0.0,0.0,6.0,6.0,9.0,18.0,save,0,0,0,291.0,46.0,445.0,65.0,0,1.0,2.0,5.0,27.0,33.0,113.0,0,0,1,0,2.0,2,2.0,5.0,46.0,62.0,0,,BO189690120,,,,,1.0,0.0,46.0,-1.0,654.0,291.0,46.0,1.0,1612.97,791.98,,,,,,,,,,,1202.475,791.98,1612.97,,,
