cycle_key,game_id,season_id,team_id,team_name,home_team_id,away_team_id,pass_count,event_count,player_count,start_event_id,end_event_id,start_time,end_time,duration_seconds,ended_with,ended_with_shot,ended_with_goal,event_ids,player_ids,period,period_id
CY189690001,18969,N20252026F,N10008,Platinum,N10008,N10010,3,7,2,EV1896901046,EV1896901052,105.0,120.0,15.0,zone_change,0,0,"EV1896901046,EV1896901047,EV1896901048,EV1896901049,EV1896901050,EV1896901051,EV1896901052","P100022,P100117",1,P01
CY189690002,18969,N20252026F,N10008,Platinum,N10008,N10010,5,11,4,EV1896901179,EV1896901189,347.0,364.0,17.0,shot,1,0,"EV1896901179,EV1896901180,EV1896901181,EV1896901182,EV1896901183,EV1896901184,EV1896901185,EV1896901186,EV1896901187,EV1896901188,EV1896901189","P100107,P100117,P100024,P100023",1,P01
CY189690003,18969,N20252026F,N10008,Platinum,N10008,N10010,3,5,3,EV1896901448,EV1896901452,967.0,971.0,4.0,shot,1,0,"EV1896901448,EV1896901449,EV1896901450,EV1896901451,EV1896901452","P100030,P100222,P100117",1,P01
CY189690004,18969,N20252026F,N10008,Platinum,N10008,N10010,3,7,3,EV1896901600,EV1896901606,1327.0,1336.0,9.0,shot,1,0,"EV1896901600,EV1896901601,EV1896901602,EV1896901603,EV1896901604,EV1896901605,EV1896901606","P100022,P100117,P100210",2,P02
CY189690005,18969,N20252026F,N10008,Platinum,N10008,N10010,3,8,4,EV1896901686,EV1896901693,1519.0,1535.0,16.0,shot,1,0,"EV1896901686,EV1896901687,EV1896901688,EV1896901689,EV1896901690,EV1896901691,EV1896901692,EV1896901693","P100192,P100024,P100025,P100030",2,P02
CY189690006,18969,N20252026F,N10010,Velodrome,N10008,N10010,4,10,4,EV1896902022,EV1896902031,2174.0,2187.0,13.0,shot,1,0,"EV1896902022,EV1896902023,EV1896902024,EV1896902025,EV1896902026,EV1896902027,EV1896902028,EV1896902029,EV1896902030,EV1896902031","P100108,P100001,P100070,P100002",2,P02
CY189690007,18969,N20252026F,N10010,Velodrome,N10008,N10010,3,7,4,EV1896902061,EV1896902067,2313.0,2323.0,10.0,shot,1,0,"EV1896902061,EV1896902062,EV1896902063,EV1896902064,EV1896902065,EV1896902066,EV1896902067","P100198,P100132,P100001,P100064",3,P03
CY189770008,18977,N20252026F,N10010,Velodrome,N10010,N10003,3,4,2,EV1897701048,EV1897701051,155.0,162.0,7.0,turnover,0,0,"EV1897701048,EV1897701049,EV1897701050,EV1897701051","P100070,P100201",1,P01
CY189770009,18977,N20252026F,N10003,HollowBrook,N10010,N10003,4,6,3,EV1897701200,EV1897701205,521.0,532.0,11.0,turnover,0,0,"EV1897701200,EV1897701201,EV1897701202,EV1897701203,EV1897701204,EV1897701205","P100211,P100123,P100088",1,P01
CY189770010,18977,N20252026F,N10003,HollowBrook,N10010,N10003,3,6,2,EV1897701250,EV1897701255,634.0,645.0,11.0,zone_change,0,0,"EV1897701250,EV1897701251,EV1897701252,EV1897701253,EV1897701254,EV1897701255","P100038,P100086",1,P01
CY189770011,18977,N20252026F,N10010,Velodrome,N10010,N10003,3,6,2,EV1897701291,EV1897701296,705.0,717.0,12.0,shot,1,0,"EV1897701291,EV1897701292,EV1897701293,EV1897701294,EV1897701295,EV1897701296","P100132,P100002",1,P01
CY189770012,18977,N20252026F,N10010,Velodrome,N10010,N10003,3,5,3,EV1897701323,EV1897701327,795.0,799.0,4.0,zone_entry_exit,0,0,"EV1897701323,EV1897701324,EV1897701325,EV1897701326,EV1897701327","P100224,P100132,P100201",1,P01
CY189770013,18977,N20252026F,N10003,HollowBrook,N10010,N10003,4,8,4,EV1897701350,EV1897701357,837.0,856.0,19.0,shot,1,0,"EV1897701350,EV1897701351,EV1897701352,EV1897701353,EV1897701354,EV1897701355,EV1897701356,EV1897701357","P100123,P100084,P100049,P100088",1,P01
CY189770014,18977,N20252026F,N10010,Velodrome,N10010,N10003,3,7,3,EV1897701548,EV1897701554,1384.0,1398.0,14.0,zone_entry_exit,0,0,"EV1897701548,EV1897701549,EV1897701550,EV1897701551,EV1897701552,EV1897701553,EV1897701554","P100070,P100001,P100105",2,P02
CY189770015,18977,N20252026F,N10010,Velodrome,N10010,N10003,3,5,3,EV1897701561,EV1897701565,1410.0,1419.0,9.0,zone_entry_exit,0,0,"EV1897701561,EV1897701562,EV1897701563,EV1897701564,EV1897701565","P100001,P100105,P100070",2,P02
CY189770016,18977,N20252026F,N10010,Velodrome,N10010,N10003,3,4,4,EV1897701665,EV1897701668,1708.0,1714.0,6.0,shot,1,0,"EV1897701665,EV1897701666,EV1897701667,EV1897701668","P100224,P100001,P100132,P100105",2,P02
CY189770017,18977,N20252026F,N10010,Velodrome,N10010,N10003,3,7,3,EV1897702260,EV1897702266,3124.0,3134.0,10.0,shot,1,0,"EV1897702260,EV1897702261,EV1897702262,EV1897702263,EV1897702264,EV1897702265,EV1897702266","P100159,P100132,P100001",3,P03
CY189810018,18981,N20252026F,N10010,Velodrome,N10004,N10010,3,5,3,EV1898101027,EV1898101031,29.0,36.0,7.0,zone_entry_exit,0,0,"EV1898101027,EV1898101028,EV1898101029,EV1898101030,EV1898101031","P100198,P100159,P100001",1,P01
CY189810019,18981,N20252026F,N10004,Nelson,N10004,N10010,3,5,3,EV1898101256,EV1898101260,600.0,609.0,9.0,turnover,0,0,"EV1898101256,EV1898101257,EV1898101258,EV1898101259,EV1898101260","P100119,P100078,P100061",1,P01
CY189810020,18981,N20252026F,N10010,Velodrome,N10004,N10010,4,8,3,EV1898101594,EV1898101601,1530.0,1549.0,19.0,shot,1,0,"EV1898101594,EV1898101595,EV1898101596,EV1898101597,EV1898101598,EV1898101599,EV1898101600,EV1898101601","P100198,P100001,P100002",2,P02
CY189810021,18981,N20252026F,N10004,Nelson,N10004,N10010,3,8,4,EV1898101675,EV1898101682,1745.0,1757.0,12.0,shot,1,0,"EV1898101675,EV1898101676,EV1898101677,EV1898101678,EV1898101679,EV1898101680,EV1898101681,EV1898101682","P100079,P100066,P100061,P100119",2,P02
CY189810022,18981,N20252026F,N10004,Nelson,N10004,N10010,3,5,3,EV1898101711,EV1898101716,1836.0,1847.0,11.0,turnover,0,0,"EV1898101711,EV1898101712,EV1898101714,EV1898101715,EV1898101716","P100079,P100078,P100197",2,P02
CY189810023,18981,N20252026F,N10010,Velodrome,N10004,N10010,3,5,3,EV1898102029,EV1898102033,2650.0,2663.0,13.0,shot,1,0,"EV1898102029,EV1898102030,EV1898102031,EV1898102032,EV1898102033","P100224,P100132,P100161",3,P03
CY189810024,18981,N20252026F,N10010,Velodrome,N10004,N10010,3,6,4,EV1898102275,EV1898102280,3394.0,3403.0,9.0,shot,1,0,"EV1898102275,EV1898102276,EV1898102277,EV1898102278,EV1898102279,EV1898102280","P100198,P100001,P100161,P100201",3,P03
