chain_key,game_id,chain_id,event_id,event_type,event_detail,player_id,sequence_position,_export_timestamp
18969_1,18969,1,EV1896901000,GameStart,,,0,2026-01-12T23:36:32.968410
18969_1,18969,1,EV1896901001,Faceoff,Faceoff_GameStart,P100192,1,2026-01-12T23:36:32.968478
18969_1,18969,1,EV1896901001,Faceoff,Faceoff_GameStart,P100025,2,2026-01-12T23:36:32.968524
18969_1,18969,1,EV1896901001,Faceoff,Faceoff_GameStart,P100001,3,2026-01-12T23:36:32.968571
18969_1,18969,1,EV1896901002,Pass,Pass_Completed,P100025,4,2026-01-12T23:36:32.968611
18969_1,18969,1,EV1896901002,Pass,Pass_Completed,P100030,5,2026-01-12T23:36:32.968651
18969_1,18969,1,EV1896901003,Possession,Regroup,P100030,6,2026-01-12T23:36:32.968691
18969_1,18969,1,EV1896901003,Possession,Regroup,P100161,7,2026-01-12T23:36:32.968730
18969_2,18969,2,EV1896901004,Pass,Pass_Completed,P100030,0,2026-01-12T23:36:32.968767
18969_2,18969,2,EV1896901004,Pass,Pass_Completed,P100024,1,2026-01-12T23:36:32.968804
18969_2,18969,2,EV1896901004,Pass,Pass_Completed,P100161,2,2026-01-12T23:36:32.968842
18969_2,18969,2,EV1896901005,Zone_Entry_Exit,Zone_Entry,P100024,3,2026-01-12T23:36:32.968881
18969_2,18969,2,EV1896901006,Turnover,Turnover_Giveaway,P100024,4,2026-01-12T23:36:32.968919
18969_2,18969,2,EV1896901007,Possession,PuckRetrieval,P100070,5,2026-01-12T23:36:32.968957
18969_2,18969,2,EV1896901008,Pass,Pass_Completed,P100161,6,2026-01-12T23:36:32.968996
18969_2,18969,2,EV1896901008,Pass,Pass_Completed,P100070,7,2026-01-12T23:36:32.969034
18969_2,18969,2,EV1896901009,Zone_Entry_Exit,Zone_Exit,P100070,8,2026-01-12T23:36:32.969083
18969_2,18969,2,EV1896901009,Zone_Entry_Exit,Zone_Exit,P100161,9,2026-01-12T23:36:32.969124
18969_2,18969,2,EV1896901010,Possession,,P100161,10,2026-01-12T23:36:32.969163
18969_2,18969,2,EV1896901011,Zone_Entry_Exit,Zone_Entry,P100161,11,2026-01-12T23:36:32.969202
18969_2,18969,2,EV1896901011,Zone_Entry_Exit,Zone_Entry,P100030,12,2026-01-12T23:36:32.969240
18969_2,18969,2,EV1896901012,Shot,Shot_Blocked,P100024,13,2026-01-12T23:36:32.969279
18969_2,18969,2,EV1896901012,Shot,Shot_Blocked,P100161,14,2026-01-12T23:36:32.969317
18969_2,18969,2,EV1896901013,Possession,PuckRecovery,P100161,15,2026-01-12T23:36:32.969356
18969_2,18969,2,EV1896901014,Possession,,P100161,16,2026-01-12T23:36:32.969393
18969_2,18969,2,EV1896901015,Pass,Pass_Completed,P100161,17,2026-01-12T23:36:32.969432
18969_2,18969,2,EV1896901015,Pass,Pass_Completed,P100070,18,2026-01-12T23:36:32.969470
18969_2,18969,2,EV1896901016,Turnover,Turnover_Giveaway,P100070,19,2026-01-12T23:36:32.969509
18969_2,18969,2,EV1896901017,Possession,PuckRetrieval,P100025,20,2026-01-12T23:36:32.969551
18969_2,18969,2,EV1896901018,Pass,Pass_Missed,P100025,21,2026-01-12T23:36:32.969591
18969_2,18969,2,EV1896901018,Pass,Pass_Missed,P100192,22,2026-01-12T23:36:32.969629
18969_2,18969,2,EV1896901019,Zone_Entry_Exit,Zone_Exit,P100025,23,2026-01-12T23:36:32.969667
18969_2,18969,2,EV1896901019,Zone_Entry_Exit,Zone_Exit,P100192,24,2026-01-12T23:36:32.969706
18969_2,18969,2,EV1896901020,Possession,PuckRecovery,P100023,25,2026-01-12T23:36:32.969745
18969_2,18969,2,EV1896901020,Possession,PuckRecovery,P100161,26,2026-01-12T23:36:32.969783
18969_2,18969,2,EV1896901020,Possession,PuckRecovery,P100030,27,2026-01-12T23:36:32.969822
18969_2,18969,2,EV1896901021,Possession,,P100030,28,2026-01-12T23:36:32.969860
18969_2,18969,2,EV1896901021,Possession,,P100161,29,2026-01-12T23:36:32.969899
18969_2,18969,2,EV1896901022,Zone_Entry_Exit,Zone_Entry,P100030,30,2026-01-12T23:36:32.969937
18969_2,18969,2,EV1896901022,Zone_Entry_Exit,Zone_Entry,P100001,31,2026-01-12T23:36:32.969976
18969_2,18969,2,EV1896901022,Zone_Entry_Exit,Zone_Entry,P100070,32,2026-01-12T23:36:32.970015
18969_2,18969,2,EV1896901023,Possession,,P100030,33,2026-01-12T23:36:32.970055
18969_2,18969,2,EV1896901023,Possession,,P100070,34,2026-01-12T23:36:32.970105
18969_2,18969,2,EV1896901023,Possession,,P100108,35,2026-01-12T23:36:32.970146
