event_tracking_key,event_key,event_id,game_id,event_index,player_id,player_game_number,period,linked_event_index,tracking_event_index,event_start_min,event_start_sec,event_end_min,event_end_sec,role_abrev,event_team_zone,home_team_zone,away_team_zone,team_venue,team_venue_abv,side_of_puck,sequence_index,play_index,play_detail1,play_detail_2,play_detail_successful,pressured_pressurer,zone_change_index,home_team,away_team,Type,event_detail,event_detail_2,event_successful,shift_index,duration,time_start_total_seconds,time_end_total_seconds,running_intermission_duration,period_start_total_running_seconds,running_video_time,event_running_start,event_running_end,player_role,role_number,player_team
ET1896901000,EV1896901000,E_18969_1000,18969,1000,,,1,,1000,,,,,,,,,,,,,,,,,,1.0,Platinum,Velodrome,GameStart,,,,,,,,,0.0,0.0,0.0,5.0,,,
ET1896901001,EV1896901001,E_18969_1001,18969,1001,P100192,53.0,1,,1001,18.0,0.0,,,e,n,n,n,Home,h,Offensive,,,,,,,1.0,Platinum,Velodrome,Faceoff,Faceoff_GameStart,,,1.0,0.0,1080.0,1080.0,0.0,0.0,0.0,0.0,5.0,event_team_player_1,1.0,Platinum
ET1896901001,EV1896901001,E_18969_1001,18969,1001,P100025,21.0,1,,1001,18.0,0.0,,,e,n,n,n,Home,h,Offensive,,,,,,,1.0,Platinum,Velodrome,Faceoff,Faceoff_GameStart,,,1.0,0.0,1080.0,1080.0,0.0,0.0,0.0,0.0,5.0,event_team_player_2,2.0,Platinum
ET1896901001,EV1896901001,E_18969_1001,18969,1001,P100001,70.0,1,,1001,18.0,0.0,,,o,n,n,n,Home,h,Defensive,,,,,,,1.0,Platinum,Velodrome,Faceoff,Faceoff_GameStart,,,1.0,0.0,1080.0,1080.0,0.0,0.0,0.0,0.0,5.0,opp_team_player_1,1.0,Velodrome
ET1896901002,EV1896901002,E_18969_1002,18969,1002,P100025,21.0,1,,1002,17.0,59.0,,,e,n,n,n,Home,h,Offensive,5001.0,,,,,,1.0,Platinum,Velodrome,Pass,Pass_Completed,Pass-Forehand,s,1.0,0.0,1079.0,1079.0,0.0,0.0,1.0,0.0,5.0,event_team_player_1,1.0,Platinum
ET1896901002,EV1896901002,E_18969_1002,18969,1002,P100030,8.0,1,,1002,17.0,59.0,,,e,n,n,n,Home,h,Offensive,5001.0,,,,,,1.0,Platinum,Velodrome,Pass,Pass_Completed,Pass-Forehand,s,1.0,0.0,1079.0,1079.0,0.0,0.0,1.0,0.0,5.0,event_team_player_2,2.0,Platinum
ET1896901003,EV1896901003,E_18969_1003,18969,1003,P100030,8.0,1,,1003,17.0,58.0,17.0,52.0,e,n,n,n,Home,h,Offensive,5001.0,,Delay,,,,1.0,Platinum,Velodrome,Possession,Regroup,,,1.0,6.0,1078.0,1072.0,0.0,0.0,2.0,0.0,11.0,event_team_player_1,1.0,Platinum
ET1896901003,EV1896901003,E_18969_1003,18969,1003,P100161,49.0,1,,1003,17.0,58.0,17.0,52.0,o,n,n,n,Home,h,Defensive,5001.0,,,,,,1.0,Platinum,Velodrome,Possession,Regroup,,,1.0,6.0,1078.0,1072.0,0.0,0.0,2.0,0.0,11.0,opp_team_player_1,1.0,Velodrome
ET1896901004,EV1896901004,E_18969_1004,18969,1004,P100030,8.0,1,,1004,17.0,50.0,,,e,n,n,n,Home,h,Offensive,5001.0,6001.0,,,,,1.0,Platinum,Velodrome,Pass,Pass_Completed,Pass-Bank,s,1.0,0.0,1070.0,1070.0,0.0,0.0,10.0,5.0,10.0,event_team_player_1,1.0,Platinum
ET1896901004,EV1896901004,E_18969_1004,18969,1004,P100024,20.0,1,,1004,17.0,50.0,,,e,n,n,n,Home,h,Offensive,5001.0,6001.0,,,,,1.0,Platinum,Velodrome,Pass,Pass_Completed,Pass-Bank,s,1.0,0.0,1070.0,1070.0,0.0,0.0,10.0,5.0,10.0,event_team_player_2,2.0,Platinum
ET1896901004,EV1896901004,E_18969_1004,18969,1004,P100161,49.0,1,,1004,17.0,50.0,,,o,n,n,n,Home,h,Defensive,5001.0,6001.0,,,,,1.0,Platinum,Velodrome,Pass,Pass_Completed,Pass-Bank,s,1.0,0.0,1070.0,1070.0,0.0,0.0,10.0,5.0,10.0,opp_team_player_1,1.0,Velodrome
ET1896909001,EV1896909001,E_18969_9001,18969,9001,P100024,20.0,1,9001.0,9001,17.0,49.0,,,e,n,n,n,Home,h,Offensive,5001.0,6001.0,Chip,DumpChase,u,,2.0,Platinum,Velodrome,Zone_Entry_Exit,Zone_Entry,ZoneEntry-DumpIn,u,1.0,0.0,1069.0,1069.0,0.0,0.0,11.0,6.0,11.0,event_team_player_1,1.0,Platinum
ET1896909001,EV1896909001,E_18969_9001,18969,9001,P100024,20.0,1,9001.0,9001,17.0,49.0,,,e,n,n,n,Home,h,Offensive,5001.0,6001.0,Chip,DumpChase,u,,2.0,Platinum,Velodrome,Turnover,Turnover_Giveaway,Giveaway-ZoneClear/Dump,u,1.0,0.0,1069.0,1069.0,0.0,0.0,11.0,6.0,11.0,event_team_player_1,1.0,Platinum
ET1896901007,EV1896901007,E_18969_1007,18969,1007,P100070,52.0,1,,1007,17.0,45.0,17.0,41.0,e,d,o,d,Away,a,Offensive,5002.0,6002.0,RecoveryRetreivalDumpIn,,s,1,2.0,Platinum,Velodrome,Possession,PuckRetrieval,,s,1.0,4.0,1065.0,1061.0,0.0,0.0,15.0,10.0,19.0,event_team_player_1,1.0,Velodrome
ET1896909002,EV1896909002,E_18969_9002,18969,9002,P100070,52.0,1,9002.0,9002,17.0,41.0,,,e,d,o,d,Away,a,Offensive,5002.0,6002.0,Breakout,PassDeflected,s,,2.0,Platinum,Velodrome,Pass,Pass_Completed,Pass-Forehand,s,1.0,0.0,1061.0,1061.0,0.0,0.0,19.0,14.0,19.0,event_team_player_1,1.0,Velodrome
ET1896909002,EV1896909002,E_18969_9002,18969,9002,P100161,49.0,1,9002.0,9002,17.0,41.0,,,e,d,o,d,Away,a,Offensive,5002.0,6002.0,,,,,2.0,Platinum,Velodrome,Pass,Pass_Completed,Pass-Forehand,s,1.0,0.0,1061.0,1061.0,0.0,0.0,19.0,14.0,19.0,event_team_player_2,2.0,Velodrome
ET1896909002,EV1896909002,E_18969_9002,18969,9002,P100070,52.0,1,9002.0,9002,17.0,41.0,,,e,d,o,d,Away,a,Offensive,5002.0,6002.0,,,,,3.0,Platinum,Velodrome,Zone_Entry_Exit,Zone_Exit,ZoneExit-Pass,s,1.0,0.0,1061.0,1061.0,0.0,0.0,19.0,14.0,19.0,event_team_player_1,1.0,Velodrome
ET1896909002,EV1896909002,E_18969_9002,18969,9002,P100161,49.0,1,9002.0,9002,17.0,41.0,,,e,d,o,d,Away,a,Offensive,5002.0,6002.0,,,,,3.0,Platinum,Velodrome,Zone_Entry_Exit,Zone_Exit,ZoneExit-Pass,s,1.0,0.0,1061.0,1061.0,0.0,0.0,19.0,14.0,19.0,event_team_player_2,2.0,Velodrome
ET1896901010,EV1896901010,E_18969_1010,18969,1010,P100161,49.0,1,,1010,17.0,39.0,17.0,37.0,e,n,n,n,Away,a,Offensive,5002.0,,,,,,3.0,Platinum,Velodrome,Possession,,,,1.0,2.0,1059.0,1057.0,0.0,0.0,21.0,16.0,23.0,event_team_player_1,1.0,Velodrome
