event_id,game_id,period,period_id,event_type,event_type_id,event_detail,event_detail_id,event_detail_2,event_detail_2_id,event_successful,success_id,event_team_zone,event_zone_id,sequence_key,play_key,event_chain_key,tracking_event_key,home_team,home_team_id,away_team,away_team_id,duration,event_player_ids,opp_player_ids,event_start_min,event_start_sec,event_end_min,event_end_sec,time_start_total_seconds,time_end_total_seconds,event_running_start,event_running_end,running_video_time,period_start_total_running_seconds,running_intermission_duration,team_venue,team_venue_abv,player_team,home_team_zone,away_team_zone,player_role,side_of_puck,role_number,role_abrev,player_game_number,strength,play_detail1,play_detail_2,play_detail_successful,pressured_pressurer,is_goal,is_highlight,player_name,season_id,position_id,shot_type_id,zone_entry_type_id,zone_exit_type_id,stoppage_type_id,giveaway_type_id,takeaway_type_id,turnover_type_id,pass_type_id,time_bucket_id,strength_id,player_rating,cycle_key,is_cycle,is_rebound,is_zone_entry,is_zone_exit,is_controlled_entry,is_carried_entry,is_controlled_exit,is_carried_exit,is_rush,is_save,is_turnover,is_giveaway,is_bad_giveaway,is_takeaway,is_faceoff,is_penalty,is_blocked_shot,is_missed_shot,is_deflected,is_tipped,is_sog,is_corsi,is_fenwick,shot_outcome_id,pass_outcome_id,save_outcome_id,zone_outcome_id,is_scoring_chance,is_high_danger,is_pressured,danger_level,danger_level_id,scoring_chance_key,prev_event_id,prev_event_type,prev_event_detail,prev_event_team,prev_event_same_team,next_event_id,next_event_type,next_event_detail,next_event_team,next_event_same_team,time_since_prev,time_to_next,time_to_next_sog,time_since_last_sog,events_to_next_sog,events_since_last_sog,next_sog_result,led_to_sog,is_pre_shot_event,is_shot_assist,time_to_next_goal,time_since_last_goal,events_to_next_goal,events_since_last_goal,led_to_goal,time_since_zone_entry,events_since_zone_entry,time_since_zone_exit,sequence_event_num,sequence_total_events,sequence_duration,is_sequence_first,is_sequence_last,sequence_has_sog,sequence_has_goal,sequence_shot_count,consecutive_team_events,time_since_possession_change,events_since_possession_change,time_since_faceoff,events_since_faceoff,is_rush_calculated,time_from_entry_to_shot,faceoff_key,faceoff_type,time_to_next_event,time_from_last_event,time_to_next_goal_for,time_to_next_goal_against,time_from_last_goal_for,time_from_last_goal_against,time_to_next_stoppage,time_from_last_stoppage,event_player_1_toi,event_player_2_toi,event_player_3_toi,event_player_4_toi,event_player_5_toi,event_player_6_toi,opp_player_1_toi,opp_player_2_toi,opp_player_3_toi,opp_player_4_toi,opp_player_5_toi,opp_player_6_toi,team_on_ice_toi_avg,team_on_ice_toi_min,team_on_ice_toi_max,opp_on_ice_toi_avg,opp_on_ice_toi_min,opp_on_ice_toi_max
EV1896901001,18969,1,P01,Faceoff,ET0004,Faceoff_GameStart,ED0004,,,,,Neutral,ZN03,SQ1896900002,PL1896900201,EC18969001001,TV1896901001,Platinum,N10008,Velodrome,N10010,0.0,"P100025,P100192",P100001,18.0,0.0,18.0,0.0,1080.0,1080.0,120.0,120.0,120.0,0,0,h,,Platinum,Neutral,Neutral,event_player_1,Offensive,1,e1,53.0,5v5,,,,,0,0,Chris Premo,N20252026F,4.0,,,,,,,,,TB01,STR01,5.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,EV1896902555,Timeout,,Platinum,1,EV1896901497,Faceoff,Faceoff_PeriodStart,Velodrome,0,866.0,0.0,32.0,,52.0,,goal,0,0,0,32.0,,53.0,,0,,,,1.0,33.0,113.0,1,0,1,0,2.0,2,,,,,0,,FO189690002,other,0.0,0.0,-1.0,-1.0,369.0,32.0,-1.0,32.0,1565.98,1705.0,,,,,1729.97,,,,,,1635.49,1565.98,1705.0,1729.97,1729.97,1729.97
EV1896901497,18969,2,P02,Faceoff,ET0004,Faceoff_PeriodStart,ED0005,,,,,Neutral,ZN03,SQ1896900053,PL1896905301,EC18969001497,TV1896901497,Platinum,N10008,Velodrome,N10010,0.0,P100201,P100192,18.0,0.0,18.0,0.0,1080.0,1080.0,1320.0,1320.0,2220.0,1200,900,a,,Velodrome,Neutral,Neutral,event_player_1,Offensive,1,e1,42.0,5v5,,,,,0,0,Garrett Ashcroft,N20252026F,4.0,,,,,,,,,TB01,STR01,5.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,EV1896901001,Faceoff,Faceoff_GameStart,Platinum,0,EV1896901498,Zone_Entry_Exit,Zone_Entry,Platinum,0,0.0,0.0,32.0,,51.0,,goal,0,0,0,32.0,,52.0,,0,,,,2.0,2.0,2259.0,0,1,0,0,0.0,1,0.0,1.0,0.0,1.0,0,,FO189690003,other,866.0,0.0,-1.0,-1.0,32.0,369.0,-1.0,32.0,1591.99,,,,,,1705.0,,,,,,1591.99,1591.99,1591.99,1705.0,1705.0,1705.0
EV1896902049,18969,3,P03,Faceoff,ET0004,Faceoff_PeriodStart,ED0005,,,,,Neutral,ZN03,SQ1896900086,PL1896908601,EC18969002049,TV1896902049,Platinum,N10008,Velodrome,N10010,0.0,"P100023,P100117",P100001,18.0,0.0,18.0,0.0,1080.0,1080.0,2520.0,2520.0,4320.0,2400,1800,h,,Platinum,Neutral,Neutral,event_player_1,Offensive,1,e1,45.0,5v5,,,,,0,0,Sam Downs,N20252026F,4.0,,,,,,,,,TB01,STR01,6.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,EV1896901498,Zone_Entry_Exit,Zone_Entry,Platinum,1,EV1896901002,Pass,Pass_Completed,Platinum,1,0.0,1.0,32.0,,49.0,,goal,0,0,0,32.0,,50.0,,0,0.0,1.0,,1.0,2.0,103.0,1,0,0,0,0.0,2,0.0,2.0,0.0,2.0,0,,FO189690005,other,0.0,0.0,-1.0,-1.0,369.0,32.0,-1.0,32.0,1753.99,1534.97,,,,,1729.97,,,,,,1644.48,1534.97,1753.99,1729.97,1729.97,1729.97
EV1896902070,18969,3,P03,Faceoff,ET0004,,,,,,,Neutral,ZN03,SQ1896900094,PL1896909401,EC18969002070,TV1896902070,Platinum,N10008,Velodrome,N10010,27.0,P100192,P100001,17.0,28.0,17.0,1.0,1048.0,1021.0,2552.0,2579.0,4352.0,2400,1800,h,,Platinum,Neutral,Neutral,event_player_1,Offensive,1,e1,53.0,5v5,,,,,0,0,Sam Downs,N20252026F,4.0,,,,,,,,,TB01,STR01,6.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,EV1896902069,DeadIce,,Velodrome,0,EV1896901016,Turnover,Turnover_Giveaway,Velodrome,0,0.0,1.0,4.0,0.0,3.0,4.0,save,0,0,0,337.0,0.0,507.0,3.0,0,6.0,15.0,9.0,2.0,2.0,0.0,0,1,0,0,0.0,1,13.0,23.0,32.0,53.0,0,,FO189690058,other,0.0,0.0,-1.0,-1.0,337.0,700.0,-1.0,47.0,1705.0,,,,,,1729.97,,,,,,1705.0,1705.0,1705.0,1729.97,1729.97,1729.97
EV1896902087,18969,3,P03,Faceoff,ET0004,Faceoff_AfterStoppage,,,,,,Offensive,ZN01,SQ1896900087,PL1896908701,EC18969002087,TV1896902087,Platinum,N10008,Velodrome,N10010,0.0,"P100030,P100192",P100001,16.0,17.0,16.0,17.0,977.0,977.0,2623.0,2623.0,4423.0,2400,1800,h,,Platinum,Defensive,Offensive,event_player_1,Offensive,1,e1,53.0,5v5,,,,,0,0,Chris Premo,N20252026F,4.0,,,,,,,,,TB01,STR01,5.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,EV1896901550,DeadIce,,Platinum,1,EV1896902088,Possession,,Platinum,1,17.0,0.0,2.0,19.0,2.0,6.0,save,0,0,0,266.0,71.0,430.0,80.0,0,26.0,17.0,25.0,2.0,2.0,24.0,0,1,0,0,0.0,3,24.0,11.0,71.0,77.0,0,,FO189690135,after_stoppage,17.0,0.0,-1.0,71.0,266.0,629.0,17.0,4.0,1597.98,1490.0,,,,,1564.97,,,,,,1543.99,1490.0,1597.98,1564.97,1564.97,1564.97
EV1896901042,18969,1,P01,Faceoff,ET0004,Faceoff_AfterStoppage,,,,,,Offensive,ZN01,SQ1896900003,PL1896900301,EC18969001042,TV1896901042,Platinum,N10008,Velodrome,N10010,0.0,"P100023,P100117",P100201,16.0,14.0,16.0,14.0,974.0,974.0,226.0,226.0,226.0,0,0,h,,Platinum,Defensive,Offensive,event_player_1,Offensive,1,e1,45.0,5v5,,,,,0,0,Keegan Mantaro,N20252026F,5.0,,,,,,,,,TB01,STR01,6.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,EV1896902090,Save,Save_Freeze,Velodrome,0,EV1896901551,Faceoff,Faceoff_AfterStoppage,Velodrome,0,1.0,0.0,2.0,1.0,4.0,2.0,save,0,0,0,263.0,74.0,426.0,84.0,0,29.0,21.0,28.0,2.0,2.0,21.0,0,1,0,0,0.0,1,3.0,4.0,3.0,4.0,0,,FO189690139,after_stoppage,0.0,1.0,-1.0,74.0,263.0,626.0,20.0,1.0,1585.99,1499.97,,,,,1506.99,,,,,,1542.98,1499.97,1585.99,1506.99,1506.99,1506.99
EV1896901551,18969,2,P02,Faceoff,ET0004,Faceoff_AfterStoppage,,,,,,Offensive,ZN01,SQ1896900058,PL1896905801,EC18969001551,TV1896901551,Platinum,N10008,Velodrome,N10010,0.0,"P100001,P100093",P100117,16.0,14.0,16.0,14.0,974.0,974.0,1426.0,1426.0,2326.0,1200,900,a,,Velodrome,Defensive,Offensive,event_player_1,Offensive,1,e1,70.0,5v5,,,,,0,0,Sam Downs,N20252026F,4.0,,,,,,,,,TB01,STR01,6.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,EV1896901042,Faceoff,Faceoff_AfterStoppage,Platinum,0,EV1896902091,Stoppage,Stoppage_Play,Velodrome,1,0.0,1.0,2.0,1.0,3.0,3.0,save,0,0,0,263.0,74.0,425.0,85.0,0,29.0,22.0,28.0,2.0,25.0,1000.0,0,0,1,0,2.0,1,0.0,1.0,0.0,1.0,0,,FO189690140,after_stoppage,1.0,0.0,74.0,-1.0,626.0,263.0,20.0,1.0,1564.97,1177.0,,,,,1499.97,,,,,,1370.985,1177.0,1564.97,1499.97,1499.97,1499.97
EV1896902093,18969,3,P03,Faceoff,ET0004,Faceoff_AfterStoppage,,,,,,Defensive,ZN02,SQ1896900098,PL1896909801,EC18969002093,TV1896902093,Platinum,N10008,Velodrome,N10010,0.0,P100001,P100192,16.0,2.0,16.0,2.0,962.0,962.0,2638.0,2638.0,4438.0,2400,1800,a,,Velodrome,Offensive,Defensive,event_player_1,Offensive,1,e1,70.0,5v5,,,,,0,0,Sam Downs,N20252026F,4.0,,,,,,,,,TB01,STR01,6.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,EV1896901558,Possession,PuckRetrieval,Velodrome,1,EV1896902094,Zone_Entry_Exit,Zone_Exit,Velodrome,1,1.0,0.0,13.0,10.0,26.0,14.0,save,0,0,0,251.0,86.0,408.0,102.0,0,5.0,5.0,8.0,2.0,2.0,11.0,0,1,0,0,0.0,2,2.0,2.0,12.0,17.0,0,,FO189690157,after_stoppage,0.0,0.0,86.0,-1.0,614.0,251.0,11.0,84.0,1564.97,,,,,,1490.0,,,,,,1564.97,1564.97,1564.97,1490.0,1490.0,1490.0
EV1896901619,18969,2,P02,Faceoff,ET0004,Faceoff_AfterStoppage,,,,,,Defensive,ZN02,SQ1896900063,PL1896906301,EC18969001619,TV1896901619,Platinum,N10008,Velodrome,N10010,0.0,"P100025,P100192",P100201,14.0,15.0,14.0,15.0,855.0,855.0,1545.0,1545.0,2445.0,1200,900,h,,Platinum,Offensive,Defensive,event_player_1,Offensive,1,e1,53.0,5v5,,,,,0,0,Chris Premo,N20252026F,4.0,,,,,,,,,TB02,STR01,5.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,EV1896902161,Possession,,Platinum,1,EV1896901620,Possession,,Platinum,1,1.0,1.0,19.0,31.0,33.0,39.0,save,0,0,0,144.0,193.0,224.0,286.0,0,13.0,6.0,16.0,2.0,2.0,23.0,0,1,0,0,0.0,2,8.0,2.0,107.0,184.0,0,,FO189690341,after_stoppage,1.0,1.0,-1.0,193.0,144.0,507.0,16.0,13.0,1328.98,1312.0,,,,,1296.99,,,,,,1320.49,1312.0,1328.98,1296.99,1296.99,1296.99
EV1896901106,18969,1,P01,Faceoff,ET0004,Faceoff_AfterStoppage,,,,,,Defensive,ZN02,SQ1896900006,PL1896900601,EC18969001106,TV1896901106,Platinum,N10008,Velodrome,N10010,0.0,P100001,P100192,14.0,8.0,14.0,8.0,848.0,848.0,352.0,352.0,352.0,0,0,a,,Velodrome,Offensive,Defensive,event_player_1,Offensive,1,e1,70.0,5v5,,,,,0,0,Sam Downs,N20252026F,4.0,,,,,,,,,TB02,STR01,6.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,EV1896902166,Zone_Entry_Exit,Zone_Entry,Platinum,0,EV1896902167,Pass,Pass_Completed,Platinum,0,1.0,1.0,12.0,38.0,22.0,50.0,save,0,0,0,137.0,200.0,213.0,297.0,0,1.0,1.0,4.0,2.0,2.0,23.0,0,1,0,0,0.0,1,7.0,11.0,7.0,11.0,0,,FO189690352,after_stoppage,1.0,1.0,200.0,-1.0,500.0,137.0,23.0,6.0,1360.97,,,,,,1312.0,,,,,,1360.97,1360.97,1360.97,1312.0,1312.0,1312.0
