player_id,career_games,seasons_played,career_wins,career_losses,career_goals_against,career_shutouts,player_name,current_team,career_gaa,career_win_pct,career_shutout_pct,goalie_career_basic_key,_export_timestamp
P100003,78,3,42,36,257.0,4.0,Scott Purdy,HollowBrook,3.29,53.8,5.1,P100003_career,2026-01-12T23:37:17.465880
P100009,54,3,24,30,212.0,2.0,Graham Peters,Outlaws,3.93,44.4,3.7,P100009_career,2026-01-12T23:37:17.465880
P100015,15,2,5,9,105.0,0.0,Sean Kenyon,Orphans,7.0,33.3,0.0,P100015_career,2026-01-12T23:37:17.465880
P100016,116,5,63,53,417.0,2.0,Wyatt Crandall,Velodrome,3.59,54.3,1.7,P100016_career,2026-01-12T23:37:17.465880
P100020,61,3,20,41,253.0,0.0,Rick Haenke,Triple J,4.15,32.8,0.0,P100020_career,2026-01-12T23:37:17.465880
P100025,44,2,28,16,174.0,0.0,Andrew Marshall,Orphans,3.95,63.6,0.0,P100025_career,2026-01-12T23:37:17.465880
P100067,94,5,50,44,354.0,2.0,Ian Ward,Platinum,3.77,53.2,2.1,P100067_career,2026-01-12T23:37:17.465880
P100085,27,2,8,19,111.0,1.0,Sebastian Rivera,AMOS,4.11,29.6,3.7,P100085_career,2026-01-12T23:37:17.465880
P100096,81,4,55,26,253.0,10.0,Jared Wolf,OS Offices,3.12,67.9,12.3,P100096_career,2026-01-12T23:37:17.465880
P100100,35,4,22,13,155.0,0.0,Nate Flint,HollowBrook,4.43,62.9,0.0,P100100_career,2026-01-12T23:37:17.465880
P100118,71,4,33,36,281.0,0.0,Michael Gipson,Orphans,3.96,46.5,0.0,P100118_career,2026-01-12T23:37:17.465880
P100133,114,5,38,76,635.0,0.0,Ian Gustafson,Ace,5.57,33.3,0.0,P100133_career,2026-01-12T23:37:17.465880
P100138,122,5,56,66,593.0,3.0,Thane Gilmore,Nelson,4.86,45.9,2.5,P100138_career,2026-01-12T23:37:17.465880
P100146,6,1,3,3,23.0,1.0,James Terry,Orphans,3.83,50.0,16.7,P100146_career,2026-01-12T23:37:17.465880
P100150,16,2,3,13,99.0,0.0,Justin Bell,AMOS,6.19,18.8,0.0,P100150_career,2026-01-12T23:37:17.465880
P100151,18,2,9,9,105.0,0.0,Casey Lang,OS Offices,5.83,50.0,0.0,P100151_career,2026-01-12T23:37:17.465880
P100152,3,1,2,1,7.0,0.0,Cameron McDonald,Triple J,2.33,66.7,0.0,P100152_career,2026-01-12T23:37:17.465880
P100158,55,4,10,45,352.0,0.0,Charlie Holland,Triple J,6.4,18.2,0.0,P100158_career,2026-01-12T23:37:17.465880
P100165,23,3,8,15,137.0,0.0,Tommy Hutchinson,OS Offices,5.96,34.8,0.0,P100165_career,2026-01-12T23:37:17.465880
P100202,9,1,6,3,31.0,1.0,Francis Forte,Platinum,3.44,66.7,11.1,P100202_career,2026-01-12T23:37:17.465880
P100216,1,1,0,1,7.0,0.0,Ryan Michels,Triple J,7.0,0.0,0.0,P100216_career,2026-01-12T23:37:17.465880
P100220,1,1,0,1,10.0,0.0,Brian Merryman,OS Offices,10.0,0.0,0.0,P100220_career,2026-01-12T23:37:17.465880
P100226,1,1,1,0,5.0,0.0,Derrick Joseph,AMOS,5.0,100.0,0.0,P100226_career,2026-01-12T23:37:17.465880
P100244,35,2,14,21,201.0,0.0,Jeff Schmidt,Triple J,5.74,40.0,0.0,P100244_career,2026-01-12T23:37:17.465880
P100261,9,1,4,5,42.0,1.0,Joseph Glowacki,AMOS,4.67,44.4,11.1,P100261_career,2026-01-12T23:37:17.465880
P100278,2,1,1,1,11.0,0.0,Brian Bianco,Nelson,5.5,50.0,0.0,P100278_career,2026-01-12T23:37:17.465880
P100294,22,1,5,17,125.0,0.0,John Borger,Nelson,5.68,22.7,0.0,P100294_career,2026-01-12T23:37:17.465880
P100302,7,2,3,4,39.0,0.0,Linda Boissonneault,Nelson,5.57,42.9,0.0,P100302_career,2026-01-12T23:37:17.465880
P100319,1,1,0,1,7.0,0.0,Tyler Haradon,HollowBrook,7.0,0.0,0.0,P100319_career,2026-01-12T23:37:17.465880
P100321,1,1,0,1,7.0,0.0,Zach Adams,Ace,7.0,0.0,0.0,P100321_career,2026-01-12T23:37:17.465880
P100323,3,2,0,3,20.0,0.0,Sabrina Rancourt,Ace,6.67,0.0,0.0,P100323_career,2026-01-12T23:37:17.465880
P100324,7,1,2,5,18.0,1.0,Stan Barilov,Canada,2.57,28.6,14.3,P100324_career,2026-01-12T23:37:17.465880
P100331,3,1,0,3,19.0,0.0,Issac Borchert,Orphans,6.33,0.0,0.0,P100331_career,2026-01-12T23:37:17.465880
