head_to_head_key,game_id,season_id,player_1_id,player_2_id,venue,shifts_together,toi_together,goals_for,goals_against,plus_minus,corsi_for,corsi_against,cf_pct,_export_timestamp,home_team_id,away_team_id,venue_id
H2H_18969_8_12,18969,N20252026F,8,12,home,17,817.98,0,0,0,0,0,50.0,2026-01-12T23:36:36.398533,N10008,N10010,VN01
H2H_18969_8_20,18969,N20252026F,8,20,home,11,594.99,0,0,0,0,0,50.0,2026-01-12T23:36:36.398533,N10008,N10010,VN01
H2H_18969_8_21,18969,N20252026F,8,21,home,38,1475.98,0,0,0,0,0,50.0,2026-01-12T23:36:36.398533,N10008,N10010,VN01
H2H_18969_8_53,18969,N20252026F,8,53,home,37,1102.0,0,0,0,0,0,50.0,2026-01-12T23:36:36.398533,N10008,N10010,VN01
H2H_18969_8_99,18969,N20252026F,8,99,home,49,1679.98,0,0,0,0,0,50.0,2026-01-12T23:36:36.398533,N10008,N10010,VN01
H2H_18969_12_20,18969,N20252026F,12,20,home,21,951.99,0,0,0,0,0,50.0,2026-01-12T23:36:36.398533,N10008,N10010,VN01
H2H_18969_12_21,18969,N20252026F,12,21,home,18,849.98,0,0,0,0,0,50.0,2026-01-12T23:36:36.398533,N10008,N10010,VN01
H2H_18969_12_53,18969,N20252026F,12,53,home,17,685.0,0,0,0,0,0,50.0,2026-01-12T23:36:36.398533,N10008,N10010,VN01
H2H_18969_12_99,18969,N20252026F,12,99,home,30,1224.98,0,0,0,0,0,50.0,2026-01-12T23:36:36.398533,N10008,N10010,VN01
H2H_18969_20_21,18969,N20252026F,20,21,home,13,684.99,0,0,0,0,0,50.0,2026-01-12T23:36:36.398533,N10008,N10010,VN01
H2H_18969_20_53,18969,N20252026F,20,53,home,14,634.0,0,0,0,0,0,50.0,2026-01-12T23:36:36.398533,N10008,N10010,VN01
H2H_18969_20_99,18969,N20252026F,20,99,home,26,1083.99,0,0,0,0,0,50.0,2026-01-12T23:36:36.398533,N10008,N10010,VN01
H2H_18969_21_53,18969,N20252026F,21,53,home,29,1004.0,0,0,0,0,0,50.0,2026-01-12T23:36:36.398533,N10008,N10010,VN01
H2H_18969_21_99,18969,N20252026F,21,99,home,40,1565.98,0,0,0,0,0,50.0,2026-01-12T23:36:36.398533,N10008,N10010,VN01
H2H_18969_53_99,18969,N20252026F,53,99,home,57,1705.0,0,0,0,0,0,50.0,2026-01-12T23:36:36.398533,N10008,N10010,VN01
H2H_18969_3_34,18969,N20252026F,3,34,home,25,773.0,0,0,0,0,0,50.0,2026-01-12T23:36:36.398533,N10008,N10010,VN01
