line_combo_key,game_id,season_id,venue,combo_type,forward_combo,defense_combo,shifts,toi_together,goals_for,goals_against,corsi_for,corsi_against,home_team_id,away_team_id,venue_id
LC_18969_home_F_12.0_20.0_53.0,18969,N20252026F,home,forward,"12.0,20.0,53.0",,12,560.0,0,0,0,0,N10008,N10010,VN01
LC_18969_home_F_34.0_45.0_82.0,18969,N20252026F,home,forward,"34.0,45.0,82.0",,5,253.0,0,0,0,0,N10008,N10010,VN01
LC_18969_home_F_34.0_45.0_47.0,18969,N20252026F,home,forward,"34.0,45.0,47.0",,7,211.0,0,0,0,0,N10008,N10010,VN01
LC_18969_home_F_34.0_47.0_53.0,18969,N20252026F,home,forward,"34.0,47.0,53.0",,3,33.0,0,0,0,0,N10008,N10010,VN01
LC_18969_home_F_47.0_53.0_86.0,18969,N20252026F,home,forward,"47.0,53.0,86.0",,19,501.0,0,0,0,0,N10008,N10010,VN01
LC_18969_home_F_20.0_47.0_53.0,18969,N20252026F,home,forward,"20.0,47.0,53.0",,1,16.0,0,0,0,0,N10008,N10010,VN01
LC_18969_home_F_20.0_45.0_47.0,18969,N20252026F,home,forward,"20.0,45.0,47.0",,1,9.0,0,0,0,0,N10008,N10010,VN01
LC_18969_home_F_12.0_20.0_45.0,18969,N20252026F,home,forward,"12.0,20.0,45.0",,9,391.99,0,0,0,0,N10008,N10010,VN01
LC_18969_home_F_34.0_53.0_82.0,18969,N20252026F,home,forward,"34.0,53.0,82.0",,14,337.0,0,0,0,0,N10008,N10010,VN01
LC_18969_home_F_12.0_45.0_86.0,18969,N20252026F,home,forward,"12.0,45.0,86.0",,1,57.0,0,0,0,0,N10008,N10010,VN01
LC_18969_home_F_45.0_47.0_86.0,18969,N20252026F,home,forward,"45.0,47.0,86.0",,9,379.0,0,0,0,0,N10008,N10010,VN01
LC_18969_home_F_12.0_34.0_53.0,18969,N20252026F,home,forward,"12.0,34.0,53.0",,3,70.0,0,0,0,0,N10008,N10010,VN01
LC_18969_home_F_12.0_34.0_45.0,18969,N20252026F,home,forward,"12.0,34.0,45.0",,3,90.99,0,0,0,0,N10008,N10010,VN01
LC_18969_home_F_53.0_82.0_86.0,18969,N20252026F,home,forward,"53.0,82.0,86.0",,2,75.0,0,0,0,0,N10008,N10010,VN01
LC_18969_home_F_20.0_45.0_82.0,18969,N20252026F,home,forward,"20.0,45.0,82.0",,1,14.0,0,0,0,0,N10008,N10010,VN01
LC_18969_home_F_45.0_47.0,18969,N20252026F,home,forward,"45.0,47.0",,1,93.99,0,0,0,0,N10008,N10010,VN01
LC_18969_home_F_20.0_45.0,18969,N20252026F,home,forward,"20.0,45.0",,1,35.0,0,0,0,0,N10008,N10010,VN01
LC_18969_home_F_12.0_53.0_86.0,18969,N20252026F,home,forward,"12.0,53.0,86.0",,2,55.0,0,0,0,0,N10008,N10010,VN01
LC_18969_home_F_20.0_53.0_82.0,18969,N20252026F,home,forward,"20.0,53.0,82.0",,1,58.0,0,0,0,0,N10008,N10010,VN01
LC_18969_home_D_8.0_21.0,18969,N20252026F,home,defense,,"8.0,21.0",38,1475.98,0,0,0,0,N10008,N10010,VN01
LC_18969_home_D_3.0_78.0,18969,N20252026F,home,defense,,"3.0,78.0",44,1469.99,0,0,0,0,N10008,N10010,VN01
