linked_event_key,game_id,event_count,event_1_type,event_1_detail,event_1_player_id,play_chain
EC18969001000,18969,1,GameStart,,,GameStart
EC18969001001,18969,1,Faceoff,Faceoff_GameStart,P100192,Faceoff
EC18969001002,18969,1,Pass,Pass_Completed,P100025,Pass
EC18969001003,18969,1,Possession,Regroup,P100030,Possession
EC18969001004,18969,1,Pass,Pass_Completed,P100030,Pass
EC18969001005,18969,1,Zone_Entry_Exit,Zone_Entry,P100024,Zone_Entry_Exit
EC18969001006,18969,1,Turnover,Turnover_Giveaway,P100024,Turnover
EC18969001007,18969,1,Possession,PuckRetrieval,P100070,Possession
EC18969001008,18969,1,Pass,Pass_Completed,P100070,Pass
EC18969001009,18969,1,Zone_Entry_Exit,Zone_Exit,P100070,Zone_Entry_Exit
EC18969001010,18969,1,Possession,,P100161,Possession
EC18969001011,18969,1,Zone_Entry_Exit,Zone_Entry,P100161,Zone_Entry_Exit
EC18969001012,18969,1,Shot,Shot_Blocked,P100024,Shot
EC18969001013,18969,1,Possession,PuckRecovery,P100161,Possession
EC18969001014,18969,1,Possession,,P100161,Possession
EC18969001015,18969,1,Pass,Pass_Completed,P100070,Pass
EC18969001016,18969,1,Turnover,Turnover_Giveaway,P100070,Turnover
EC18969001017,18969,1,Possession,PuckRetrieval,P100025,Possession
EC18969001018,18969,1,Pass,Pass_Missed,P100025,Pass
EC18969001019,18969,1,Zone_Entry_Exit,Zone_Exit,P100025,Zone_Entry_Exit
EC18969001020,18969,1,Possession,PuckRecovery,P100030,Possession
EC18969001021,18969,1,Possession,,P100161,Possession
EC18969001022,18969,1,Zone_Entry_Exit,Zone_Entry,P100030,Zone_Entry_Exit
EC18969001023,18969,1,Possession,,P100030,Possession
EC18969001024,18969,1,Turnover,Turnover_Takeaway,P100108,Turnover
EC18969001025,18969,1,Turnover,Turnover_Giveaway,P100108,Turnover
EC18969001026,18969,1,Possession,PuckRetrieval,P100192,Possession
EC18969001027,18969,1,Shot,Shot_Missed,P100192,Shot
EC18969001028,18969,1,Possession,PuckRecovery,P100030,Possession
EC18969001029,18969,1,Shot,Shot_BlockedSameTeam,P100030,Shot
EC18969001030,18969,1,Possession,PuckRecovery,P100192,Possession
EC18969001031,18969,1,Pass,Pass_Completed,P100192,Pass
EC18969001032,18969,1,Shot,Shot_OnNetSaved,P100024,Shot
EC18969001033,18969,1,Save,Save_Rebound,P100016,Save
EC18969001034,18969,1,Rebound,Rebound_TeamRecovered,P100016,Rebound
EC18969001035,18969,1,Possession,PuckRetrieval,P100108,Possession
EC18969001036,18969,1,Pass,Pass_Completed,P100108,Pass
EC18969001037,18969,1,Zone_Entry_Exit,Zone_Exit,P100001,Zone_Entry_Exit
EC18969001038,18969,1,Possession,,P100001,Possession
EC18969001039,18969,1,Pass,Pass_Missed,P100192,Pass
EC18969001040,18969,1,Stoppage,Stoppage_Play,P100001,Stoppage
EC18969001041,18969,1,DeadIce,,P100001,DeadIce
EC18969001042,18969,1,Faceoff,Faceoff_AfterStoppage,P100117,Faceoff
