h2h_key,game_id,season_id,player_1_id,player_2_id,venue,shifts_together,toi_together,goals_for,goals_against,plus_minus,corsi_for,corsi_against,cf_pct,wowy_key,season_id_wowy,venue_wowy,shifts_together_wowy,toi_together_wowy,p1_shifts_without_p2,p2_shifts_without_p1,toi_apart,toi_p1_without_p2,toi_p2_without_p1,cf_pct_together,cf_pct_apart,cf_pct_delta,gf_pct_together,gf_pct_apart,gf_pct_delta,relative_corsi,performance_key,_export_timestamp
H2H_18969_8_12,18969,N20252026F,8,12,home,17,817.98,0,0,0,0,0,50.0,WOWY_18969_8_12,N20252026F,home,17,817.98,32,13,1269.0,862.0,407.0,50.0,50.0,0.0,50.0,50.0,0.0,0.0,H2H_18969_8_12_perf,2026-01-12T23:36:36.387584
H2H_18969_8_20,18969,N20252026F,8,20,home,11,594.99,0,0,0,0,0,50.0,WOWY_18969_8_20,N20252026F,home,11,594.99,38,15,1573.99,1084.99,489.0,50.0,50.0,0.0,50.0,50.0,0.0,0.0,H2H_18969_8_20_perf,2026-01-12T23:36:36.387584
H2H_18969_8_21,18969,N20252026F,8,21,home,38,1475.98,0,0,0,0,0,50.0,WOWY_18969_8_21,N20252026F,home,38,1475.98,11,2,294.0,204.0,90.0,50.0,50.0,0.0,50.0,50.0,0.0,0.0,H2H_18969_8_21_perf,2026-01-12T23:36:36.387584
H2H_18969_8_53,18969,N20252026F,8,53,home,37,1102.0,0,0,0,0,0,50.0,WOWY_18969_8_53,N20252026F,home,37,1102.0,12,20,1180.98,577.98,603.0,50.0,50.0,0.0,50.0,50.0,0.0,0.0,H2H_18969_8_53_perf,2026-01-12T23:36:36.387584
H2H_18969_8_99,18969,N20252026F,8,99,home,49,1679.98,0,0,0,0,0,50.0,WOWY_18969_8_99,N20252026F,home,49,1679.98,0,46,1559.99,0.0,1559.99,50.0,50.0,0.0,50.0,50.0,0.0,0.0,H2H_18969_8_99_perf,2026-01-12T23:36:36.387584
H2H_18969_12_20,18969,N20252026F,12,20,home,21,951.99,0,0,0,0,0,50.0,WOWY_18969_12_20,N20252026F,home,21,951.99,9,5,404.99,272.99,132.0,50.0,50.0,0.0,50.0,50.0,0.0,0.0,H2H_18969_12_20_perf,2026-01-12T23:36:36.387584
H2H_18969_12_21,18969,N20252026F,12,21,home,18,849.98,0,0,0,0,0,50.0,WOWY_18969_12_21,N20252026F,home,18,849.98,12,22,1091.0,375.0,716.0,50.0,50.0,0.0,50.0,50.0,0.0,0.0,H2H_18969_12_21_perf,2026-01-12T23:36:36.387584
H2H_18969_12_53,18969,N20252026F,12,53,home,17,685.0,0,0,0,0,0,50.0,WOWY_18969_12_53,N20252026F,home,17,685.0,13,40,1559.98,539.98,1020.0,50.0,50.0,0.0,50.0,50.0,0.0,0.0,H2H_18969_12_53_perf,2026-01-12T23:36:36.387584
H2H_18969_12_99,18969,N20252026F,12,99,home,30,1224.98,0,0,0,0,0,50.0,WOWY_18969_12_99,N20252026F,home,30,1224.98,0,65,2014.99,0.0,2014.99,50.0,50.0,0.0,50.0,50.0,0.0,0.0,H2H_18969_12_99_perf,2026-01-12T23:36:36.387584
H2H_18969_20_21,18969,N20252026F,20,21,home,13,684.99,0,0,0,0,0,50.0,WOWY_18969_20_21,N20252026F,home,13,684.99,13,27,1279.99,399.0,880.99,50.0,50.0,0.0,50.0,50.0,0.0,0.0,H2H_18969_20_21_perf,2026-01-12T23:36:36.387584
H2H_18969_20_53,18969,N20252026F,20,53,home,14,634.0,0,0,0,0,0,50.0,WOWY_18969_20_53,N20252026F,home,14,634.0,12,43,1520.99,449.99,1071.0,50.0,50.0,0.0,50.0,50.0,0.0,0.0,H2H_18969_20_53_perf,2026-01-12T23:36:36.387584
H2H_18969_20_99,18969,N20252026F,20,99,home,26,1083.99,0,0,0,0,0,50.0,WOWY_18969_20_99,N20252026F,home,26,1083.99,0,69,2155.98,0.0,2155.98,50.0,50.0,0.0,50.0,50.0,0.0,0.0,H2H_18969_20_99_perf,2026-01-12T23:36:36.387584
H2H_18969_21_53,18969,N20252026F,21,53,home,29,1004.0,0,0,0,0,0,50.0,WOWY_18969_21_53,N20252026F,home,29,1004.0,11,28,1262.98,561.98,701.0,50.0,50.0,0.0,50.0,50.0,0.0,0.0,H2H_18969_21_53_perf,2026-01-12T23:36:36.387584
H2H_18969_21_99,18969,N20252026F,21,99,home,40,1565.98,0,0,0,0,0,50.0,WOWY_18969_21_99,N20252026F,home,40,1565.98,0,55,1673.99,0.0,1673.99,50.0,50.0,0.0,50.0,50.0,0.0,0.0,H2H_18969_21_99_perf,2026-01-12T23:36:36.387584
H2H_18969_53_99,18969,N20252026F,53,99,home,57,1705.0,0,0,0,0,0,50.0,WOWY_18969_53_99,N20252026F,home,57,1705.0,0,38,1534.97,0.0,1534.97,50.0,50.0,0.0,50.0,50.0,0.0,0.0,H2H_18969_53_99_perf,2026-01-12T23:36:36.387584
H2H_18969_3_34,18969,N20252026F,3,34,home,25,773.0,0,0,0,0,0,50.0,WOWY_18969_3_34,N20252026F,home,25,773.0,30,10,1202.98,980.99,221.99,50.0,50.0,0.0,50.0,50.0,0.0,0.0,H2H_18969_3_34_perf,2026-01-12T23:36:36.387584
H2H_18969_3_45,18969,N20252026F,3,45,home,27,972.99,0,0,0,0,0,50.0,WOWY_18969_3_45,N20252026F,home,27,972.99,28,11,1342.98,781.0,561.98,50.0,50.0,0.0,50.0,50.0,0.0,0.0,H2H_18969_3_45_perf,2026-01-12T23:36:36.387584
H2H_18969_3_78,18969,N20252026F,3,78,home,44,1469.99,0,0,0,0,0,50.0,WOWY_18969_3_78,N20252026F,home,44,1469.99,11,2,294.0,284.0,10.0,50.0,50.0,0.0,50.0,50.0,0.0,0.0,H2H_18969_3_78_perf,2026-01-12T23:36:36.387584
H2H_18969_3_82,18969,N20252026F,3,82,home,17,614.0,0,0,0,0,0,50.0,WOWY_18969_3_82,N20252026F,home,17,614.0,38,6,1262.99,1139.99,123.0,50.0,50.0,0.0,50.0,50.0,0.0,0.0,H2H_18969_3_82_perf,2026-01-12T23:36:36.387584
H2H_18969_3_99,18969,N20252026F,3,99,home,55,1753.99,0,0,0,0,0,50.0,WOWY_18969_3_99,N20252026F,home,55,1753.99,0,40,1485.98,0.0,1485.98,50.0,50.0,0.0,50.0,50.0,0.0,0.0,H2H_18969_3_99_perf,2026-01-12T23:36:36.387584
H2H_18969_34_45,18969,N20252026F,34,45,home,15,554.99,0,0,0,0,0,50.0,WOWY_18969_34_45,N20252026F,home,15,554.99,20,23,1419.98,440.0,979.98,50.0,50.0,0.0,50.0,50.0,0.0,0.0,H2H_18969_34_45_perf,2026-01-12T23:36:36.387584
H2H_18969_34_78,18969,N20252026F,34,78,home,21,728.0,0,0,0,0,0,50.0,WOWY_18969_34_78,N20252026F,home,21,728.0,14,25,1018.98,266.99,751.99,50.0,50.0,0.0,50.0,50.0,0.0,0.0,H2H_18969_34_78_perf,2026-01-12T23:36:36.387584
H2H_18969_34_82,18969,N20252026F,34,82,home,19,590.0,0,0,0,0,0,50.0,WOWY_18969_34_82,N20252026F,home,19,590.0,16,4,551.99,404.99,147.0,50.0,50.0,0.0,50.0,50.0,0.0,0.0,H2H_18969_34_82_perf,2026-01-12T23:36:36.387584
H2H_18969_34_99,18969,N20252026F,34,99,home,35,994.99,0,0,0,0,0,50.0,WOWY_18969_34_99,N20252026F,home,35,994.99,0,60,2244.98,0.0,2244.98,50.0,50.0,0.0,50.0,50.0,0.0,0.0,H2H_18969_34_99_perf,2026-01-12T23:36:36.387584
H2H_18969_45_78,18969,N20252026F,45,78,home,26,956.99,0,0,0,0,0,50.0,WOWY_18969_45_78,N20252026F,home,26,956.99,12,20,1100.98,577.98,523.0,50.0,50.0,0.0,50.0,50.0,0.0,0.0,H2H_18969_45_78_perf,2026-01-12T23:36:36.387584
H2H_18969_45_82,18969,N20252026F,45,82,home,6,267.0,0,0,0,0,0,50.0,WOWY_18969_45_82,N20252026F,home,6,267.0,32,17,1737.97,1267.97,470.0,50.0,50.0,0.0,50.0,50.0,0.0,0.0,H2H_18969_45_82_perf,2026-01-12T23:36:36.387584
