event_id,game_id,period,period_id,event_type,event_type_id,event_detail,event_detail_id,event_detail_2,event_detail_2_id,event_successful,success_id,event_team_zone,event_zone_id,sequence_key,play_key,event_chain_key,tracking_event_key,shift_key,linked_event_key,home_team,home_team_id,away_team,away_team_id,duration,event_player_ids,opp_player_ids,event_start_min,event_start_sec,event_end_min,event_end_sec,time_start_total_seconds,time_end_total_seconds,event_running_start,event_running_end,running_video_time,period_start_total_running_seconds,running_intermission_duration,team_venue,team_venue_abv,player_team,home_team_zone,away_team_zone,player_role,side_of_puck,role_number,role_abrev,player_game_number,strength,play_detail1,play_detail_2,play_detail_successful,pressured_pressurer,puck_x_start,puck_y_start,puck_x_end,puck_y_end,player_x,player_y,is_goal,is_highlight,player_name,season_id,position_id,shot_type_id,zone_entry_type_id,zone_exit_type_id,stoppage_type_id,giveaway_type_id,takeaway_type_id,turnover_type_id,pass_type_id,time_bucket_id,strength_id,cycle_key,is_cycle,is_rush,is_rebound,is_breakout,is_zone_entry,is_zone_exit,is_shot,is_save,is_turnover,is_giveaway,is_takeaway,is_faceoff,is_penalty,is_blocked_shot,is_missed_shot,is_deflected,is_sog,shot_outcome_id,pass_outcome_id,save_outcome_id,zone_outcome_id,is_scoring_chance,is_high_danger,is_pressured,danger_level,danger_level_id,scoring_chance_key,penalty_key
EV1896902018,18969,2,P02,Penalty,ET0008,Penalty_Minor,,Penalty_Hooking,ED242,,,d,ZN02,SQ1896900057,PL1896905707,EC18969002018,TV1896902018,SH1896900062,,Platinum,N10008,Velodrome,N10010,0.0,P100030,,1.0,35.0,,,95.0,95.0,2132.0,2137.0,2137.0,1152.0,72.0,Home,h,Platinum,d,o,event_player_1,Offensive,1,e,8.0,5v5,,,,,,,,,,,0,,Jesse Chambless,N20252026F,5.0,,,,,,,,,TB05,STR0001,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,0,0,0,,,,PN189691018
EV1896902021,18969,2,P02,Faceoff,ET0004,Faceoff_AfterPenalty,,,,,,o,ZN01,SQ1896900061,PL1896906101,EC18969002021,TV1896902021,SH1896900063,,Platinum,N10008,Velodrome,N10010,0.0,"P100001,P100070",P100117,0.0,55.0,,,55.0,55.0,2172.0,2177.0,2177.0,1152.0,72.0,Away,a,Velodrome,d,o,event_player_1,Offensive,1,e,70.0,5v5,,,,,,,,,,,0,,Sam Downs,N20252026F,4.0,,,,,,,,,TB05,STR0004,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,0,0,0,,,,PN189691021
EV1897701188,18977,1,P01,Penalty,ET0008,Penalty_Minor,,Penalty_Tripping,ED244,,,,,SQ1897700014,PL1897701409,EC18977001188,TV1897701188,SH1897700011,,Velodrome,N10010,HollowBrook,N10003,0.0,P100161,P100047,10.0,7.0,,,607.0,607.0,468.0,473.0,473.0,0.0,0.0,Home,h,Velodrome,,,event_player_1,Offensive,1,e,49.0,5v5,,,,,,,,,,,0,,Galen Wood,N20252026F,4.0,,,,,,,,,TB02,STR0004,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,0,0,0,,,,PN189771782
EV1897701190,18977,1,P01,Faceoff,ET0004,Faceoff_AfterPenalty,,,,,,,,SQ1897700016,PL1897701601,EC18977001190,TV1897701190,SH1897700011,,Velodrome,N10010,HollowBrook,N10003,0.0,"P100159,P100201",P100084,9.0,38.0,,,578.0,578.0,497.0,502.0,502.0,0.0,0.0,Home,h,Velodrome,,,event_player_1,Offensive,1,e,42.0,5v5,,,,,,,,,,,0,,Garrett Ashcroft,N20252026F,4.0,,,,,,,,,TB03,STR0004,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,0,0,0,,,,PN189771784
EV1898101424,18981,1,P01,Penalty,ET0008,Penalty_Minor,,Penalty_Tripping,ED244,,,,,SQ1898100029,PL1898102905,EC18981001424,TV1898101424,SH1898100038,,Nelson,N10004,Velodrome,N10010,0.0,P100105,P100119,1.0,1.0,,,61.0,61.0,1014.0,1019.0,1019.0,0.0,0.0,Away,a,Velodrome,Neutral,Neutral,event_player_1,Offensive,1,e,9.0,5v5,,,,,,,,,,,0,,Ronnie Pinnell,N20252026F,5.0,,,,,,,,,TB05,STR0001,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,0,0,0,,,,PN189813379
EV1898101427,18981,1,P01,Faceoff,ET0004,Faceoff_AfterPenalty,,,,,,,,SQ1898100032,PL1898103201,EC18981001427,TV1898101427,SH1898100039,,Nelson,N10004,Velodrome,N10010,0.0,P100132,P100078,0.0,33.0,,,33.0,33.0,1042.0,1047.0,1047.0,0.0,0.0,Away,a,Velodrome,Neutral,Neutral,event_player_1,Offensive,1,e,14.0,5v5,,,,,,,,,,,0,,Nick Ciampoli,N20252026F,4.0,,,,,,,,,TB05,STR0002,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,0,0,0,,,,PN189813382
EV1898101482,18981,2,P02,Penalty,ET0008,Penalty_Minor,,Penalty_Tripping,ED244,,,,,SQ1898100038,PL1898103803,EC18981001482,TV1898101482,SH1898100043,,Nelson,N10004,Velodrome,N10010,0.0,P100159,,15.0,36.0,,,936.0,936.0,1291.0,1296.0,1296.0,1152.0,72.0,Away,a,Velodrome,Neutral,Neutral,event_player_1,Offensive,1,e,87.0,5v5,,,,,,,,,,,0,,Josh Cronk,N20252026F,5.0,,,,,,,,,TB01,STR0001,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,0,0,0,,,,PN189813437
EV1898101485,18981,2,P02,Faceoff,ET0004,Faceoff_AfterPenalty,,,,,,,,SQ1898100041,PL1898104101,EC18981001485,TV1898101485,SH1898100044,,Nelson,N10004,Velodrome,N10010,0.0,P100001,P100066,15.0,6.0,,,906.0,906.0,1321.0,1326.0,1326.0,1152.0,72.0,Away,a,Velodrome,Neutral,Neutral,event_player_1,Offensive,1,e,70.0,5v5,,,,,,,,,,,0,,Sam Downs,N20252026F,4.0,,,,,,,,,TB01,STR0002,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,0,0,0,,,,PN189813440
EV1898101621,18981,2,P02,Penalty,ET0008,Penalty_Minor,,Penalty_Tripping,ED244,,,,,SQ1898100041,PL1898104148,EC18981001621,TV1898101621,SH1898100054,,Nelson,N10004,Velodrome,N10010,0.0,P100161,,10.0,36.0,,,636.0,636.0,1591.0,1596.0,1596.0,1152.0,72.0,Away,a,Velodrome,Neutral,Neutral,event_player_1,Offensive,1,e,49.0,5v5,,,,,,,,,,,0,,Galen Wood,N20252026F,4.0,,,,,,,,,TB02,STR0001,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,0,0,0,,,,PN189813576
EV1898101624,18981,2,P02,Faceoff,ET0004,Faceoff_AfterPenalty,,,,,,,,SQ1898100044,PL1898104401,EC18981001624,TV1898101624,SH1898100055,,Nelson,N10004,Velodrome,N10010,0.0,"P100061,P100066",P100132,10.0,5.0,,,605.0,605.0,1622.0,1627.0,1627.0,1152.0,72.0,Home,h,Nelson,,,event_player_1,Offensive,1,e,79.0,5v5,,,,,,,,,,,0,,Brock Lofgren,N20252026F,4.0,,,,,,,,,TB02,STR0002,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,0,0,0,,,,PN189813579
