player_id,goals,primary_assists,secondary_assists,assists,points,shots,sog,pass_attempts,pass_completed,takeaways,giveaways,hits,blocks,dump_ins,fo_wins,fo_losses,seasons_played,war,game_score,career_games,player_name,position,current_team,goals_per_game,assists_per_game,points_per_game,shooting_pct,pass_completion_pct,faceoff_pct,takeaway_giveaway_ratio,player_career_key,_export_timestamp
P100001,1,0,0,0,1,40,17,65,42,15,30,0,3,4,50,28,1,1.75,16.15,4,Sam Downs,Forward,Velodrome,0.25,0.0,0.25,5.9,64.6,64.1,0.5,P100001_career,2026-01-12T23:37:17.819277
P100002,1,0,0,0,1,13,9,54,28,3,34,0,1,9,0,3,1,0.7999999999999999,9.15,4,Kevin White,Forward,Velodrome,0.25,0.0,0.25,11.1,51.9,0.0,0.09,P100002_career,2026-01-12T23:37:17.819277
P100004,0,0,0,0,0,4,4,7,5,3,2,0,2,3,5,7,1,0.18,3.78,1,Cesar Shinall,Defense,Outlaws,0.0,0.0,0.0,0.0,71.4,41.7,1.5,P100004_career,2026-01-12T23:37:17.819277
P100022,1,0,0,0,1,8,6,13,8,1,9,0,2,0,0,0,1,0.75,4.77,1,Chris Dube,Forward,Platinum,1.0,0.0,1.0,16.7,61.5,0.0,0.11,P100022_career,2026-01-12T23:37:17.819277
P100023,1,1,0,1,2,11,6,24,14,2,7,0,1,1,0,0,1,0.83,5.49,1,Alex Considine,Defense,Platinum,1.0,1.0,2.0,16.7,58.3,0.0,0.29,P100023_career,2026-01-12T23:37:17.819277
P100024,0,0,0,0,0,5,5,10,7,1,1,0,1,2,0,0,1,0.22,3.96,1,John Thien,Forward,Platinum,0.0,0.0,0.0,0.0,70.0,0.0,1.0,P100024_career,2026-01-12T23:37:17.819277
P100025,0,0,0,0,0,3,2,18,10,0,7,0,1,2,0,0,1,0.18,2.55,1,Andrew Marshall,Forward,Platinum,0.0,0.0,0.0,0.0,55.6,0.0,0.0,P100025_career,2026-01-12T23:37:17.819277
P100027,0,0,0,0,0,4,3,3,2,0,3,0,1,1,0,0,1,0.09,2.85,1,Karen Zietlow,Forward,Platinum,0.0,0.0,0.0,0.0,66.7,0.0,0.0,P100027_career,2026-01-12T23:37:17.819277
P100030,0,0,0,0,0,10,5,18,12,3,6,0,0,0,0,0,1,0.41,3.55,1,Jesse Chambless,Defense,Platinum,0.0,0.0,0.0,0.0,66.7,0.0,0.5,P100030_career,2026-01-12T23:37:17.819277
P100031,0,0,0,0,0,2,0,20,14,2,3,0,0,3,0,0,1,0.34,3.12,1,Christopher Mihlon,Forward,Outlaws,0.0,0.0,0.0,0.0,70.0,0.0,0.67,P100031_career,2026-01-12T23:37:17.819277
P100032,0,0,0,0,0,5,4,30,20,4,18,0,1,17,0,0,1,0.38,3.37,1,Trevor Chavez,Defense,Outlaws,0.0,0.0,0.0,0.0,66.7,0.0,0.22,P100032_career,2026-01-12T23:37:17.819277
P100033,0,0,0,0,0,11,8,11,5,1,12,0,4,9,0,0,1,0.51,3.49,1,Taylor Rogalsky,Forward,Outlaws,0.0,0.0,0.0,0.0,45.5,0.0,0.08,P100033_career,2026-01-12T23:37:17.819277
P100034,0,0,0,0,0,6,2,15,9,2,11,0,1,8,0,0,1,0.35,3.03,1,Colin Brewster,Defense,Outlaws,0.0,0.0,0.0,0.0,60.0,0.0,0.18,P100034_career,2026-01-12T23:37:17.819277
P100038,0,0,0,0,0,1,1,10,9,3,3,0,0,0,0,0,1,0.11,2.26,1,Kevin Moore,Defense,HollowBrook,0.0,0.0,0.0,0.0,90.0,0.0,1.0,P100038_career,2026-01-12T23:37:17.819277
P100039,0,0,0,0,0,9,2,11,6,0,14,0,1,2,0,0,1,0.31,7.67,4,Nicole Downs,Forward,Velodrome,0.0,0.0,0.0,0.0,54.5,0.0,0.0,P100039_career,2026-01-12T23:37:17.819277
P100047,1,0,0,0,1,8,7,11,7,1,9,0,0,0,0,0,1,0.45,3.65,1,Nathan Watts,Forward,HollowBrook,1.0,0.0,1.0,14.3,63.6,0.0,0.11,P100047_career,2026-01-12T23:37:17.819277
P100049,0,0,0,0,0,4,1,9,7,0,8,0,0,0,0,0,1,0.16,1.65,1,Kirk Moore,Forward,HollowBrook,0.0,0.0,0.0,0.0,77.8,0.0,0.0,P100049_career,2026-01-12T23:37:17.819277
P100061,0,0,0,0,0,3,0,18,10,1,9,0,0,0,0,0,1,0.16,1.38,1,Eric Larson,Defense,Nelson,0.0,0.0,0.0,0.0,55.6,0.0,0.11,P100061_career,2026-01-12T23:37:17.819277
