player_id,game_id,chains_involved,events_in_chains,player_chain_key,_export_timestamp
P100001,18969,43,224,P100001_18969,2026-01-12T23:36:35.902529
P100001,18977,39,174,P100001_18977,2026-01-12T23:36:35.902529
P100001,18981,43,148,P100001_18981,2026-01-12T23:36:35.902529
P100001,18987,51,257,P100001_18987,2026-01-12T23:36:35.902529
P100002,18969,17,112,P100002_18969,2026-01-12T23:36:35.902529
P100002,18977,30,85,P100002_18977,2026-01-12T23:36:35.902529
P100002,18981,18,99,P100002_18981,2026-01-12T23:36:35.902529
P100002,18987,36,129,P100002_18987,2026-01-12T23:36:35.902529
P100004,18987,28,95,P100004_18987,2026-01-12T23:36:35.902529
P100009,18987,21,64,P100009_18987,2026-01-12T23:36:35.902529
P100016,18969,33,140,P100016_18969,2026-01-12T23:36:35.902529
P100016,18977,36,132,P100016_18977,2026-01-12T23:36:35.902529
P100016,18981,36,121,P100016_18981,2026-01-12T23:36:35.902529
P100016,18987,32,121,P100016_18987,2026-01-12T23:36:35.902529
P100022,18969,21,145,P100022_18969,2026-01-12T23:36:35.902529
P100023,18969,24,169,P100023_18969,2026-01-12T23:36:35.902529
P100024,18969,17,68,P100024_18969,2026-01-12T23:36:35.902529
P100025,18969,26,86,P100025_18969,2026-01-12T23:36:35.902529
P100027,18969,15,57,P100027_18969,2026-01-12T23:36:35.902529
P100030,18969,30,171,P100030_18969,2026-01-12T23:36:35.902529
P100031,18987,26,115,P100031_18987,2026-01-12T23:36:35.902529
P100032,18987,45,216,P100032_18987,2026-01-12T23:36:35.902529
P100033,18987,33,143,P100033_18987,2026-01-12T23:36:35.902529
P100034,18987,24,100,P100034_18987,2026-01-12T23:36:35.902529
P100038,18977,19,61,P100038_18977,2026-01-12T23:36:35.902529
P100039,18969,16,55,P100039_18969,2026-01-12T23:36:35.902529
P100039,18977,10,33,P100039_18977,2026-01-12T23:36:35.902529
P100039,18981,13,26,P100039_18981,2026-01-12T23:36:35.902529
P100039,18987,20,52,P100039_18987,2026-01-12T23:36:35.902529
P100047,18977,29,130,P100047_18977,2026-01-12T23:36:35.902529
P100049,18977,17,53,P100049_18977,2026-01-12T23:36:35.902529
P100061,18981,33,95,P100061_18981,2026-01-12T23:36:35.902529
P100064,18969,16,74,P100064_18969,2026-01-12T23:36:35.902529
P100064,18987,22,75,P100064_18987,2026-01-12T23:36:35.902529
P100066,18981,40,129,P100066_18981,2026-01-12T23:36:35.902529
P100070,18969,26,103,P100070_18969,2026-01-12T23:36:35.902529
P100070,18977,29,103,P100070_18977,2026-01-12T23:36:35.902529
P100070,18981,29,93,P100070_18981,2026-01-12T23:36:35.902529
P100071,18981,18,55,P100071_18981,2026-01-12T23:36:35.902529
P100072,18981,12,31,P100072_18981,2026-01-12T23:36:35.902529
P100074,18981,41,106,P100074_18981,2026-01-12T23:36:35.902529
P100078,18981,33,119,P100078_18981,2026-01-12T23:36:35.902529
P100079,18981,28,135,P100079_18981,2026-01-12T23:36:35.902529
P100080,18987,15,39,P100080_18987,2026-01-12T23:36:35.902529
P100081,18977,13,41,P100081_18977,2026-01-12T23:36:35.902529
P100084,18977,52,182,P100084_18977,2026-01-12T23:36:35.902529
P100086,18977,37,139,P100086_18977,2026-01-12T23:36:35.902529
P100088,18977,36,220,P100088_18977,2026-01-12T23:36:35.902529
P100091,18977,8,17,P100091_18977,2026-01-12T23:36:35.902529
P100093,18969,23,114,P100093_18969,2026-01-12T23:36:35.902529
P100093,18981,25,94,P100093_18981,2026-01-12T23:36:35.902529
P100096,18977,25,87,P100096_18977,2026-01-12T23:36:35.902529
P100097,18977,17,49,P100097_18977,2026-01-12T23:36:35.902529
P100099,18987,27,93,P100099_18987,2026-01-12T23:36:35.902529
