player_position_key,game_id,player_id,logical_shifts,dominant_position,dominant_position_pct,forward_shifts,defense_shifts,goalie_shifts,player_name
PP1896900001,18969,P100001,13,Forward,100.0,13,0,0,Sam Downs
PP1896900002,18969,P100002,10,Forward,96.7,9,0,0,Kevin White
PP1896900003,18969,P100016,3,Goalie,100.0,0,0,3,Wyatt Crandall
PP1896900004,18969,P100022,10,Forward,100.0,10,0,0,Chris Dube
PP1896900005,18969,P100023,10,Defense,100.0,0,10,0,Alex Considine
PP1896900006,18969,P100024,11,Forward,100.0,11,0,0,John Thien
PP1896900007,18969,P100025,11,Defense,100.0,0,11,0,Andrew Marshall
PP1896900008,18969,P100027,12,Forward,100.0,12,0,0,Karen Zietlow
PP1896900009,18969,P100030,12,Defense,100.0,0,12,0,Jesse Chambless
PP1896900010,18969,P100039,9,Forward,100.0,9,0,0,Nicole Downs
PP1896900011,18969,P100064,8,Forward,100.0,8,0,0,James Rynearson
PP1896900012,18969,P100070,14,Defense,100.0,0,14,0,Hayden Perea
PP1896900013,18969,P100093,10,Defense,100.0,0,10,0,Pat Major
PP1896900014,18969,P100105,9,Defense,100.0,0,9,0,Ronnie Pinnell
PP1896900015,18969,P100107,11,Defense,100.0,0,11,0,Matt Quinn
PP1896900016,18969,P100108,12,Defense,100.0,0,12,0,Robert Mayfield
PP1896900017,18969,P100110,9,Forward,100.0,9,0,0,JoLyn Maly
PP1896900018,18969,P100117,13,Forward,100.0,13,0,0,Keegan Mantaro
PP1896900019,18969,P100132,8,Forward,100.0,8,0,0,Nick Ciampoli
PP1896900020,18969,P100161,10,Forward,100.0,10,0,0,Galen Wood
PP1896900021,18969,P100192,12,Forward,100.0,12,0,0,Chris Premo
PP1896900022,18969,P100198,14,Defense,100.0,0,14,0,Maxwell Donaty
PP1896900023,18969,P100201,11,Forward,100.0,11,0,0,Garrett Ashcroft
PP1896900024,18969,P100202,4,Goalie,100.0,0,0,4,Francis Forte
PP1896900025,18969,P100210,9,Forward,100.0,9,0,0,Josh Simonds
PP1896900026,18969,P100222,9,Forward,100.0,9,0,0,Joshua Blumberg
PP1896900027,18969,P100224,9,Forward,100.0,9,0,0,Kaitlyn Shain
PP1897700001,18977,P100001,10,Forward,100.0,10,0,0,Sam Downs
PP1897700002,18977,P100002,9,Forward,100.0,9,0,0,Kevin White
PP1897700003,18977,P100016,3,Goalie,100.0,0,0,3,Wyatt Crandall
PP1897700004,18977,P100038,9,Defense,100.0,0,9,0,Kevin Moore
