player_game_key,game_id,player_id,player_name,goals,assists,points,shots,sog,shots_blocked,shots_missed,shooting_pct,pass_attempts,pass_completed,pass_pct,fo_wins,fo_losses,fo_total,fo_pct,zone_entries,zone_exits,giveaways,takeaways,toi_seconds,toi_minutes,playing_toi_seconds,playing_toi_minutes,stoppage_seconds,shift_count,logical_shifts,avg_shift,avg_playing_shift,goals_per_60,assists_per_60,points_per_60,shots_per_60,goals_per_60_playing,assists_per_60_playing,points_per_60_playing,shots_per_60_playing,blocks,hits,puck_battles,puck_battle_wins,retrievals,corsi_for,corsi_against,fenwick_for,fenwick_against,cf_pct,ff_pct,opp_avg_rating,skill_diff,plus_ev,minus_ev,plus_minus_ev,plus_total,minus_total,plus_minus_total,plus_en_adj,minus_en_adj,plus_minus_en_adj,player_rating,home_team_id,away_team_id,chips,breakout_rush_attempts,zone_keepins,dekes_successful,breakout_clear_attempts,beat_middle,beat_wide,zone_exit_denials,breakouts,passes_missed_target,drives_corner,tip_attempts,cutbacks,drives_middle,pass_for_tip,poke_checks,stick_checks,got_beat_middle,crash_net,cycle_plays,ceded_exits,reverse_passes,deke_attempts,breakout_pass_attempts,backchecks,separate_from_puck,rebound_recoveries,block_attempts,drives_net,ceded_entries,puck_retrievals,passes_intercepted,stopped_deke,dump_and_chase,def_pass_deflected,loose_puck_wins,drives_wide,puck_recoveries,def_pass_intercepted,screens,front_of_net,secondary_assists,in_lane,quick_ups,second_touches,delays,loose_puck_losses,turnover_recoveries,dump_recoveries,pressures,contains,forechecks,give_and_go,passes_deflected,lost_puck,force_wide,man_on_man,dekes_beat_defender,box_outs,primary_assists,got_beat_wide,zone_entry_denials,surf_plays,blocked_shots_play,drives_middle_success,drives_wide_success,drives_corner_success,zone_entry_denials_success,breakouts_success,zone_entry_carry,zone_entry_pass,zone_entry_dump,zone_exit_carry,zone_exit_pass,zone_exit_dump,zone_exit_clear,zone_entries_controlled,zone_entries_uncontrolled,zone_entry_success_rate,zone_entry_control_pct,zone_exits_controlled,zone_exits_uncontrolled,zone_exit_success_rate,zone_exit_control_pct,def_shots_against,def_goals_against,def_entries_allowed,def_exits_denied,def_times_beat_deke,def_times_beat_speed,def_times_beat_total,def_takeaways,def_forced_turnovers,def_zone_clears,def_blocked_shots,def_interceptions,def_stick_checks,def_poke_checks,def_body_checks,def_coverage_assignments,def_battles_won,def_battles_lost,giveaways_bad,giveaways_neutral,giveaways_good,turnover_diff_adjusted,turnovers_oz,turnovers_nz,turnovers_dz,giveaway_rate_per_60,takeaway_rate_per_60,goals_rating_adj,assists_rating_adj,points_rating_adj,plus_minus_rating_adj,cf_pct_rating_adj,qoc_rating,qot_rating,expected_vs_rating,xg_for,xg_against,xg_diff,xg_pct,goals_above_expected,shots_high_danger,shots_medium_danger,shots_low_danger,scoring_chances,high_danger_chances,xg_per_shot,shot_quality_avg,offensive_rating,defensive_rating,hustle_rating,playmaking_rating,shooting_rating,physical_rating,impact_score,war_estimate,avg_shift_too_long,shift_length_warning,fatigue_indicator,sub_equity_score,toi_vs_team_avg,period_3_dropoff,late_game_performance,on_ice_sh_pct,on_ice_sv_pct,pdo,pdo_5v5,fo_wins_oz,fo_wins_nz,fo_wins_dz,fo_losses_oz,fo_losses_nz,fo_losses_dz,fo_pct_oz,fo_pct_nz,fo_pct_dz,zone_starts_oz_pct,zone_starts_dz_pct,game_score,game_score_per_60,game_score_rating,effective_game_rating,rating_performance_delta,playing_above_rating,playing_below_rating,playing_at_rating,performance_tier,performance_index,shots_successful,shots_unsuccessful,passes_successful,passes_unsuccessful,plays_successful,plays_unsuccessful,entries_successful,entries_unsuccessful,exits_successful,exits_unsuccessful,total_successful_plays,total_unsuccessful_plays,overall_success_rate,shot_success_rate,pass_success_rate,play_success_rate,times_pass_target,passes_received_successful,passes_received_unsuccessful,pass_reception_rate,times_target_oz,times_target_nz,times_target_dz,slot_passes_received,cross_ice_passes_received,odd_man_rushes,odd_man_rush_goals,odd_man_rush_shots,breakaway_attempts,breakaway_goals,2on1_rushes,3on2_rushes,2on0_rushes,rush_entries,rush_shots,rush_goals,counter_attacks,transition_plays,times_targeted_by_opp,times_targeted_shots,times_targeted_entries,times_targeted_passes,times_targeted_as_defender,defensive_assignments,times_attacked,times_attacked_successfully,times_attacked_unsuccessfully,defensive_success_rate,times_ep3,times_ep4,times_ep5,times_opp2,times_opp3,times_opp4,total_on_ice_events,puck_touches_estimated,involvement_rate,support_plays,goals_leading,goals_trailing,goals_tied,shots_leading,shots_trailing,shots_tied,first_period_points,second_period_points,third_period_points,first_period_shots,second_period_shots,third_period_shots,clutch_goals,empty_net_goals_for,shorthanded_goals,offensive_contribution,defensive_contribution,two_way_rating,puck_possession_index,danger_creation_rate,efficiency_score,clutch_factor,complete_player_score
PG1896900001,18969,P100001,Sam Downs,0,0,0,9,5,2,1,0.0,22,12,54.5,14,8,22,63.6,11,7,8,3,1730.0,28.8,1556.0,25.9,174.0,49,13,133.1,133.1,0.0,0.0,0.0,18.73,0.0,0.0,0.0,20.82,2,0,1,0,20,29,39,22,29,42.6,43.1,3.85,2.15,0,-3,-3,1,-3,-2,0,-3,-3,6.0,N10008,N10010,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0.0,0.0,3.0,2.0,0.0,0.0,10.0,0.0,0.0,90.9,5.0,0.0,0.0,71.4,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,4.0,3.0,3.0,3.0,4.0,1.0,16.65,6.24,0.0,0.0,0.0,-2.97,0.0,3.85,0.0,2.15,0.45,0.262,0.188,63.2,-0.45,1.0,3.0,4.0,4.0,1.0,0.09,1.62,3.0,7.3,0.0,0.9,1.7,2.1,-22.4,0.164,1.0,1.0,0.0,20.7,1.21,0.0,0.0,3.4,115.4,118.8,100.0,4.0,5.0,5.0,2.0,3.0,3.0,66.7,62.5,62.5,27.3,36.4,-0.05,-0.1,45.5,3.98,-2.02,0,1,0,struggling,49.5,5.0,8.0,31.0,21.0,23.0,12.0,28.0,9.0,0.0,0.0,87.0,50.0,63.5,38.5,59.6,65.7,18.0,12.0,6.0,66.7,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,16,2,0,0,2,65.0,4.0,5.0,12.0,58.0,58.0,36.0,18.0,18.0,50.0,1.0,0.0,0.0,7.0,0.0,0.0,224.0,128.0,70.5,1.0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,2.5,8.5,5.5,73.3,0.6,-0.03,0.0,3.1
PG1896900002,18969,P100002,Kevin White,0,0,0,5,4,1,0,0.0,13,9,69.2,0,0,0,0.0,3,3,5,1,939.0,15.6,858.0,14.3,81.0,30,10,93.9,93.9,0.0,0.0,0.0,19.17,0.0,0.0,0.0,20.98,0,0,1,1,11,13,11,9,9,54.2,50.0,3.85,0.15,0,0,0,0,0,0,0,0,0,4.0,N10008,N10010,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,66.7,2.0,0.0,0.0,66.7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,19.17,3.83,0.0,0.0,0.0,0.0,0.0,3.85,0.0,0.15,0.36,0.142,0.218,71.7,-0.36,1.0,2.0,2.0,3.0,1.0,0.09,1.8,4.4,3.2,1.3,2.2,2.6,0.0,4.2,0.077,0.0,1.0,0.0,34.5,0.66,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.15,51.3,4.15,0.15,0,0,1,as_expected,103.8,5.0,2.0,22.0,13.0,10.0,10.0,12.0,3.0,0.0,0.0,49.0,28.0,63.6,71.4,62.9,50.0,17.0,9.0,8.0,52.9,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,1,0,0,1,27.0,2.0,2.0,5.0,22.0,22.0,16.0,10.0,6.0,37.5,0.0,0.0,0.0,5.0,0.0,0.0,112.0,55.0,75.9,0.0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,2.3,1.5,1.9,34.6,0.51,0.38,0.0,3.0
PG1896900003,18969,P100016,Wyatt Crandall,0,0,0,0,0,0,0,0.0,2,2,100.0,0,0,0,0.0,0,0,0,0,3158.0,52.6,2838.0,47.3,320.0,93,3,1052.7,1052.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,44,75,36,59,37.0,37.9,3.85,1.15,2,-4,-2,3,-4,-1,2,-4,-2,5.0,N10008,N10010,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.98,0.0,3.85,0.0,1.15,0.0,0.477,-0.477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-23.0,0.0,1.0,1.0,0.0,120.4,2.2,0.0,0.0,11.4,110.7,122.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.55,-1.77,20.7,3.22,-1.78,0,1,0,struggling,55.5,41.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,45.0,2.0,95.7,100.0,66.7,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0,44.0,0.0,1.0,46.0,46.0,45.0,44.0,1.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,140.0,93.0,67.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,47.1,0.0,-0.59,0.0,0.2
PG1896900004,18969,P100022,Chris Dube,1,0,1,8,6,1,1,12.5,13,8,61.5,0,0,0,0.0,12,3,9,1,995.0,16.6,877.0,14.6,118.0,35,10,99.5,99.5,3.62,0.0,3.62,28.94,4.1,0.0,4.1,32.84,2,0,0,0,12,30,16,24,14,65.2,63.2,3.93,0.07,2,-1,1,2,-1,1,2,-1,1,4.0,N10008,N10010,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0.0,2.0,2.0,0.0,0.0,1.0,9.0,2.0,0.0,75.0,2.0,1.0,0.0,66.7,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,32.56,3.62,1.0,0.0,1.0,1.0,0.0,3.93,0.0,0.07,0.54,0.15,0.39,78.3,0.46,2.0,3.0,3.0,5.0,2.0,0.09,1.88,12.2,6.6,0.0,1.9,66.1,3.6,23.2,0.174,0.0,1.0,0.0,30.6,0.69,0.0,0.0,13.3,112.5,125.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,6.44,75.9,4.89,0.89,1,0,0,overperforming,122.2,8.0,4.0,21.0,14.0,16.0,13.0,21.0,11.0,0.0,0.0,66.0,42.0,61.1,66.7,60.0,55.2,16.0,11.0,5.0,68.8,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,14,2,0,0,2,41.0,3.0,6.0,6.0,36.0,36.0,33.0,14.0,19.0,57.6,0.0,0.0,0.0,5.0,0.0,0.0,145.0,72.0,71.7,0.0,0,0,0,0,0,0,0,1,0,2,3,4,0,0,0,6.3,5.5,5.9,42.3,0.84,2.14,1.0,6.3
PG1896900005,18969,P100023,Alex Considine,1,1,2,11,6,5,0,9.1,24,14,58.3,0,0,0,0.0,6,7,7,2,1754.0,29.2,1589.0,26.5,165.0,55,10,175.4,175.4,2.05,2.05,4.1,22.58,2.27,2.27,4.53,24.92,1,0,0,0,16,47,25,36,19,65.3,65.5,3.93,0.07,4,-1,3,4,-2,2,4,-1,3,4.0,N10008,N10010,0,0,2,1,1,1,1,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,0.0,0.0,66.7,5.0,0.0,0.0,71.4,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,3.0,2.0,3.0,3.0,1.0,14.37,4.1,1.0,1.0,1.99,2.99,0.0,3.93,0.0,0.07,0.54,0.265,0.275,67.1,0.46,2.0,4.0,5.0,6.0,2.0,0.09,1.73,8.7,4.5,0.0,1.5,47.6,1.0,36.3,0.213,1.0,1.0,0.0,22.4,1.22,0.0,0.0,17.0,112.0,129.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,4.6,83.5,5.12,1.12,1,0,0,exceptional,128.0,7.0,9.0,30.0,16.0,29.0,12.0,20.0,5.0,0.0,0.0,86.0,42.0,67.2,43.8,65.2,70.7,16.0,14.0,2.0,87.5,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,11,2,0,0,6,44.0,5.0,7.0,6.0,40.0,40.0,33.0,16.0,17.0,51.5,0.0,0.0,0.0,4.0,0.0,0.0,169.0,101.0,74.0,0.0,0,0,0,0,0,0,0,0,1,3,3,6,0,0,0,8.0,5.0,6.5,59.5,0.84,1.53,1.5,4.5
PG1896900006,18969,P100024,John Thien,0,0,0,5,5,0,0,0.0,10,7,70.0,0,0,0,0.0,4,0,1,1,1084.0,18.1,962.0,16.0,122.0,26,11,98.5,98.5,0.0,0.0,0.0,16.61,0.0,0.0,0.0,18.71,1,0,0,0,8,27,13,19,10,67.5,65.5,3.93,-0.93,1,-1,0,1,-2,-1,1,-1,0,3.0,N10008,N10010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.32,3.32,0.0,0.0,0.0,0.0,0.0,3.93,0.0,-0.93,0.45,0.164,0.286,73.3,-0.45,1.0,2.0,2.0,3.0,1.0,0.09,1.8,4.8,4.4,0.0,1.9,2.8,1.7,17.5,0.092,0.0,1.0,0.0,24.4,0.76,0.0,0.0,7.4,123.1,130.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,3.79,65.3,4.57,1.57,1,0,0,exceptional,139.2,5.0,2.0,18.0,8.0,19.0,7.0,3.0,5.0,0.0,0.0,45.0,22.0,67.2,71.4,69.2,73.1,14.0,10.0,4.0,71.4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,1,0,0,0,12.0,1.0,0.0,2.0,12.0,12.0,6.0,3.0,3.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,34.0,82.4,0.0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,2.5,3.5,3.0,22.4,0.6,1.26,0.0,3.2
PG1896900007,18969,P100025,Andrew Marshall,0,0,0,3,2,0,0,0.0,18,10,55.6,0,0,0,0.0,2,6,7,0,1566.0,26.1,1411.0,23.5,155.0,40,11,142.4,142.4,0.0,0.0,0.0,6.9,0.0,0.0,0.0,7.65,1,0,0,0,14,31,21,24,18,59.6,57.1,3.93,0.07,0,-1,-1,0,-1,-1,0,-1,-1,4.0,N10008,N10010,0,0,0,3,1,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,16.7,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,16.09,0.0,0.0,0.0,0.0,-1.0,0.0,3.93,0.0,0.07,0.18,0.237,-0.057,43.2,-0.18,1.0,0.0,1.0,1.0,1.0,0.09,2.0,1.3,1.1,0.0,1.1,0.8,1.1,4.6,0.036,1.0,1.0,0.0,9.3,1.09,0.0,0.0,0.0,109.5,109.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,1.13,54.5,4.24,0.24,0,0,1,as_expected,106.0,3.0,2.0,14.0,9.0,14.0,18.0,12.0,7.0,0.0,0.0,43.0,36.0,54.4,60.0,60.9,43.8,4.0,4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,1,0,0,6,19.0,2.0,8.0,1.0,15.0,15.0,15.0,9.0,6.0,40.0,1.0,0.0,0.0,3.0,1.0,0.0,86.0,59.0,77.9,1.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1.0,2.0,1.5,33.7,0.33,0.38,0.0,1.0
PG1896900008,18969,P100027,Karen Zietlow,0,0,0,4,3,1,0,0.0,3,2,66.7,0,0,0,0.0,1,2,3,0,1225.0,20.4,1103.0,18.4,122.0,30,12,102.1,102.1,0.0,0.0,0.0,11.76,0.0,0.0,0.0,13.06,1,0,2,0,3,29,16,23,13,64.4,63.9,3.93,-1.93,1,-1,0,1,-1,0,1,-1,0,2.0,N10008,N10010,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,100.0,1.0,1.0,0.0,50.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,8.82,0.0,0.0,0.0,0.0,0.0,0.0,3.93,0.0,-1.93,0.27,0.185,0.085,59.3,-0.27,1.0,1.0,2.0,2.0,1.0,0.09,1.75,2.5,1.5,0.0,1.6,1.5,1.5,14.4,0.045,0.0,1.0,0.0,14.5,0.85,0.0,0.0,6.9,112.5,119.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,2.47,60.3,4.42,2.42,1,0,0,exceptional,160.5,6.0,2.0,11.0,6.0,3.0,7.0,4.0,3.0,0.0,0.0,24.0,18.0,57.1,75.0,64.7,30.0,9.0,6.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,25.0,2.0,1.0,5.0,22.0,22.0,13.0,6.0,7.0,53.8,0.0,0.0,0.0,3.0,0.0,0.0,57.0,16.0,56.1,0.0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1.8,2.0,1.9,10.8,0.42,0.82,0.0,1.6
PG1896900009,18969,P100030,Jesse Chambless,0,0,0,10,5,1,2,0.0,18,12,66.7,0,0,0,0.0,3,3,6,3,1680.0,28.0,1525.0,25.4,155.0,49,12,140.0,140.0,0.0,0.0,0.0,21.43,0.0,0.0,0.0,23.61,0,0,2,1,13,32,22,27,19,59.3,58.7,3.93,1.07,0,-1,-1,0,-1,-1,0,-1,-1,5.0,N10008,N10010,0,0,4,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,66.7,1.0,1.0,0.0,33.3,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,12.86,6.43,0.0,0.0,0.0,-1.0,0.0,3.93,0.0,1.07,0.45,0.254,0.196,63.9,-0.45,1.0,3.0,4.0,4.0,1.0,0.09,1.62,3.1,5.4,0.7,1.2,1.8,0.0,4.3,0.142,1.0,1.0,0.0,17.2,1.17,0.0,0.0,0.0,109.1,109.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,1.8,60.3,4.42,-0.58,0,1,0,underperforming,85.5,8.0,7.0,26.0,12.0,21.0,14.0,18.0,10.0,0.0,0.0,73.0,43.0,62.9,53.3,68.4,60.0,11.0,10.0,1.0,90.9,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,11,2,0,0,2,57.0,5.0,9.0,9.0,49.0,49.0,42.0,21.0,21.0,50.0,0.0,0.0,0.0,8.0,0.0,0.0,171.0,93.0,66.7,0.0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,2.5,4.5,3.5,53.8,0.6,0.6,0.0,2.8
PG1896900010,18969,P100039,Nicole Downs,0,0,0,5,1,3,1,0.0,4,2,50.0,0,0,0,0.0,4,3,7,0,1257.0,21.0,1102.0,18.4,155.0,36,9,139.7,139.7,0.0,0.0,0.0,14.32,0.0,0.0,0.0,16.33,1,0,0,0,4,21,32,17,26,39.6,39.5,3.85,-1.85,1,-2,-1,1,-2,-1,1,-2,-1,2.0,N10008,N10010,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,50.0,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,20.05,0.0,0.0,0.0,0.0,-0.99,0.0,3.85,0.0,-1.85,0.09,0.19,-0.1,32.1,-0.09,1.0,2.0,2.0,3.0,1.0,0.09,1.8,0.8,1.4,0.0,1.2,0.5,1.4,-15.4,0.026,1.0,1.0,0.0,12.3,0.88,0.0,0.0,9.5,112.5,122.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.64,-1.83,35.7,3.68,1.68,1,0,0,exceptional,142.0,1.0,5.0,10.0,10.0,5.0,9.0,6.0,5.0,0.0,0.0,22.0,29.0,43.1,16.7,50.0,35.7,11.0,6.0,5.0,54.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,11.0,1.0,0.0,5.0,10.0,10.0,10.0,5.0,5.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,55.0,29.0,80.0,0.0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1.1,2.0,1.55,17.5,0.24,-0.61,0.0,0.9
