micro_stats_key,game_id,player_id,screens,tips,one_timers,dekes,rebounds,backchecks,forechecks,board_battles,_export_timestamp
P100064_18969,18969,P100064,0,3,0,0,0,0,0,0,2026-01-13T11:03:06.117876
P100132_18969,18969,P100132,0,1,0,0,0,0,0,0,2026-01-13T11:03:06.118378
P100023_18969,18969,P100023,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.118937
P100202_18969,18969,P100202,0,1,0,0,0,0,0,0,2026-01-13T11:03:06.119396
P100001_18969,18969,P100001,0,3,0,0,0,0,0,0,2026-01-13T11:03:06.120101
P100192_18969,18969,P100192,0,2,0,0,0,0,0,0,2026-01-13T11:03:06.120751
P100093_18969,18969,P100093,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.121215
P100198_18969,18969,P100198,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.121946
P100117_18969,18969,P100117,0,2,0,0,0,0,0,0,2026-01-13T11:03:06.122501
P100107_18969,18969,P100107,0,2,0,0,0,0,0,0,2026-01-13T11:03:06.122987
P100024_18969,18969,P100024,0,1,0,0,0,0,0,0,2026-01-13T11:03:06.123421
P100030_18969,18969,P100030,0,1,0,0,0,0,0,0,2026-01-13T11:03:06.123978
P100016_18969,18969,P100016,0,5,0,0,0,0,0,0,2026-01-13T11:03:06.124492
P100025_18969,18969,P100025,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.125128
P100201_18969,18969,P100201,0,1,0,0,0,0,0,0,2026-01-13T11:03:06.125900
P100002_18969,18969,P100002,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.126501
P100210_18969,18969,P100210,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.127025
P100108_18969,18969,P100108,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.127488
P100222_18969,18969,P100222,0,2,0,0,0,0,0,0,2026-01-13T11:03:06.127917
P100070_18969,18969,P100070,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.128392
P100039_18969,18969,P100039,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.128847
P100224_18969,18969,P100224,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.129287
P100022_18969,18969,P100022,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.129824
P100105_18969,18969,P100105,0,1,0,0,0,0,0,0,2026-01-13T11:03:06.130313
P100161_18969,18969,P100161,0,2,0,0,0,0,0,0,2026-01-13T11:03:06.130836
P100027_18969,18969,P100027,0,2,0,0,0,0,0,0,2026-01-13T11:03:06.131499
P100110_18969,18969,P100110,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.131915
P100201_18977,18977,P100201,0,2,0,1,0,0,0,0,2026-01-13T11:03:06.133521
P100224_18977,18977,P100224,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.133935
P100108_18977,18977,P100108,0,1,0,0,0,0,0,0,2026-01-13T11:03:06.134358
P100086_18977,18977,P100086,0,1,0,1,0,0,0,0,2026-01-13T11:03:06.135007
P100001_18977,18977,P100001,0,4,0,0,0,0,0,0,2026-01-13T11:03:06.135639
P100088_18977,18977,P100088,0,1,0,0,0,0,0,0,2026-01-13T11:03:06.136483
P100159_18977,18977,P100159,0,1,0,0,0,0,0,0,2026-01-13T11:03:06.137109
P100084_18977,18977,P100084,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.137653
P100198_18977,18977,P100198,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.138125
P100038_18977,18977,P100038,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.138724
P100100_18977,18977,P100100,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.139133
P100132_18977,18977,P100132,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.139537
P100091_18977,18977,P100091,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.139893
P100161_18977,18977,P100161,0,1,0,0,0,0,0,0,2026-01-13T11:03:06.140340
P100070_18977,18977,P100070,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.140796
P100105_18977,18977,P100105,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.141239
P100016_18977,18977,P100016,0,1,0,0,0,0,0,0,2026-01-13T11:03:06.141736
P100123_18977,18977,P100123,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.142321
P100002_18977,18977,P100002,0,1,0,0,0,0,0,0,2026-01-13T11:03:06.142767
P100096_18977,18977,P100096,0,4,0,0,0,0,0,0,2026-01-13T11:03:06.143210
P100211_18977,18977,P100211,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.143623
P100230_18977,18977,P100230,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.144032
P100047_18977,18977,P100047,0,2,0,0,0,0,0,0,2026-01-13T11:03:06.144525
P100049_18977,18977,P100049,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.144931
P100097_18977,18977,P100097,0,1,0,0,0,0,0,0,2026-01-13T11:03:06.145325
P100081_18977,18977,P100081,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.145804
P100039_18977,18977,P100039,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.146224
P100119_18981,18981,P100119,0,1,0,1,0,0,0,0,2026-01-13T11:03:06.147700
P100078_18981,18981,P100078,0,0,0,1,0,0,0,0,2026-01-13T11:03:06.148179
P100039_18981,18981,P100039,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.148545
P100001_18981,18981,P100001,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.149043
P100164_18981,18981,P100164,0,0,0,1,0,0,0,0,2026-01-13T11:03:06.149528
P100066_18981,18981,P100066,0,2,0,0,0,0,0,0,2026-01-13T11:03:06.150094
P100071_18981,18981,P100071,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.150515
P100132_18981,18981,P100132,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.150951
P100105_18981,18981,P100105,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.151407
P100159_18981,18981,P100159,0,1,0,1,0,0,0,0,2026-01-13T11:03:06.151874
P100072_18981,18981,P100072,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.152263
P100093_18981,18981,P100093,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.152741
P100161_18981,18981,P100161,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.153212
P100198_18981,18981,P100198,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.153728
P100197_18981,18981,P100197,0,1,0,1,0,0,0,0,2026-01-13T11:03:06.154282
P100074_18981,18981,P100074,0,0,0,1,0,0,0,0,2026-01-13T11:03:06.154755
P100070_18981,18981,P100070,0,0,0,3,0,0,0,0,2026-01-13T11:03:06.155211
P100224_18981,18981,P100224,0,1,0,0,0,0,0,0,2026-01-13T11:03:06.155700
P100016_18981,18981,P100016,0,2,0,0,0,0,0,0,2026-01-13T11:03:06.156181
P100061_18981,18981,P100061,0,1,0,0,0,0,0,0,2026-01-13T11:03:06.156689
P100108_18981,18981,P100108,0,2,0,0,0,0,0,0,2026-01-13T11:03:06.157132
P100230_18981,18981,P100230,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.157530
P100002_18981,18981,P100002,0,0,0,1,0,0,0,0,2026-01-13T11:03:06.157988
P100079_18981,18981,P100079,0,0,0,1,0,0,0,0,2026-01-13T11:03:06.158492
P100111_18981,18981,P100111,0,1,0,0,0,0,0,0,2026-01-13T11:03:06.158879
P100201_18981,18981,P100201,0,0,0,1,0,0,0,0,2026-01-13T11:03:06.159320
P100138_18981,18981,P100138,0,1,0,0,0,0,0,0,2026-01-13T11:03:06.159794
P100224_18987,18987,P100224,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.161560
P100001_18987,18987,P100001,0,1,0,0,0,0,0,0,2026-01-13T11:03:06.162472
P100214_18987,18987,P100214,0,2,0,0,0,0,0,0,2026-01-13T11:03:06.162984
P100032_18987,18987,P100032,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.163578
P100170_18987,18987,P100170,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.164058
P100004_18987,18987,P100004,0,2,0,0,0,0,0,0,2026-01-13T11:03:06.164499
P100232_18987,18987,P100232,0,1,0,0,0,0,0,0,2026-01-13T11:03:06.164954
P100105_18987,18987,P100105,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.165462
P100132_18987,18987,P100132,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.165921
P100223_18987,18987,P100223,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.166549
P100108_18987,18987,P100108,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.167087
P100002_18987,18987,P100002,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.167607
P100230_18987,18987,P100230,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.168025
P100099_18987,18987,P100099,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.168499
P100064_18987,18987,P100064,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.168948
P100031_18987,18987,P100031,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.169463
P100009_18987,18987,P100009,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.169957
P100039_18987,18987,P100039,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.170393
P100128_18987,18987,P100128,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.170900
P100185_18987,18987,P100185,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.171501
P100198_18987,18987,P100198,0,2,0,0,0,0,0,0,2026-01-13T11:03:06.172042
P100201_18987,18987,P100201,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.172549
P100034_18987,18987,P100034,0,3,0,0,0,0,0,0,2026-01-13T11:03:06.173032
P100033_18987,18987,P100033,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.173549
P100016_18987,18987,P100016,0,2,0,0,0,0,0,0,2026-01-13T11:03:06.174058
P100080_18987,18987,P100080,0,0,0,0,0,0,0,0,2026-01-13T11:03:06.174499
