player_period_key,game_id,player_id,period,goals,shots,passes,toi_seconds,_export_timestamp
P100064_18969_3,18969,P100064,3,0,2,8,0,2026-01-12T23:36:31.034992
P100064_18969_2,18969,P100064,2,0,2,5,0,2026-01-12T23:36:31.037210
P100064_18969_1,18969,P100064,1,0,2,6,0,2026-01-12T23:36:31.039593
P100132_18969_3,18969,P100132,3,1,3,8,0,2026-01-12T23:36:31.042298
P100132_18969_2,18969,P100132,2,0,1,6,0,2026-01-12T23:36:31.044697
P100132_18969_1,18969,P100132,1,1,1,6,0,2026-01-12T23:36:31.046796
P100023_18969_3,18969,P100023,3,1,9,12,0,2026-01-12T23:36:31.049642
P100023_18969_2,18969,P100023,2,0,3,13,0,2026-01-12T23:36:31.051832
P100023_18969_1,18969,P100023,1,0,4,21,0,2026-01-12T23:36:31.053988
P100202_18969_3,18969,P100202,3,1,11,2,0,2026-01-12T23:36:31.056786
P100202_18969_2,18969,P100202,2,0,8,0,0,2026-01-12T23:36:31.059062
P100202_18969_1,18969,P100202,1,2,5,0,0,2026-01-12T23:36:31.061179
P100001_18969_3,18969,P100001,3,0,9,19,0,2026-01-12T23:36:31.064203
P100001_18969_2,18969,P100001,2,0,1,16,0,2026-01-12T23:36:31.066348
P100001_18969_1,18969,P100001,1,0,3,17,0,2026-01-12T23:36:31.068547
P100192_18969_3,18969,P100192,3,0,2,20,0,2026-01-12T23:36:31.071423
P100192_18969_2,18969,P100192,2,0,5,17,0,2026-01-12T23:36:31.073660
P100192_18969_1,18969,P100192,1,0,5,21,0,2026-01-12T23:36:31.075834
P100093_18969_3,18969,P100093,3,0,3,6,0,2026-01-12T23:36:31.078719
P100093_18969_2,18969,P100093,2,0,5,9,0,2026-01-12T23:36:31.080885
P100093_18969_1,18969,P100093,1,0,4,6,0,2026-01-12T23:36:31.082986
P100198_18969_3,18969,P100198,3,0,3,16,0,2026-01-12T23:36:31.085707
P100198_18969_2,18969,P100198,2,1,3,13,0,2026-01-12T23:36:31.087796
P100198_18969_1,18969,P100198,1,1,2,8,0,2026-01-12T23:36:31.089925
P100117_18969_3,18969,P100117,3,1,2,20,0,2026-01-12T23:36:31.092733
P100117_18969_2,18969,P100117,2,0,3,16,0,2026-01-12T23:36:31.095021
P100117_18969_1,18969,P100117,1,1,3,19,0,2026-01-12T23:36:31.097810
P100107_18969_3,18969,P100107,3,0,2,10,0,2026-01-12T23:36:31.100626
P100107_18969_2,18969,P100107,2,0,4,13,0,2026-01-12T23:36:31.102776
P100107_18969_1,18969,P100107,1,0,3,9,0,2026-01-12T23:36:31.104862
P100024_18969_3,18969,P100024,3,0,2,8,0,2026-01-12T23:36:31.107447
P100024_18969_2,18969,P100024,2,0,1,10,0,2026-01-12T23:36:31.109492
P100024_18969_1,18969,P100024,1,0,4,8,0,2026-01-12T23:36:31.111604
P100030_18969_3,18969,P100030,3,0,6,14,0,2026-01-12T23:36:31.114410
P100030_18969_2,18969,P100030,2,0,4,10,0,2026-01-12T23:36:31.116759
P100030_18969_1,18969,P100030,1,0,5,14,0,2026-01-12T23:36:31.119230
P100016_18969_3,18969,P100016,3,2,13,0,0,2026-01-12T23:36:31.122000
P100016_18969_2,18969,P100016,2,1,14,2,0,2026-01-12T23:36:31.124144
P100016_18969_1,18969,P100016,1,1,14,1,0,2026-01-12T23:36:31.126383
P100025_18969_3,18969,P100025,3,0,2,7,0,2026-01-12T23:36:31.129408
P100025_18969_2,18969,P100025,2,0,2,8,0,2026-01-12T23:36:31.131593
P100025_18969_1,18969,P100025,1,0,1,8,0,2026-01-12T23:36:31.133810
P100201_18969_2,18969,P100201,2,0,1,14,0,2026-01-12T23:36:31.136854
P100201_18969_3,18969,P100201,3,0,2,10,0,2026-01-12T23:36:31.139101
P100201_18969_1,18969,P100201,1,1,4,10,0,2026-01-12T23:36:31.141231
