qoc_key,game_id,player_id,avg_opp_rating,avg_own_rating,rating_diff,shifts_tracked,_export_timestamp
P100001_18969,18969,P100001,3.99,6.0,2.01,49,2026-01-12T23:36:32.440520
P100002_18969,18969,P100002,4.12,4.0,-0.12,29,2026-01-12T23:36:32.441053
P100016_18969,18969,P100016,3.94,5.0,1.06,93,2026-01-12T23:36:32.441635
P100022_18969,18969,P100022,4.01,4.0,-0.01,35,2026-01-12T23:36:32.442182
P100023_18969,18969,P100023,3.98,4.0,0.02,55,2026-01-12T23:36:32.442601
P100024_18969,18969,P100024,3.98,3.0,-0.98,26,2026-01-12T23:36:32.443065
P100025_18969,18969,P100025,3.97,4.0,0.03,40,2026-01-12T23:36:32.443530
P100027_18969,18969,P100027,4.0,2.0,-2.0,30,2026-01-12T23:36:32.443990
P100030_18969,18969,P100030,4.0,5.0,1.0,49,2026-01-12T23:36:32.444429
P100039_18969,18969,P100039,3.91,2.0,-1.91,36,2026-01-12T23:36:32.444806
P100064_18969,18969,P100064,3.78,3.0,-0.78,25,2026-01-12T23:36:32.445292
P100070_18969,18969,P100070,3.95,4.0,0.05,42,2026-01-12T23:36:32.445765
P100093_18969,18969,P100093,3.85,3.0,-0.85,44,2026-01-12T23:36:32.446347
P100105_18969,18969,P100105,3.97,4.0,0.03,30,2026-01-12T23:36:32.446731
P100107_18969,18969,P100107,3.97,3.0,-0.97,46,2026-01-12T23:36:32.447114
P100108_18969,18969,P100108,4.01,3.0,-1.01,26,2026-01-12T23:36:32.447473
P100110_18969,18969,P100110,3.97,2.0,-1.97,23,2026-01-12T23:36:32.447821
P100117_18969,18969,P100117,4.06,6.0,1.94,38,2026-01-12T23:36:32.448208
P100132_18969,18969,P100132,3.77,4.0,0.23,23,2026-01-12T23:36:32.448571
P100161_18969,18969,P100161,3.91,5.0,1.09,43,2026-01-12T23:36:32.448942
P100192_18969,18969,P100192,3.92,5.0,1.08,57,2026-01-12T23:36:32.449362
P100198_18969,18969,P100198,3.95,4.0,0.05,48,2026-01-12T23:36:32.449722
P100201_18969,18969,P100201,3.9,5.0,1.1,48,2026-01-12T23:36:32.450090
P100202_18969,18969,P100202,3.98,5.0,1.02,95,2026-01-12T23:36:32.450479
P100210_18969,18969,P100210,3.97,4.0,0.03,41,2026-01-12T23:36:32.450847
P100222_18969,18969,P100222,3.95,3.0,-0.95,33,2026-01-12T23:36:32.451229
P100224_18969,18969,P100224,4.1,3.0,-1.1,32,2026-01-12T23:36:32.451578
P100001_18977,18977,P100001,4.21,6.0,1.79,54,2026-01-12T23:36:32.452822
P100002_18977,18977,P100002,4.18,4.0,-0.17,24,2026-01-12T23:36:32.453224
P100016_18977,18977,P100016,4.19,5.0,0.81,86,2026-01-12T23:36:32.453629
P100038_18977,18977,P100038,4.23,3.0,-1.23,31,2026-01-12T23:36:32.453992
P100039_18977,18977,P100039,4.12,2.0,-2.12,32,2026-01-12T23:36:32.454372
P100047_18977,18977,P100047,4.16,5.0,0.84,48,2026-01-12T23:36:32.454757
P100049_18977,18977,P100049,4.1,3.0,-1.1,28,2026-01-12T23:36:32.455131
P100070_18977,18977,P100070,4.3,4.0,-0.3,40,2026-01-12T23:36:32.455514
P100081_18977,18977,P100081,4.0,3.0,-1.0,17,2026-01-12T23:36:32.455877
P100084_18977,18977,P100084,4.09,6.0,1.91,58,2026-01-12T23:36:32.456291
P100086_18977,18977,P100086,4.17,4.0,-0.17,37,2026-01-12T23:36:32.456684
P100088_18977,18977,P100088,4.09,5.0,0.91,53,2026-01-12T23:36:32.457052
P100091_18977,18977,P100091,4.01,2.0,-2.01,18,2026-01-12T23:36:32.457431
P100096_18977,18977,P100096,4.11,4.0,-0.11,85,2026-01-12T23:36:32.457833
P100097_18977,18977,P100097,4.14,3.0,-1.14,24,2026-01-12T23:36:32.458216
P100100_18977,18977,P100100,4.17,4.0,-0.17,29,2026-01-12T23:36:32.458584
P100105_18977,18977,P100105,4.16,4.0,-0.16,27,2026-01-12T23:36:32.459007
P100108_18977,18977,P100108,4.18,3.0,-1.18,25,2026-01-12T23:36:32.459475
P100123_18977,18977,P100123,4.06,4.0,-0.06,51,2026-01-12T23:36:32.459973
P100132_18977,18977,P100132,4.22,4.0,-0.22,27,2026-01-12T23:36:32.460386
P100159_18977,18977,P100159,4.24,5.0,0.76,39,2026-01-12T23:36:32.460840
P100161_18977,18977,P100161,4.12,5.0,0.88,33,2026-01-12T23:36:32.461285
P100198_18977,18977,P100198,4.06,4.0,-0.06,41,2026-01-12T23:36:32.461682
P100201_18977,18977,P100201,4.14,5.0,0.86,32,2026-01-12T23:36:32.462064
P100211_18977,18977,P100211,4.07,4.0,-0.07,36,2026-01-12T23:36:32.462504
P100224_18977,18977,P100224,4.22,3.0,-1.22,27,2026-01-12T23:36:32.462983
P100230_18977,18977,P100230,4.28,2.0,-2.28,24,2026-01-12T23:36:32.463375
P100001_18981,18981,P100001,4.16,6.0,1.84,36,2026-01-12T23:36:32.464682
P100002_18981,18981,P100002,4.06,4.0,-0.06,34,2026-01-12T23:36:32.465134
P100016_18981,18981,P100016,4.08,5.0,0.92,101,2026-01-12T23:36:32.465550
P100039_18981,18981,P100039,4.15,2.0,-2.15,35,2026-01-12T23:36:32.465918
P100061_18981,18981,P100061,3.76,3.0,-0.76,45,2026-01-12T23:36:32.466326
P100066_18981,18981,P100066,3.85,6.0,2.15,44,2026-01-12T23:36:32.466682
P100070_18981,18981,P100070,4.05,4.0,-0.05,50,2026-01-12T23:36:32.467044
P100071_18981,18981,P100071,3.89,3.0,-0.89,38,2026-01-12T23:36:32.467457
