player_game_key,game_id,player_id,player_name,giveaways,takeaways,giveaways_bad,giveaways_neutral,giveaways_good,turnover_diff_adjusted,turnovers_oz,turnovers_nz,turnovers_dz,giveaway_rate_per_60,takeaway_rate_per_60,def_shots_against,def_goals_against,def_entries_allowed,def_exits_denied,def_times_beat_deke,def_times_beat_speed,def_times_beat_total,def_takeaways,def_forced_turnovers,def_zone_clears,def_blocked_shots,def_interceptions,def_stick_checks,def_poke_checks,def_body_checks,def_coverage_assignments,def_battles_won,def_battles_lost,poke_checks,stick_checks,block_attempts,blocked_shots_play,pressures,contains,forechecks,backchecks,box_outs,man_on_man,in_lane,force_wide,separate_from_puck
PG1896900001,18969,P100001,Sam Downs,8,3,1.0,4.0,3.0,3.0,3.0,4.0,1.0,16.65,6.24,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
PG1896900002,18969,P100002,Kevin White,5,1,1.0,2.0,2.0,1.0,2.0,2.0,1.0,19.17,3.83,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
PG1896900003,18969,P100016,Wyatt Crandall,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG1896900004,18969,P100022,Chris Dube,9,1,1.0,4.0,4.0,1.0,4.0,4.0,1.0,32.56,3.62,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG1896900005,18969,P100023,Alex Considine,7,2,1.0,3.0,3.0,2.0,3.0,3.0,1.0,14.37,4.1,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
PG1896900006,18969,P100024,John Thien,1,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.32,3.32,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
PG1896900007,18969,P100025,Andrew Marshall,7,0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,16.09,0.0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
PG1896900008,18969,P100027,Karen Zietlow,3,0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,8.82,0.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG1896900009,18969,P100030,Jesse Chambless,6,3,1.0,3.0,2.0,3.0,2.0,3.0,1.0,12.86,6.43,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
PG1896900010,18969,P100039,Nicole Downs,7,0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,20.05,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG1896900011,18969,P100064,James Rynearson,5,2,1.0,2.0,2.0,2.0,2.0,2.0,1.0,17.58,7.03,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
PG1896900012,18969,P100070,Hayden Perea,7,0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,16.06,0.0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG1896900013,18969,P100093,Pat Major,9,0,1.0,4.0,4.0,0.0,4.0,4.0,1.0,25.0,0.0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
PG1896900014,18969,P100105,Ronnie Pinnell,9,2,1.0,4.0,4.0,2.0,4.0,4.0,1.0,31.0,6.89,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,1,0,0,0,0
PG1896900015,18969,P100107,Matt Quinn,7,1,1.0,3.0,3.0,1.0,3.0,3.0,1.0,17.03,2.43,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
PG1896900016,18969,P100108,Robert Mayfield,5,1,1.0,2.0,2.0,1.0,2.0,2.0,1.0,19.5,3.9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
PG1896900017,18969,P100110,JoLyn Maly,3,0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,14.65,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG1896900018,18969,P100117,Keegan Mantaro,5,3,1.0,2.0,2.0,3.0,2.0,2.0,1.0,11.73,7.04,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
PG1896900019,18969,P100132,Nick Ciampoli,3,2,0.0,1.0,2.0,2.0,2.0,1.0,0.0,11.16,7.44,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
PG1896900020,18969,P100161,Galen Wood,2,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,5.31,2.65,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
PG1896900021,18969,P100192,Chris Premo,8,3,1.0,4.0,3.0,3.0,3.0,4.0,1.0,16.89,6.33,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
PG1896900022,18969,P100198,Maxwell Donaty,3,1,0.0,1.0,2.0,1.0,2.0,1.0,0.0,6.56,2.19,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0
PG1896900023,18969,P100201,Garrett Ashcroft,3,2,0.0,1.0,2.0,2.0,2.0,1.0,0.0,6.78,4.52,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
PG1896900024,18969,P100202,Francis Forte,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG1896900025,18969,P100210,Josh Simonds,5,1,1.0,2.0,2.0,1.0,2.0,2.0,1.0,14.48,2.9,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
PG1896900026,18969,P100222,Joshua Blumberg,4,1,0.0,2.0,2.0,1.0,2.0,2.0,0.0,13.5,3.37,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG1896900027,18969,P100224,Kaitlyn Shain,2,2,0.0,1.0,1.0,2.0,1.0,1.0,0.0,8.21,8.21,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
