player_game_key,game_id,player_id,stat_code,stat_value,stat_long_key,_export_timestamp
p18969N10008P100117,18969,P100117,goals,2.0,p18969N10008P100117_goals,2026-01-12T23:36:32.656995
p18969N10008P100024,18969,P100024,goals,0.0,p18969N10008P100024_goals,2026-01-12T23:36:32.656995
p18969N10010P100105,18969,P100105,goals,0.0,p18969N10010P100105_goals,2026-01-12T23:36:32.656995
p18969N10010P100064,18969,P100064,goals,0.0,p18969N10010P100064_goals,2026-01-12T23:36:32.656995
p18969N10008P100027,18969,P100027,goals,0.0,p18969N10008P100027_goals,2026-01-12T23:36:32.656995
p18969N10010P100001,18969,P100001,goals,0.0,p18969N10010P100001_goals,2026-01-12T23:36:32.656995
p18969N10010P100108,18969,P100108,goals,0.0,p18969N10010P100108_goals,2026-01-12T23:36:32.656995
p18969N10010P100039,18969,P100039,goals,0.0,p18969N10010P100039_goals,2026-01-12T23:36:32.656995
p18969N10010P100201,18969,P100201,goals,1.0,p18969N10010P100201_goals,2026-01-12T23:36:32.656995
p18969N10008P100192,18969,P100192,goals,0.0,p18969N10008P100192_goals,2026-01-12T23:36:32.656995
p18969N10010P100198,18969,P100198,goals,0.0,p18969N10010P100198_goals,2026-01-12T23:36:32.656995
p18969N10008P100210,18969,P100210,goals,0.0,p18969N10008P100210_goals,2026-01-12T23:36:32.656995
p18969N10008P100022,18969,P100022,goals,1.0,p18969N10008P100022_goals,2026-01-12T23:36:32.656995
p18969N10010P100093,18969,P100093,goals,0.0,p18969N10010P100093_goals,2026-01-12T23:36:32.656995
p18969N10008P100023,18969,P100023,goals,1.0,p18969N10008P100023_goals,2026-01-12T23:36:32.656995
p18969N10008P100222,18969,P100222,goals,0.0,p18969N10008P100222_goals,2026-01-12T23:36:32.656995
p18969N10010P100224,18969,P100224,goals,0.0,p18969N10010P100224_goals,2026-01-12T23:36:32.656995
p18969N10010P100002,18969,P100002,goals,0.0,p18969N10010P100002_goals,2026-01-12T23:36:32.656995
p18969N10008P100107,18969,P100107,goals,0.0,p18969N10008P100107_goals,2026-01-12T23:36:32.656995
p18969N10010P100132,18969,P100132,goals,2.0,p18969N10010P100132_goals,2026-01-12T23:36:32.656995
p18969N10010P100070,18969,P100070,goals,0.0,p18969N10010P100070_goals,2026-01-12T23:36:32.656995
p18969N10008P100030,18969,P100030,goals,0.0,p18969N10008P100030_goals,2026-01-12T23:36:32.656995
p18969N10010P100161,18969,P100161,goals,0.0,p18969N10010P100161_goals,2026-01-12T23:36:32.656995
p18969N10008P100110,18969,P100110,goals,0.0,p18969N10008P100110_goals,2026-01-12T23:36:32.656995
p18969N10008P100025,18969,P100025,goals,0.0,p18969N10008P100025_goals,2026-01-12T23:36:32.656995
p18977N10003P100100,18977,P100100,goals,0.0,p18977N10003P100100_goals,2026-01-12T23:36:32.656995
p18977N10003P100123,18977,P100123,goals,0.0,p18977N10003P100123_goals,2026-01-12T23:36:32.656995
p18977N10003P100088,18977,P100088,goals,1.0,p18977N10003P100088_goals,2026-01-12T23:36:32.656995
p18977N10010P100105,18977,P100105,goals,0.0,p18977N10010P100105_goals,2026-01-12T23:36:32.656995
p18977N10010P100001,18977,P100001,goals,0.0,p18977N10010P100001_goals,2026-01-12T23:36:32.656995
p18977N10003P100091,18977,P100091,goals,0.0,p18977N10003P100091_goals,2026-01-12T23:36:32.656995
p18977N10010P100108,18977,P100108,goals,1.0,p18977N10010P100108_goals,2026-01-12T23:36:32.656995
p18977N10003P100049,18977,P100049,goals,0.0,p18977N10003P100049_goals,2026-01-12T23:36:32.656995
p18977N10010P100039,18977,P100039,goals,0.0,p18977N10010P100039_goals,2026-01-12T23:36:32.656995
p18977N10010P100201,18977,P100201,goals,0.0,p18977N10010P100201_goals,2026-01-12T23:36:32.656995
p18977N10010P100230,18977,P100230,goals,0.0,p18977N10010P100230_goals,2026-01-12T23:36:32.656995
p18977N10003P100084,18977,P100084,goals,0.0,p18977N10003P100084_goals,2026-01-12T23:36:32.656995
p18977N10010P100159,18977,P100159,goals,1.0,p18977N10010P100159_goals,2026-01-12T23:36:32.656995
p18977N10003P100081,18977,P100081,goals,0.0,p18977N10003P100081_goals,2026-01-12T23:36:32.656995
p18977N10010P100198,18977,P100198,goals,0.0,p18977N10010P100198_goals,2026-01-12T23:36:32.656995
p18977N10003P100097,18977,P100097,goals,0.0,p18977N10003P100097_goals,2026-01-12T23:36:32.656995
p18977N10003P100086,18977,P100086,goals,0.0,p18977N10003P100086_goals,2026-01-12T23:36:32.656995
p18977N10010P100224,18977,P100224,goals,0.0,p18977N10010P100224_goals,2026-01-12T23:36:32.656995
p18977N10010P100002,18977,P100002,goals,1.0,p18977N10010P100002_goals,2026-01-12T23:36:32.656995
p18977N10003P100038,18977,P100038,goals,0.0,p18977N10003P100038_goals,2026-01-12T23:36:32.656995
p18977N10010P100070,18977,P100070,goals,0.0,p18977N10010P100070_goals,2026-01-12T23:36:32.656995
p18977N10010P100132,18977,P100132,goals,0.0,p18977N10010P100132_goals,2026-01-12T23:36:32.656995
p18977N10003P100211,18977,P100211,goals,0.0,p18977N10003P100211_goals,2026-01-12T23:36:32.656995
p18977N10003P100047,18977,P100047,goals,1.0,p18977N10003P100047_goals,2026-01-12T23:36:32.656995
p18977N10010P100161,18977,P100161,goals,0.0,p18977N10010P100161_goals,2026-01-12T23:36:32.656995
