player_game_key,game_id,player_id,player_name,pass_attempts,pass_completed,pass_pct,chips,reverse_passes,breakout_pass_attempts,quick_ups,give_and_go,passes_missed_target,passes_intercepted,passes_deflected,def_pass_deflected,def_pass_intercepted
PG1896900001,18969,P100001,Sam Downs,22,12,54.5,0,0,1,0,0,0,2,0,0,0
PG1896900002,18969,P100002,Kevin White,13,9,69.2,0,0,0,0,0,0,0,0,0,0
PG1896900003,18969,P100016,Wyatt Crandall,2,2,100.0,0,0,0,0,0,0,0,1,0,0
PG1896900004,18969,P100022,Chris Dube,13,8,61.5,0,0,0,0,0,0,2,0,0,0
PG1896900005,18969,P100023,Alex Considine,24,14,58.3,0,0,2,0,0,0,0,3,0,0
PG1896900006,18969,P100024,John Thien,10,7,70.0,0,0,0,0,0,0,0,1,0,0
PG1896900007,18969,P100025,Andrew Marshall,18,10,55.6,0,0,3,0,0,0,1,0,0,0
PG1896900008,18969,P100027,Karen Zietlow,3,2,66.7,0,0,1,0,0,0,0,0,0,0
PG1896900009,18969,P100030,Jesse Chambless,18,12,66.7,0,0,2,0,0,0,0,4,0,0
PG1896900010,18969,P100039,Nicole Downs,4,2,50.0,0,0,1,0,0,0,0,1,0,0
PG1896900011,18969,P100064,James Rynearson,6,2,33.3,0,0,3,0,0,0,0,0,0,0
PG1896900012,18969,P100070,Hayden Perea,12,10,83.3,0,0,0,0,0,0,0,2,0,0
PG1896900013,18969,P100093,Pat Major,13,7,53.8,0,0,1,0,0,0,2,3,0,0
PG1896900014,18969,P100105,Ronnie Pinnell,11,4,36.4,0,0,2,0,0,0,0,0,0,0
PG1896900015,18969,P100107,Matt Quinn,12,5,41.7,0,0,2,0,0,0,0,0,0,0
PG1896900016,18969,P100108,Robert Mayfield,6,3,50.0,0,0,2,0,0,0,0,2,0,0
PG1896900017,18969,P100110,JoLyn Maly,3,3,100.0,0,0,0,0,0,0,0,0,0,0
PG1896900018,18969,P100117,Keegan Mantaro,17,11,64.7,0,0,2,0,0,0,2,0,0,0
PG1896900019,18969,P100132,Nick Ciampoli,4,3,75.0,0,0,0,0,0,0,0,0,0,0
PG1896900020,18969,P100161,Galen Wood,10,6,60.0,0,0,0,0,0,0,0,4,0,0
PG1896900021,18969,P100192,Chris Premo,27,20,74.1,0,0,0,0,0,0,2,0,0,0
PG1896900022,18969,P100198,Maxwell Donaty,16,12,75.0,0,0,2,0,0,0,1,4,0,0
PG1896900023,18969,P100201,Garrett Ashcroft,12,7,58.3,0,0,0,0,0,0,1,2,0,0
PG1896900024,18969,P100202,Francis Forte,0,0,0.0,0,0,0,0,0,0,0,1,0,0
PG1896900025,18969,P100210,Josh Simonds,14,9,64.3,0,0,0,0,0,0,0,0,0,0
PG1896900026,18969,P100222,Joshua Blumberg,7,5,71.4,0,0,0,0,0,0,0,2,0,0
PG1896900027,18969,P100224,Kaitlyn Shain,3,1,33.3,0,0,0,0,0,0,2,1,0,0
PG1897700001,18977,P100001,Sam Downs,17,12,70.6,0,0,0,0,0,0,0,0,0,0
PG1897700002,18977,P100002,Kevin White,14,9,64.3,0,0,0,0,0,0,0,0,0,0
PG1897700003,18977,P100016,Wyatt Crandall,2,2,100.0,0,0,0,0,0,0,0,0,0,0
PG1897700004,18977,P100038,Kevin Moore,10,9,90.0,0,0,0,0,0,0,0,0,0,0
PG1897700005,18977,P100039,Nicole Downs,3,3,100.0,0,0,0,0,0,0,0,0,0,0
PG1897700006,18977,P100047,Nathan Watts,11,7,63.6,0,0,0,0,0,0,0,0,0,0
PG1897700007,18977,P100049,Kirk Moore,9,7,77.8,0,0,0,0,0,0,0,0,0,0
PG1897700008,18977,P100070,Hayden Perea,9,7,77.8,0,0,0,0,0,0,0,0,0,0
PG1897700009,18977,P100081,Lee Smith,4,1,25.0,0,0,0,0,0,0,0,0,0,0
PG1897700010,18977,P100084,Ty Smith,18,17,94.4,0,0,0,0,0,0,0,0,0,0
PG1897700011,18977,P100086,Beau Kelly,14,11,78.6,0,0,0,0,0,0,0,0,0,0
PG1897700012,18977,P100088,Hayden Smith,18,12,66.7,0,0,0,0,0,0,0,0,0,0
PG1897700013,18977,P100091,Bert Loper,0,0,0.0,0,0,0,0,0,0,0,0,0,0
PG1897700014,18977,P100096,Jared Wolf,2,2,100.0,0,0,0,0,0,0,0,0,0,0
PG1897700015,18977,P100097,Steve Smith,2,1,50.0,0,0,0,0,0,0,0,0,0,0
PG1897700016,18977,P100100,Nate Flint,1,1,100.0,0,0,0,0,0,0,0,0,0,0
PG1897700017,18977,P100105,Ronnie Pinnell,11,7,63.6,0,0,0,0,0,0,0,0,0,0
PG1897700018,18977,P100108,Robert Mayfield,14,10,71.4,0,0,0,0,0,0,0,0,0,0
PG1897700019,18977,P100123,Todd Heffner,16,11,68.8,0,0,0,0,0,0,0,0,0,0
PG1897700020,18977,P100132,Nick Ciampoli,8,8,100.0,0,0,0,0,0,0,0,0,0,0
PG1897700021,18977,P100159,Josh Cronk,17,9,52.9,0,0,0,0,0,0,0,0,0,0
PG1897700022,18977,P100161,Galen Wood,10,8,80.0,0,0,0,0,0,0,0,0,0,0
PG1897700023,18977,P100198,Maxwell Donaty,17,16,94.1,0,0,0,0,0,0,0,0,0,0
PG1897700024,18977,P100201,Garrett Ashcroft,15,10,66.7,0,0,0,0,0,0,0,0,0,0
PG1897700025,18977,P100211,Noel Black,8,6,75.0,0,0,0,0,0,0,0,0,0,0
PG1897700026,18977,P100224,Kaitlyn Shain,6,6,100.0,0,0,0,0,0,0,0,0,0,0
PG1897700027,18977,P100230,Jennifer Valente,1,1,100.0,0,0,0,0,0,0,0,0,0,0
PG1898100001,18981,P100001,Sam Downs,14,13,92.9,0,0,0,0,0,0,0,0,0,0
PG1898100002,18981,P100002,Kevin White,14,3,21.4,0,0,0,0,0,0,0,0,0,0
PG1898100003,18981,P100016,Wyatt Crandall,1,0,0.0,0,0,0,0,0,0,0,0,0,0
PG1898100004,18981,P100039,Nicole Downs,1,0,0.0,0,0,0,0,0,0,0,0,0,0
PG1898100005,18981,P100061,Eric Larson,18,10,55.6,0,0,0,0,0,0,0,0,0,0
PG1898100006,18981,P100066,Brock Lofgren,10,7,70.0,0,0,0,0,0,0,0,0,0,0
PG1898100007,18981,P100070,Hayden Perea,14,12,85.7,0,0,0,0,0,0,0,0,0,0
PG1898100008,18981,P100071,Andy Alm,6,2,33.3,0,0,0,0,0,0,0,0,0,0
