player_game_key,game_id,player_id,player_name,xg_for,xg_against,xg_diff,xg_pct,goals_above_expected,shots_high_danger,shots_medium_danger,shots_low_danger,scoring_chances,high_danger_chances,xg_per_shot,shot_quality_avg
PG1896900001,18969,P100001,Sam Downs,0.45,0.262,0.188,63.2,-0.45,1.0,3.0,4.0,4.0,1.0,0.09,1.62
PG1896900002,18969,P100002,Kevin White,0.36,0.142,0.218,71.7,-0.36,1.0,2.0,2.0,3.0,1.0,0.09,1.8
PG1896900003,18969,P100016,Wyatt Crandall,0.0,0.477,-0.477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG1896900004,18969,P100022,Chris Dube,0.54,0.15,0.39,78.3,0.46,2.0,3.0,3.0,5.0,2.0,0.09,1.88
PG1896900005,18969,P100023,Alex Considine,0.54,0.265,0.275,67.1,0.46,2.0,4.0,5.0,6.0,2.0,0.09,1.73
PG1896900006,18969,P100024,John Thien,0.45,0.164,0.286,73.3,-0.45,1.0,2.0,2.0,3.0,1.0,0.09,1.8
PG1896900007,18969,P100025,Andrew Marshall,0.18,0.237,-0.057,43.2,-0.18,1.0,0.0,1.0,1.0,1.0,0.09,2.0
PG1896900008,18969,P100027,Karen Zietlow,0.27,0.185,0.085,59.3,-0.27,1.0,1.0,2.0,2.0,1.0,0.09,1.75
PG1896900009,18969,P100030,Jesse Chambless,0.45,0.254,0.196,63.9,-0.45,1.0,3.0,4.0,4.0,1.0,0.09,1.62
PG1896900010,18969,P100039,Nicole Downs,0.09,0.19,-0.1,32.1,-0.09,1.0,2.0,2.0,3.0,1.0,0.09,1.8
PG1896900011,18969,P100064,James Rynearson,0.0,0.155,-0.155,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0
PG1896900012,18969,P100070,Hayden Perea,0.09,0.237,-0.147,27.5,-0.09,1.0,0.0,0.0,1.0,1.0,0.09,3.0
PG1896900013,18969,P100093,Pat Major,0.18,0.196,-0.016,47.9,-0.18,1.0,0.0,1.0,1.0,1.0,0.09,2.0
PG1896900014,18969,P100105,Ronnie Pinnell,0.0,0.158,-0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG1896900015,18969,P100107,Matt Quinn,0.0,0.224,-0.224,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0
PG1896900016,18969,P100108,Robert Mayfield,0.09,0.14,-0.05,39.1,-0.09,1.0,1.0,1.0,2.0,1.0,0.09,2.0
PG1896900017,18969,P100110,JoLyn Maly,0.0,0.111,-0.111,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0
PG1896900018,18969,P100117,Keegan Mantaro,0.54,0.232,0.308,69.9,1.46,2.0,2.0,3.0,4.0,2.0,0.09,1.86
PG1896900019,18969,P100132,Nick Ciampoli,0.27,0.146,0.124,64.9,1.73,1.0,1.0,1.0,2.0,1.0,0.09,2.0
PG1896900020,18969,P100161,Galen Wood,0.09,0.205,-0.115,30.5,-0.09,1.0,1.0,2.0,2.0,1.0,0.09,1.75
PG1896900021,18969,P100192,Chris Premo,0.18,0.258,-0.078,41.1,-0.18,2.0,4.0,5.0,6.0,2.0,0.09,1.73
PG1896900022,18969,P100198,Maxwell Donaty,0.18,0.249,-0.069,42.0,-0.18,1.0,0.0,1.0,1.0,1.0,0.09,2.0
PG1896900023,18969,P100201,Garrett Ashcroft,0.36,0.241,0.119,59.9,0.64,1.0,2.0,2.0,3.0,1.0,0.09,1.8
PG1896900024,18969,P100202,Francis Forte,0.0,0.49,-0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG1896900025,18969,P100210,Josh Simonds,0.27,0.188,0.082,59.0,-0.27,1.0,1.0,1.0,2.0,1.0,0.09,2.0
PG1896900026,18969,P100222,Joshua Blumberg,0.18,0.161,0.019,52.8,-0.18,1.0,1.0,1.0,2.0,1.0,0.09,2.0
PG1896900027,18969,P100224,Kaitlyn Shain,0.09,0.133,-0.043,40.4,-0.09,1.0,0.0,1.0,1.0,1.0,0.09,2.0
PG1897700001,18977,P100001,Sam Downs,0.54,0.27,0.27,66.7,-0.54,2.0,5.0,7.0,7.0,2.0,0.09,1.64
PG1897700002,18977,P100002,Kevin White,0.36,0.163,0.197,68.8,0.64,1.0,2.0,2.0,3.0,1.0,0.09,1.8
PG1897700003,18977,P100016,Wyatt Crandall,0.0,0.532,-0.532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG1897700004,18977,P100038,Kevin Moore,0.09,0.198,-0.108,31.2,-0.09,1.0,0.0,0.0,1.0,1.0,0.09,3.0
PG1897700005,18977,P100039,Nicole Downs,0.09,0.187,-0.097,32.5,-0.09,1.0,0.0,1.0,1.0,1.0,0.09,2.0
PG1897700006,18977,P100047,Nathan Watts,0.63,0.266,0.364,70.3,0.37,2.0,3.0,3.0,5.0,2.0,0.09,1.88
PG1897700007,18977,P100049,Kirk Moore,0.09,0.191,-0.101,32.0,-0.09,1.0,1.0,2.0,2.0,1.0,0.09,1.75
PG1897700008,18977,P100070,Hayden Perea,0.09,0.224,-0.134,28.7,-0.09,1.0,0.0,0.0,1.0,1.0,0.09,3.0
PG1897700009,18977,P100081,Lee Smith,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0
PG1897700010,18977,P100084,Ty Smith,0.27,0.314,-0.044,46.2,-0.27,1.0,3.0,4.0,4.0,1.0,0.09,1.62
PG1897700011,18977,P100086,Beau Kelly,0.27,0.263,0.007,50.7,-0.27,1.0,2.0,3.0,3.0,1.0,0.09,1.67
PG1897700012,18977,P100088,Hayden Smith,1.62,0.303,1.317,84.2,-0.62,4.0,9.0,10.0,13.0,4.0,0.09,1.74
PG1897700013,18977,P100091,Bert Loper,0.0,0.162,-0.162,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0
PG1897700014,18977,P100096,Jared Wolf,0.0,0.523,-0.523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG1897700015,18977,P100097,Steve Smith,0.09,0.14,-0.05,39.1,-0.09,1.0,0.0,0.0,1.0,1.0,0.09,3.0
PG1897700016,18977,P100100,Nate Flint,0.0,0.229,-0.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
