player_trend_key,player_id,game_id,game_number,points,cumulative_points,rolling_avg_points,goals,cumulative_goals,toi_minutes,trend_direction
PT18969_100001_1,P100001,18969,1,0,0,0.0,0,0,28.8,neutral
PT18977_100001_2,P100001,18977,2,0,0,0.0,0,0,27.4,neutral
PT18981_100001_3,P100001,18981,3,1,1,0.33,1,1,21.4,up
PT18987_100001_4,P100001,18987,4,0,1,0.33,0,1,28.2,down
PT18969_100002_1,P100002,18969,1,0,0,0.0,0,0,15.2,neutral
PT18977_100002_2,P100002,18977,2,1,1,0.5,1,1,16.5,up
PT18981_100002_3,P100002,18981,3,0,1,0.33,0,1,15.1,down
PT18987_100002_4,P100002,18987,4,0,1,0.33,0,1,28.1,neutral
PT18987_100004_1,P100004,18987,1,0,0,0.0,0,0,16.3,neutral
PT18969_100022_1,P100022,18969,1,1,1,1.0,1,1,16.6,up
PT18969_100023_1,P100023,18969,1,2,2,2.0,1,1,29.2,up
PT18969_100024_1,P100024,18969,1,0,0,0.0,0,0,18.1,neutral
PT18969_100025_1,P100025,18969,1,0,0,0.0,0,0,26.1,neutral
PT18969_100027_1,P100027,18969,1,0,0,0.0,0,0,20.4,neutral
PT18969_100030_1,P100030,18969,1,0,0,0.0,0,0,28.0,neutral
PT18987_100031_1,P100031,18987,1,0,0,0.0,0,0,18.4,neutral
PT18987_100032_1,P100032,18987,1,0,0,0.0,0,0,30.8,neutral
PT18987_100033_1,P100033,18987,1,0,0,0.0,0,0,23.9,neutral
PT18987_100034_1,P100034,18987,1,0,0,0.0,0,0,24.5,neutral
PT18977_100038_1,P100038,18977,1,0,0,0.0,0,0,20.1,neutral
PT18969_100039_1,P100039,18969,1,0,0,0.0,0,0,20.9,neutral
PT18977_100039_2,P100039,18977,2,0,0,0.0,0,0,18.9,neutral
PT18981_100039_3,P100039,18981,3,0,0,0.0,0,0,20.4,neutral
PT18987_100039_4,P100039,18987,4,0,0,0.0,0,0,16.0,neutral
PT18977_100047_1,P100047,18977,1,1,1,1.0,1,1,27.0,up
PT18977_100049_1,P100049,18977,1,0,0,0.0,0,0,19.4,neutral
PT18981_100061_1,P100061,18981,1,0,0,0.0,0,0,26.4,neutral
PT18969_100064_1,P100064,18969,1,1,1,1.0,0,0,17.1,up
PT18987_100064_2,P100064,18987,2,0,1,0.5,0,0,18.8,down
PT18981_100066_1,P100066,18981,1,0,0,0.0,0,0,25.2,neutral
PT18969_100070_1,P100070,18969,1,0,0,0.0,0,0,26.1,neutral
PT18977_100070_2,P100070,18977,2,0,0,0.0,0,0,22.7,neutral
PT18981_100070_3,P100070,18981,3,0,0,0.0,0,0,27.4,neutral
PT18981_100071_1,P100071,18981,1,0,0,0.0,0,0,19.9,neutral
PT18981_100072_1,P100072,18981,1,0,0,0.0,0,0,15.1,neutral
PT18981_100074_1,P100074,18981,1,0,0,0.0,0,0,26.1,neutral
PT18981_100078_1,P100078,18981,1,1,1,1.0,1,1,28.8,up
PT18981_100079_1,P100079,18981,1,0,0,0.0,0,0,30.5,neutral
PT18987_100080_1,P100080,18987,1,0,0,0.0,0,0,15.0,neutral
PT18977_100081_1,P100081,18977,1,0,0,0.0,0,0,13.2,neutral
PT18977_100084_1,P100084,18977,1,0,0,0.0,0,0,31.9,neutral
PT18977_100086_1,P100086,18977,1,0,0,0.0,0,0,26.7,neutral
PT18977_100088_1,P100088,18977,1,1,1,1.0,1,1,30.8,up
PT18977_100091_1,P100091,18977,1,0,0,0.0,0,0,16.4,neutral
PT18969_100093_1,P100093,18969,1,0,0,0.0,0,0,21.6,neutral
PT18981_100093_2,P100093,18981,2,0,0,0.0,0,0,23.1,neutral
PT18977_100097_1,P100097,18977,1,0,0,0.0,0,0,14.2,neutral
PT18987_100099_1,P100099,18987,1,0,0,0.0,0,0,19.9,neutral
PT18977_100100_1,P100100,18977,1,0,0,0.0,0,0,22.3,neutral
PT18969_100105_1,P100105,18969,1,0,0,0.0,0,0,17.4,neutral
PT18977_100105_2,P100105,18977,2,0,0,0.0,0,0,19.2,neutral
PT18981_100105_3,P100105,18981,3,0,0,0.0,0,0,15.4,neutral
PT18987_100105_4,P100105,18987,4,0,0,0.0,0,0,25.1,neutral
PT18969_100107_1,P100107,18969,1,1,1,1.0,0,0,24.6,up
PT18969_100108_1,P100108,18969,1,1,1,1.0,0,0,15.4,up
PT18977_100108_2,P100108,18977,2,1,2,1.0,1,1,16.6,neutral
PT18981_100108_3,P100108,18981,3,0,2,0.67,0,1,20.7,down
PT18987_100108_4,P100108,18987,4,0,2,0.33,0,1,29.3,neutral
PT18969_100110_1,P100110,18969,1,0,0,0.0,0,0,12.3,neutral
PT18981_100111_1,P100111,18981,1,0,0,0.0,0,0,18.9,neutral
PT18969_100117_1,P100117,18969,1,3,3,3.0,2,2,25.6,up
PT18981_100119_1,P100119,18981,1,0,0,0.0,0,0,27.6,neutral
PT18977_100123_1,P100123,18977,1,0,0,0.0,0,0,28.9,neutral
PT18987_100128_1,P100128,18987,1,0,0,0.0,0,0,20.2,neutral
PT18969_100132_1,P100132,18969,1,2,2,2.0,2,2,16.1,up
PT18977_100132_2,P100132,18977,2,0,2,1.0,0,2,16.9,down
PT18981_100132_3,P100132,18981,3,0,2,0.67,0,2,15.4,neutral
PT18987_100132_4,P100132,18987,4,0,2,0.0,0,2,20.0,neutral
PT18977_100159_1,P100159,18977,1,1,1,1.0,1,1,21.3,up
PT18981_100159_2,P100159,18981,2,0,1,0.5,0,1,19.3,down
PT18969_100161_1,P100161,18969,1,1,1,1.0,0,0,22.6,up
PT18977_100161_2,P100161,18977,2,0,1,0.5,0,0,18.9,down
PT18981_100161_3,P100161,18981,3,0,1,0.33,0,0,14.8,neutral
PT18981_100164_1,P100164,18981,1,1,1,1.0,1,1,20.1,up
PT18987_100170_1,P100170,18987,1,0,0,0.0,0,0,28.8,neutral
PT18987_100185_1,P100185,18987,1,0,0,0.0,0,0,24.1,neutral
PT18969_100192_1,P100192,18969,1,0,0,0.0,0,0,28.4,neutral
PT18981_100197_1,P100197,18981,1,0,0,0.0,0,0,27.8,neutral
PT18969_100198_1,P100198,18969,1,0,0,0.0,0,0,27.4,neutral
PT18977_100198_2,P100198,18977,2,0,0,0.0,0,0,28.1,neutral
PT18981_100198_3,P100198,18981,3,0,0,0.0,0,0,21.2,neutral
PT18987_100198_4,P100198,18987,4,0,0,0.0,0,0,26.1,neutral
PT18969_100201_1,P100201,18969,1,1,1,1.0,1,1,26.5,up
PT18977_100201_2,P100201,18977,2,0,1,0.5,0,1,26.5,down
PT18981_100201_3,P100201,18981,3,0,1,0.33,0,1,16.0,neutral
PT18987_100201_4,P100201,18987,4,0,1,0.0,0,1,25.8,neutral
PT18969_100210_1,P100210,18969,1,0,0,0.0,0,0,20.7,neutral
PT18977_100211_1,P100211,18977,1,0,0,0.0,0,0,19.1,neutral
PT18987_100214_1,P100214,18987,1,0,0,0.0,0,0,19.7,neutral
PT18969_100222_1,P100222,18969,1,0,0,0.0,0,0,17.8,neutral
PT18987_100223_1,P100223,18987,1,0,0,0.0,0,0,14.8,neutral
PT18969_100224_1,P100224,18969,1,0,0,0.0,0,0,14.6,neutral
PT18977_100224_2,P100224,18977,2,0,0,0.0,0,0,17.7,neutral
PT18981_100224_3,P100224,18981,3,0,0,0.0,0,0,14.2,neutral
PT18987_100224_4,P100224,18987,4,1,1,0.33,1,1,22.6,up
PT18977_100230_1,P100230,18977,1,0,0,0.0,0,0,15.4,neutral
PT18981_100230_2,P100230,18981,2,0,0,0.0,0,0,16.3,neutral
PT18987_100230_3,P100230,18987,3,0,0,0.0,0,0,22.6,neutral
PT18987_100232_1,P100232,18987,1,0,0,0.0,0,0,11.4,neutral
