player_xy_key,event_id,game_id,player_id,player_name,player_role,is_event_team,point_number,x,y,distance_to_net,angle_to_net,_export_timestamp
PXL1896901001019201,EV1896901001,18969,P100192,Chris Premo,event_player_1,True,1,98.6,44.2,45.2,,2026-01-13T11:03:20.662224
PXL1896901001002501,EV1896901001,18969,P100025,Andrew Marshall,event_player_2,True,1,75.9,54.4,56.0,76.5,2026-01-13T11:03:20.662264
PXL1896901001000101,EV1896901001,18969,P100001,Sam Downs,opp_player_1,False,1,100.8,41.9,43.5,,2026-01-13T11:03:20.662296
PXL1896901002002501,EV1896901002,18969,P100025,Andrew Marshall,event_player_1,True,1,39.1,10.8,51.1,12.2,2026-01-13T11:03:20.662329
PXL1896901002002502,EV1896901002,18969,P100025,Andrew Marshall,event_player_1,True,2,61.8,30.0,40.5,47.8,2026-01-13T11:03:20.662341
PXL1896901002002503,EV1896901002,18969,P100025,Andrew Marshall,event_player_1,True,3,122.4,36.8,49.7,,2026-01-13T11:03:20.662350
PXL1896901002002504,EV1896901002,18969,P100025,Andrew Marshall,event_player_1,True,4,157.5,27.8,73.9,,2026-01-13T11:03:20.662359
PXL1896901002002505,EV1896901002,18969,P100025,Andrew Marshall,event_player_1,True,5,88.4,61.8,61.8,89.4,2026-01-13T11:03:20.662370
PXL1896901002002506,EV1896901002,18969,P100025,Andrew Marshall,event_player_1,True,6,134.3,57.8,73.4,,2026-01-13T11:03:20.662379
PXL1896901002002507,EV1896901002,18969,P100025,Andrew Marshall,event_player_1,True,7,151.9,46.5,78.2,,2026-01-13T11:03:20.662388
PXL1896901002002508,EV1896901002,18969,P100025,Andrew Marshall,event_player_1,True,8,143.9,28.3,61.8,,2026-01-13T11:03:20.662397
PXL1896901002002509,EV1896901002,18969,P100025,Andrew Marshall,event_player_1,True,9,110.5,24.4,32.5,,2026-01-13T11:03:20.662406
PXL1896901002003001,EV1896901002,18969,P100030,Jesse Chambless,event_player_2,True,1,43.0,60.1,75.7,52.6,2026-01-13T11:03:20.662431
PXL1896901002003002,EV1896901002,18969,P100030,Jesse Chambless,event_player_2,True,2,65.7,43.1,49.0,61.6,2026-01-13T11:03:20.662443
PXL1896901002003003,EV1896901002,18969,P100030,Jesse Chambless,event_player_2,True,3,103.7,27.8,31.4,,2026-01-13T11:03:20.662453
PXL1896901002003004,EV1896901002,18969,P100030,Jesse Chambless,event_player_2,True,4,132.6,45.3,62.9,,2026-01-13T11:03:20.662463
PXL1896901002003005,EV1896901002,18969,P100030,Jesse Chambless,event_player_2,True,5,156.4,39.7,78.2,,2026-01-13T11:03:20.662473
PXL1896901002003006,EV1896901002,18969,P100030,Jesse Chambless,event_player_2,True,6,173.4,26.1,88.3,,2026-01-13T11:03:20.662483
PXL1896901002003007,EV1896901002,18969,P100030,Jesse Chambless,event_player_2,True,7,129.2,14.2,42.6,,2026-01-13T11:03:20.662492
PXL1896901002003008,EV1896901002,18969,P100030,Jesse Chambless,event_player_2,True,8,69.1,33.4,38.9,59.2,2026-01-13T11:03:20.662504
PXL1896901002003009,EV1896901002,18969,P100030,Jesse Chambless,event_player_2,True,9,36.3,34.0,62.7,32.8,2026-01-13T11:03:20.662516
PXL1896901002003010,EV1896901002,18969,P100030,Jesse Chambless,event_player_2,True,10,67.4,61.8,65.5,70.7,2026-01-13T11:03:20.662528
