event_id,game_id,period,period_id,event_type,event_type_id,event_detail,event_detail_id,event_detail_2,event_detail_2_id,event_successful,success_id,event_team_zone,event_zone_id,sequence_key,play_key,event_chain_key,tracking_event_key,home_team,home_team_id,away_team,away_team_id,duration,event_player_ids,opp_player_ids,event_start_min,event_start_sec,event_end_min,event_end_sec,time_start_total_seconds,time_end_total_seconds,event_running_start,event_running_end,running_video_time,period_start_total_running_seconds,running_intermission_duration,team_venue,team_venue_abv,player_team,home_team_zone,away_team_zone,player_role,side_of_puck,role_number,role_abrev,player_game_number,strength,play_detail1,play_detail_2,play_detail_successful,pressured_pressurer,is_goal,is_highlight,strength_id,player_name,season_id,position_id,shot_type_id,zone_entry_type_id,zone_exit_type_id,stoppage_type_id,giveaway_type_id,takeaway_type_id,turnover_type_id,pass_type_id,time_bucket_id,player_rating,cycle_key,is_cycle,is_rebound,is_zone_entry,is_zone_exit,is_controlled_entry,is_carried_entry,is_controlled_exit,is_carried_exit,is_rush,is_save,is_turnover,is_giveaway,is_bad_giveaway,is_takeaway,is_faceoff,is_penalty,is_blocked_shot,is_missed_shot,is_deflected,is_tipped,is_sog,is_corsi,is_fenwick,shot_outcome_id,pass_outcome_id,save_outcome_id,zone_outcome_id,is_scoring_chance,is_high_danger,is_pressured,danger_level,danger_level_id,scoring_chance_key,prev_event_id,prev_event_type,prev_event_detail,prev_event_team,prev_event_same_team,next_event_id,next_event_type,next_event_detail,next_event_team,next_event_same_team,time_since_prev,time_to_next,time_to_next_sog,time_since_last_sog,events_to_next_sog,events_since_last_sog,next_sog_result,led_to_sog,is_pre_shot_event,is_shot_assist,time_to_next_goal,time_since_last_goal,events_to_next_goal,events_since_last_goal,led_to_goal,time_since_zone_entry,events_since_zone_entry,time_since_zone_exit,sequence_event_num,sequence_total_events,sequence_duration,is_sequence_first,is_sequence_last,sequence_has_sog,sequence_has_goal,sequence_shot_count,consecutive_team_events,time_since_possession_change,events_since_possession_change,time_since_faceoff,events_since_faceoff,is_rush_calculated,time_from_entry_to_shot,rush_key,rush_outcome,turnover_weight,turnover_zone_multiplier,turnover_category,time_to_next_event,time_from_last_event,time_to_next_goal_for,time_to_next_goal_against,time_from_last_goal_for,time_from_last_goal_against,time_to_next_stoppage,time_from_last_stoppage,event_player_1_toi,event_player_2_toi,event_player_3_toi,event_player_4_toi,event_player_5_toi,event_player_6_toi,opp_player_1_toi,opp_player_2_toi,opp_player_3_toi,opp_player_4_toi,opp_player_5_toi,opp_player_6_toi,team_on_ice_toi_avg,team_on_ice_toi_min,team_on_ice_toi_max,opp_on_ice_toi_avg,opp_on_ice_toi_min,opp_on_ice_toi_max
EV1896901514,18969,2,P02,Zone_Entry_Exit,ET0006,Zone_Entry,ED0050,ZoneEntry_Pass,ED159,True,SC01,Offensive,ZN01,SQ1896900054,PL1896905401,EC18969001514,TV1896901514,Platinum,N10008,Velodrome,N10010,3.0,"P100027,P100192","P100108,P100201",17.0,34.0,17.0,31.0,1054.0,1051.0,1346.0,1349.0,2246.0,1200,900,h,,Platinum,Defensive,Offensive,event_player_1,Offensive,1,e1,53.0,5v5,DriveWide,,s,,0,0,STR01,Karen Zietlow,N20252026F,4.0,,ZE0010,,,,,,,TB01,2.0,,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,0,,,,EV1896902061,Pass,Pass_Completed,Velodrome,0,EV1896901012,Shot,Shot_Blocked,Velodrome,0,1.0,1.0,6.0,,11.0,,goal,0,0,0,6.0,,12.0,,0,3.0,4.0,3.0,11.0,37.0,68.0,0,0,1,0,1.0,1,7.0,8.0,26.0,38.0,0,,RU189690043,zone_entry,,,,1.0,1.0,-1.0,-1.0,343.0,6.0,-1.0,6.0,1224.98,1705.0,,,,,922.98,1591.99,,,,,1464.99,1224.98,1705.0,1257.485,922.98,1591.99
EV1896901536,18969,2,P02,Zone_Entry_Exit,ET0006,Zone_Entry,ED0050,ZoneEntry_Carried,ED162,True,SC01,Offensive,ZN01,SQ1896900054,PL1896905409,EC18969001536,TV1896901536,Platinum,N10008,Velodrome,N10010,3.0,"P100132,P100201",P100107,16.0,51.0,16.0,48.0,1011.0,1008.0,1389.0,1392.0,2289.0,1200,900,a,,Velodrome,Defensive,Offensive,event_player_1,Offensive,1,e1,42.0,5v5,Delay,,s,,0,0,STR01,Garrett Ashcroft,N20252026F,4.0,,ZE0001,,,,,,,TB01,5.0,,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,0,,,,EV1896902077,Possession,Regroup,Velodrome,1,EV1896901030,Possession,PuckRecovery,Platinum,0,2.0,1.0,3.0,33.0,3.0,38.0,save,0,0,0,300.0,37.0,466.0,44.0,0,7.0,11.0,3.0,33.0,37.0,68.0,0,0,1,0,1.0,4,6.0,9.0,37.0,41.0,1,3.0,RU189690099,zone_entry,,,,2.0,1.0,37.0,-1.0,663.0,300.0,37.0,10.0,817.0,1523.99,,,,,1328.99,,,,,,1170.495,817.0,1523.99,1328.99,1328.99,1328.99
EV1896902083,18969,3,P03,Zone_Entry_Exit,ET0006,Zone_Entry,ED0050,ZoneEntry_Carried,ED162,True,SC01,Offensive,ZN01,SQ1896900097,PL1896909701,EC18969002083,TV1896902083,Platinum,N10008,Velodrome,N10010,0.0,P100023,P100132,16.0,43.0,16.0,43.0,1003.0,1003.0,2597.0,2597.0,4397.0,2400,1800,h,,Platinum,Defensive,Offensive,event_player_1,Offensive,1,e1,3.0,5v5,,,,1.0,0,0,STR01,Alex Considine,N20252026F,5.0,,ZE0001,,,,,,,TB01,4.0,,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,1,,,,EV1896901543,Pass,Pass_Completed,Platinum,1,EV1896901036,Pass,Pass_Completed,Velodrome,0,0.0,1.0,7.0,5.0,11.0,16.0,save,0,0,0,292.0,45.0,447.0,63.0,0,8.0,19.0,4.0,11.0,21.0,130.0,0,0,1,0,3.0,3,1.0,3.0,45.0,60.0,0,,RU189690118,zone_entry,,,,0.0,1.0,-1.0,45.0,292.0,655.0,45.0,2.0,1602.99,,,,,,817.0,,,,,,1602.99,1602.99,1602.99,817.0,817.0,817.0
EV1896901566,18969,2,P02,Zone_Entry_Exit,ET0006,Zone_Entry,ED0050,ZoneEntry_Pass,ED159,True,SC01,Neutral,ZN03,SQ1896900058,PL1896905805,EC18969001566,TV1896901566,Platinum,N10008,Velodrome,N10010,0.0,"P100039,P100093","P100022,P100117",15.0,49.0,15.0,49.0,949.0,949.0,1451.0,1451.0,2351.0,1200,900,a,,Velodrome,Neutral,Neutral,event_player_1,Offensive,1,e1,93.0,5v5,,,,,0,0,STR01,Pat Major,N20252026F,5.0,,ZE0010,,,,,,,TB01,3.0,,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,0,,,,EV1896901565,Pass,Pass_Completed,Velodrome,1,EV1896901567,Shot,Shot_Blocked,Velodrome,1,0.0,0.0,0.0,23.0,3.0,37.0,save,0,0,0,238.0,99.0,385.0,125.0,0,13.0,21.0,6.0,3.0,25.0,1000.0,0,0,1,0,2.0,2,13.0,23.0,13.0,23.0,1,0.0,RU189690180,zone_entry,,,,0.0,0.0,99.0,-1.0,601.0,238.0,24.0,71.0,1175.0,1177.0,,,,,977.99,1499.97,,,,,1176.0,1175.0,1177.0,1238.98,977.99,1499.97
EV1896902108,18969,3,P03,Zone_Entry_Exit,ET0006,Zone_Entry,ED0050,ZoneEntry_Carried,ED162,True,SC01,Offensive,ZN01,SQ1896900100,PL1896910001,EC18969002108,TV1896902108,Platinum,N10008,Velodrome,N10010,3.0,"P100161,P100198",P100025,15.0,40.0,15.0,37.0,940.0,937.0,2660.0,2663.0,4460.0,2400,1800,a,,Velodrome,Defensive,Offensive,event_player_1,Offensive,1,e1,84.0,5v5,,,,,0,0,STR01,Maxwell Donaty,N20252026F,5.0,,ZE0001,,,,,,,TB01,4.0,,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,0,,,,EV1896901572,Pass,Pass_Completed,Velodrome,1,EV1896901063,Pass,Pass_Completed,Velodrome,1,0.0,1.0,3.0,9.0,7.0,16.0,save,1,0,0,229.0,108.0,366.0,144.0,0,8.0,13.0,4.0,7.0,63.0,1012.0,0,0,1,0,1.0,6,3.0,6.0,22.0,42.0,0,,RU189690199,zone_entry,,,,0.0,1.0,108.0,-1.0,592.0,229.0,33.0,62.0,1222.99,1383.98,,,,,1431.98,,,,,,1303.485,1222.99,1383.98,1431.98,1431.98,1431.98
EV1896901581,18969,2,P02,Zone_Entry_Exit,ET0006,Zone_Entry,ED0050,ZoneEntry_Carried,ED162,True,SC01,Offensive,ZN01,SQ1896900058,PL1896905804,EC18969001581,TV1896901581,Platinum,N10008,Velodrome,N10010,1.0,P100117,P100070,15.0,29.0,15.0,28.0,929.0,928.0,1471.0,1472.0,2371.0,1200,900,h,,Platinum,Defensive,Offensive,event_player_1,Offensive,1,e1,45.0,5v5,,,,,0,0,STR01,Keegan Mantaro,N20252026F,5.0,,ZE0001,,,,,,,TB01,6.0,,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,0,,,,EV1896902116,Shot,Shot_Missed,Velodrome,0,EV1896901582,Shot,Shot_OnNetSaved,Platinum,1,1.0,1.0,1.0,7.0,1.0,16.0,save,1,1,1,218.0,119.0,340.0,170.0,0,8.0,21.0,3.0,16.0,25.0,1000.0,0,0,1,0,2.0,1,3.0,6.0,33.0,68.0,1,1.0,RU189690225,zone_entry,,,,1.0,1.0,-1.0,119.0,218.0,581.0,44.0,51.0,1499.97,,,,,,1450.98,,,,,,1499.97,1499.97,1499.97,1450.98,1450.98,1450.98
EV1896901649,18969,2,P02,Zone_Entry_Exit,ET0006,Zone_Entry,ED0050,ZoneEntry_Carried,ED162,True,SC01,Offensive,ZN01,SQ1896900067,PL1896906701,EC18969001649,TV1896901649,Platinum,N10008,Velodrome,N10010,3.0,P100224,P100030,13.0,17.0,13.0,14.0,797.0,794.0,1603.0,1606.0,2503.0,1200,900,a,,Velodrome,Defensive,Offensive,event_player_1,Offensive,1,e1,61.0,5v5,DriveMiddle,,s,,0,0,STR01,Kaitlyn Shain,N20252026F,4.0,,ZE0001,,,,,,,TB02,3.0,,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,0,,,,EV1896902191,Possession,,Platinum,0,EV1896901650,Shot,Shot_OnNetSaved,Velodrome,1,1.0,0.0,0.0,11.0,1.0,21.0,save,1,1,1,86.0,251.0,128.0,382.0,0,9.0,15.0,13.0,7.0,19.0,182.0,0,0,1,0,2.0,1,4.0,9.0,16.0,32.0,1,0.0,RU189690437,zone_entry,,,,0.0,0.0,251.0,-1.0,449.0,86.0,38.0,25.0,747.98,,,,,,1379.98,,,,,,747.98,747.98,747.98,1379.98,1379.98,1379.98
EV1896901157,18969,1,P01,Zone_Entry_Exit,ET0006,Zone_Entry,ED0050,ZoneEntry_Carried,ED162,True,SC01,Offensive,ZN01,SQ1896900008,PL1896900812,EC18969001157,TV1896901157,Platinum,N10008,Velodrome,N10010,4.0,"P100001,P100064,P100132","P100025,P100030,P100192",12.0,48.0,12.0,44.0,768.0,764.0,432.0,436.0,432.0,0,0,a,,Velodrome,Defensive,Offensive,event_player_1,Offensive,1,e1,70.0,5v5,DriveMiddle,Deke,s,1.0,0,0,STR01,Sam Downs,N20252026F,4.0,,ZE0001,,,,,,,TB02,6.0,,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,1,,,,EV1896902212,DeadIce,,Platinum,0,EV1896901158,Shot,Shot_OnNetSaved,Velodrome,1,1.0,4.0,4.0,2.0,1.0,5.0,save,1,1,1,57.0,280.0,75.0,435.0,1,10.0,20.0,2.0,39.0,60.0,698.0,0,0,1,1,2.0,1,5.0,12.0,45.0,85.0,1,4.0,RU189690490,zone_entry,,,,1.0,4.0,280.0,-1.0,420.0,57.0,1.0,27.0,1360.97,804.0,800.0,,,,1159.98,1171.98,1104.0,,,,988.3233333333334,800.0,1360.97,1145.32,1104.0,1171.98
EV1896902259,18969,3,P03,Zone_Entry_Exit,ET0006,Zone_Entry,ED0050,ZoneEntry_Carried,ED162,True,SC01,Offensive,ZN01,SQ1896900112,PL1896911201,EC18969002259,TV1896902259,Platinum,N10008,Velodrome,N10010,1.0,P100117,,11.0,18.0,11.0,17.0,678.0,677.0,2922.0,2923.0,4722.0,2400,1800,h,,Platinum,Defensive,Offensive,event_player_1,Offensive,1,e1,45.0,5v5,,,,,0,0,STR01,Keegan Mantaro,N20252026F,5.0,,ZE0001,,,,,,,TB02,6.0,,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,0,,,,EV1896901702,Turnover,Turnover_Takeaway,Velodrome,0,EV1896902260,Possession,Breakaway,Platinum,1,0.0,1.0,2.0,14.0,6.0,30.0,goal,1,0,0,2.0,33.0,7.0,52.0,1,12.0,23.0,3.0,10.0,14.0,63.0,0,0,1,1,1.0,1,0.0,1.0,9.0,22.0,0,,RU189690617,zone_entry,,,,1.0,0.0,33.0,370.0,2.0,330.0,2.0,2.0,1086.97,,,,,,,,,,,,1086.97,1086.97,1086.97,,,
EV1896902270,18969,3,P03,Zone_Entry_Exit,ET0006,Zone_Entry,ED0050,ZoneEntry_Carried,ED162,True,SC01,Offensive,ZN01,SQ1896900109,PL1896910903,EC18969002270,TV1896902270,Platinum,N10008,Velodrome,N10010,3.0,P100192,"P100070,P100093",10.0,44.0,10.0,41.0,644.0,641.0,2956.0,2959.0,4756.0,2400,1800,h,,Platinum,Defensive,Offensive,event_player_1,Offensive,1,e1,53.0,5v5,,,,1.0,0,0,STR01,Chris Premo,N20252026F,4.0,,ZE0001,,,,,,,TB02,5.0,,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,1,,,,EV1896901209,Possession,,Platinum,1,EV1896901210,Pass,Pass_Deflected,Platinum,1,0.0,2.0,4.0,32.0,5.0,39.0,save,0,0,0,296.0,32.0,462.0,38.0,0,6.0,17.0,1.0,11.0,14.0,175.0,0,0,1,0,1.0,3,5.0,14.0,7.0,19.0,1,4.0,RU189690662,zone_entry,,,,1.0,0.0,32.0,404.0,443.0,296.0,32.0,5.0,982.0,,,,,,918.98,896.0,,,,,982.0,982.0,982.0,907.49,896.0,918.98
