event_id,game_id,period,period_id,event_type,event_type_id,event_detail,event_detail_id,event_detail_2,event_detail_2_id,event_successful,success_id,event_team_zone,event_zone_id,sequence_key,play_key,event_chain_key,tracking_event_key,home_team,home_team_id,away_team,away_team_id,duration,event_player_ids,opp_player_ids,event_start_min,event_start_sec,event_end_min,event_end_sec,time_start_total_seconds,time_end_total_seconds,event_running_start,event_running_end,running_video_time,period_start_total_running_seconds,running_intermission_duration,team_venue,team_venue_abv,player_team,home_team_zone,away_team_zone,player_role,side_of_puck,role_number,role_abrev,player_game_number,strength,play_detail1,play_detail_2,play_detail_successful,pressured_pressurer,is_goal,is_highlight,player_name,season_id,position_id,shot_type_id,zone_entry_type_id,zone_exit_type_id,stoppage_type_id,giveaway_type_id,takeaway_type_id,turnover_type_id,pass_type_id,time_bucket_id,strength_id,player_rating,cycle_key,is_cycle,is_rebound,is_zone_entry,is_zone_exit,is_controlled_entry,is_carried_entry,is_controlled_exit,is_carried_exit,is_rush,is_save,is_turnover,is_giveaway,is_bad_giveaway,is_takeaway,is_faceoff,is_penalty,is_blocked_shot,is_missed_shot,is_deflected,is_tipped,is_sog,is_corsi,is_fenwick,shot_outcome_id,pass_outcome_id,save_outcome_id,zone_outcome_id,is_scoring_chance,is_high_danger,is_pressured,danger_level,danger_level_id,scoring_chance_key,prev_event_id,prev_event_type,prev_event_detail,prev_event_team,prev_event_same_team,next_event_id,next_event_type,next_event_detail,next_event_team,next_event_same_team,time_since_prev,time_to_next,time_to_next_sog,time_since_last_sog,events_to_next_sog,events_since_last_sog,next_sog_result,led_to_sog,is_pre_shot_event,is_shot_assist,time_to_next_goal,time_since_last_goal,events_to_next_goal,events_since_last_goal,led_to_goal,time_since_zone_entry,events_since_zone_entry,time_since_zone_exit,sequence_event_num,sequence_total_events,sequence_duration,is_sequence_first,is_sequence_last,sequence_has_sog,sequence_has_goal,sequence_shot_count,consecutive_team_events,time_since_possession_change,events_since_possession_change,time_since_faceoff,events_since_faceoff,is_rush_calculated,time_from_entry_to_shot,save_key,time_to_next_event,time_from_last_event,time_to_next_goal_for,time_to_next_goal_against,time_from_last_goal_for,time_from_last_goal_against,time_to_next_stoppage,time_from_last_stoppage,event_player_1_toi,event_player_2_toi,event_player_3_toi,event_player_4_toi,event_player_5_toi,event_player_6_toi,opp_player_1_toi,opp_player_2_toi,opp_player_3_toi,opp_player_4_toi,opp_player_5_toi,opp_player_6_toi,team_on_ice_toi_avg,team_on_ice_toi_min,team_on_ice_toi_max,opp_on_ice_toi_avg,opp_on_ice_toi_min,opp_on_ice_toi_max
EV1896901519,18969,2,P02,Save,ET0002,Save_Rebound,ED0031,Save_Shoulder,,,,Defensive,ZN02,SQ1896900054,PL1896905405,EC18969001519,TV1896901519,Platinum,N10008,Velodrome,N10010,0.0,"P100016,P100198","P100027,P100192",17.0,24.0,17.0,24.0,1044.0,1044.0,1356.0,1356.0,2256.0,1200,900,a,,Velodrome,Offensive,Defensive,event_player_1,Defensive,1,e1,39.0,5v5,,,,,0,0,Maxwell Donaty,N20252026F,5.0,,,,,,,,,TB01,STR01,4.0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SV01,,0,0,0,,,,EV1896901518,Shot,Shot_OnNetSaved,Platinum,0,EV1896901520,Rebound,Rebound_TeamRecovered,Velodrome,1,0.0,0.0,36.0,0.0,40.0,1.0,save,0,0,0,333.0,4.0,503.0,7.0,0,10.0,19.0,13.0,16.0,37.0,68.0,0,0,1,0,1.0,1,3.0,3.0,4.0,4.0,0,,SV189690062,0.0,1.0,4.0,-1.0,696.0,333.0,4.0,43.0,3122.98,1562.98,,,,,1224.98,1705.0,,,,,2342.98,1562.98,3122.98,1464.99,1224.98,1705.0
EV1896901033,18969,1,P01,Save,ET0002,Save_Rebound,ED0031,Save_LeftPad,ED100,,,Defensive,ZN02,SQ1896900002,PL1896900207,EC18969001033,TV1896901033,Platinum,N10008,Velodrome,N10010,0.0,"P100016,P100108",P100024,16.0,48.0,16.0,48.0,1008.0,1008.0,192.0,192.0,192.0,0,0,a,,Velodrome,Offensive,Defensive,event_player_1,Defensive,1,e1,39.0,5v5,,,,,0,0,Wyatt Crandall,N20252026F,6.0,,,,,,,,,TB01,STR01,5.0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SV01,,0,0,0,,,,EV1896901032,Shot,Shot_OnNetSaved,Platinum,0,EV1896901034,Rebound,Rebound_TeamRecovered,Velodrome,1,0.0,0.0,12.0,0.0,26.0,1.0,save,0,0,0,297.0,40.0,462.0,48.0,0,3.0,4.0,6.0,24.0,33.0,113.0,0,0,1,0,2.0,1,9.0,13.0,40.0,45.0,0,,SV189690103,0.0,0.0,40.0,-1.0,660.0,297.0,40.0,7.0,2924.98,791.98,,,,,850.99,,,,,,1858.48,791.98,2924.98,850.99,850.99,850.99
EV1896901548,18969,2,P02,Save,ET0002,Save_Freeze,ED0029,Save_Butterfly,ED097,,,Defensive,ZN02,SQ1896900056,PL1896905601,EC18969001548,TV1896901548,Platinum,N10008,Velodrome,N10010,0.0,"P100027,P100202",P100093,16.0,36.0,16.0,36.0,996.0,996.0,1404.0,1404.0,2304.0,1200,900,h,,Platinum,Offensive,Defensive,event_player_1,Defensive,1,e1,99.0,5v5,,,,,0,0,Francis Forte,N20252026F,6.0,,,,,,,,,TB01,STR01,5.0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SV02,,0,0,0,,,,EV1896901547,Shot,Shot_OnNetSaved,Velodrome,0,EV1896901040,Stoppage,Stoppage_Play,Velodrome,0,0.0,1.0,21.0,0.0,7.0,1.0,save,0,0,0,285.0,52.0,435.0,75.0,0,7.0,12.0,6.0,5.0,21.0,998.0,0,0,1,0,1.0,1,5.0,6.0,52.0,72.0,0,,SV189690130,4.0,0.0,-1.0,52.0,285.0,648.0,5.0,1.0,1026.98,3006.9700000000003,,,,,1194.0,,,,,,2016.975,1026.98,3006.9700000000003,1194.0,1194.0,1194.0
EV1896902090,18969,3,P03,Save,ET0002,Save_Freeze,ED0029,Save_Shoulder,,,,Defensive,ZN02,SQ1896900100,PL1896910001,EC18969002090,TV1896902090,Platinum,N10008,Velodrome,N10010,0.0,"P100016,P100064",P100030,16.0,15.0,16.0,15.0,975.0,975.0,2625.0,2625.0,4425.0,2400,1800,a,,Velodrome,Offensive,Defensive,event_player_1,Defensive,1,e1,39.0,5v5,,,,,0,0,Jesse Chambless,N20252026F,5.0,,,,,,,,,TB01,STR01,5.0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SV02,,0,0,0,,,,EV1896902089,Shot,Shot_OnNetSaved,Platinum,0,EV1896901042,Faceoff,Faceoff_AfterStoppage,Platinum,0,0.0,1.0,3.0,0.0,5.0,1.0,save,0,0,0,264.0,73.0,427.0,83.0,0,28.0,20.0,27.0,4.0,63.0,1012.0,0,0,1,0,1.0,1,2.0,3.0,2.0,3.0,0,,SV189690138,2.0,0.0,73.0,-1.0,627.0,264.0,19.0,2.0,2907.98,856.0,,,,,1597.98,,,,,,1881.99,856.0,2907.98,1597.98,1597.98,1597.98
EV1896901044,18969,1,P01,Save,ET0002,Save_Rebound,ED0031,Save_RightPad,ED102,,,Defensive,ZN02,SQ1896900002,PL1896900208,EC18969001044,TV1896901044,Platinum,N10008,Velodrome,N10010,0.0,"P100016,P100093,P100224","P100022,P100023",16.0,12.0,16.0,12.0,972.0,972.0,228.0,228.0,228.0,0,0,a,,Velodrome,Offensive,Defensive,event_player_1,Defensive,1,e1,39.0,5v5,,,,,0,0,Wyatt Crandall,N20252026F,6.0,,,,,,,,,TB01,STR01,5.0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SV01,,0,0,0,,,,EV1896901043,Shot,Shot_OnNetSaved,Platinum,0,EV1896901045,Rebound,Rebound_OppTeamRecovered,Velodrome,1,0.0,0.0,23.0,0.0,39.0,1.0,save,0,0,0,261.0,76.0,421.0,89.0,0,31.0,26.0,30.0,30.0,33.0,113.0,0,0,1,0,2.0,1,2.0,4.0,2.0,4.0,0,,SV189690144,0.0,2.0,76.0,-1.0,624.0,261.0,1.0,94.0,2907.98,1177.0,876.98,,,,977.99,1585.99,,,,,1653.986666666667,876.98,2907.98,1281.99,977.99,1585.99
EV1896902102,18969,3,P03,Save,ET0002,Save_Rebound,ED0031,Save_Butterfly,ED097,,,Defensive,ZN02,SQ1896900097,PL1896909705,EC18969002102,TV1896902102,Platinum,N10008,Velodrome,N10010,0.0,P100202,P100001,15.0,49.0,15.0,49.0,949.0,949.0,2651.0,2651.0,4451.0,2400,1800,h,,Platinum,Offensive,Defensive,event_player_1,Defensive,1,e1,99.0,5v5,,,,,0,0,Francis Forte,N20252026F,6.0,,,,,,,,,TB01,STR01,5.0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SV01,,0,0,0,,,,EV1896902101,Shot,Shot_OnNetSaved,Velodrome,0,EV1896902103,Rebound,Rebound_TeamRecovered,Platinum,1,0.0,0.0,12.0,0.0,22.0,1.0,save,0,0,0,238.0,99.0,381.0,129.0,0,0.0,4.0,6.0,21.0,21.0,130.0,0,1,1,0,3.0,1,0.0,2.0,13.0,27.0,0,,SV189690184,0.0,0.0,-1.0,99.0,238.0,601.0,24.0,71.0,2989.9700000000003,,,,,,1564.97,,,,,,2989.9700000000003,2989.9700000000003,2989.9700000000003,1564.97,1564.97,1564.97
EV1896902110,18969,3,P03,Save,ET0002,Save_Rebound,ED0031,Save_Butterfly,ED097,,,Defensive,ZN02,SQ1896900100,PL1896910006,EC18969002110,TV1896902110,Platinum,N10008,Velodrome,N10010,0.0,P100202,P100198,15.0,37.0,15.0,37.0,937.0,937.0,2663.0,2663.0,4463.0,2400,1800,h,,Platinum,Offensive,Defensive,event_player_1,Defensive,1,e1,99.0,5v5,,,,,0,0,Francis Forte,N20252026F,6.0,,,,,,,,,TB01,STR01,5.0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SV01,,0,0,0,,,,EV1896902109,Shot,Shot_OnNetSaved,Velodrome,0,EV1896902111,Rebound,,Platinum,1,0.0,0.0,1.0,0.0,2.0,1.0,save,0,0,0,226.0,111.0,358.0,152.0,0,0.0,3.0,2.0,9.0,63.0,1012.0,0,0,1,0,1.0,1,0.0,2.0,25.0,50.0,0,,SV189690207,0.0,1.0,-1.0,111.0,226.0,589.0,36.0,59.0,2858.9700000000003,,,,,,1383.98,,,,,,2858.9700000000003,2858.9700000000003,2858.9700000000003,1383.98,1383.98,1383.98
EV1896901575,18969,2,P02,Save,ET0002,Save_Rebound,ED0031,Save_LeftPad,ED100,,,Defensive,ZN02,SQ1896900055,PL1896905502,EC18969001575,TV1896901575,Platinum,N10008,Velodrome,N10010,0.0,"P100107,P100110,P100202","P100093,P100161",15.0,36.0,15.0,36.0,936.0,936.0,1464.0,1464.0,2364.0,1200,900,h,,Platinum,Offensive,Defensive,event_player_1,Defensive,1,e1,99.0,5v5,,,,,0,0,Francis Forte,N20252026F,6.0,,,,,,,,,TB01,STR01,5.0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SV01,,0,0,0,,,,EV1896901574,Shot,Shot_OnNetSaved,Velodrome,0,EV1896901576,Rebound,Rebound_TeamRecovered,Platinum,1,0.0,0.0,8.0,0.0,16.0,1.0,save,0,0,0,225.0,112.0,355.0,155.0,0,1.0,6.0,3.0,3.0,4.0,920.0,0,0,0,0,0.0,1,1.0,5.0,26.0,53.0,0,,SV189690210,0.0,2.0,-1.0,112.0,225.0,588.0,37.0,58.0,1311.99,737.0,2858.9700000000003,,,,1046.0,1222.99,,,,,1635.986666666667,737.0,2858.9700000000003,1134.495,1046.0,1222.99
EV1896901583,18969,2,P02,Save,ET0002,Save_Rebound,ED0031,Save_RightPad,ED102,,,Defensive,ZN02,SQ1896900058,PL1896905804,EC18969001583,TV1896901583,Platinum,N10008,Velodrome,N10010,0.0,"P100016,P100070",P100117,15.0,28.0,15.0,28.0,928.0,928.0,1472.0,1472.0,2372.0,1200,900,a,,Velodrome,Offensive,Defensive,event_player_1,Defensive,1,e1,39.0,5v5,,,,,0,0,Wyatt Crandall,N20252026F,6.0,,,,,,,,,TB01,STR01,5.0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SV01,,0,0,0,,,,EV1896901582,Shot,Shot_OnNetSaved,Platinum,0,EV1896901584,Rebound,Rebound_TeamRecovered,Velodrome,1,0.0,0.0,16.0,0.0,29.0,1.0,save,0,0,0,217.0,120.0,338.0,172.0,0,1.0,2.0,4.0,18.0,25.0,1000.0,0,0,1,0,2.0,1,4.0,8.0,34.0,70.0,0,,SV189690227,1.0,0.0,120.0,-1.0,580.0,217.0,45.0,50.0,2693.98,1383.98,,,,,1353.97,,,,,,2038.98,1383.98,2693.98,1353.97,1353.97,1353.97
EV1896901592,18969,2,P02,Save,ET0002,Save_Rebound,ED0031,Save_Butterfly,ED097,,,Defensive,ZN02,SQ1896900059,PL1896905906,EC18969001592,TV1896901592,Platinum,N10008,Velodrome,N10010,0.0,P100202,P100161,15.0,12.0,15.0,12.0,912.0,912.0,1488.0,1488.0,2388.0,1200,900,h,,Platinum,Offensive,Defensive,event_player_1,Defensive,1,e1,99.0,5v5,,,,,0,0,Francis Forte,N20252026F,6.0,,,,,,,,,TB01,STR01,5.0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SV01,,0,0,0,,,,EV1896901591,Shot,Shot_OnNetSaved,Velodrome,0,EV1896901593,Rebound,Rebound_TeamRecovered,Platinum,1,0.0,0.0,21.0,0.0,34.0,1.0,save,0,0,0,201.0,136.0,308.0,202.0,0,11.0,20.0,3.0,3.0,31.0,332.0,0,0,1,0,2.0,1,0.0,3.0,50.0,100.0,0,,SV189690257,0.0,2.0,-1.0,136.0,201.0,564.0,61.0,34.0,2758.9700000000003,,,,,,1122.99,,,,,,2758.9700000000003,2758.9700000000003,2758.9700000000003,1122.99,1122.99,1122.99
