scoring_chance_key,game_id,event_id,period,season_id,is_goal,event_detail,event_detail_2,danger_level,is_rush,is_rebound,is_odd_man,shot_type,time_to_next_event,time_from_last_event,time_to_next_goal_for,time_to_next_goal_against,time_from_last_goal_for,time_from_last_goal_against,time_to_next_stoppage,time_from_last_stoppage,event_player_1_toi,event_player_2_toi,event_player_3_toi,event_player_4_toi,event_player_5_toi,event_player_6_toi,opp_player_1_toi,opp_player_2_toi,opp_player_3_toi,opp_player_4_toi,opp_player_5_toi,opp_player_6_toi,team_on_ice_toi_avg,team_on_ice_toi_min,team_on_ice_toi_max,opp_on_ice_toi_avg,opp_on_ice_toi_min,opp_on_ice_toi_max
SC_EV1896901012,18969,EV1896901012,1,N20252026F,False,Shot_Blocked,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,1.0,-1.0,-1.0,5.0,342.0,-1.0,5.0,1356.99,,,,,,1083.99,,,,,,1356.99,1356.99,1356.99,1083.99,1083.99,1083.99
SC_EV1896901515,18969,EV1896901515,2,N20252026F,False,Shot_Missed,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,1.0,0.0,-1.0,-1.0,340.0,3.0,-1.0,3.0,1705.0,,,,,,,,,,,,1705.0,1705.0,1705.0,,,
SC_EV1896902066,18969,EV1896902066,3,N20252026F,False,Shot_Goal,,perimeter,False,False,False,,0.0,1.0,-1.0,-1.0,700.0,337.0,-1.0,47.0,968.0,,,,,,3239.9700000000003,,,,,,968.0,968.0,968.0,3239.9700000000003,3239.9700000000003,3239.9700000000003
SC_EV1896902067,18969,EV1896902067,3,N20252026F,True,Goal_Scored,Goal_Tip,high,False,False,False,Goal_Tip,0.0,0.0,-1.0,-1.0,700.0,337.0,-1.0,47.0,968.0,,,,,,3239.9700000000003,,,,,,968.0,968.0,968.0,3239.9700000000003,3239.9700000000003,3239.9700000000003
SC_EV1896901518,18969,EV1896901518,2,N20252026F,False,Shot_OnNetSaved,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,0.0,-1.0,4.0,333.0,696.0,4.0,43.0,1224.98,1705.0,,,,,3122.98,1562.98,,,,,1464.99,1224.98,1705.0,2342.98,1562.98,3122.98
SC_EV1896901027,18969,EV1896901027,1,N20252026F,False,Shot_Missed,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,1.0,-1.0,29.0,308.0,671.0,29.0,18.0,1656.0,,,,,,,,,,,,1656.0,1656.0,1656.0,,,
SC_EV1896902073,18969,EV1896902073,3,N20252026F,False,Shot_Blocked,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,1.0,-1.0,31.0,306.0,669.0,31.0,16.0,1656.0,,,,,,1261.0,,,,,,1656.0,1656.0,1656.0,1261.0,1261.0,1261.0
SC_EV1896901029,18969,EV1896901029,1,N20252026F,False,Shot_BlockedSameTeam,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,0.0,-1.0,35.0,302.0,665.0,35.0,12.0,999.99,1679.98,,,,,1694.97,,,,,,1339.985,999.99,1679.98,1694.97,1694.97,1694.97
SC_EV1896901032,18969,EV1896901032,1,N20252026F,False,Shot_OnNetSaved,Shot_OneTime,perimeter,False,False,False,Shot_OneTime,2.0,0.0,-1.0,40.0,297.0,660.0,40.0,7.0,850.99,,,,,,2924.98,791.98,,,,,850.99,850.99,850.99,1858.48,791.98,2924.98
SC_EV1896901539,18969,EV1896901539,2,N20252026F,False,Shot_Missed,Shot_Tipped,high,False,False,False,Shot_Tipped,0.0,0.0,42.0,-1.0,658.0,295.0,42.0,5.0,873.0,,,,,,,,,,,,873.0,873.0,873.0,,,
