event_id,game_id,period,period_id,event_type,event_type_id,event_detail,event_detail_id,event_detail_2,event_detail_2_id,event_successful,success_id,event_team_zone,event_zone_id,sequence_key,play_key,event_chain_key,tracking_event_key,home_team,home_team_id,away_team,away_team_id,duration,event_player_ids,opp_player_ids,event_start_min,event_start_sec,event_end_min,event_end_sec,time_start_total_seconds,time_end_total_seconds,event_running_start,event_running_end,running_video_time,period_start_total_running_seconds,running_intermission_duration,team_venue,team_venue_abv,player_team,home_team_zone,away_team_zone,player_role,side_of_puck,role_number,role_abrev,player_game_number,strength,play_detail1,play_detail_2,play_detail_successful,pressured_pressurer,is_goal,is_highlight,player_name,season_id,position_id,shot_type_id,zone_entry_type_id,zone_exit_type_id,stoppage_type_id,giveaway_type_id,takeaway_type_id,turnover_type_id,pass_type_id,time_bucket_id,strength_id,player_rating,cycle_key,is_cycle,is_rebound,is_zone_entry,is_zone_exit,is_controlled_entry,is_carried_entry,is_controlled_exit,is_carried_exit,is_rush,is_save,is_turnover,is_giveaway,is_bad_giveaway,is_takeaway,is_faceoff,is_penalty,is_blocked_shot,is_missed_shot,is_deflected,is_tipped,is_sog,is_corsi,is_fenwick,shot_outcome_id,pass_outcome_id,save_outcome_id,zone_outcome_id,is_scoring_chance,is_high_danger,is_pressured,danger_level,danger_level_id,scoring_chance_key,prev_event_id,prev_event_type,prev_event_detail,prev_event_team,prev_event_same_team,next_event_id,next_event_type,next_event_detail,next_event_team,next_event_same_team,time_since_prev,time_to_next,time_to_next_sog,time_since_last_sog,events_to_next_sog,events_since_last_sog,next_sog_result,led_to_sog,is_pre_shot_event,is_shot_assist,time_to_next_goal,time_since_last_goal,events_to_next_goal,events_since_last_goal,led_to_goal,time_since_zone_entry,events_since_zone_entry,time_since_zone_exit,sequence_event_num,sequence_total_events,sequence_duration,is_sequence_first,is_sequence_last,sequence_has_sog,sequence_has_goal,sequence_shot_count,consecutive_team_events,time_since_possession_change,events_since_possession_change,time_since_faceoff,events_since_faceoff,is_rush_calculated,time_from_entry_to_shot,turnover_weight,turnover_zone_multiplier,turnover_category,time_to_next_event,time_from_last_event,time_to_next_goal_for,time_to_next_goal_against,time_from_last_goal_for,time_from_last_goal_against,time_to_next_stoppage,time_from_last_stoppage,event_player_1_toi,event_player_2_toi,event_player_3_toi,event_player_4_toi,event_player_5_toi,event_player_6_toi,opp_player_1_toi,opp_player_2_toi,opp_player_3_toi,opp_player_4_toi,opp_player_5_toi,opp_player_6_toi,team_on_ice_toi_avg,team_on_ice_toi_min,team_on_ice_toi_max,opp_on_ice_toi_avg,opp_on_ice_toi_min,opp_on_ice_toi_max
EV1896902066,18969,3,P03,Shot,ET0001,Shot_Goal,ED0037,,,True,SC01,Offensive,ZN01,SQ1896900097,PL1896909701,EC18969002066,TV1896902066,Platinum,N10008,Velodrome,N10010,0.0,P100132,P100202,17.0,28.0,17.0,28.0,1048.0,1048.0,2552.0,2552.0,4352.0,2400,1800,a,,Velodrome,Defensive,Offensive,event_player_1,Offensive,1,e1,14.0,5v5,,,,,0,0,Nick Ciampoli,N20252026F,4.0,,,,,,,,,TB01,STR01,4.0,CY189690010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,SO01,,,,1,0,0,low,DL03,SC189690045,EV1896901516,Zone_Entry_Exit,Zone_Keepin,Platinum,0,EV1896902067,Goal,Goal_Scored,Velodrome,1,0.0,0.0,4.0,,7.0,,save,0,0,0,0.0,,1.0,,0,6.0,11.0,9.0,5.0,21.0,130.0,0,0,1,0,3.0,1,13.0,19.0,32.0,49.0,0,,,,,0.0,1.0,-1.0,-1.0,700.0,337.0,-1.0,47.0,968.0,,,,,,3239.9700000000003,,,,,,968.0,968.0,968.0,3239.9700000000003,3239.9700000000003,3239.9700000000003
EV1896902067,18969,3,P03,Goal,ET0012,Goal_Scored,ED0006,Goal_Tip,ED026,True,SC01,Offensive,ZN01,SQ1896900096,PL1896909601,EC18969002067,TV1896902067,Platinum,N10008,Velodrome,N10010,0.0,P100132,P100202,17.0,28.0,17.0,28.0,1048.0,1048.0,2552.0,2552.0,4352.0,2400,1800,a,,Velodrome,Defensive,Offensive,event_player_1,Offensive,1,e1,14.0,5v5,SecondTouch,,s,,1,0,Nick Ciampoli,N20252026F,4.0,ST0005,,,,,,,,TB01,STR01,4.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SO01,,,,1,1,0,high,DL01,SC189690046,EV1896902066,Shot,Shot_Goal,Velodrome,1,EV1896902068,Stoppage,Stoppage_Play,Velodrome,1,0.0,0.0,4.0,0.0,6.0,1.0,save,0,0,0,337.0,,510.0,,0,6.0,12.0,9.0,1.0,1.0,0.0,1,1,0,1,0.0,2,13.0,20.0,32.0,50.0,0,,,,,0.0,0.0,-1.0,-1.0,700.0,337.0,-1.0,47.0,968.0,,,,,,3239.9700000000003,,,,,,968.0,968.0,968.0,3239.9700000000003,3239.9700000000003,3239.9700000000003
EV1896901518,18969,2,P02,Shot,ET0001,Shot_OnNetSaved,ED0040,Shot_Wrist,ED118,True,SC01,Offensive,ZN01,SQ1896900054,PL1896905401,EC18969001518,TV1896901518,Platinum,N10008,Velodrome,N10010,0.0,"P100027,P100192","P100016,P100198",17.0,24.0,17.0,24.0,1044.0,1044.0,1356.0,1356.0,2256.0,1200,900,h,,Platinum,Defensive,Offensive,event_player_1,Offensive,1,e1,53.0,5v5,,,,,0,0,Chris Premo,N20252026F,4.0,ST0001,,,,,,,,TB01,STR01,5.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,SO02,,,,1,0,0,low,DL03,SC189690022,EV1896901517,Possession,PuckRecovery,Platinum,1,EV1896901519,Save,Save_Rebound,Velodrome,0,2.0,0.0,36.0,4.0,41.0,7.0,save,0,0,0,333.0,4.0,504.0,6.0,0,10.0,18.0,13.0,15.0,37.0,68.0,0,0,1,0,1.0,2,3.0,2.0,4.0,3.0,0,,,,,0.0,0.0,-1.0,4.0,333.0,696.0,4.0,43.0,1224.98,1705.0,,,,,3122.98,1562.98,,,,,1464.99,1224.98,1705.0,2342.98,1562.98,3122.98
EV1896901032,18969,1,P01,Shot,ET0001,Shot_OnNetSaved,ED0040,Shot_OneTime,ED111,True,SC01,Offensive,ZN01,SQ1896900002,PL1896900207,EC18969001032,TV1896901032,Platinum,N10008,Velodrome,N10010,0.0,P100024,"P100016,P100108",16.0,48.0,16.0,48.0,1008.0,1008.0,192.0,192.0,192.0,0,0,h,,Platinum,Defensive,Offensive,event_player_1,Offensive,1,e1,20.0,5v5,,,,,0,0,John Thien,N20252026F,4.0,,,,,,,,,TB01,STR01,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,SO02,,,,1,1,0,high,DL01,SC189690000,EV1896901031,Pass,Pass_Completed,Platinum,1,EV1896901033,Save,Save_Rebound,Velodrome,0,0.0,0.0,12.0,36.0,27.0,41.0,save,0,0,0,297.0,40.0,463.0,47.0,0,3.0,3.0,6.0,23.0,33.0,113.0,0,0,1,0,2.0,3,9.0,12.0,40.0,44.0,0,,,,,2.0,0.0,-1.0,40.0,297.0,660.0,40.0,7.0,850.99,,,,,,2924.98,791.98,,,,,850.99,850.99,850.99,1858.48,791.98,2924.98
EV1896901547,18969,2,P02,Shot,ET0001,Shot_OnNetSaved,ED0040,Shot_Backhand,ED105,True,SC01,Offensive,ZN01,SQ1896900056,PL1896905601,EC18969001547,TV1896901547,Platinum,N10008,Velodrome,N10010,0.0,P100093,"P100027,P100202",16.0,36.0,16.0,36.0,996.0,996.0,1404.0,1404.0,2304.0,1200,900,a,,Velodrome,Defensive,Offensive,event_player_1,Offensive,1,e1,93.0,5v5,,,,,0,0,Pat Major,N20252026F,5.0,ST0004,,,,,,,,TB01,STR01,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,SO02,,,,1,0,0,low,DL03,SC189690023,EV1896901039,Pass,Pass_Missed,Velodrome,1,EV1896901548,Save,Save_Freeze,Platinum,0,4.0,0.0,21.0,12.0,8.0,27.0,save,0,0,0,285.0,52.0,436.0,74.0,0,7.0,11.0,6.0,4.0,21.0,998.0,0,0,1,0,1.0,2,5.0,5.0,52.0,71.0,0,,,,,0.0,1.0,52.0,-1.0,648.0,285.0,5.0,1.0,1194.0,,,,,,1026.98,3006.9700000000003,,,,,1194.0,1194.0,1194.0,2016.975,1026.98,3006.9700000000003
EV1896902089,18969,3,P03,Shot,ET0001,Shot_OnNetSaved,ED0040,Shot_Wrist,ED118,True,SC01,Offensive,ZN01,SQ1896900097,PL1896909705,EC18969002089,TV1896902089,Platinum,N10008,Velodrome,N10010,0.0,P100030,"P100016,P100064",16.0,15.0,16.0,15.0,975.0,975.0,2625.0,2625.0,4425.0,2400,1800,h,,Platinum,Defensive,Offensive,event_player_1,Offensive,1,e1,8.0,5v5,,,,1.0,0,0,James Rynearson,N20252026F,4.0,ST0001,,,,,,,,TB01,STR01,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,SO02,,,,1,0,1,low,DL03,SC189690047,EV1896902088,Possession,,Platinum,1,EV1896902090,Save,Save_Freeze,Velodrome,0,2.0,0.0,3.0,21.0,6.0,8.0,save,0,0,0,264.0,73.0,428.0,82.0,0,28.0,19.0,27.0,12.0,21.0,130.0,0,0,1,0,3.0,5,2.0,2.0,2.0,2.0,0,,,,,0.0,1.0,-1.0,73.0,264.0,627.0,19.0,2.0,1597.98,,,,,,2907.98,856.0,,,,,1597.98,1597.98,1597.98,1881.99,856.0,2907.98
EV1896901043,18969,1,P01,Shot,ET0001,Shot_OnNetSaved,ED0040,Shot_Wrist,ED118,True,SC01,Offensive,ZN01,SQ1896900002,PL1896900208,EC18969001043,TV1896901043,Platinum,N10008,Velodrome,N10010,0.0,"P100022,P100023","P100016,P100093,P100224",16.0,12.0,16.0,12.0,972.0,972.0,228.0,228.0,228.0,0,0,h,,Platinum,Defensive,Offensive,event_player_1,Offensive,1,e1,3.0,5v5,,AttemptedTip_Deflection,u,,0,0,Alex Considine,N20252026F,5.0,ST0001,,,,,,,,TB01,STR01,4.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,SO02,,,,1,0,0,low,DL03,SC189690001,EV1896902092,DeadIce,,Velodrome,0,EV1896901044,Save,Save_Rebound,Velodrome,0,1.0,0.0,23.0,3.0,40.0,6.0,save,0,0,0,261.0,76.0,422.0,88.0,0,31.0,25.0,30.0,29.0,33.0,113.0,0,0,1,0,2.0,1,2.0,3.0,2.0,3.0,0,,,,,0.0,0.0,-1.0,76.0,261.0,624.0,1.0,94.0,977.99,1585.99,,,,,2907.98,1177.0,876.98,,,,1281.99,977.99,1585.99,1653.986666666667,876.98,2907.98
EV1896902101,18969,3,P03,Shot,ET0001,Shot_OnNetSaved,ED0040,Shot_Wrist,ED118,True,SC01,Offensive,ZN01,SQ1896900097,PL1896909705,EC18969002101,TV1896902101,Platinum,N10008,Velodrome,N10010,0.0,P100001,P100202,15.0,49.0,15.0,49.0,949.0,949.0,2651.0,2651.0,4451.0,2400,1800,a,,Velodrome,Defensive,Offensive,event_player_1,Offensive,1,e1,70.0,5v5,,,,,0,0,Sam Downs,N20252026F,4.0,ST0001,,,,,,,,TB01,STR01,6.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,SO02,,,,1,0,0,low,DL03,SC189690048,EV1896901568,Turnover,Turnover_Giveaway,Velodrome,1,EV1896902102,Save,Save_Rebound,Platinum,0,0.0,0.0,12.0,23.0,23.0,40.0,save,0,0,0,238.0,99.0,382.0,128.0,0,0.0,3.0,6.0,20.0,21.0,130.0,0,0,1,0,3.0,5,0.0,1.0,13.0,26.0,0,,,,,0.0,0.0,99.0,-1.0,601.0,238.0,24.0,71.0,1564.97,,,,,,2989.9700000000003,,,,,,1564.97,1564.97,1564.97,2989.9700000000003,2989.9700000000003,2989.9700000000003
EV1896902109,18969,3,P03,Shot,ET0001,Shot_OnNetSaved,ED0040,Shot_Wrist,ED118,True,SC01,Offensive,ZN01,SQ1896900100,PL1896910006,EC18969002109,TV1896902109,Platinum,N10008,Velodrome,N10010,0.0,P100198,P100202,15.0,37.0,15.0,37.0,937.0,937.0,2663.0,2663.0,4463.0,2400,1800,a,,Velodrome,Defensive,Offensive,event_player_1,Offensive,1,e1,84.0,5v5,,,,,0,0,Maxwell Donaty,N20252026F,5.0,ST0001,,,,,,,,TB01,STR01,4.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,SO02,,,,1,0,0,low,DL03,SC189690049,EV1896901067,Turnover,Turnover_Giveaway,Velodrome,1,EV1896902110,Save,Save_Rebound,Platinum,0,0.0,0.0,1.0,12.0,3.0,23.0,save,0,0,0,226.0,111.0,359.0,151.0,0,0.0,2.0,2.0,8.0,63.0,1012.0,0,0,1,0,1.0,13,0.0,1.0,25.0,49.0,0,,,,,0.0,0.0,111.0,-1.0,589.0,226.0,36.0,59.0,1383.98,,,,,,2858.9700000000003,,,,,,1383.98,1383.98,1383.98,2858.9700000000003,2858.9700000000003,2858.9700000000003
EV1896901574,18969,2,P02,Shot,ET0001,Shot_OnNetSaved,ED0040,Shot_Wrist,ED118,True,SC01,Offensive,ZN01,SQ1896900058,PL1896905801,EC18969001574,TV1896901574,Platinum,N10008,Velodrome,N10010,0.0,"P100093,P100161","P100107,P100110,P100202",15.0,36.0,15.0,36.0,936.0,936.0,1464.0,1464.0,2364.0,1200,900,a,,Velodrome,Defensive,Offensive,event_player_1,Offensive,1,e1,93.0,5v5,,,,,0,0,Pat Major,N20252026F,5.0,ST0001,,,,,,,,TB01,STR01,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,SO02,,,,1,0,0,low,DL03,SC189690024,EV1896902111,Rebound,,Platinum,0,EV1896901575,Save,Save_Rebound,Platinum,0,1.0,0.0,8.0,1.0,17.0,3.0,save,1,0,0,225.0,112.0,356.0,154.0,0,1.0,5.0,3.0,11.0,25.0,1000.0,0,0,1,0,2.0,1,1.0,4.0,26.0,52.0,0,,,,,0.0,0.0,112.0,-1.0,588.0,225.0,37.0,58.0,1046.0,1222.99,,,,,1311.99,737.0,2858.9700000000003,,,,1134.495,1046.0,1222.99,1635.986666666667,737.0,2858.9700000000003
