sequence_key,sequence_id,game_id,season_id,period,period_id,first_event_key,last_event_key,event_count,start_min,start_sec,duration_seconds,video_time_start,video_time_end,time_bucket_id,strength_id,home_team,home_team_id,away_team,away_team_id,start_zone,end_zone,start_zone_id,end_zone_id,event_types,has_goal,goal_count,shot_count,zone_entry_count,zone_exit_count,pass_count,pass_success_count,pass_success_rate,turnover_count,giveaway_count,takeaway_count,unique_player_count,player_ids
SQ1896900002,SQ1896900002,18969,N20252026F,1,P01,EV1896901001,EV1896901047,33,18.0,0.0,39.0,120.0,235.0,TB01,STR01,Platinum,N10008,Velodrome,N10010,Neutral,Offensive,,,"Faceoff,Pass,Zone_Entry_Exit,Possession,Zone_Entry_Exit,Shot,Possession,Possession,Pass,Turnover,Possession,Pass,Zone_Entry_Exit,Possession,Possession,Zone_Entry_Exit,Possession,Turnover,Possession,Shot,Possession,Pass,Shot,Save,Rebound,Possession,Zone_Entry_Exit,Possession,Shot,Save,Rebound,Possession,Possession",False,0,4,2,3,4,0,0.0,2,1,1,13,"P100001,P100016,P100022,P100023,P100024,P100025,P100030,P100070,P100093,P100108,P100161,P100192,P100224"
SQ1896900001,SQ1896900001,18969,N20252026F,1,P01,EV1896901002,EV1896901007,6,17.0,59.0,10.0,121.0,139.0,TB01,STR01,Platinum,N10008,Velodrome,N10010,Neutral,Defensive,,,"Pass,Possession,Pass,Zone_Entry_Exit,Turnover,Possession",False,0,0,1,0,2,0,0.0,1,1,0,4,"P100024,P100025,P100030,P100070"
SQ1896900005,SQ1896900005,18969,N20252026F,1,P01,EV1896901025,EV1896901164,69,17.0,2.0,51.0,178.0,443.0,TB01,STR01,Platinum,N10008,Velodrome,N10010,Defensive,Neutral,,,"Turnover,Possession,Shot,Pass,Pass,Pass,Possession,Pass,Possession,Pass,Zone_Entry_Exit,Possession,Pass,Possession,Pass,Zone_Entry_Exit,Turnover,Possession,Pass,Zone_Entry_Exit,Possession,Zone_Entry_Exit,Turnover,Possession,Pass,Zone_Entry_Exit,Turnover,Possession,Pass,Possession,Zone_Entry_Exit,Turnover,Possession,Pass,Possession,Turnover,Possession,Possession,Pass,Turnover,Possession,Turnover,Possession,Zone_Entry_Exit,Pass,Turnover,Possession,Possession,Pass,Zone_Entry_Exit,Possession,Zone_Entry_Exit,Turnover,Zone_Entry_Exit,Possession,Turnover,Possession,Play,Possession,Play,Possession,Zone_Entry_Exit,Shot,Pass,Possession,Pass,Zone_Entry_Exit,Turnover,Pass",False,0,2,4,7,17,0,0.0,12,10,2,19,"P100001,P100002,P100022,P100023,P100039,P100064,P100093,P100105,P100107,P100108,P100110,P100117,P100132,P100192,P100198,P100201,P100210,P100222,P100224"
SQ1896900004,SQ1896900004,18969,N20252026F,1,P01,EV1896901040,EV1896901040,1,16.0,35.0,0.0,205.0,205.0,TB01,STR01,Platinum,N10008,Velodrome,N10010,Neutral,Neutral,,,Stoppage,False,0,0,0,0,0,0,,0,0,0,1,P100001
SQ1896900003,SQ1896900003,18969,N20252026F,1,P01,EV1896901041,EV1896901042,2,16.0,35.0,21.0,205.0,226.0,TB01,STR01,Platinum,N10008,Velodrome,N10010,Neutral,Offensive,,,"DeadIce,Faceoff",False,0,0,0,0,0,0,,0,0,0,3,"P100001,P100023,P100117"
SQ1896900011,SQ1896900011,18969,N20252026F,1,P01,EV1896901061,EV1896901661,10,15.0,42.0,8.0,258.0,1624.0,TB01,STR01,Platinum,N10008,Velodrome,N10010,Defensive,Neutral,,,"Pass,Shot,Possession,Possession,Turnover,Possession,Shot,Turnover,Possession,Possession",False,0,2,0,0,1,0,0.0,2,2,0,7,"P100002,P100023,P100039,P100107,P100117,P100198,P100201"
SQ1896900008,SQ1896900008,18969,N20252026F,1,P01,EV1896901062,EV1896901660,60,15.0,41.0,56.0,259.0,1619.0,TB01,STR01,Platinum,N10008,Velodrome,N10010,Defensive,Neutral,,,"Possession,Possession,Zone_Entry_Exit,Turnover,Zone_Entry_Exit,Turnover,Possession,Pass,Turnover,Possession,Pass,Save,Rebound,Turnover,Zone_Entry_Exit,Possession,Shot,Save,Rebound,Possession,Pass,Possession,Turnover,Possession,Possession,Pass,Possession,Zone_Entry_Exit,Shot,Turnover,Pass,Zone_Entry_Exit,Pass,Zone_Entry_Exit,Shot,Save,Rebound,Possession,Zone_Entry_Exit,Possession,Zone_Entry_Exit,Possession,Pass,Turnover,Possession,Turnover,Turnover,Turnover,Possession,Pass,Possession,Pass,Possession,Goal,Save,Zone_Entry_Exit,Possession,Zone_Entry_Exit,Possession,Pass",True,1,3,4,3,10,0,0.0,10,5,4,21,"P100001,P100002,P100016,P100024,P100025,P100030,P100064,P100070,P100105,P100107,P100108,P100110,P100117,P100132,P100192,P100198,P100201,P100202,P100210,P100222,P100224"
SQ1896900007,SQ1896900007,18969,N20252026F,1,P01,EV1896901104,EV1896901104,1,14.0,31.0,0.0,329.0,329.0,TB02,STR01,Platinum,N10008,Velodrome,N10010,Neutral,Neutral,,,Stoppage,False,0,0,0,0,0,0,,0,0,0,1,P100105
SQ1896900006,SQ1896900006,18969,N20252026F,1,P01,EV1896901105,EV1896901106,2,14.0,31.0,23.0,329.0,352.0,TB02,STR01,Platinum,N10008,Velodrome,N10010,Neutral,Defensive,,,"DeadIce,Faceoff",False,0,0,0,0,0,0,,0,0,0,2,"P100001,P100105"
SQ1896900009,SQ1896900009,18969,N20252026F,1,P01,EV1896901115,EV1896901192,20,13.0,56.0,33.0,364.0,513.0,TB02,STR01,Platinum,N10008,Velodrome,N10010,Offensive,Offensive,,,"Possession,Turnover,Possession,Turnover,Zone_Entry_Exit,Possession,Turnover,Possession,Possession,Possession,Pass,Shot,Save,Rebound,Possession,Pass,Possession,Pass,Pass,DeadIce",False,0,1,0,0,4,0,0.0,3,2,1,9,"P100016,P100023,P100024,P100030,P100064,P100108,P100117,P100132,P100222"
