shift_quality_key,game_id,player_id,shift_index,shift_duration,period,quality_score,shift_quality,strength
SQ_18969_P100001_1,18969,P100001,1,82.0,1,0.45,average,5v5
SQ_18969_P100001_7,18969,P100001,7,102.0,1,0.45,average,5v5
SQ_18969_P100001_8,18969,P100001,8,7.0,1,0.45,average,5v5
SQ_18969_P100001_9,18969,P100001,9,16.0,1,0.45,average,5v5
SQ_18969_P100001_10,18969,P100001,10,9.0,1,0.45,average,5v5
SQ_18969_P100001_11,18969,P100001,11,25.0,1,0.45,average,5v5
SQ_18969_P100001_17,18969,P100001,17,6.0,1,0.45,average,5v5
SQ_18969_P100001_18,18969,P100001,18,7.0,1,0.45,average,5v5
SQ_18969_P100001_19,18969,P100001,19,14.0,1,0.45,average,5v5
SQ_18969_P100001_20,18969,P100001,20,18.0,1,0.45,average,5v5
SQ_18969_P100001_21,18969,P100001,21,56.0,1,0.75,good,5v5
SQ_18969_P100001_22,18969,P100001,22,57.0,1,0.75,good,5v5
SQ_18969_P100001_27,18969,P100001,27,65.0,1,0.6,good,5v5
SQ_18969_P100001_28,18969,P100001,28,78.0,1,0.6,good,5v5
SQ_18969_P100001_29,18969,P100001,29,58.99,1,0.75,good,5v5
SQ_18969_P100001_34,18969,P100001,34,67.0,2,0.6,good,5v5
SQ_18969_P100001_35,18969,P100001,35,19.0,2,0.45,average,5v5
SQ_18969_P100001_36,18969,P100001,36,33.0,2,0.6,good,5v5
SQ_18969_P100001_40,18969,P100001,40,20.0,2,0.45,average,5v5
SQ_18969_P100001_41,18969,P100001,41,4.0,2,0.45,average,5v5
SQ_18969_P100001_42,18969,P100001,42,29.0,2,0.45,average,5v5
SQ_18969_P100001_43,18969,P100001,43,38.0,2,0.6,good,5v5
SQ_18969_P100001_44,18969,P100001,44,27.0,2,0.45,average,5v5
SQ_18969_P100001_53,18969,P100001,53,124.0,2,0.45,average,5v5
SQ_18969_P100001_54,18969,P100001,54,16.0,2,0.45,average,5v5
SQ_18969_P100001_55,18969,P100001,55,14.0,2,0.45,average,5v5
SQ_18969_P100001_56,18969,P100001,56,13.0,2,0.45,average,5v5
SQ_18969_P100001_63,18969,P100001,63,93.99,2,0.45,average,4v5
SQ_18969_P100001_65,18969,P100001,65,35.0,3,0.6,good,4v5
SQ_18969_P100001_66,18969,P100001,66,48.0,3,0.75,good,5v5
SQ_18969_P100001_67,18969,P100001,67,52.0,3,0.75,good,5v5
SQ_18969_P100001_68,18969,P100001,68,16.0,3,0.45,average,5v5
SQ_18969_P100001_69,18969,P100001,69,17.0,3,0.45,average,5v5
SQ_18969_P100001_74,18969,P100001,74,73.0,3,0.6,good,5v5
SQ_18969_P100001_75,18969,P100001,75,13.0,3,0.45,average,5v5
SQ_18969_P100001_80,18969,P100001,80,11.0,3,0.45,average,5v5
SQ_18969_P100001_81,18969,P100001,81,50.0,3,0.75,good,5v5
SQ_18969_P100001_82,18969,P100001,82,2.0,3,0.45,average,5v5
SQ_18969_P100001_83,18969,P100001,83,34.0,3,0.6,good,5v5
