shift_id,game_id,shift_index,period,shift_start_type,shift_stop_type,shift_start_min,shift_start_sec,shift_end_min,shift_end_sec,home_team,away_team,home_forward_1,home_forward_2,home_forward_3,home_defense_1,home_defense_2,home_xtra,home_goalie,away_forward_1,away_forward_2,away_forward_3,away_defense_1,away_defense_2,away_xtra,away_goalie,shift_duration,home_team_strength,away_team_strength,home_team_en,away_team_en,home_team_pk,home_team_pp,away_team_pp,away_team_pk,situation,strength,home_goals,away_goals,stoppage_time,shift_start_total_seconds,shift_end_total_seconds,period_id,home_team_id,away_team_id,season_id,time_bucket_id,strength_id,shift_start_type_derived,shift_stop_type_derived,start_zone,end_zone,start_zone_id,end_zone_id,home_forward_1_id,home_forward_2_id,home_forward_3_id,home_defense_1_id,home_defense_2_id,home_xtra_id,home_goalie_id,away_forward_1_id,away_forward_2_id,away_forward_3_id,away_defense_1_id,away_defense_2_id,away_xtra_id,away_goalie_id,home_avg_rating,home_min_rating,home_max_rating,away_avg_rating,away_min_rating,away_max_rating,rating_differential,home_rating_advantage,home_gf_all,home_ga_all,away_gf_all,away_ga_all,home_gf_ev,home_ga_ev,away_gf_ev,away_ga_ev,home_gf_nen,home_ga_nen,away_gf_nen,away_ga_nen,home_gf_pp,home_ga_pp,away_gf_pp,away_ga_pp,home_gf_pk,home_ga_pk,away_gf_pk,away_ga_pk,home_pm_all,away_pm_all,home_pm_ev,away_pm_ev,home_pm_nen,away_pm_nen,home_pm_pp,away_pm_pp,home_pm_pk,away_pm_pk,game_state,score_differential,is_close_game,sf,sa,shot_diff,cf,ca,cf_pct,ff,fa,ff_pct,scf,sca,hdf,hda,home_zone_entries,away_zone_entries,home_zone_exits,away_zone_exits,home_giveaways,away_giveaways,home_bad_giveaways,away_bad_giveaways,home_takeaways,away_takeaways,fo_won,fo_lost,fo_pct,event_count,shift_start_type_id,shift_stop_type_id,situation_id,shift_key,shift_duration_id
SH1896900001,18969,1,1,GameStart,Away Icing,18.0,0.0,16.0,38.0,Platinum,Velodrome,53.0,20.0,12.0,8.0,21.0,,99.0,70.0,75.0,49.0,52.0,22.0,,39.0,82.0,5,5,0,0,0,0,0,0,Full Strength,5v5,0,0,0,1080.0,998.0,P01,N10008,N10010,N20252026F,TB01,STR0001,GameStart,Away Icing,Neutral,Neutral,ZN03,ZN03,,,,,,,,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,home_leading,1,True,1.0,0.0,1.0,3.0,1.0,75.0,2.0,0.0,100.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0,39.0,SST0001,SPT0001,SIT0001,SH1896900001,SD04
SH1896900002,18969,2,1,OtherFaceoff,,16.0,38.0,15.0,19.0,Platinum,Velodrome,45.0,82.0,34.0,3.0,78.0,,99.0,42.0,91.0,61.0,84.0,93.0,,39.0,79.0,5,5,0,0,0,0,0,0,Full Strength,5v5,0,0,21,998.0,919.0,P01,N10008,N10010,N20252026F,TB01,STR0001,OtherFaceoff,Stoppage,Defensive,Neutral,ZN02,ZN03,,,,,,,,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,home_leading,2,False,1.0,0.0,1.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,100.0,38.0,SST0002,SPT0002,SIT0001,SH1896900002,SD04
SH1896900003,18969,3,1,OnTheFly,,15.0,19.0,15.0,10.0,Platinum,Velodrome,45.0,47.0,34.0,3.0,78.0,,99.0,42.0,91.0,61.0,84.0,9.0,,39.0,9.0,5,5,0,0,0,0,0,0,Full Strength,5v5,0,0,0,919.0,910.0,P01,N10008,N10010,N20252026F,TB01,STR0001,OnTheFly,OnTheFly,Defensive,Defensive,ZN02,ZN02,,,,,,,,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,home_leading,2,False,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,SST0003,SPT0003,SIT0001,SH1896900003,SD01
SH1896900004,18969,4,1,OnTheFly,,15.0,10.0,14.0,41.0,Platinum,Velodrome,45.0,47.0,34.0,3.0,78.0,,99.0,42.0,91.0,61.0,52.0,9.0,,39.0,29.0,5,5,0,0,0,0,0,0,Full Strength,5v5,0,0,0,910.0,881.0,P01,N10008,N10010,N20252026F,TB01,STR0001,OnTheFly,OnTheFly,Offensive,Offensive,ZN01,ZN01,,,,,,,,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,home_leading,2,False,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,SST0003,SPT0003,SIT0001,SH1896900004,SD01
SH1896900005,18969,5,1,OnTheFly,,14.0,41.0,14.0,37.0,Platinum,Velodrome,53.0,47.0,34.0,3.0,78.0,,99.0,42.0,91.0,61.0,52.0,9.0,,39.0,4.0,5,5,0,0,0,0,0,0,Full Strength,5v5,0,0,0,881.0,877.0,P01,N10008,N10010,N20252026F,TB02,STR0001,OnTheFly,OnTheFly,Defensive,Defensive,ZN02,ZN02,,,,,,,,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,home_leading,2,False,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,SST0003,SPT0003,SIT0001,SH1896900005,SD01
SH1896900006,18969,6,1,OnTheFly,Away Icing,14.0,37.0,14.0,29.0,Platinum,Velodrome,53.0,47.0,86.0,3.0,78.0,,99.0,42.0,91.0,61.0,52.0,9.0,,39.0,8.0,5,5,0,0,0,0,0,0,Full Strength,5v5,0,0,0,877.0,869.0,P01,N10008,N10010,N20252026F,TB02,STR0001,OnTheFly,Away Icing,Neutral,Neutral,ZN03,ZN03,,,,,,,,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,home_leading,2,False,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,SST0003,SPT0001,SIT0001,SH1896900006,SD01
SH1896900007,18969,7,1,OtherFaceoff,,14.0,29.0,12.0,47.0,Platinum,Velodrome,53.0,47.0,86.0,8.0,3.0,,99.0,70.0,14.0,55.0,52.0,9.0,,39.0,102.0,5,5,0,0,0,0,0,0,Full Strength,5v5,0,0,0,869.0,767.0,P01,N10008,N10010,N20252026F,TB02,STR0001,OtherFaceoff,OnTheFly,Offensive,Defensive,ZN01,ZN02,,,,,,,,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,home_leading,2,False,2.0,0.0,2.0,3.0,0.0,100.0,3.0,0.0,100.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,52.0,SST0002,SPT0003,SIT0001,SH1896900007,SD05
SH1896900008,18969,8,1,OnTheFly,,12.0,47.0,12.0,40.0,Platinum,Velodrome,53.0,47.0,86.0,8.0,3.0,,99.0,70.0,14.0,55.0,22.0,84.0,,39.0,7.0,5,5,0,0,0,0,0,0,Full Strength,5v5,0,0,0,767.0,760.0,P01,N10008,N10010,N20252026F,TB02,STR0001,OnTheFly,OnTheFly,Neutral,Offensive,ZN03,ZN01,,,,,,,,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,home_leading,2,False,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,SST0003,SPT0003,SIT0001,SH1896900008,SD01
SH1896900009,18969,9,1,OnTheFly,,12.0,40.0,12.0,24.0,Platinum,Velodrome,53.0,47.0,20.0,78.0,3.0,,99.0,70.0,14.0,55.0,22.0,84.0,,39.0,16.0,5,5,0,0,0,0,0,0,Full Strength,5v5,0,0,0,760.0,744.0,P01,N10008,N10010,N20252026F,TB02,STR0001,OnTheFly,OnTheFly,Offensive,Neutral,ZN01,ZN03,,,,,,,,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,home_leading,2,False,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,SST0003,SPT0003,SIT0001,SH1896900009,SD01
SH1896900010,18969,10,1,OnTheFly,,12.0,24.0,12.0,15.0,Platinum,Velodrome,45.0,47.0,20.0,78.0,3.0,,99.0,70.0,14.0,55.0,22.0,84.0,,39.0,9.0,5,5,0,0,0,0,0,0,Full Strength,5v5,0,0,0,744.0,735.0,P01,N10008,N10010,N20252026F,TB02,STR0001,OnTheFly,OnTheFly,Offensive,Offensive,ZN01,ZN01,,,,,,,,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,home_leading,2,False,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,SST0003,SPT0003,SIT0001,SH1896900010,SD01
