shift_player_key,shift_key,game_id,shift_index,player_number,player_id,player_name,venue,slot,period,shift_duration,playing_duration,situation,strength,stoppage_time,pm_plus_ev,pm_minus_ev,goal_for,goal_against,team_en,opp_en,logical_shift_number,period_id,venue_id,strength_id,situation_id,slot_id,team_id
L18969000111,S18969000001,18969,1,70,P100001,Sam Downs,away,forward_1,1.0,82.0,82.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0003,N10010
L18969000711,S18969000007,18969,7,70,P100001,Sam Downs,away,forward_1,1.0,102.0,102.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0003,N10010
L18969000811,S18969000008,18969,8,70,P100001,Sam Downs,away,forward_1,1.0,7.0,7.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0003,N10010
L18969000911,S18969000009,18969,9,70,P100001,Sam Downs,away,forward_1,1.0,16.0,16.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0003,N10010
L18969001011,S18969000010,18969,10,70,P100001,Sam Downs,away,forward_1,1.0,9.0,9.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0003,N10010
L18969001111,S18969000011,18969,11,70,P100001,Sam Downs,away,forward_1,1.0,25.0,25.0,Full Strength,5v5,0.0,0.0,-1.0,0,1,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0003,N10010
L18969001711,S18969000017,18969,17,70,P100001,Sam Downs,away,forward_1,1.0,6.0,6.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,2,P0001,VN0002,STR0001,SIT0003,SL0003,N10010
L18969001811,S18969000018,18969,18,70,P100001,Sam Downs,away,forward_1,1.0,7.0,7.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,2,P0001,VN0002,STR0001,SIT0003,SL0003,N10010
L18969001911,S18969000019,18969,19,70,P100001,Sam Downs,away,forward_1,1.0,14.0,14.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,2,P0001,VN0002,STR0001,SIT0003,SL0003,N10010
L18969002011,S18969000020,18969,20,70,P100001,Sam Downs,away,forward_1,1.0,18.0,18.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,2,P0001,VN0002,STR0001,SIT0003,SL0003,N10010
L18969002111,S18969000021,18969,21,70,P100001,Sam Downs,away,forward_1,1.0,56.0,56.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,2,P0001,VN0002,STR0001,SIT0003,SL0003,N10010
L18969002211,S18969000022,18969,22,70,P100001,Sam Downs,away,forward_1,1.0,57.0,57.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,2,P0001,VN0002,STR0001,SIT0003,SL0003,N10010
L18969002711,S18969000027,18969,27,70,P100001,Sam Downs,away,forward_1,1.0,65.0,45.0,Full Strength,5v5,20.0,0.0,0.0,0,0,0.0,0.0,3,P0001,VN0002,STR0001,SIT0003,SL0003,N10010
L18969002811,S18969000028,18969,28,70,P100001,Sam Downs,away,forward_1,1.0,78.0,58.0,Full Strength,5v5,20.0,0.0,0.0,0,0,0.0,0.0,3,P0001,VN0002,STR0001,SIT0003,SL0003,N10010
L18969002911,S18969000029,18969,29,70,P100001,Sam Downs,away,forward_1,1.0,59.0,59.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,3,P0001,VN0002,STR0001,SIT0003,SL0003,N10010
L18969003411,S18969000034,18969,34,70,P100001,Sam Downs,away,forward_1,2.0,67.0,47.0,Full Strength,5v5,20.0,0.0,0.0,0,0,0.0,0.0,4,P0002,VN0002,STR0001,SIT0003,SL0003,N10010
L18969003511,S18969000035,18969,35,70,P100001,Sam Downs,away,forward_1,2.0,19.0,19.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,4,P0002,VN0002,STR0001,SIT0003,SL0003,N10010
L18969003611,S18969000036,18969,36,70,P100001,Sam Downs,away,forward_1,2.0,33.0,33.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,4,P0002,VN0002,STR0001,SIT0003,SL0003,N10010
L18969004011,S18969000040,18969,40,70,P100001,Sam Downs,away,forward_1,2.0,20.0,20.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,5,P0002,VN0002,STR0001,SIT0003,SL0003,N10010
L18969004111,S18969000041,18969,41,70,P100001,Sam Downs,away,forward_1,2.0,4.0,4.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,5,P0002,VN0002,STR0001,SIT0003,SL0003,N10010
L18969004211,S18969000042,18969,42,70,P100001,Sam Downs,away,forward_1,2.0,29.0,29.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,5,P0002,VN0002,STR0001,SIT0003,SL0003,N10010
L18969004311,S18969000043,18969,43,70,P100001,Sam Downs,away,forward_1,2.0,38.0,38.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,5,P0002,VN0002,STR0001,SIT0003,SL0003,N10010
L18969004411,S18969000044,18969,44,70,P100001,Sam Downs,away,forward_1,2.0,27.0,27.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,5,P0002,VN0002,STR0001,SIT0003,SL0003,N10010
L18969005311,S18969000053,18969,53,70,P100001,Sam Downs,away,forward_1,2.0,124.0,75.0,Full Strength,5v5,49.0,0.0,0.0,0,0,0.0,0.0,6,P0002,VN0002,STR0001,SIT0003,SL0003,N10010
L18969005411,S18969000054,18969,54,70,P100001,Sam Downs,away,forward_1,2.0,16.0,16.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,6,P0002,VN0002,STR0001,SIT0003,SL0003,N10010
L18969005511,S18969000055,18969,55,70,P100001,Sam Downs,away,forward_1,2.0,14.0,14.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,6,P0002,VN0002,STR0001,SIT0003,SL0003,N10010
L18969005611,S18969000056,18969,56,70,P100001,Sam Downs,away,forward_1,2.0,13.0,13.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,6,P0002,VN0002,STR0001,SIT0003,SL0003,N10010
L18969006311,S18969000063,18969,63,70,P100001,Sam Downs,away,forward_1,2.0,94.0,70.0,Away PowerPlay,4v5,24.0,0.0,0.0,0,0,0.0,0.0,7,P0002,VN0002,STR0004,SIT0002,SL0003,N10010
L18969006511,S18969000065,18969,65,70,P100001,Sam Downs,away,forward_1,3.0,35.0,35.0,Away PowerPlay,4v5,0.0,0.0,0.0,1,0,0.0,0.0,8,P0003,VN0002,STR0004,SIT0002,SL0003,N10010
L18969006611,S18969000066,18969,66,70,P100001,Sam Downs,away,forward_1,3.0,48.0,48.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,8,P0003,VN0002,STR0001,SIT0003,SL0003,N10010
L18969006711,S18969000067,18969,67,70,P100001,Sam Downs,away,forward_1,3.0,52.0,41.0,Full Strength,5v5,11.0,0.0,0.0,0,0,0.0,0.0,8,P0003,VN0002,STR0001,SIT0003,SL0003,N10010
L18969006811,S18969000068,18969,68,70,P100001,Sam Downs,away,forward_1,3.0,16.0,16.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,8,P0003,VN0002,STR0001,SIT0003,SL0003,N10010
L18969006911,S18969000069,18969,69,70,P100001,Sam Downs,away,forward_1,3.0,17.0,17.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,8,P0003,VN0002,STR0001,SIT0003,SL0003,N10010
L18969007411,S18969000074,18969,74,70,P100001,Sam Downs,away,forward_1,3.0,73.0,73.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,9,P0003,VN0002,STR0001,SIT0003,SL0003,N10010
L18969007511,S18969000075,18969,75,70,P100001,Sam Downs,away,forward_1,3.0,13.0,13.0,Full Strength,5v5,0.0,0.0,-1.0,0,1,0.0,0.0,9,P0003,VN0002,STR0001,SIT0003,SL0003,N10010
L18969008011,S18969000080,18969,80,70,P100001,Sam Downs,away,forward_1,3.0,11.0,11.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,10,P0003,VN0002,STR0001,SIT0003,SL0003,N10010
L18969008111,S18969000081,18969,81,70,P100001,Sam Downs,away,forward_1,3.0,50.0,50.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,10,P0003,VN0002,STR0001,SIT0003,SL0003,N10010
L18969008211,S18969000082,18969,82,70,P100001,Sam Downs,away,forward_1,3.0,2.0,2.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,10,P0003,VN0002,STR0001,SIT0003,SL0003,N10010
L18969008311,S18969000083,18969,83,70,P100001,Sam Downs,away,forward_1,3.0,34.0,34.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,10,P0003,VN0002,STR0001,SIT0003,SL0003,N10010
L18969008411,S18969000084,18969,84,70,P100001,Sam Downs,away,forward_1,3.0,22.0,22.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,10,P0003,VN0002,STR0001,SIT0003,SL0003,N10010
L18969008511,S18969000085,18969,85,70,P100001,Sam Downs,away,forward_1,3.0,16.0,16.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,10,P0003,VN0002,STR0001,SIT0003,SL0003,N10010
L18969009011,S18969000090,18969,90,70,P100001,Sam Downs,away,forward_1,3.0,42.0,42.0,Full Strength,5v5,0.0,0.0,-1.0,0,1,0.0,0.0,11,P0003,VN0002,STR0001,SIT0003,SL0003,N10010
L18969009111,S18969000091,18969,91,70,P100001,Sam Downs,away,forward_1,3.0,69.0,39.0,Full Strength,5v5,30.0,0.0,0.0,0,0,0.0,0.0,11,P0003,VN0002,STR0001,SIT0003,SL0003,N10010
L18969009211,S18969000092,18969,92,70,P100001,Sam Downs,away,forward_1,3.0,15.0,15.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,11,P0003,VN0002,STR0001,SIT0003,SL0003,N10010
L18969009311,S18969000093,18969,93,70,P100001,Sam Downs,away,forward_1,3.0,9.0,9.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,11,P0003,VN0002,STR0001,SIT0003,SL0003,N10010
L18969009411,S18969000094,18969,94,70,P100001,Sam Downs,away,forward_1,3.0,15.0,15.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,11,P0003,VN0002,STR0001,SIT0003,SL0003,N10010
L18969009511,S18969000095,18969,95,70,P100001,Sam Downs,away,forward_1,3.0,10.0,10.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,11,P0003,VN0002,STR0001,SIT0003,SL0003,N10010
L18969009711,S18969000097,18969,97,70,P100001,Sam Downs,away,forward_1,3.0,24.0,24.0,Away EmptyNet,5v6 Away EN,0.0,0.0,0.0,0,0,1.0,0.0,12,P0003,VN0002,STR0014,SIT0001,SL0003,N10010
L18969009811,S18969000098,18969,98,70,P100001,Sam Downs,away,forward_1,3.0,58.0,58.0,Away EmptyNet,5v5 Away EN,0.0,0.0,0.0,0,0,1.0,0.0,12,P0003,VN0002,STR0013,SIT0001,SL0003,N10010
L18969000212,S18969000002,18969,2,91,P100002,Kevin White,away,forward_2,1.0,79.0,58.0,Full Strength,5v5,21.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0004,N10010
L18969000312,S18969000003,18969,3,91,P100002,Kevin White,away,forward_2,1.0,9.0,9.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0004,N10010
L18969000412,S18969000004,18969,4,91,P100002,Kevin White,away,forward_2,1.0,29.0,29.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0004,N10010
L18969000512,S18969000005,18969,5,91,P100002,Kevin White,away,forward_2,1.0,4.0,4.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0004,N10010
L18969000612,S18969000006,18969,6,91,P100002,Kevin White,away,forward_2,1.0,8.0,8.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0004,N10010
L18969001813,S18969000018,18969,18,91,P100002,Kevin White,away,forward_3,1.0,7.0,7.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,2,P0001,VN0002,STR0001,SIT0003,SL0005,N10010
L18969001913,S18969000019,18969,19,91,P100002,Kevin White,away,forward_3,1.0,14.0,14.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,2,P0001,VN0002,STR0001,SIT0003,SL0005,N10010
L18969002013,S18969000020,18969,20,91,P100002,Kevin White,away,forward_3,1.0,18.0,18.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,2,P0001,VN0002,STR0001,SIT0003,SL0005,N10010
L18969002113,S18969000021,18969,21,91,P100002,Kevin White,away,forward_3,1.0,56.0,56.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,2,P0001,VN0002,STR0001,SIT0003,SL0005,N10010
L18969002813,S18969000028,18969,28,91,P100002,Kevin White,away,forward_3,1.0,78.0,58.0,Full Strength,5v5,20.0,0.0,0.0,0,0,0.0,0.0,3,P0001,VN0002,STR0001,SIT0003,SL0005,N10010
L18969002913,S18969000029,18969,29,91,P100002,Kevin White,away,forward_3,1.0,59.0,59.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,3,P0001,VN0002,STR0001,SIT0003,SL0005,N10010
L18969003713,S18969000037,18969,37,91,P100002,Kevin White,away,forward_3,2.0,95.0,79.0,Full Strength,5v5,16.0,0.0,0.0,0,0,0.0,0.0,4,P0002,VN0002,STR0001,SIT0003,SL0005,N10010
L18969003813,S18969000038,18969,38,91,P100002,Kevin White,away,forward_3,2.0,11.0,11.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,4,P0002,VN0002,STR0001,SIT0003,SL0005,N10010
L18969004912,S18969000049,18969,49,91,P100002,Kevin White,away,forward_2,2.0,3.0,3.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,5,P0002,VN0002,STR0001,SIT0003,SL0004,N10010
L18969005012,S18969000050,18969,50,91,P100002,Kevin White,away,forward_2,2.0,18.0,18.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,5,P0002,VN0002,STR0001,SIT0003,SL0004,N10010
L18969005112,S18969000051,18969,51,91,P100002,Kevin White,away,forward_2,2.0,39.0,39.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,5,P0002,VN0002,STR0001,SIT0003,SL0004,N10010
L18969005212,S18969000052,18969,52,91,P100002,Kevin White,away,forward_2,2.0,8.0,8.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,5,P0002,VN0002,STR0001,SIT0003,SL0004,N10010
