shift_player_key,shift_key,game_id,player_id,player_name,shift_index,venue,slot,period,player_number,shift_duration,shift_start_total_seconds,shift_end_total_seconds,shift_start_type,shift_stop_type,stoppage_time,plus,minus,home_goal_this_shift,away_goal_this_shift,goals_for_this_shift,goals_against_this_shift,strength,situation,team_id,team_name,logical_shift_number,shift_segment,cumulative_shift_duration,running_toi,playing_duration,running_playing_toi
SP18969000013773,S1896900001,18969,P100001,Sam Downs,1,away,forward_1,1.0,70.0,82.0,1080.0,998.0,GameStart,Away Icing,0.0,0.0,0.0,0,0,0,0,5v5,Full Strength,N10010,Velodrome,1,1,82.0,82.0,82.0,82.0
SP18969000073773,S1896900007,18969,P100001,Sam Downs,7,away,forward_1,1.0,70.0,102.0,869.0,767.0,OtherFaceoff,,0.0,0.0,0.0,0,0,0,0,5v5,Full Strength,N10010,Velodrome,2,1,102.0,184.0,102.0,184.0
SP18969000083773,S1896900008,18969,P100001,Sam Downs,8,away,forward_1,1.0,70.0,7.0,767.0,760.0,,,0.0,0.0,0.0,0,0,0,0,5v5,Full Strength,N10010,Velodrome,2,2,109.0,191.0,7.0,191.0
SP18969000093773,S1896900009,18969,P100001,Sam Downs,9,away,forward_1,1.0,70.0,16.0,760.0,744.0,,,0.0,0.0,0.0,0,0,0,0,5v5,Full Strength,N10010,Velodrome,2,3,125.0,207.0,16.0,207.0
SP18969000103773,S1896900010,18969,P100001,Sam Downs,10,away,forward_1,1.0,70.0,9.0,744.0,735.0,,,0.0,0.0,0.0,0,0,0,0,5v5,Full Strength,N10010,Velodrome,2,4,134.0,216.0,9.0,216.0
SP18969000113773,S1896900011,18969,P100001,Sam Downs,11,away,forward_1,1.0,70.0,25.0,735.0,710.0,,Home Goal,0.0,0.0,-1.0,0,0,0,1,5v5,Full Strength,N10010,Velodrome,2,5,159.0,241.0,25.0,241.0
SP18969000173773,S1896900017,18969,P100001,Sam Downs,17,away,forward_1,1.0,70.0,6.0,542.0,536.0,,,0.0,0.0,0.0,0,0,0,0,5v5,Full Strength,N10010,Velodrome,3,1,6.0,247.0,6.0,247.0
SP18969000183773,S1896900018,18969,P100001,Sam Downs,18,away,forward_1,1.0,70.0,7.0,536.0,529.0,,,0.0,0.0,0.0,0,0,0,0,5v5,Full Strength,N10010,Velodrome,3,2,13.0,254.0,7.0,254.0
SP18969000193773,S1896900019,18969,P100001,Sam Downs,19,away,forward_1,1.0,70.0,14.0,529.0,515.0,,,0.0,0.0,0.0,0,0,0,0,5v5,Full Strength,N10010,Velodrome,3,3,27.0,268.0,14.0,268.0
SP18969000203773,S1896900020,18969,P100001,Sam Downs,20,away,forward_1,1.0,70.0,18.0,515.0,497.0,,Away Icing,0.0,0.0,0.0,0,0,0,0,5v5,Full Strength,N10010,Velodrome,3,4,45.0,286.0,18.0,286.0
SP18969000213773,S1896900021,18969,P100001,Sam Downs,21,away,forward_1,1.0,70.0,56.0,497.0,441.0,OtherFaceoff,Puck Out of Play,0.0,0.0,0.0,0,0,0,0,5v5,Full Strength,N10010,Velodrome,3,5,101.0,342.0,56.0,342.0
SP18969000223773,S1896900022,18969,P100001,Sam Downs,22,away,forward_1,1.0,70.0,57.0,441.0,384.0,OtherFaceoff,,0.0,0.0,0.0,0,0,0,0,5v5,Full Strength,N10010,Velodrome,3,6,158.0,399.0,57.0,399.0
SP18969000273773,S1896900027,18969,P100001,Sam Downs,27,away,forward_1,1.0,70.0,65.0,202.0,137.0,OtherFaceoff,Away Icing,20.0,0.0,0.0,0,0,0,0,5v5,Full Strength,N10010,Velodrome,4,1,65.0,464.0,45.0,444.0
SP18969000283773,S1896900028,18969,P100001,Sam Downs,28,away,forward_1,1.0,70.0,78.0,137.0,59.0,,Puck Out of Play,20.0,0.0,0.0,0,0,0,0,5v5,Full Strength,N10010,Velodrome,4,2,143.0,542.0,58.0,502.0
