shift_id,game_id,shift_index,Period,shift_start_min,shift_start_sec,shift_end_min,shift_end_sec,shift_start_type,shift_stop_type,home_forward_1,home_forward_2,home_forward_3,home_defense_1,home_defense_2,home_xtra,home_goalie,away_forward_1,away_forward_2,away_forward_3,away_defense_1,away_defense_2,away_xtra,away_goalie,stoppage_time,home_ozone_start,home_ozone_end,home_dzone_start,home_dzone_end,home_nzone_start,home_nzone_end,home_team,away_team,shift_start_total_seconds,shift_end_total_seconds,shift_duration,home_team_strength,away_team_strength,home_team_en,away_team_en,home_team_pk,home_team_pp,away_team_pp,away_team_pk,situation,strength,home_goals,away_goals,home_team_plus,home_team_minus,away_team_plus,away_team_minus,period_start_total_running_seconds,running_video_time,shift_start_running_time,shift_end_running_time
S_18969_1,18969,1,1,18,00,16,38,GameStart,Away Icing,53,20,12,8,21,,99,70,75,49,52,22,,39,0,0,1,,,1,,Platinum,Velodrome,1080,998,82,5,5,0,0,0,0,0,0,Full Strength,5v5,0,0,0,0,0,0,0,0,0,85
S_18969_2,18969,2,1,16,38,15,19,OtherFaceoff,,45,82,34,3,78,,99,42,91,61,84,93,,39,21,1,,,1,,,Platinum,Velodrome,998,919,79,5,5,0,0,0,0,0,0,Full Strength,5v5,0,0,0,0,0,0,0,82,77,159
S_18969_3,18969,3,1,15,19,15,10,,,45,47,34,3,78,,99,42,91,61,84,9,,39,0,,,1,1,,,Platinum,Velodrome,919,910,9,5,5,0,0,0,0,0,0,Full Strength,5v5,0,0,0,0,0,0,0,161,156,168
S_18969_4,18969,4,1,15,10,14,41,,,45,47,34,3,78,,99,42,91,61,52,9,,39,0,,,1,,,1,Platinum,Velodrome,910,881,29,5,5,0,0,0,0,0,0,Full Strength,5v5,0,0,0,0,0,0,0,170,165,197
S_18969_5,18969,5,1,14,41,14,37,,,53,47,34,3,78,,99,42,91,61,52,9,,39,0,,,,,1,1,Platinum,Velodrome,881,877,4,5,5,0,0,0,0,0,0,Full Strength,5v5,0,0,0,0,0,0,0,199,194,201
S_18969_6,18969,6,1,14,37,14,29,,Away Icing,53,47,86,3,78,,99,42,91,61,52,9,,39,0,,,,,1,1,Platinum,Velodrome,877,869,8,5,5,0,0,0,0,0,0,Full Strength,5v5,0,0,0,0,0,0,0,203,198,209
S_18969_7,18969,7,1,14,29,12,47,OtherFaceoff,,53,47,86,8,3,,99,70,14,55,52,9,,39,0,,,,1,1,,Platinum,Velodrome,869,767,102,5,5,0,0,0,0,0,0,Full Strength,5v5,0,0,0,0,0,0,0,211,206,311
S_18969_8,18969,8,1,12,47,12,40,,,53,47,86,8,3,,99,70,14,55,22,84,,39,0,,,1,,,1,Platinum,Velodrome,767,760,7,5,5,0,0,0,0,0,0,Full Strength,5v5,0,0,0,0,0,0,0,313,308,318
S_18969_9,18969,9,1,12,40,12,24,,,53,47,20,78,3,,99,70,14,55,22,84,,39,0,,1,,,1,,Platinum,Velodrome,760,744,16,5,5,0,0,0,0,0,0,Full Strength,5v5,0,0,0,0,0,0,0,320,315,334
S_18969_10,18969,10,1,12,24,12,15,,,45,47,20,78,3,,99,70,14,55,22,84,,39,0,1,1,,,,,Platinum,Velodrome,744,735,9,5,5,0,0,0,0,0,0,Full Strength,5v5,0,0,0,0,0,0,0,336,331,343
S_18969_11,18969,11,1,12,15,11,50,,Home Goal,45,12,20,78,3,,99,70,14,55,22,84,,39,0,1,1,,,,,Platinum,Velodrome,735,710,25,5,5,0,0,0,0,0,0,Full Strength,5v5,0,0,1,0,0,-1,0,345,340,368
S_18969_12,18969,12,1,11,50,11,15,FaceoffAfterGoal,Home Icing,45,12,20,78,3,,99,42,75,49,22,84,,39,23,,,,1,1,,Platinum,Velodrome,710,675,35,5,5,0,0,0,0,0,0,Full Strength,5v5,1,0,0,0,0,0,0,370,365,403
S_18969_13,18969,13,1,11,15,10,23,OtherFaceoff,Home Goalie Stopped (after Away SOG),45,12,20,78,3,,99,42,75,49,52,93,,39,0,,,1,1,,,Platinum,Velodrome,675,623,52,5,5,0,0,0,0,0,0,Full Strength,5v5,1,0,0,0,0,0,0,405,400,455
S_18969_14,18969,14,1,10,23,9,34,OtherFaceoff,,53,82,34,78,3,,99,42,75,49,52,93,,39,12,,,1,1,,,Platinum,Velodrome,623,574,49,5,5,0,0,0,0,0,0,Full Strength,5v5,1,0,0,0,0,0,0,457,452,504
S_18969_15,18969,15,1,9,34,9,25,,,53,82,34,8,3,,99,42,75,49,52,93,,39,0,,1,1,,,,Platinum,Velodrome,574,565,9,5,5,0,0,0,0,0,0,Full Strength,5v5,1,0,0,0,0,0,0,506,501,513
S_18969_16,18969,16,1,9,25,9,02,,,53,82,34,8,3,,99,42,61,49,52,93,,39,0,1,,,1,,,Platinum,Velodrome,565,542,23,5,5,0,0,0,0,0,0,Full Strength,5v5,1,0,0,0,0,0,0,515,510,536
S_18969_17,18969,17,1,9,02,8,56,,,53,82,34,8,3,,99,70,61,49,52,93,,39,0,,,1,,,1,Platinum,Velodrome,542,536,6,5,5,0,0,0,0,0,0,Full Strength,5v5,1,0,0,0,0,0,0,538,533,542
S_18969_18,18969,18,1,8,56,8,49,,,53,82,34,8,3,,99,70,61,91,9,93,,39,0,,1,,,1,,Platinum,Velodrome,536,529,7,5,5,0,0,0,0,0,0,Full Strength,5v5,1,0,0,0,0,0,0,544,539,549
S_18969_19,18969,19,1,8,49,8,35,,,53,82,34,8,21,,99,70,61,91,9,93,,39,0,1,,,,,1,Platinum,Velodrome,529,515,14,5,5,0,0,0,0,0,0,Full Strength,5v5,1,0,0,0,0,0,0,551,546,563
S_18969_20,18969,20,1,8,35,8,17,,Away Icing,53,47,34,8,21,,99,70,61,91,9,93,,39,0,,1,,,1,,Platinum,Velodrome,515,497,18,5,5,0,0,0,0,0,0,Full Strength,5v5,1,0,0,0,0,0,0,565,560,581
S_18969_21,18969,21,1,8,17,7,21,OtherFaceoff,Puck Out of Play,53,47,86,8,21,,99,70,61,91,9,84,,39,0,1,1,,,,,Platinum,Velodrome,497,441,56,5,5,0,0,0,0,0,0,Full Strength,5v5,1,0,0,0,0,0,0,583,578,637
S_18969_22,18969,22,1,7,21,6,24,OtherFaceoff,,45,12,86,8,21,,99,70,14,55,9,84,,39,0,1,,,1,,,Platinum,Velodrome,441,384,57,5,5,0,0,0,0,0,0,Full Strength,5v5,1,0,0,0,0,0,0,639,634,694
