chain_id,game_id,season_id,period,entry_event_key,shot_event_key,time_to_shot,pass_count,events_to_shot,touch_count,entry_type,shot_result,is_goal,team_id,team_name,home_team_id,away_team_id,home_team_name,away_team_name,event_types_chain,event_details_chain,entry_player_id,entry_player_name,shot_player_id,shot_player_name,sequence_key,play_key,zone_id,zone_entry_type_id,shot_result_detail_id,time_bucket_id,strength_id,shot_type_id
CH1896900001,18969,N20252026F,2,EV1896901498,EV1896901515,29.0,5,19,7,ZoneEntry_OppTeam,Shot_Missed,False,N10010,Velodrome,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Faceoff > Pass > Possession > Possession > Pass > Pass > Zone_Entry_Exit > Possession > Zone_Entry_Exit > Pass > Pass > Possession > Turnover > Possession > Zone_Entry_Exit > Possession > Zone_Entry_Exit > Shot,Zone_Entry > Faceoff_PeriodStart > Pass_Completed > PuckRecovery > Pass_Completed > Pass_Completed > Zone_Exit > Zone_Entry > Pass_Missed > Pass_Intercepted > PuckRecovery > Turnover_Giveaway > Zone_Exit > Zone_Entry > Shot_Missed,,Chris Premo,P100192,Chris Premo,SQ1896900052,PL1896905201,ZN01,ZE0008,ED0039,TB01,STR01,ST0001
CH1896900002,18969,N20252026F,3,EV1896902050,EV1896902067,31.0,4,21,8,ZoneEntry_PenaltyKillClear,Goal,True,N10010,Velodrome,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Possession > Zone_Entry_Exit > Pass > Possession > Zone_Entry_Exit > Turnover > Possession > Turnover > Zone_Entry_Exit > Possession > Pass > Possession > Pass > Possession > Pass > Stoppage > Faceoff > DeadIce > Shot > Goal,Zone_Entry > PuckRetrieval > Zone_Exit > Pass_Missed > PuckRecovery > Zone_Entry > Turnover_Takeaway > PuckRetrieval > Turnover_Giveaway > Zone_Keepin > PuckRetrieval > Pass_Completed > Pass_Completed > Pass_Completed > Stoppage_Play > Shot_Goal > Goal_Scored,P100023,Alex Considine,P100132,Nick Ciampoli,SQ1896900097,PL1896909702,ZN03,ZE0012,ED0006,TB01,STR01,ST0005
CH1896900003,18969,N20252026F,1,EV1896901005,EV1896901012,16.0,1,8,3,ZoneEntry_DumpIn,Shot_Blocked,False,N10010,Velodrome,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Turnover > Possession > Zone_Entry_Exit > Pass > Possession > Zone_Entry_Exit > Shot,Zone_Entry > Turnover_Giveaway > PuckRetrieval > Zone_Exit > Pass_Completed > Zone_Entry > Shot_Blocked,P100024,John Thien,P100161,John Thien,SQ1896900001,PL1896900102,ZN03,ZE0005,ED0035,TB01,STR01,ST0001
CH1896900004,18969,N20252026F,2,EV1896901506,EV1896901515,17.0,2,10,4,ZoneEntry_Carried,Shot_Missed,False,N10010,Velodrome,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Pass > Pass > Possession > Turnover > Possession > Zone_Entry_Exit > Possession > Zone_Entry_Exit > Shot,Zone_Entry > Pass_Missed > Pass_Intercepted > PuckRecovery > Turnover_Giveaway > Zone_Exit > Zone_Entry > Shot_Missed,P100201,Garrett Ashcroft,P100192,Chris Premo,SQ1896900054,PL1896905413,ZN01,ZE0001,ED0039,TB01,STR01,ST0001
CH1896900005,18969,N20252026F,3,EV1896902055,EV1896902067,16.0,3,16,7,ZoneEntry_Carried,Goal,True,N10010,Velodrome,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Turnover > Possession > Turnover > Zone_Entry_Exit > Possession > Pass > Possession > Pass > Possession > Pass > Stoppage > Faceoff > DeadIce > Shot > Goal,Zone_Entry > Turnover_Takeaway > PuckRetrieval > Turnover_Giveaway > Zone_Keepin > PuckRetrieval > Pass_Completed > Pass_Completed > Pass_Completed > Stoppage_Play > Shot_Goal > Goal_Scored,P100064,James Rynearson,P100132,Nick Ciampoli,SQ1896900093,PL1896909306,ZN01,ZE0001,ED0006,TB01,STR01,ST0005
CH1896900006,18969,N20252026F,1,EV1896901011,EV1896901012,4.0,0,2,1,ZoneEntry_Carried,Shot_Blocked,False,N10010,Velodrome,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Shot,Zone_Entry > Shot_Blocked,P100161,Galen Wood,P100161,John Thien,SQ1896900002,PL1896900206,ZN01,ZE0001,ED0035,TB01,STR01,ST0001
CH1896900007,18969,N20252026F,2,EV1896901514,EV1896901515,3.0,0,2,2,ZoneEntry_Pass,Shot_Missed,False,N10010,Velodrome,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Shot,Zone_Entry > Shot_Missed,P100027,Karen Zietlow,P100192,Chris Premo,SQ1896900054,PL1896905401,ZN01,ZE0010,ED0039,TB01,STR01,ST0001
CH1896900008,18969,N20252026F,2,EV1896901525,EV1896901539,29.0,2,16,5,ZoneEntry_Carried,Shot_Missed,False,N10010,Velodrome,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Possession > Possession > Turnover > Zone_Entry_Exit > Possession > Zone_Entry_Exit > Pass > Turnover > Possession > Zone_Entry_Exit > Possession > Zone_Entry_Exit > Possession > Shot > Pass,Zone_Entry > PuckRecovery > Turnover_Takeaway > Zone_Exit > Zone_Entry > Pass_Deflected > Turnover_Giveaway > PuckRetrieval > Zone_Exit > Zone_Entry > Shot_Missed > Pass_Completed,P100201,Garrett Ashcroft,P100064,James Rynearson,SQ1896900054,PL1896905407,ZN01,ZE0001,ED0039,TB01,STR01,
CH1896900009,18969,N20252026F,1,EV1896901022,EV1896901027,13.0,0,6,3,ZoneEntry_Carried,Shot_Missed,False,N10010,Velodrome,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Possession > Turnover > Turnover > Possession > Shot,Zone_Entry > Turnover_Takeaway > Turnover_Giveaway > PuckRetrieval > Shot_Missed,P100030,Jesse Chambless,P100192,Chris Premo,SQ1896900002,PL1896900201,ZN01,ZE0001,ED0039,TB01,STR01,ST0001
CH1896900010,18969,N20252026F,2,EV1896901530,EV1896901539,18.0,2,10,5,ZoneEntry_Carried,Shot_Missed,False,N10010,Velodrome,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Pass > Turnover > Possession > Zone_Entry_Exit > Possession > Zone_Entry_Exit > Possession > Shot > Pass,Zone_Entry > Pass_Deflected > Turnover_Giveaway > PuckRetrieval > Zone_Exit > Zone_Entry > Shot_Missed > Pass_Completed,P100023,Pat Major,P100064,James Rynearson,SQ1896900054,PL1896905412,ZN01,ZE0001,ED0039,TB01,STR01,
CH1896900011,18969,N20252026F,3,EV1896902072,EV1896902073,1.0,0,3,1,ZoneEntry_Carried,Shot_Blocked,False,N10010,Velodrome,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Turnover > Shot,Zone_Entry > Turnover_Giveaway > Shot_Blocked,P100192,Chris Premo,P100192,Chris Premo,SQ1896900093,PL1896909309,ZN01,ZE0001,ED0035,TB01,STR01,ST0001
CH1896900012,18969,N20252026F,2,EV1896901536,EV1896901539,5.0,1,4,3,ZoneEntry_Carried,Shot_Missed,False,N10010,Velodrome,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Possession > Shot > Pass,Zone_Entry > Shot_Missed > Pass_Completed,P100132,Garrett Ashcroft,P100064,James Rynearson,SQ1896900054,PL1896905409,ZN01,ZE0001,ED0039,TB01,STR01,
CH1896900013,18969,N20252026F,3,EV1896902083,EV1896902084,1.0,0,2,1,ZoneEntry_Carried,Shot_Blocked,False,N10010,Velodrome,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Shot,Zone_Entry > Shot_Blocked,P100023,Alex Considine,P100023,Alex Considine,SQ1896900097,PL1896909701,ZN01,ZE0001,ED0035,TB01,STR01,ST0001
CH1896900014,18969,N20252026F,2,EV1896901556,EV1896901567,18.0,2,13,7,ZoneEntry_Carried,Shot_Blocked,False,N10010,Velodrome,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Turnover > Possession > Zone_Entry_Exit > Possession > Play > Zone_Entry_Exit > Pass > Possession > Shot > Zone_Entry_Exit > Turnover > Pass,Zone_Entry > Turnover_Giveaway > PuckRetrieval > Zone_Exit > Play_Defensive > Zone_Entryfailed > Pass_Completed > PuckRecovery > Shot_Blocked > Zone_Entry > Turnover_Giveaway > Pass_Completed,P100022,Chris Dube,P100039,Nicole Downs,SQ1896900056,PL1896905606,ZN01,ZE0001,ED0035,TB01,STR01,ST0001
CH1896900015,18969,N20252026F,3,EV1896902095,EV1896902101,13.0,2,11,4,ZoneEntry_FromExitClear,Shot_OnNetSaved,False,N10010,Velodrome,N10008,N10010,Platinum,Velodrome,Faceoff > Zone_Entry_Exit > Zone_Entry_Exit > Possession > Pass > Possession > Pass > Possession > Rebound > Shot > Save,Faceoff_AfterStoppage > Zone_Exit > Zone_Entry > PuckRetrieval > Pass_Completed > Regroup > Pass_Intercepted > Rebound_TeamRecovered > Shot_OnNetSaved > Save_Rebound,P100001,Sam Downs,P100001,Sam Downs,SQ1896900097,PL1896909705,ZN02,ZE0006,ED0040,TB01,STR01,ST0001
CH1896900016,18969,N20252026F,2,EV1896901566,EV1896901574,13.0,2,12,7,ZoneEntry_Pass,Shot_OnNetSaved,False,N10010,Velodrome,N10008,N10010,Platinum,Velodrome,Shot > Zone_Entry_Exit > Turnover > Pass > Possession > Turnover > Possession > Pass > Possession > Rebound > Save > Shot,Shot_Blocked > Zone_Entry > Turnover_Giveaway > Pass_Completed > PuckRetrieval > Turnover_Giveaway > PuckRetrieval > Pass_Completed > Rebound_TeamRecovered > Save_Rebound > Shot_OnNetSaved,P100039,Pat Major,P100093,Pat Major,SQ1896900058,PL1896905805,ZN03,ZE0010,ED0040,TB01,STR01,ST0001
CH1896900017,18969,N20252026F,3,EV1896902108,EV1896902109,3.0,0,4,3,ZoneEntry_Carried,Shot_OnNetSaved,False,N10010,Velodrome,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Save > Shot > Rebound,Zone_Entry > Save_Rebound > Shot_OnNetSaved,P100161,Maxwell Donaty,P100198,Maxwell Donaty,SQ1896900100,PL1896910001,ZN01,ZE0001,ED0040,TB01,STR01,ST0001
CH1896900018,18969,N20252026F,2,EV1896901581,EV1896901582,1.0,0,4,3,ZoneEntry_Carried,Shot_OnNetSaved,False,N10010,Velodrome,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Shot > Rebound > Save,Zone_Entry > Shot_OnNetSaved > Rebound_TeamRecovered > Save_Rebound,P100117,Keegan Mantaro,P100117,Keegan Mantaro,SQ1896900058,PL1896905804,ZN01,ZE0001,ED0040,TB01,STR01,ST0001
CH1896900019,18969,N20252026F,2,EV1896901598,EV1896901605,10.0,3,10,4,ZoneEntry_Carried,Shot_OnNetSaved,False,N10010,Velodrome,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Pass > Pass > Possession > Possession > Pass > Possession > Save > Shot > Rebound,Zone_Entry > Pass_Deflected > Pass_Completed > PuckRecovery > Pass_Completed > Save_Rebound > Shot_OnNetSaved > Rebound_OppTeamRecovered,P100022,Chris Dube,P100210,Josh Simonds,SQ1896900059,PL1896905904,ZN01,ZE0001,ED0040,TB01,STR01,ST0001
CH1896900020,18969,N20252026F,3,EV1896902134,EV1896902136,15.0,0,10,4,ZoneEntry_Carried,Shot_OnNetSaved,False,N10010,Velodrome,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Possession > Zone_Entry_Exit > Possession > Turnover > Possession > Zone_Entry_Exit > Rebound > Shot > Save,Zone_Entry > Zone_Exit > PuckRetrieval > Turnover_Giveaway > PuckRetrieval > Zone_Entry > Rebound_TeamRecovered > Shot_OnNetSaved > Save_Rebound,P100201,Garrett Ashcroft,P100201,Garrett Ashcroft,SQ1896900081,PL1896908107,ZN01,ZE0001,ED0040,TB01,STR01,ST0001
CH1896900021,18969,N20252026F,3,EV1896902143,EV1896902136,4.0,0,4,3,ZoneEntry_DumpIn,Shot_OnNetSaved,False,N10010,Velodrome,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Rebound > Shot > Save,Zone_Entry > Rebound_TeamRecovered > Shot_OnNetSaved > Save_Rebound,P100070,Hayden Perea,P100201,Garrett Ashcroft,SQ1896900100,PL1896910008,ZN03,ZE0005,ED0040,TB02,STR01,ST0001
CH1896900022,18969,N20252026F,2,EV1896901615,EV1896901616,3.0,0,4,2,ZoneEntry_Carried,Shot_Deflected,False,N10010,Velodrome,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Shot > Stoppage > DeadIce,Zone_Entry > Shot_Deflected > Stoppage_Play,P100001,Sam Downs,P100001,Sam Downs,SQ1896900059,PL1896905903,ZN01,ZE0001,ED0036,TB02,STR01,ST0001
